original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 78, ""sheet"": ""China""}",APT20,"Violin Panda Violin Panda APT8 APT20 Covert Grove th3bug Wocao Poison Ivy, CAKELOG, CANDYCLOG, COOKIECLOG, CETTRA Energy, Chemical Industry, Healthcare and Pharma Listed slide 12 http://www.slideshare.net/CrowdStrike/crowdcast-monthly-operationalizing-inte"
APT Groups and Operations.xlsx,"{""row"": 78, ""sheet"": ""China""}",APT8,"Violin Panda Violin Panda APT8 APT20 Covert Grove th3bug Wocao Poison Ivy, CAKELOG, CANDYCLOG, COOKIECLOG, CETTRA Energy, Chemical Industry, Healthcare and Pharma Listed slide 12 http://www.slideshare.net/CrowdStrike/crowdcast-monthly-operationalizin"
APT Groups and Operations.xlsx,"{""row"": 78, ""sheet"": ""China""}",Covert Grove,"Violin Panda Violin Panda APT8 APT20 Covert Grove th3bug Wocao Poison Ivy, CAKELOG, CANDYCLOG, COOKIECLOG, CETTRA Energy, Chemical Industry, Healthcare and Pharma Listed slide 12 http://www.slideshare.net/CrowdStrike/crowdcast-monthly-operationalizing-intelligence-3414"
APT Groups and Operations.xlsx,"{""row"": 78, ""sheet"": ""China""}",Violin Panda,"Violin Panda Violin Panda APT8 APT20 Covert Grove th3bug Wocao Poison Ivy, CAKELOG, CANDYCLOG, COOKIECLOG, CETTRA Energy, Chemical Industry, Healthcare and Pharma Listed slide 12 http://www.slideshare.net/CrowdStrike/crowdcast-month"
APT Groups and Operations.xlsx,"{""row"": 78, ""sheet"": ""China""}",Violin Panda,"Violin Panda Violin Panda APT8 APT20 Covert Grove th3bug Wocao Poison Ivy, CAKELOG, CANDYCLOG, COOKIECLOG, CETTRA Energy, Chemical Industry, Healthcare and Pharma Listed slide 12 http://www.slideshare.net/CrowdStrike/crowdcast-monthly-operationa"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 23}",Violin Panda,"Threat Group Cards: A Threat Actor Encyclopedia 23 APT 20, Violin Panda Names APT 20 (FireEye) APT 8 (Mandiant) Violin Panda (Crowdstrike) TH3Bug (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) We’ve uncovered some new data and likely attr"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 23}",Violin Panda,"Threat Group Cards: A Threat Actor Encyclopedia 23 APT 20, Violin Panda Names APT 20 (FireEye) APT 8 (Mandiant) Violin Panda (Crowdstrike) TH3Bug (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) We’ve uncovered some new data and likely attribution regarding a series of APT watering hole attacks"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",APT 20,"...................................... 21 APT 19, C0d0so ............................................................................................................................................................. 22 APT 20, Violin Panda ..................................................................................................................................................... 23 APT 29, Cozy Bear, The Dukes ......................"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",Violin Panda,".............................. 21 APT 19, C0d0so ............................................................................................................................................................. 22 APT 20, Violin Panda ..................................................................................................................................................... 23 APT 29, Cozy Bear, The Dukes ...................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 5}",Covert Grove,"............................................... 166 Nightshade Panda, APT 9, Group 27 ........................................................................................................................ 167 Nitro, Covert Grove ...................................................................................................................................................... 168 OilRig, APT 34, Helix Kitten .................................."
Threat Group Cards.pdf,"{""page"": 23}",Violin Panda,"Threat Group Cards: A Threat Actor Encyclopedia 23 APT 20, Violin Panda Names APT 20 (FireEye) APT 8 (Mandiant) Violin Panda (Crowdstrike) TH3Bug (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) We’ve uncovered some new data and likely attr"
Threat Group Cards.pdf,"{""page"": 23}",Violin Panda,"Threat Group Cards: A Threat Actor Encyclopedia 23 APT 20, Violin Panda Names APT 20 (FireEye) APT 8 (Mandiant) Violin Panda (Crowdstrike) TH3Bug (Palo Alto) Country China Motivation Information theft and espionage Description (Palo Alto) We’ve uncovered some new data and likely attribution regarding a series of APT watering hole attacks"
Threat Group Cards.pdf,"{""page"": 2}",APT 20,"................................................................ 21 APT 19, C0d0so ................................................................................................................................... 22 APT 20, Violin Panda ........................................................................................................................... 23 APT 29, Cozy Bear, The Dukes ................................................"
Threat Group Cards.pdf,"{""page"": 2}",Violin Panda,"........................................................ 21 APT 19, C0d0so ................................................................................................................................... 22 APT 20, Violin Panda ........................................................................................................................... 23 APT 29, Cozy Bear, The Dukes .............................................................."
Threat Group Cards.pdf,"{""page"": 5}",Covert Grove,".......................................................................... 166 Nightshade Panda, APT 9, Group 27.............................................................................................. 167 Nitro, Covert Grove ............................................................................................................................ 168 OilRig, APT 34, Helix Kitten ............................................................"
Threat_Group_Cards_v2.0.pdf,"{""page"": 2}",APT 20,"................................................... 30 APT 19, Deep Panda, C0d0so0 ................................................................................................................................... 31 APT 20, Violin Panda ..................................................................................................................................................... 35 APT 29, Cozy Bear, The Dukes ......................"
Threat_Group_Cards_v2.0.pdf,"{""page"": 2}",Violin Panda,"........................................... 30 APT 19, Deep Panda, C0d0so0 ................................................................................................................................... 31 APT 20, Violin Panda ..................................................................................................................................................... 35 APT 29, Cozy Bear, The Dukes ...................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 30}",Covert Grove,"exploits very shortly after those exploits are available, such as in the case of Hacking Team’s Flash zero-day exploit.’ This threat group has been seen since 2009. APT 18 may be related to Night Dragon and/or Nitro, Covert Grove. Observed Sectors: Aerospace, Biotechnology, Construction, Defense, Education, Engineering, Healthcare, High-Tech, Telecommunications and Transportation. Countries: USA. Tools used AtNow, Gh0st RAT, hcdLoader, HTTPB"
Threat_Group_Cards_v2.0.pdf,"{""page"": 35}",Violin Panda,"Threat Group Cards: A Threat Actor Encyclopedia 35 APT 20, Violin Panda Names APT 20 (FireEye) APT 8 (Mandiant) Violin Panda (Crowdstrike) TH3Bug (Palo Alto) Country China Motivation Information theft and espionage First seen 2014 Description (Palo Alto) We’ve uncovered some new dat"
Threat_Group_Cards_v2.0.pdf,"{""page"": 6}",Covert Grove,"........................ 218 NineBlog ........................................................................................................................................................................ 220 Nitro, Covert Grove ...................................................................................................................................................... 221 OilRig, APT 34, Helix Kitten, Chrysene ........................"
summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,"{""page"": 118}",APT20,онфликт спровоцировал кибергруппировки разра - ботать и применить вредоносные ПО для манипуляций с АСУ ТП. Название 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 HEXANE АПР. МАРТ APT20 ЯНВ. ДЕК. APT28 ДЕК. ДЕК. OILRIG TA410 FLAME ДЕК. ИЮНЬ DUQU АВГ . ОКТ. STUXNET ИЮНЬ ИЮНЬ APT33 ИЮНЬ НОЯБ. LAZARUS АПР. ИЮЛЬ DRAGONFL Y ФЕВР. ИЮЛЬ BLACKENERGY МАЙ АПР. XENOTIME LEAFMINER APT41 СЕНТ. ИЮНЬ ORANGEWORM POETR
summary/2024/threat actor list from cs.csv,"{""row"": 227}",APT20,"TH3Bug, APT20 Nov 2014 Inactive China 6 4 Targeted State-Sponsored"
