original_source_path,original_source_location,matched_name,context_excerpt
International Strategic/Canada/national-cyber-threat-assessment-2025-2026-e.pdf,"{""page"": 15}",Volt Typhoon,"rategic shift, the PRC is very likely integrating offensive cyber operations into its military planning to gain an advantage during a potential conflict with the U.S. PRC state-sponsored cyber threat actors, tracked as Volt Typhoon, are almost certainly seeking to pre-position within U.S. critical infrastructure networks for disruptive or destructive cyber attacks in the event of a major crisis or conflict with the U.S. According to U.S. officia"
International Strategic/Canada/national-cyber-threat-assessment-2025-2026-e.pdf,"{""page"": 15}",Volt Typhoon,"tive or destructive cyber attacks in the event of a major crisis or conflict with the U.S. According to U.S. officials, the PRC’s operation is designed to slow the U.S. military’s response and to sow societal panic.26 Volt Typhoon is especially noteworthy because the PRC has not historically conducted disruptive or destructive cyber operations against critical infrastructure.27 We assess that the direct threat to Canada’s critical infrastructure"
International Strategic/China/CSA_Living_off_the_Land.pdf,"{""page"": 1}",Volt Typhoon,"ies are issuing this joint Cybersecurity Advisory (CSA) to highlight a recently discovered cluster of activity of interest associated with a People’s Republic of China (PRC) state-sponsored cyber actor, also known as Volt Typhoon. Private sector partners have identified that this activity affects networks across U.S. critical infrastructure sectors, and the authoring agencies believe the actor could apply the same techniques against these and"
International Strategic/China/CSA_Living_off_the_Land.pdf,"{""page"": 21}",Volt Typhoon,an/security-best-practices/best-practices-for-securing-active-directory CISA regional cyber threats:  PRC state-sponsored activity: China Cyber Threat Overview and Advisories Microsoft Threat Intelligence blog:  Volt Typhoon activity: https://www.microsoft.com/en- us/security/blog/2023/05/24/volt-typhoon-targets-us-critical-infrastructure-with- living-off-the-land-techniques/ Ntdsutil.exe:  Overview: https://learn.microsoft.com/en-us/pr
International Strategic/China/Charting China’s Climb as a Leading Global Cyber Power.pdf,"{""page"": 14}",Volt Typhoon,"mmercial servicearrangement. Examplesof theuseof anonymizationnetworksbyChinesestate-sponsoredgroupsincludeTAG 38activitytargetingIndiancriticalinfrastructure, RedBravo APT31 activitytargetingEuropeangovernments, TAG 87 Volt Typhoon)targetingUScritical infrastructure, andTAG 51 BlackTech) targetingentitieswithinTaiwanandJapan.Inthecaseof TAG 38, weidentifiedthegroupusinganetworkof compromisedinternet-facing,third-partyDVR/IPcameradevicesthat wereus"
International Strategic/USA/2025/CGCYBER 2024 CTIME.pdf,"{""page"": 13}",Volt Typhoon,"e access trojans to target various cargo shipping companies in countries across the globe including those in Norway, Greece, and the Netherlands.11 As referenced in last year’s CTIME report, China-based threat actor Volt Typhoon remains relevant. Volt Typhoon uses “living off the land” techniques12 in which they rely on existing tools and features in the target environment, such as valid user accounts, with the intent to remain undiscovere"
International Strategic/USA/2025/CGCYBER 2024 CTIME.pdf,"{""page"": 13}",Volt Typhoon,"ous cargo shipping companies in countries across the globe including those in Norway, Greece, and the Netherlands.11 As referenced in last year’s CTIME report, China-based threat actor Volt Typhoon remains relevant. Volt Typhoon uses “living off the land” techniques12 in which they rely on existing tools and features in the target environment, such as valid user accounts, with the intent to remain undiscovered within networks for long perio"
OT/Dragos-2026-OT-Cybersecurity-Report-A-Year-in-Review.pdf,"{""page"": 10}",VOLTZITE,"onal intelligence from engineering workstations. SYLVANITE operates as an initial access provider, rapidly weaponizing edge device vulnerabilities and handing off compromised environments to Stage 2 adversaries like VOLTZITE within days. This division of labor compresses the timeline from initial breach to operational impact."
OT/Dragos-2026-OT-Cybersecurity-Report-A-Year-in-Review.pdf,"{""page"": 11}",VOLTZITE,"ORBs associated with several threat groups Adversary • O verlap with Flax Typhoon, Ethereal Panda, UNC5923, Raptor Train, Red Dev 54, TAT-2023-35, TAT-2023-46, TAT-2025-16 • L ikely has the same adversary customer as VOLTZITE Victimology • T argets Taiwan, United States, Europe, Japan, South Korea, Australia • T argets Manufacturing, Defense, Automotive, Electric, Government, Oil and Gas Capabilities • S trong operational security practices"
OT/Dragos-2026-OT-Cybersecurity-Report-A-Year-in-Review.pdf,"{""page"": 24}",VOLTZITE,"up, and BGP Network Ltd providers Adversary • M ultiple entities working under the same overarching direction • A ssessed intent is initial access and credential theft that is passed to other threat groups, including VOLTZITE • O verlaps with UNC5221, UNC5174, UNC5291, UNC3236, HOUKEN, Red Dev 61, CL-STA-0048, and UTA0178 Victim • E lectric Power Generation, Transmission & Distribution (2211), Water, Sewage and Other Systems (2213), Oil a"
