original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 11, ""sheet"": ""China""}",Wicked Spider,"la, BARIUM, LEAD, RedEcho, Vanadinite, TAG-22 G0044 Winnti, AceHash, PlugX, Webshells, ZxShell, ShadowPad ThyssenKrupp, Gameforge, Valve, Teamviewer,Siemens, Sumitomo, BASF, Covestro, Shin-Etsu, Bayer, Roche Deep Panda, Wicked Spider http://blog.trendmicro.com/trendlabs-security-intelligence/winnti-abuses-github/ https://www.protectwise.com/blog/winnti-evolution-going-open-source.html https://www.nccgroup.trust/uk/about-us/newsroom-and-events/blogs/"
APT Groups and Operations.xlsx,"{""row"": 40, ""sheet"": ""Others""}",Wicked Spider,Wicked Spider Criminal https://www.sig-switzerland.ch/wp-content/uploads/2016/03/SIGS_SOC_Forum_Sep2017_CrowdStrike_On_the_Hunt_for_Pandas_Kittens_and_Bears.pdf see slide 15 https://www.crowdstrike.com/blog/meet-crowdstrikes-adversar
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 246}",Wicked Spider,"Threat Group Cards: A Threat Actor Encyclopedia 246 Wicked Spider, APT 22 Names Wicked Spider (CrowdStrike) APT 22 (Mandiant) Country China Motivation Financial gain Description (CrowdStrike) Winnti Group, Blackfly, Wicked Panda refers to the targeted intrusion operations of the"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 246}",Wicked Spider,"Threat Group Cards: A Threat Actor Encyclopedia 246 Wicked Spider, APT 22 Names Wicked Spider (CrowdStrike) APT 22 (Mandiant) Country China Motivation Financial gain Description (CrowdStrike) Winnti Group, Blackfly, Wicked Panda refers to the targeted intrusion operations of the actor publicly known as “Win"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 246}",Wicked Spider,"APT 22 (Mandiant) Country China Motivation Financial gain Description (CrowdStrike) Winnti Group, Blackfly, Wicked Panda refers to the targeted intrusion operations of the actor publicly known as “Winnti,” whereas Wicked Spider represents this group’s financially-motivated criminal activity. Originally, Wicked Spider was observed exploiting a number of gaming companies and stealing code- signing certificates for use in other operations assoc"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 246}",Wicked Spider,"ing code- signing certificates for use in other operations associated with the malware known as Winnti. Now, Winnti is commonly associated with the interests of the government of the People’s Republic of China (PRC). Wicked Spider has been observed targeting technology companies in Germany, Indonesia, the Russian Federation, South Korea, Sweden, Thailand, Turkey, the United States, and elsewhere. Notably, Wicked Spider has often targeted gaming"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Wicked Spider,"............................. 244 Whitefly .......................................................................................................................................................................... 245 Wicked Spider, APT 22 ............................................................................................................................................... 246 Wild Neutron, Butterfly, Sphinx Moth ........................."
International Strategic/China/china-cyber-report.pdf,"{""page"": 45}",Wicked Spider,"es. When treated as a whole, the cluster is often tracked as APT41 or Winnti. However, public tracking of the cluster often divides it into two halves: the criminal enterprise behind the company named Sea Gamer (a.k.a. Wicked Spider, BlackFly, Barium) and the government contractors behind a company named Chengdu 404 (a.k.a. Wicked Panda, Grayfly, Lead). The U.S. alleges that Chengdu 404 supported the MSS, and that this company’s website stated th"
International Strategic/China/china-cyber-report.pdf,"{""page"": 45}",Wicked Spider,"was a contractor for the Ministry of Public Security (MPS), PLA, and PRC defense companies. According to DOJ, the alleged activity had been tracked by the private sector as APT41 , Barium, Winnti, Wicked Panda , and Wicked Spider . 41"
International Strategic/China/china-cyber-report.pdf,"{""page"": 46}",Wicked Spider,"in Hong Kong, Taiwan, India, and the U.S.) and Operation Redkanku. 570 Group-IB assesses that APT41 is a PRC state-linked actor conducting both espionage and cybercrime. Group-IB considers APT41 interchangeable with Wicked Spider, Wicked Panda, and Barium.571 Venafi considers APT41 to be synonymous with the Chengdu-based individuals, Winnti, Wicked Panda, Wicked Spider, Barium, Blackfly, and Suckfly .572 Note: FireEye previously, but no longe"
