original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 8, ""sheet"": ""Others""}",Deceptikons,"Wild Neutron WildNeutron Jripbot Morpho Deceptikons Sphinx Moth Jiripbot, Hesperbot https://securelist.com/blog/research/71275/wild-neutron-economic-espionage-threat-actor-returns-with-new-tricks/ https://securelist.com/apt-trends-report-q2-2020/97937/ https://cyware.com"
APT Groups and Operations.xlsx,"{""row"": 8, ""sheet"": ""Others""}",Jripbot,"Wild Neutron WildNeutron Jripbot Morpho Deceptikons Sphinx Moth Jiripbot, Hesperbot https://securelist.com/blog/research/71275/wild-neutron-economic-espionage-threat-actor-returns-with-new-tricks/ https://securelist.com/apt-trends-report-q2-2020/97937/"
APT Groups and Operations.xlsx,"{""row"": 8, ""sheet"": ""Others""}",Morpho,"Wild Neutron WildNeutron Jripbot Morpho Deceptikons Sphinx Moth Jiripbot, Hesperbot https://securelist.com/blog/research/71275/wild-neutron-economic-espionage-threat-actor-returns-with-new-tricks/ https://securelist.com/apt-trends-report-q2-2020/97937/ https:"
APT Groups and Operations.xlsx,"{""row"": 8, ""sheet"": ""Others""}",Wild Neutron,"Wild Neutron WildNeutron Jripbot Morpho Deceptikons Sphinx Moth Jiripbot, Hesperbot https://securelist.com/blog/research/71275/wild-neutron-economic-espionage-threat-actor-returns-with-new-tricks/ https://securelist.com/apt-trends-r"
APT Groups and Operations.xlsx,"{""row"": 8, ""sheet"": ""Others""}",WildNeutron,"Wild Neutron WildNeutron Jripbot Morpho Deceptikons Sphinx Moth Jiripbot, Hesperbot https://securelist.com/blog/research/71275/wild-neutron-economic-espionage-threat-actor-returns-with-new-tricks/ https://securelist.com/apt-trends-report-q2-202"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 247}",JripBot,"re, Investment companies, IT, Real estate, lawyers and individual users. Countries: Algeria, Austria, Canada, France, Germany, Kazakhstan, Palestine, Russia, Slovenia, Switzerland, UAE and USA. Tools used HesperBot, JripBot, WildNeutron and many 0-days vulnerabilities. Operations performed Jan 2013 Attack on Twitter <https://blog.twitter.com/official/en_us/a/2013/keeping-our-users- secure.html> Feb 2013 Attack on Facebook <https://ww"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 247}",Morpho,"Threat Group Cards: A Threat Actor Encyclopedia 247 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporate espionage group has compromised a string of major corporations over the past three"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 247}",Wild Neutron,"Threat Group Cards: A Threat Actor Encyclopedia 247 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporat"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 247}",Wild Neutron,"Threat Group Cards: A Threat Actor Encyclopedia 247 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporate espionage group has compromised a string o"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Wild Neutron,"........................................... 245 Wicked Spider, APT 22 ............................................................................................................................................... 246 Wild Neutron, Butterfly, Sphinx Moth ........................................................................................................................ 247"
Threat Group Cards.pdf,"{""page"": 246}",JripBot,"re, Investment companies, IT, Real estate, lawyers and individual users. Countries: Algeria, Austria, Canada, France, Germany, Kazakhstan, Palestine, Russia, Slovenia, Switzerland, UAE and USA. Tools used HesperBot, JripBot, WildNeutron and many 0-days vulnerabilities. Operations performed Jan 2013 Attack on Twitter <https://blog.twitter.com/official/en_us/a/2013/keeping-our-users- secure.html> Feb 2013 Attack on Facebook <https://ww"
Threat Group Cards.pdf,"{""page"": 246}",Morpho,"Threat Group Cards: A Threat Actor Encyclopedia 246 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporate espionage group has compromised a string of major corporations over the past three"
Threat Group Cards.pdf,"{""page"": 246}",Wild Neutron,"Threat Group Cards: A Threat Actor Encyclopedia 246 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporat"
Threat Group Cards.pdf,"{""page"": 246}",Wild Neutron,"Threat Group Cards: A Threat Actor Encyclopedia 246 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) Country [Unknown] Motivation Information theft and espionage Description (Symantec) A corporate espionage group has compromised a string o"
Threat Group Cards.pdf,"{""page"": 7}",Wild Neutron,"..................................................................... 244 Wicked Spider, APT 22 ..................................................................................................................... 245 Wild Neutron, Butterfly, Sphinx Moth .............................................................................................. 246 Winnti Group, Blackfly, Wicked Panda .........................................................."
Threat_Group_Cards_v2.0.pdf,"{""page"": 364}",JripBot,"Real estate, lawyers and individual users. Countries: Algeria, Australia, Austria, Canada, France, Germany, Kazakhstan, Palestine, Poland, Russia, Slovenia, Spain, Switzerland, UAE, UK and USA. Tools used HesperBot, JripBot and many 0-days vulnerabilities. Operations performed Jan 2013 Attack on Twitter <https://blog.twitter.com/official/en_us/a/2013/keeping-our-users- secure.html> Feb 2013 Attack on Facebook <https://www.facebook.co"
Threat_Group_Cards_v2.0.pdf,"{""page"": 364}",Morpho,"Threat Group Cards: A Threat Actor Encyclopedia 364 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) The Postal Group (CERT Polska) Country [Unknown] Motivation Information theft and espionage First seen 2013 Description (Symantec) A corporate espionage group has compromised a s"
Threat_Group_Cards_v2.0.pdf,"{""page"": 364}",Wild Neutron,"Threat Group Cards: A Threat Actor Encyclopedia 364 Wild Neutron, Butterfly, Sphinx Moth Names Wild Neutron (Kaspersky) Butterfly (Symantec) Morpho (Symantec) Sphinx Moth (Kudeslski) The Postal Group (CERT Polska) Country [Unknown] Motivation Information theft and espionage F"
