original_source_path,original_source_location,matched_name,context_excerpt
APT Groups and Operations.xlsx,"{""row"": 55, ""sheet"": ""Others""}",EHDevel,"Donot Team APT-C-35 APTC35 SectorE02 Lucky Elephant EHDevel, yty Government officials, Pakistan, Kashmir Possible links to Hangover https://ti.360.net/blog/articles/pakistan-targeted-apt-campaign/ https://www.reuters.com/article/us-india-cyber-threat/exclusive-india-and-pakistan"
APT Groups and Operations.xlsx,"{""row"": 55, ""sheet"": ""Others""}",ehdevel,tan-targeted-apt-campaign/ https://www.reuters.com/article/us-india-cyber-threat/exclusive-india-and-pakistan-hit-by-spy-malware-cybersecurity-firm-idUSKCN1B80Y2 https://labs.bitdefender.com/wp-content/uploads/downloads/ehdevel-the-story-of-a-continuously-improving-advanced-threat-creation-toolkit/ https://asert.arbornetworks.com/donot-team-leverages-new-modular-malware-framework-south-asia/ https://ti.360.net/blog/articles/latest-activity-of-
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""Others""}",bahamut,/s/AfGrEi-ViJxHEEDtSLvQSg https://blog.trendmicro.com/trendlabs-security-intelligence/deciphering-confucius-cyberespionage-operations/ https://blog.trendmicro.com/trendlabs-security-intelligence/the-urpage-connection-to-bahamut-confucius-and-patchwork/ https://blog.trendmicro.com/trendlabs-security-intelligence/confucius-update-new-tools-and-techniques-further-connections-with-patchwork/ https://ti.qianxin.com/blog/articles/coronavirus-analysi
APT Groups and Operations.xlsx,"{""row"": 6, ""sheet"": ""Others""}",urpage,ps://mp.weixin.qq.com/s/AfGrEi-ViJxHEEDtSLvQSg https://blog.trendmicro.com/trendlabs-security-intelligence/deciphering-confucius-cyberespionage-operations/ https://blog.trendmicro.com/trendlabs-security-intelligence/the-urpage-connection-to-bahamut-confucius-and-patchwork/ https://blog.trendmicro.com/trendlabs-security-intelligence/confucius-update-new-tools-and-techniques-further-connections-with-patchwork/ https://ti.qianxin.com/blog/articl
APT Groups and Operations.xlsx,"{""row"": 64, ""sheet"": ""Others""}",Bahamut,"Bahamut URPAGE EHDEVEL WINDSHIFT The White Company G0112 InPage zero-day Malicious MDM Middle Eastern human rights activists offshore APT organization from South Asia Possibly linked to WindShift, Patchwork, Dropping Elephant,"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 2}",Bahamut,"..................................... 33 Axiom, Group 72 ............................................................................................................................................................. 34 Bahamut........................................................................................................................................................................... 35 Barium ....................................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 35}",Bahamut,Threat Group Cards: A Threat Actor Encyclopedia 35 Bahamut Names Bahamut (Bellingcat) Country [Middle East] Motivation Information theft and espionage Description (Bellingcat) Bahamut was first noticed when it targeted a Middle Eastern human rights activist in the first we
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 35}",Bahamut,Threat Group Cards: A Threat Actor Encyclopedia 35 Bahamut Names Bahamut (Bellingcat) Country [Middle East] Motivation Information theft and espionage Description (Bellingcat) Bahamut was first noticed when it targeted a Middle Eastern human rights activist in the first week of January 2
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 6}",Urpage,".................................................... 238 Turla, Waterbug, Venomous Bear ............................................................................................................................. 239 Urpage ........................................................................................................................................................................... 243 Volatile Cedar ..........................."
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 7}",WindShift,"Threat Group Cards: A Threat Actor Encyclopedia 7 Winnti Group, Blackfly, Wicked Panda ..................................................................................................................... 249 WindShift ....................................................................................................................................................................... 251 [Unnamed group] .............................."
