original_source_path,original_source_location,matched_name,context_excerpt
0day _In the Wild_.xlsx,"{""row"": 4, ""sheet"": ""2017""}",ZIRCONIUM,00 https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-013 https://cloudblogs.microsoft.com/microsoftsecure/2017/03/27/detecting-and-mitigating-elevation-of-privilege-exploit-for-cve-2017-0005/ ZIRCONIUM/APT31 https://cloudblogs.microsoft.com/microsoftsecure/2017/03/27/detecting-and-mitigating-elevation-of-privilege-exploit-for-cve-2017-0005/
0day _In the Wild_.xlsx,"{""row"": 40, ""sheet"": ""All""}",ZIRCONIUM,00 https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-013 https://cloudblogs.microsoft.com/microsoftsecure/2017/03/27/detecting-and-mitigating-elevation-of-privilege-exploit-for-cve-2017-0005/ ZIRCONIUM/APT31 https://cloudblogs.microsoft.com/microsoftsecure/2017/03/27/detecting-and-mitigating-elevation-of-privilege-exploit-for-cve-2017-0005/
APT Groups and Operations.xlsx,"{""row"": 54, ""sheet"": ""China""}",Zirconium,"Hurricane Panda Hurricane Panda BRONZE VINEWOOD APT31 Black Vine TEMP.Avengers Zirconium, TA412 Op. Poisoned Hurricane China Chopper Webshell, PlugX, Mimikatz, Sakula Aerospace, Healthcare, Energy (gas & electric turbine manufacturing), Military and defense, Finance, Agriculture, Technology, Japan, United S"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 118}",Zirconium,"Threat Group Cards: A Threat Actor Encyclopedia 118 Hurricane Panda, Zirconium, APT 31 Names Hurricane Panda (CrowdStrike) Zirconium (Microsoft) APT 31 (Mandiant) TEMP.Avengers (Symantec) Country China Motivation Information theft and espionage Description (CrowdStrike) We have investigated"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 118}",Zirconium,"Threat Group Cards: A Threat Actor Encyclopedia 118 Hurricane Panda, Zirconium, APT 31 Names Hurricane Panda (CrowdStrike) Zirconium (Microsoft) APT 31 (Mandiant) TEMP.Avengers (Symantec) Country China Motivation Information theft and espionage Description (CrowdStrike) We have investigated their intrusions since 2013 and have been battling the"
A_Threat_Actor_Encyclopedia.pdf,"{""page"": 4}",Zirconium,"................ 115 Honeybee ...................................................................................................................................................................... 117 Hurricane Panda, Zirconium, APT 31 ....................................................................................................................... 118 Icefog, Dagger Panda ................................................................."
International Strategic/China/china-cyber-report.pdf,"{""page"": 42}",Zirconium,"PRC state-sponsored espionage actor supporting government and state-owned enterprises since 2013. IronNet assesses that APT31 is interchangeable with Hurricane Panda, Judgment Panda , Bronze Vinewood , Red Bravo, and Zirconium .509 Positive Technologies tracks APT31 as an espionage actor that targets military, political, and commercial entities in diverse fields and has been active since at least 2016. Positive Technologies considers APT31"
International Strategic/China/china-cyber-report.pdf,"{""page"": 42}",Zirconium,"spionage actor that targets military, political, and commercial entities in diverse fields and has been active since at least 2016. Positive Technologies considers APT31 to be interchangeable with Hurricane Panda and Zirconium . It is unclear why Positive Technologies clusters APT31 and Hurricane Panda but is not confident that this activity began before 2016. Rapid7 tracks APT31 as a PRC state-sponsored group that conducts intellectual"
International Strategic/China/china-cyber-report.pdf,"{""page"": 42}",Zirconium,"before 2016. Rapid7 tracks APT31 as a PRC state-sponsored group that conducts intellectual property theft. It recognizes common APT31 aliases as Bronze Vinewood , Hurricane Panda , Judgment Panda , TEMP.Avengers, and Zirconium . 510 38"
Threat Group Cards.pdf,"{""page"": 118}",Zirconium,"Threat Group Cards: A Threat Actor Encyclopedia 118 Hurricane Panda, Zirconium, APT 31 Names Hurricane Panda (CrowdStrike) Zirconium (Confiant) APT 31 (Mandiant) TEMP.Avengers (Symantec) Country China Motivation Information theft and espionage Description (CrowdStrike) We have investigated"
Threat Group Cards.pdf,"{""page"": 118}",Zirconium,"Threat Group Cards: A Threat Actor Encyclopedia 118 Hurricane Panda, Zirconium, APT 31 Names Hurricane Panda (CrowdStrike) Zirconium (Confiant) APT 31 (Mandiant) TEMP.Avengers (Symantec) Country China Motivation Information theft and espionage Description (CrowdStrike) We have investigated their intrusions since 2013 and have been battling them"
