schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--allanite,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:710a81f0d40b8217ed5592ad1cbf4ad24c5900faa7f31f7673dcdf4562381cd1,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--allanite--41d3400ccf73627f,actor_profile/evidence/allanite.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 12} Allanite Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaiss",
1.0.0,actor--allanite,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b87fc4787b58f4a53d8b1917d6e2ce259088d50067eaf00f246c56de11d1355b,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--allanite--41d3400ccf73627f,actor_profile/evidence/allanite.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 12} Allanite Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gather",
1.0.0,actor--allanite,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:cd9c5e0d604384f5cce7a6fc9902ec277c66675a76cb98e51caa84042981d2fa,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--allanite--41d3400ccf73627f,actor_profile/evidence/allanite.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 12} Allanite Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gathers intelligence in United States and United Kingdom electric utility sectors. Dragos assesses with moderate confidence that Al",
1.0.0,actor--allanite,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:4f3fe18c583b04f75d72983e8f0be13f4b18b1c04fc916c64a14d7f413cedc69,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--allanite--41d3400ccf73627f,actor_profile/evidence/allanite.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 12} Palmetto Fusion Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gathers intelligence in United S",
1.0.0,actor--allanite,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b6d5925b11432de94f4589d7a9d71a6a38d3b007e2ad9b46939c38be195090dc,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--allanite--41d3400ccf73627f,actor_profile/evidence/allanite.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 2} Allanite ........................................... 10 Anchor Panda, APT 14 .................................................................................................................................................. 11 Allanite ............................................................................................................................................................................. 12 APT 3, Gothic Panda, Buckeye ............",
1.0.0,actor--allanite,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:9975ccd552a92ac5ea296f26233be64b2f68628786da2b7f6dccf10809e3bb0c,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--allanite--41d3400ccf73627f,actor_profile/evidence/allanite.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 12} Allanite Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gathers intelligence in United States and United Kingdom electric utility sectors. Dragos assesses with moderate confidence that Al",
1.0.0,actor--allanite,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:afa3e3c5213099e94bdea2c22ccc9ca37e8b60054926e67f55058a27b01d963a,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--allanite--41d3400ccf73627f,actor_profile/evidence/allanite.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 12} Palmetto Fusion Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gathers intelligence in United S",
1.0.0,actor--allanite,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:562b27fb2b95757c57d3e425b9f66a88d08039da9605a5b4ae644e1f2a473728,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--allanite--41d3400ccf73627f,actor_profile/evidence/allanite.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 2} Allanite ..................................................................... 10 Anchor Panda, APT 14 ........................................................................................................................ 11 Allanite ................................................................................................................................................... 12 APT 3, Gothic Panda, Buckeye.......................................",
1.0.0,actor--allanite,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:002cb3147c9ade00728bb2848a730cebd169c20b8dc592f8d4bc2b38c2d3dc89,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--allanite--41d3400ccf73627f,actor_profile/evidence/allanite.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 12} Allanite Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaiss",
1.0.0,actor--allanite,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:4afede4c86d9a1dfae3db9fc9f3402bb2ca579b7bfd1bc09da74106b5eeedda6,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--allanite--41d3400ccf73627f,actor_profile/evidence/allanite.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 12} Allanite Threat Group Cards: A Threat Actor Encyclopedia 12 Allanite Names Allanite (Dragos) Palmetto Fusion (DHS) Country [Unknown] Motivation Information theft and espionage Description (Dragos) Allanite accesses business and industrial control (ICS) networks, conducts reconnaissance, and gather",
