schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--andariel,artifact--sha256:541d2630676a9c47694b66946b5651a3e45efd4efbae355769365071d566c706,observation--sha256:6b06e080fa4d0ac4fe6860c22ad58c8fb0014d76022260084efcc4d6588e91c5,command,"and shifted to PowerShell scripts. In Israel, OilRig deployed a new custom backdoor we’ve named Mango and the SC5k downloader, while POLONIUM used a modified CreepySnail. North Korea-aligned groups such as ScarCruft, Andariel, and Kimsuky continued to focus on South Korean and South Korea-related entities using their usual toolsets. In addition to targeting the employees of a defense contractor in Poland with a fake Boeing-themed job offer","and shifted to PowerShell scripts. In Israel, OilRig deployed a new custom backdoor we’ve named Mango and the SC5k downloader, while POLONIUM used a modified CreepySnail. North Korea-aligned groups such as ScarCruft, Andariel, and Kimsuky continued to focus on South Korean and South Korea-related entities using their usual toolsets. In addition to targeting the employees of a defense contractor in Poland with a fake Boeing-themed job offer",candidate,,unknown,unknown,not-stated,,source--andariel--d8b5468150bbcc71,actor_profile/evidence/andariel.csv,"{""row"": 132}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 3} Andariel and shifted to PowerShell scripts. In Israel, OilRig deployed a new custom backdoor we’ve named Mango and the SC5k downloader, while POLONIUM used a modified CreepySnail. North Korea-aligned groups such as ScarCruft, Andariel, and Kimsuky continued to focus on South Korean and South Korea-related entities using their usual toolsets. In addition to targeting the employees of a defense contractor in Poland with a fake Boe",
1.0.0,actor--andariel,artifact--sha256:c6896f5ed00def831787f0821973b25549db062480c75ff6633a099abe34e55e,observation--sha256:a104fb45c25006a7caf6b7d1e82ea433f2f753e430496fa9a3128cadc28db5b0,file-name,20Army.pdf,20Army.pdf,candidate,,unknown,unknown,not-stated,,source--andariel--d8b5468150bbcc71,actor_profile/evidence/andariel.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 5, ""sheet"": ""North Korea""} andariel Cyber%20Army.pdf http://www.fsec.or.kr/user/bbs/fsec/21/13/bbsDataView/910.do http://online.wsj.com/public/resources/documents/print/WSJ_-A006-20170728.pdf https://blog.trendmicro.com/trendlabs-security-intelligence/new-andariel-reconnaissance-tactics-hint-at-next-targets/ https://asec.ahnlab.com/en/48198/",
1.0.0,actor--andariel,artifact--sha256:beaec3099d35bb46df20e89f1c83c9ac39c5bd1f082bcbf263f7ceb8b224f653,observation--sha256:a366ddc2183dd095ca6208a6e3dfbd2481c315bf5e163201e829750a0582926d,file-name,(3).pdf,3).pdf,candidate,2023-03-01T00:00:00Z,month,known,same-record,,source--andariel--d8b5468150bbcc71,actor_profile/evidence/andariel.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf {""page"": 53} Andariel ckers Expands Attacks to More Sectors with Phishing Campaigns,” The Hacker News, March 2023, https://thehackernews.com/2023/03/north-korean-unc2970-hackers-expands.html AhnLab Security Emergency Response Center (ASEC), Andariel: A Subgroup of Lazarus, November 2022, https:// www.ahnlab.com/en/global/upload/download/techreport/%5BAhnLab%5DAndariel_a_Subgroup_of_Lazarus%20 (3).pdf",
1.0.0,actor--andariel,artifact--sha256:beaec3099d35bb46df20e89f1c83c9ac39c5bd1f082bcbf263f7ceb8b224f653,observation--sha256:9636c8acd8337a52f3701d408236c742ae033640e174b563853b5955776b93d4,file-name,(3).pdf,3).pdf,candidate,2023-03-01T00:00:00Z,month,known,same-record,,source--andariel--d8b5468150bbcc71,actor_profile/evidence/andariel.csv,"{""row"": 21}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf {""page"": 53} Andariel ckers Expands Attacks to More Sectors with Phishing Campaigns,” The Hacker News, March 2023, https://thehackernews.com/2023/03/north-korean-unc2970-hackers-expands.html AhnLab Security Emergency Response Center (ASEC), Andariel: A Subgroup of Lazarus, November 2022, https:// www.ahnlab.com/en/global/upload/download/techreport/%5BAhnLab%5DAndariel_a_Subgroup_of_Lazarus%20 (3).pdf",
1.0.0,actor--andariel,artifact--sha256:4dff6f317e1c234ea5d17491d0aaacc8214366ebb07c84aa4c4883fbd877b6c4,observation--sha256:881546895030f9943c590f697f3e34c578b4b91b0ae25fff49906099001eaab5,file-name,BizboxAMessenger.exe,BizboxAMessenger.exe,candidate,,unknown,unknown,not-stated,,source--andariel--d8b5468150bbcc71,actor_profile/evidence/andariel.csv,"{""row"": 178}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/eset-apt-activity-report-q2-2025-q3-2025.pdf {""page"": 17} Andariel . • A dropper, BizboxAMessenger.exe, written in Go that drops a legitimate BlueMoonSoft GRADIUS component and a variant of SHMemLoader. Even though SHMemLoader bears some code similarities to the tooling of Kimsuky, Andariel, and Lazarus, we are tracking this as Operation LoadDenise under the Kimsuky umbrella. In August, we gained greater insight into a post- compromise toolkit used by Konni. ESET software was instal",
1.0.0,actor--andariel,artifact--sha256:691055eac2a7fa6fdedc8c4b07c1abb8126b89be172da61c17392945e9d1bffd,observation--sha256:f80466982d414a2f5507de422b37b4500cf340e9bc8626141b7e89d7ac3d7ef5,file-name,Loader.dll,Loader.dll,candidate,,unknown,unknown,not-stated,,source--andariel--d8b5468150bbcc71,actor_profile/evidence/andariel.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/ Blurred-Lines-of-Cyber-Threat-Attribution.pdf {""page"": 15} Andariel Stealer Steal browser data Trojanized Installer Service.dll Durian (Golang RAT) Loader.dll Load Kimsuky group Drop and launch Legitimate S/W Fetches Proxy (HazyLoad) NGRok Account manipulation Chrome Remote Desktop Andariel group",
1.0.0,actor--andariel,artifact--sha256:f00f2791376a261b03748f2a613031762d9f4a124e9f50d473109d47d791759e,observation--sha256:af2090d27da8324cf4a9fbd4de09da3b0ae95d5dd7630e814cd00aa6814bbdb1,file-name,Service.dll,Service.dll,candidate,,unknown,unknown,not-stated,,source--andariel--d8b5468150bbcc71,actor_profile/evidence/andariel.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/ Blurred-Lines-of-Cyber-Threat-Attribution.pdf {""page"": 15} Andariel Stealer Steal browser data Trojanized Installer Service.dll Durian (Golang RAT) Loader.dll Load Kimsuky group Drop and launch Legitimate S/W Fetches Proxy (HazyLoad) NGRok Account manipulation Chrome Remote Desktop Andariel group",
1.0.0,actor--andariel,artifact--sha256:12f162047c1d955f61020b4cface083bd499fdd2ff212f32aafbe7cd0b74f652,observation--sha256:c9ab0804beb8ae9b1c5614bbb12b2ee4e81f506555170a9803431849d4b74ebc,file-name,password.chm,password.chm,candidate,,unknown,unknown,not-stated,,source--andariel--d8b5468150bbcc71,actor_profile/evidence/andariel.csv,"{""row"": 133}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 9} Andariel d-protected document alongside a CHM (Microsoft Compiled HTML Help) file named password.chm. When the user is lured into opening the CHM file to obtain the docu- ment password, it downloads and executes an HTA payload. Andariel Andariel was still active during this period as we saw it target a hospital in South Korea. In January 2023, the group used various payloads such as a Nirsoft tool [11] for collecting brows- er p",
1.0.0,actor--andariel,artifact--sha256:12f162047c1d955f61020b4cface083bd499fdd2ff212f32aafbe7cd0b74f652,observation--sha256:c5f0464034d8df8b1aee5767000509ad0348bc4fb5cde1f1e007175e983af79c,file-name,password.chm,password.chm,candidate,,unknown,unknown,not-stated,,source--andariel--d8b5468150bbcc71,actor_profile/evidence/andariel.csv,"{""row"": 134}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/eset_apt_activity_report_q42022_q12023.pdf {""page"": 9} Andariel ed document alongside a CHM (Microsoft Compiled HTML Help) file named password.chm. When the user is lured into opening the CHM file to obtain the docu- ment password, it downloads and executes an HTA payload. Andariel Andariel was still active during this period as we saw it target a hospital in South Korea. In January 2023, the group used various payloads such as a Nirsoft tool [11] for collecting brows- er passwords;",
1.0.0,actor--andariel,artifact--sha256:2283a6d55c95cfda2606f6400284c1dd968295020701de4e91339e26e3e439c9,observation--sha256:054a4c626e8f59c9cc22287c14a4d49d6a7135ee92748c5c1d827805e46f0e61,file-name,s_2023_171.pdf,s_2023_171.pdf,candidate,,unknown,unknown,not-stated,,source--andariel--d8b5468150bbcc71,actor_profile/evidence/andariel.csv,"{""row"": 25}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Korea/The DPRK’s Violation and Evasion of UN Sanctions through Cyber and Information Technology Worker Activities.pdf {""page"": 17} Andariel E4FF96FF9%7D/s_2023_171.pdf. 17 MSMT Participating State Information. 18 Note: The term “Lazarus Group” has been used widely and often imprecisely in public discourse to describe a broad array of DPRK APTs, including Andariel, Kimsuky, TraderTraitor, CryptoCore, Citrine Sleet, and Temp.Hermit. For the purposes of this report, the term",
