schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--applejeus,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:587ef4b73b1b0c7495c63070f6b8787c680bb86e54fdaef97c054317232a96ae,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,2022-10-01T00:00:00Z,month,known,same-record,,source--applejeus--d13cc73cd3f9745f,actor_profile/evidence/applejeus.csv,"{""row"": 58}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 17} AppleJeus DLL侧加载技术 ·发现Kimsuky组织针对Android的新恶意软件 ·Konni使用加密货币相关安卓恶意软件 2022.10 ·疑似Lazarus组织针对韩国的攻击活动 ·Konni组织针对东欧和东北亚地区的攻击活动 ·Lazarus利用更新后的DTrack后门瞄准欧洲和拉丁美洲 ·Lazarus组织以日本瑞穗∝行等招聘信息为诱饵的攻击 ·Kimsuky组织以IBM公司安全产品为诱饵的攻击活动 2022.11 ·Lazarus使用AppleJeus恶意软件的变体针对加密货币用户和组织 ·Konni利用包含个人信息的文件进行APT攻击 2022.12 ·Lazarus恶意软件Vsingle从GitHub检索C2服务器信息 ·疑似Lazarus恶意MacOS程序被发现 ·Kimsuky组织使用恶意扩展程序窃取用户邮件数据 ·疑似Konni针对俄罗斯的攻击活动 ·Lazarus以虚假Salesforce更新作为",
1.0.0,actor--applejeus,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:f772a8fc7c95ef9d3d430d547982ff3cda26ca22d9afaa8ddac451befa63870e,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--applejeus--d13cc73cd3f9745f,actor_profile/evidence/applejeus.csv,"{""row"": 76}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 12} Citrine Sleet or retribution. Russia Aqua Blizzard E Midnight Blizzard E Seashell Blizzard Dd D Ei E I R Secret Blizzard E China Flax Typhoon Dt E Granite Typhoon Dt E Nylon Typhoon E Raspberry Typhoon EDt North Korea Citrine Sleet C Dt Jade Sleet C Dt Moonstone Sleet E R Sapphire Sleet C Dt Iran Cotton Sandstorm Dd Dt D Ei E I R Mint Sandstorm Ei E R Influence Operations Information campaigns or groups employing communications",
1.0.0,actor--applejeus,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:18b34f15c6d270c5652f4e6fd9ea7a8468a49a18f94049d53dbbe079aed51ed4,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--applejeus--d13cc73cd3f9745f,actor_profile/evidence/applejeus.csv,"{""row"": 77}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 18} Citrine Sleet alone. 5 These stolen funds reportedly finance over half of North Korea’s nuclear and missile programs.6 Since 2023, Microsoft has identified three major N orth Korean threat groups—Jade Sleet, Sapphire Sleet, and Citrine Sleet—that have been particularly active in targeting cryptocurrency organizations. Moreover, North Korea may also be getting into the ransomware game. Moonstone Sleet, a new North Korean actor id",
1.0.0,actor--applejeus,artifact--sha256:ba630f121100fa58dfa33f498e719bfe14d2d4e5caa864362dca9cdf6e768d7b,observation--sha256:23e7e0a12b62b735218bdff8d5e447a17dcb71ea5ebf760baa22fa62b6259324,file-name,2025-Blockchain-Security-and-AML-Annual-Report.pdf,2025-Blockchain-Security-and-AML-Annual-Report.pdf,candidate,,unknown,unknown,not-stated,,source--applejeus--d13cc73cd3f9745f,actor_profile/evidence/applejeus.csv,"{""row"": 80}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025-Blockchain-Security-and-AML-Annual-Report.pdf {""page"": 81} AppleJeus In addition, AppleJeus (also known as Citrine Sleet or Gleaming Pisces) has long been known for malicious crypto applications, fake wallets, and supply chain implantations. The theft of approximately $50 million from Radiant Capital is cons",
1.0.0,actor--applejeus,artifact--sha256:ba630f121100fa58dfa33f498e719bfe14d2d4e5caa864362dca9cdf6e768d7b,observation--sha256:3a1e325e5c32314648f5b232ace1973107ca2123dfa8ce9f4951a4a919074c51,file-name,2025-Blockchain-Security-and-AML-Annual-Report.pdf,2025-Blockchain-Security-and-AML-Annual-Report.pdf,candidate,,unknown,unknown,not-stated,,source--applejeus--d13cc73cd3f9745f,actor_profile/evidence/applejeus.csv,"{""row"": 81}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025-Blockchain-Security-and-AML-Annual-Report.pdf {""page"": 81} Citrine Sleet In addition, AppleJeus (also known as Citrine Sleet or Gleaming Pisces) has long been known for malicious crypto applications, fake wallets, and supply chain implantations. The theft of approximately $50 million from Radiant Capital is considered highly related to this",
1.0.0,actor--applejeus,artifact--sha256:ba630f121100fa58dfa33f498e719bfe14d2d4e5caa864362dca9cdf6e768d7b,observation--sha256:e85a5de8d60f75915f18f78c742c8bbcca208e30fca7cbd759ce5b4cdda33350,file-name,2025-Blockchain-Security-and-AML-Annual-Report.pdf,2025-Blockchain-Security-and-AML-Annual-Report.pdf,candidate,,unknown,unknown,not-stated,,source--applejeus--d13cc73cd3f9745f,actor_profile/evidence/applejeus.csv,"{""row"": 82}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025-Blockchain-Security-and-AML-Annual-Report.pdf {""page"": 81} Gleaming Pisces In addition, AppleJeus (also known as Citrine Sleet or Gleaming Pisces) has long been known for malicious crypto applications, fake wallets, and supply chain implantations. The theft of approximately $50 million from Radiant Capital is considered highly related to this type of attack ac",
1.0.0,actor--applejeus,artifact--sha256:650678ea7afd77e92e8d5418a498ef0f8d63e9fd71fac61443c265baaf83dd73,observation--sha256:149843e8f311f2e96420e2189217389e59aef536a078a627d77c7302bb01e7ed,file-name,360_APT_Annual_Research_Report_2022.pdf,360_APT_Annual_Research_Report_2022.pdf,candidate,,unknown,unknown,not-stated,,source--applejeus--d13cc73cd3f9745f,actor_profile/evidence/applejeus.csv,"{""row"": 59}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/360_APT_Annual_Research_Report_2022.pdf {""page"": 23} AppleJeus 年9月30日 ESET Lazarus组织利用亚马逊主题针对欧洲目标发起攻击活动[20] 2022年10月24日 ASEC Lazarus 组织利用 Dream Security 公司的 MagicLine4NX 产品及BYOVD手法发起攻击 [21] 2022年11月15日 卡巴斯基 Lazarus 组织利用恶意软件 DTrack 对欧洲和拉丁美洲发 起攻击[22] 2022年12月1日 volexity Lazarus 组织将 AppleJeus 恶意软件伪装成虚假加密货 币应用程序发起攻击 [23]",
1.0.0,actor--applejeus,artifact--sha256:650678ea7afd77e92e8d5418a498ef0f8d63e9fd71fac61443c265baaf83dd73,observation--sha256:5d292560957aca7aa42f3e7bd1b19bd7ba7b262049dce357da065e9d7205c25a,file-name,360_APT_Annual_Research_Report_2022.pdf,360_APT_Annual_Research_Report_2022.pdf,candidate,2022-12-01T00:00:00Z,day,known,same-record,,source--applejeus--d13cc73cd3f9745f,actor_profile/evidence/applejeus.csv,"{""row"": 60}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/360_APT_Annual_Research_Report_2022.pdf {""page"": 70} applejeus .https://asec.ahnlab.com/ko/40495/ 22.https://securelist.com/dtrack-targeting-europe-latin-america/107 798/ 23.https://www.volexity.com/blog/2022/12/01/buyer-beware-fake- cryptocurrency-applications-serving-as-front-for-applejeus-malware/ 24.https://www.welivesecurity.com/2022/04/12/industroyer2-industroyer- reloaded/ 25.https://mp.weixin.qq.com/s/l1XtkVeETM3y93YLTjrs5A 26.https://docs.google.com/spreadsheets/d/1lkNJ0uQw",
1.0.0,actor--applejeus,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:6d24abaed13877b29bbdbb2ce5e08c0a99953e3d601c85f02c8024c00f9fe1cd,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--applejeus--d13cc73cd3f9745f,actor_profile/evidence/applejeus.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 129} AppleJeus na, Ecuador, France, Germany, Guatemala, Hong Kong, India, Israel, Japan, Mexico, Philippines, Poland, South Korea, Taiwan, Thailand, UK, USA, Vietnam and worldwide (WannaCry). Tools used AuditCred, AlphaNC, Alreay, AppleJeus, Appleworm, BADCALL, Bankshot, BanSwift, Bitsran, Brambul, BravoNC, Castov, Contopee, DeltaNC, Destover, Dozer, DoublePulsar, Duuzer, ELECTRICFISH, EternalBlue, FallChill RAT, FASTCash, Fimlis, Gh0st RAT, HARDRAIN, H",
1.0.0,actor--applejeus,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:66da67f2bb4b4fd5004a43943962f8a051085a8a4f835363437b0331bb7f7299,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--applejeus--d13cc73cd3f9745f,actor_profile/evidence/applejeus.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 132} AppleJeus ertainment. Method: Spear-phishing with Destover-like implant. <https://securingtomorrow.mcafee.com/other-blogs/mcafee- labs/analyzing-operation-ghostsecret-attack-seeks-to-steal-data- worldwide/> Aug 2018 Operation “AppleJeus” Target: Cryptocurrency exchange. Method: Fake installer and macOS malware. <https://securelist.com/operation-applejeus/87553/> Oct 2018 Operation “Sharpshooter” Target: 87 organizations in many different sectors (",
