schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--apt-c-01,artifact--sha256:6ef1657b372fe0d095659e034f2694dfe4b221b630e2674b2f1ef004b5527cc4,observation--sha256:3ca0b38109e434d695fde8186eab1fba9dcdb3f26c60a7e0c0e98a6a0f6bd3b0,file-name,2021-360.pdf,2021-360.pdf,candidate,,unknown,unknown,not-stated,,source--apt-c-01--e7134b90ef5bd50d,actor_profile/evidence/apt-c-01.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Global APT Research Report for the first half of 2021-360.pdf {""page"": 15} APT-C-01 而 Darkhotel 、 芜琼洞和伪猎者攻击活动并未像毒云藤那样频 繁， 但攻击更具集中针对性。 芜琼洞和伪猎者这两个组织是我们今年首次发现， 基于相关技战术和武器资 源我们初步判定是源于朝鲜半岛地区。 Lazarus 组织上半年的攻击活动依然积极活跃， 尤其是利用社交媒体针对安全研究人员的攻击。 Kimsuky 、Scarcruft 上半年的攻击也非常活跃， 主要围绕朝韩关系、 新冠疫情、 核问题等针对政府、 媒 体等目标。 01.APT-C-01（毒云藤） 毒云藤组织今年上半年的攻击异常活跃， 较去年明显上升， 是针对我国攻击活动最为频繁的组织。 该组织 长期针对国内政府、 军工、 教育等领域的重要机构实施网络间谍攻击活动的东亚 APT团 伙 ，且 攻 击 活 动 范 围 基 本 仅 限 于 我 国 ，其 最 早 的 攻 击 活 动 可 以 追 溯 到2007年。 上半年的攻击活动中， 该",
1.0.0,actor--apt-c-01,artifact--sha256:c242637f7816d68dcac70162bd0a347c79811c9170143f46435b88e055259047,observation--sha256:991e4e76bb4040546f9ddcbc5695101be69122883be718e8dfe37b96a70fbf94,file-name,2022_APT_TRENDS_INSIGHT_REPORT.pdf,2022_APT_TRENDS_INSIGHT_REPORT.pdf,candidate,,unknown,unknown,not-stated,,source--apt-c-01--e7134b90ef5bd50d,actor_profile/evidence/apt-c-01.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022_APT_TRENDS_INSIGHT_REPORT.pdf {""page"": 21} APT-C-01 KONNI 是一类木马病毒，后被发现与东亚的 APT 组织存在一定的关系，此后被当作疑似具有东亚背景的 APT 组织的标识。 该组织同样利用疫情相关热点事件对亚洲多个国家进行鱼叉攻击。其外，还通过仿制 APP 针对移动平台用户开展攻击。 2022 年其攻击行动似乎并不是很活跃，主要针对目标为俄罗斯以及半岛地区相关国家，攻击方式没有多大变化，主要还 是通过鱼叉攻击对相关机构进行攻击。 KONNI 其在国内同时也被称为绿斑、穷奇、APT-C-01，该组织对我国国防、政府、科技、教育以及海事机构等重点单位和部门进 行了多年的网络间谍活动，其主要关注军工、中美关系、两岸关系和海洋相关领域。 毒云藤在初始攻击环节主要采用鱼叉式钓鱼邮件攻击，在进行攻击之前，其会对目标进行深入调研，开展信息搜集。通过 分析信息，仿冒国内最常使用的社交软件、邮箱系统（126、163 邮箱） 、政府机构网站、军工网站、高等院校等网站进行 大规模钓鱼，以此获取定向群体的精确情报。 毒",
1.0.0,actor--apt-c-01,artifact--sha256:1ba61da06af04cbd16a1250840809415b6dba022477958d443bf1c411adcd10b,observation--sha256:dce8aaff621705f102bcebaf0c5217cb5908c75100c844075bebdb616d71cdf2,file-name,6f8ad451646c9eda1f75c5d31f39f668.pdf,6f8ad451646c9eda1f75c5d31f39f668.pdf,candidate,2018-09-20T00:00:00Z,day,known,same-record,,source--apt-c-01--e7134b90ef5bd50d,actor_profile/evidence/apt-c-01.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 90, ""sheet"": ""China""} apt-c-01 PoisonVine Poison Ivy, ZxShell, Kanbox RAT, CVE-2012-0158, CVE-2014-6352, CVE-2017-8759 government agencies, military individuals, research institutes, maritime agencies https://ti.qianxin.com/blog/articles/analysis-of-apt-c-01/ https://ti.qianxin.com/uploads/2018/09/20/6f8ad451646c9eda1f75c5d31f39f668.pdf http://blogs.360.cn/post/APT_C_01_en.html https://www.netscout.com/sites/default/files/2019-02/SECR_001_EN-1901%20-%20NETS",
1.0.0,actor--apt-c-01,artifact--sha256:08d044dc1cf8f5cc69c9cf0b9d54992b422a9c6cb9a1c58e71fcea0bf6ceee75,observation--sha256:7e1cfed0a6e385ff08235311c4b83d9415d0cbdd4389317ff2e7f88d0f50eb82,file-name,Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,candidate,,unknown,unknown,not-stated,,source--apt-c-01--e7134b90ef5bd50d,actor_profile/evidence/apt-c-01.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf {""page"": 3} APT-C-01 ration with 360 Digital Security Group, have conducted a long-term investigation into the T-APTs. The joint-team has identified five hacker groups supported by the DPP authorities and commanded by the ICEFCOM, which are APT-C-01 (Poison Vine), APT-C-62 (Viola Tricolor), APT-C-64 (Anonymous 64), APT-C-65 (Neon Pothos), and APT-C-67 (Ursa). 1.1 APT-C-01 APT-C-01, also known as ",
1.0.0,actor--apt-c-01,artifact--sha256:08d044dc1cf8f5cc69c9cf0b9d54992b422a9c6cb9a1c58e71fcea0bf6ceee75,observation--sha256:7084610ac48f3692c8be41a44c1c0b2c62a762993733525e25e7a166eba8db88,file-name,Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,candidate,,unknown,unknown,not-stated,,source--apt-c-01--e7134b90ef5bd50d,actor_profile/evidence/apt-c-01.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf {""page"": 3} APT-C-01 ed five hacker groups supported by the DPP authorities and commanded by the ICEFCOM, which are APT-C-01 (Poison Vine), APT-C-62 (Viola Tricolor), APT-C-64 (Anonymous 64), APT-C-65 (Neon Pothos), and APT-C-67 (Ursa). 1.1 APT-C-01 APT-C-01, also known as "" Poison Vine "" and "" Green Spot "", targets key sectors of government and public services, defense and military industries, s",
1.0.0,actor--apt-c-01,artifact--sha256:08d044dc1cf8f5cc69c9cf0b9d54992b422a9c6cb9a1c58e71fcea0bf6ceee75,observation--sha256:1e703e74b6dcf234d391182a2a6e43c329860f69052e9ee6cf1a6b33239fd2d9,file-name,Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,candidate,,unknown,unknown,not-stated,,source--apt-c-01--e7134b90ef5bd50d,actor_profile/evidence/apt-c-01.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf {""page"": 3} APT-C-01 acker groups supported by the DPP authorities and commanded by the ICEFCOM, which are APT-C-01 (Poison Vine), APT-C-62 (Viola Tricolor), APT-C-64 (Anonymous 64), APT-C-65 (Neon Pothos), and APT-C-67 (Ursa). 1.1 APT-C-01 APT-C-01, also known as "" Poison Vine "" and "" Green Spot "", targets key sectors of government and public services, defense and military industries, scientific",
1.0.0,actor--apt-c-01,artifact--sha256:08d044dc1cf8f5cc69c9cf0b9d54992b422a9c6cb9a1c58e71fcea0bf6ceee75,observation--sha256:a7d94aaf0c2e17509abb30668af024098d6580601a1fbb9e354c56a0be15b0c6,file-name,Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,candidate,,unknown,unknown,not-stated,,source--apt-c-01--e7134b90ef5bd50d,actor_profile/evidence/apt-c-01.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf {""page"": 3} APT-C-01 , and APT-C-67 (Ursa). 1.1 APT-C-01 APT-C-01, also known as "" Poison Vine "" and "" Green Spot "", targets key sectors of government and public services, defense and military industries, scientific research, and education. APT-C-01 has close ties to the US Cyber Command and has long been involved in what the U.S. military calls "" Hunt Forward "" operations. It particularly focuse",
1.0.0,actor--apt-c-01,artifact--sha256:08d044dc1cf8f5cc69c9cf0b9d54992b422a9c6cb9a1c58e71fcea0bf6ceee75,observation--sha256:03d3aa46671ec8736449587abf2e8c7b2b2f194c8bcce8c345b747b4117c66bf,file-name,Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf,candidate,,unknown,unknown,not-stated,,source--apt-c-01--e7134b90ef5bd50d,actor_profile/evidence/apt-c-01.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/Investigation_report_on_Cyberattacks_launched_by_Taiwan_ICEFCOM_EN.pdf {""page"": 3} APT-C-01 hat the U.S. military calls "" Hunt Forward "" operations. It particularly focuses on the development of defense technology, China-US relations, cross-Strait relations, and maritime activities. As illustrated in Figure 1, APT-C-01 excels at using significant current political, economic, and social issues to create phishing websites or decoy documents. They usually using Phishin",
1.0.0,actor--apt-c-01,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:8c041ff2792709ef8d3c0652f8573f7dd8c2fda347e4a93897419a10c6c8fab0,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--apt-c-01--e7134b90ef5bd50d,actor_profile/evidence/apt-c-01.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 90, ""sheet"": ""China""} APT-C-01 APT-C-01 PoisonVine Poison Ivy, ZxShell, Kanbox RAT, CVE-2012-0158, CVE-2014-6352, CVE-2017-8759 government agencies, military individuals, research institutes, maritime agencies https://ti.qianxin.com/blog/articles/analysis-of-",
1.0.0,actor--apt-c-01,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:8965a9376f5a7e547d97748b80bb58684ec698896312b255bfb711fb8eeef949,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--apt-c-01--e7134b90ef5bd50d,actor_profile/evidence/apt-c-01.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 90, ""sheet"": ""China""} PoisonVine APT-C-01 PoisonVine Poison Ivy, ZxShell, Kanbox RAT, CVE-2012-0158, CVE-2014-6352, CVE-2017-8759 government agencies, military individuals, research institutes, maritime agencies https://ti.qianxin.com/blog/articles/analysis-of-apt-c-01/ h",
