value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles
cewalton.com,domain,,2024-10-23,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-sender
sellar.co.uk,domain,,2024-10-23,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-sender
swpartners.com.au,domain,,2024-10-23,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-sender
totalconstruction.com.au,domain,,2024-10-23,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-sender
townoflakelure.com,domain,,2024-10-23,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,phishing-sender
ap-northeast-1-aws.s3-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
ap-northeast-1-aws.ukrainesec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
ca-central-1.gov-ua.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
ca-central-1.ua-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
ca-west-1.aws-ukraine.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
ca-west-1.mfa-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
ca-west-1.ukrtelecom.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
central-2-aws.ua-mil.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
central-2-aws.ua-sec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
central-2-aws.ukrainesec.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
central-2-aws.ukrtelecom.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1-aws.amazonsolutions.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1-aws.dep-no.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1-aws.gov-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1-aws.gov-sk.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1-aws.gov-trust.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1-aws.mfa-gov.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1-aws.minbuza.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1-aws.mindef-nl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
eu-central-1-aws.msz-pl.cloud,domain,,2024-10,activity--apt29-rdp-phishing-2024,,infra--apt29-actor-controlled-rdp,rdp-endpoint
