schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--apt4,artifact--sha256:db57cba15e141e4b5a2954e109d8cfc62530b1cfa9524bb95d6649fa2d4e2a56,observation--sha256:e18b304bfda0f5335ff98df6b51faf756d7c3a3154c13d96f977064905f5c74e,file-name,2025_dia_statement_for_the_record.pdf,2025_dia_statement_for_the_record.pdf,candidate,,unknown,unknown,not-stated,,source--apt4--edadf29f86635a48,actor_profile/evidence/apt4.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/USA/2025/2025_dia_statement_for_the_record.pdf {""page"": 13} PLA Navy d an improving ability to conduct near-simultaneous, geographically dispersed exercises. In particular, China’s Joint Sword series of exercises showed that the PLA is advancing its capabilities to blockade Taiwan. The PLA Navy (PLAN) executed its first dual aircraft carrier exercise in the South China Sea (SCS) last year, demonstrating a growing ability and capacity to project power across the region. » ",
1.0.0,actor--apt4,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:5b2b1baffafce399663e23971fffca26825c0d1ae6b5c5ccd18e3473e22e4e6c,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--apt4--edadf29f86635a48,actor_profile/evidence/apt4.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Samurai Panda ............................................................ 195 Sandworm Team, Iron Viking, Voodoo Bear ............................................................................................................ 196 Samurai Panda, APT 4 ................................................................................................................................................ 197",
1.0.0,actor--apt4,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:50528b20ff4c41aabfbfccecf7c017c9b0ef9954a9eb0641c6d7f67df1ef2aed,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--apt4--edadf29f86635a48,actor_profile/evidence/apt4.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 10} Maverick Panda tive in researching APT groups and mentioned the following names in passing, in summary reports: Big Panda, Foxy Panda, Hammer Panda, Impersonating Panda, Judgement Panda, Karma Panda, Keyhole Panda, Kryptonite Panda, Maverick Panda, Nomad Panda, Poisonous Panda, Predator Panda, Toxic Panda, Union Panda, Wet Panda, Corsair Jackal and Ghost Jackal.",
1.0.0,actor--apt4,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:88a4c69051ae4af0545a36738355b97ab6674e98f82082209ecdc8706d2d11a3,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--apt4--edadf29f86635a48,actor_profile/evidence/apt4.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 11} PLA Navy Threat Group Cards: A Threat Actor Encyclopedia 11 Anchor Panda, APT 14 Names Anchor Panda (CrowdStrike) APT 14 (Mandiant) Aluminium (Microsoft) QAZTeam Country China Sponsor State-sponsored, PLA Navy Motivation Information theft and espionage Description (CrowdStrike) Anchor Panda is an adversary that CrowdStrike has tracked extensively over the last year targeting both civilian and military maritime operations",
1.0.0,actor--apt4,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:05f9fbe807441c865d9018c8c87dd79adba342b26d78bc67d084ad99a75ddd63,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--apt4--edadf29f86635a48,actor_profile/evidence/apt4.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 11} PLA Navy that CrowdStrike has tracked extensively over the last year targeting both civilian and military maritime operations in the green/brown water regions primarily in the area of operations of the South Sea Fleet of the PLA Navy. In addition to maritime operations in this region, Anchor Panda also heavily targeted western companies in the US, Germany, Sweden, the UK, and Australia, and other countries involved in maritime satellite systems,",
1.0.0,actor--apt4,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a49025e99e6abd83f44b970572659db72c34866d58d9b21ba5d6853243837ea8,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--apt4--edadf29f86635a48,actor_profile/evidence/apt4.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} APT 4 ............................................. 195 Sandworm Team, Iron Viking, Voodoo Bear ............................................................................................................ 196 Samurai Panda, APT 4 ................................................................................................................................................ 197",
1.0.0,actor--apt4,artifact--sha256:895bbc63402472bf18c1a90e0e926c6a15d6c760ce052426e35b3d53443dd048,observation--sha256:99aa66a2a5ec546f2eb525368ba8119baf9bf15bb4da84a3a586f68b8e22d287,file-name,Attribution.pdf,Attribution.pdf,candidate,,unknown,unknown,not-stated,,source--apt4--edadf29f86635a48,actor_profile/evidence/apt4.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT-hunting/Automating APT Campaign and Group Attribution.pdf {""page"": 14} apt4 [15] Rufus Brown, Van Ta, Douglas Bienstock, Geoff Ackerman, and John Wolfram. 2022. Does This Look Infected? A Summary of APT41 Targeting U.S. State Governments. (Mar. 8, 2022). https://www.mandiant.com/resources/blog/apt4 1-us-state-governments. [16] Aylin Caliskan-Islam, Richard Harang, Andrew Liu, Arvind Narayanan, Clare Voss, Fabian Yamaguchi, and Rachel Greenstadt. 2015. De-anonymizing Pro- grammers via Code St",
1.0.0,actor--apt4,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:cf34b7125cce001bb0e182a240352a0538f55badeb1824cb96a62c01968999e5,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--apt4--edadf29f86635a48,actor_profile/evidence/apt4.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 11} PLA Navy Threat Group Cards: A Threat Actor Encyclopedia 11 Anchor Panda, APT 14 Names Anchor Panda (CrowdStrike) APT 14 (Mandiant) Aluminium (Microsoft) QAZTeam Country China Sponsor State-sponsored, PLA Navy Motivation Information theft and espionage Description (CrowdStrike) Anchor Panda is an adversary that CrowdStrike has tracked extensively over the last year targeting both civilian and military maritime operations",
1.0.0,actor--apt4,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:73866503261c83511ab7a2b668352202b71085a61fccb314fa40e7c738aae00b,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--apt4--edadf29f86635a48,actor_profile/evidence/apt4.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 11} PLA Navy that CrowdStrike has tracked extensively over the last year targeting both civilian and military maritime operations in the green/brown water regions primarily in the area of operations of the South Sea Fleet of the PLA Navy. In addition to maritime operations in this region, Anchor Panda also heavily targeted western companies in the US, Germany, Sweden, the UK, and Australia, and other countries involved in maritime satellite systems,",
1.0.0,actor--apt4,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:f67a49ccdcd095131452c4395e9c74a79812bf0a81a01cc6980df33b38e33da8,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--apt4--edadf29f86635a48,actor_profile/evidence/apt4.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 11} PLA Navy pace programs were also targeted. Observed Sectors: Aerospace, Defense, Engineering, Government, Industrial and NGOs in the green/brown water regions primarily in the area of operations of the South Sea Fleet of the PLA Navy. Countries: Australia, Germany, Sweden, UK, USA and others. Tool used Gh0st RAT, Poison Ivy and Torn RAT. Information <https://www.crowdstrike.com/blog/whois-anchor-panda/>",
