schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--backdoordiplomacy,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:c7b7439778ecf50f1d69bae2e3187364666b629f82cec302102cac464c209ca0,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--backdoordiplomacy--f46ed235e8b395b4,actor_profile/evidence/backdoordiplomacy.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 112, ""sheet"": ""China""} BackdoorDiplomacy BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using",
1.0.0,actor--backdoordiplomacy,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:5eb716602451c1057008771ddafd23e77e4982df8dcbc656604592263f770a66,file-name,Operations.xlsx,Operations.xlsx,candidate,2021-06-10T00:00:00Z,day,known,same-record,,source--backdoordiplomacy--f46ed235e8b395b4,actor_profile/evidence/backdoordiplomacy.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 112, ""sheet"": ""China""} BackdoorDiplomacy BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian https://www.welivesecurity.com/2021/06/10/backdoordiplomacy-upgrading-quarian-turian/ https://securelist.com/?s=CloudComputating ht",
1.0.0,actor--backdoordiplomacy,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:c0a7de18cb5cd6991ddba88fe210bb922df0543ff24e7b5e5cb87343af1bc6f8,file-name,Operations.xlsx,Operations.xlsx,candidate,2021-06-10T00:00:00Z,day,known,same-record,,source--backdoordiplomacy--f46ed235e8b395b4,actor_profile/evidence/backdoordiplomacy.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 112, ""sheet"": ""China""} BackdoorDiplomacy BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian https://www.welivesecurity.com/2021/06/10/backdoordiplomacy-upgrading-quarian-turian/ https://securelist.com/?s=CloudComputating https://www.fortinet.com/blog/threat-r",
1.0.0,actor--backdoordiplomacy,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:6e233dad2601a283e1de800ec68a198850f2dacc578d798ed7be786d2408e6e1,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--backdoordiplomacy--f46ed235e8b395b4,actor_profile/evidence/backdoordiplomacy.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 112, ""sheet"": ""China""} CloudComputating BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian",
1.0.0,actor--backdoordiplomacy,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:de53b573ec96c6e89d7118e60987f6d95c13ba3f2c05ed9656ffc27312ed218f,file-name,Operations.xlsx,Operations.xlsx,candidate,2021-06-10T00:00:00Z,day,known,same-record,,source--backdoordiplomacy--f46ed235e8b395b4,actor_profile/evidence/backdoordiplomacy.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 112, ""sheet"": ""China""} CloudComputating BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian https://www.welivesecurity.com/2021/06/10/backdoordiplomacy-u",
1.0.0,actor--backdoordiplomacy,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:8b200a89c310ceab54e2ab875d3395dc16c433ad2cb76ea8cae003a382bb58d8,file-name,Operations.xlsx,Operations.xlsx,candidate,2021-06-10T00:00:00Z,day,known,same-record,,source--backdoordiplomacy--f46ed235e8b395b4,actor_profile/evidence/backdoordiplomacy.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 112, ""sheet"": ""China""} CloudComputating BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian https://www.welivesecurity.com/2021/06/10/backdoordiplomacy-upgrading-quarian-turian/ https://securelist.com/?s",
1.0.0,actor--backdoordiplomacy,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:60851092dbe681a0a565659572bd7ede5bb1a666ceb702b6ba4133bd36d89801,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--backdoordiplomacy--f46ed235e8b395b4,actor_profile/evidence/backdoordiplomacy.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 112, ""sheet"": ""China""} Quarian BackdoorDiplomacy CloudComputating G0135 Quarian, Turian, Follina Kaspersky = CloudComputating = Chinese in 2Q2017 APT summary, CloudComputating = BackdoorDiplomacy in 3Q2021 APT summary, ESET CloudComputating = BackdoorDiplomacy using Turian & Quarian https://www.wel",
1.0.0,actor--backdoordiplomacy,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:27ef83ec31c6861d1d8ec7d8f558d0de84f4c8f566a47362e1892ece47c1686e,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--backdoordiplomacy--f46ed235e8b395b4,actor_profile/evidence/backdoordiplomacy.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 17, ""sheet"": ""China""} BackdoorDiplomacy Mirage Vixen Panda Ke3Chang Playful Dragon GREF APT15 Social Network Team Mirage Team, Lurid, Social Network Team, Royal APT, Metushy, Winnti Umbrella, NICKEL, Playful Taurus, BackdoorDiplomacy G0004 Mirage, (Nvidia program side-loading) PlugX, XSLCmd, TidePool, BS2005, RoyalCli, iWebRat, Russian-language decoy document, ENFAL, ENDCMD, QUICKHEAL, SOGU, CYFREE, MIRAGE, NOISEMAKER, QUICKHEAL, SWALLOWFLY, Turian",
1.0.0,actor--backdoordiplomacy,artifact--sha256:cb8c1c7572beff26a70e906d2487b3032aa0d7690eba7dec83f6912165dceb39,observation--sha256:7142a8b32212d993a61131d0e622f562256584f0e18cd56e47d13ef49b25a9c8,file-name,Power.pdf,Power.pdf,candidate,,unknown,unknown,not-stated,,source--backdoordiplomacy--f46ed235e8b395b4,actor_profile/evidence/backdoordiplomacy.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/Charting China’s Climb as a Leading Global Cyber Power.pdf {""page"": 10} BackdoorDiplomacy typesof projects,throughfinancial assistanceandother development activities. Of note, inSeptember 2023, weidentifiedthelikelycompromiseof abranchof thegovernment of AngolabythesuspectedChinesestate-sponsoredgroupTAG 68 BackdoorDiplomacy, CloudComputating, Playful Taurus). Thetargetingof Angola’sgovernment isinlinewithhistorical activityattributedtothisgroup, whichhasreportedlyf",
1.0.0,actor--backdoordiplomacy,artifact--sha256:cb8c1c7572beff26a70e906d2487b3032aa0d7690eba7dec83f6912165dceb39,observation--sha256:3d3c023f23a3c937eb8e948de65964e7a16c53d98c864e8cda65165f6166d76f,file-name,Power.pdf,Power.pdf,candidate,,unknown,unknown,not-stated,,source--backdoordiplomacy--f46ed235e8b395b4,actor_profile/evidence/backdoordiplomacy.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/Charting China’s Climb as a Leading Global Cyber Power.pdf {""page"": 10} CloudComputating hroughfinancial assistanceandother development activities. Of note, inSeptember 2023, weidentifiedthelikelycompromiseof abranchof thegovernment of AngolabythesuspectedChinesestate-sponsoredgroupTAG 68 BackdoorDiplomacy, CloudComputating, Playful Taurus). Thetargetingof Angola’sgovernment isinlinewithhistorical activityattributedtothisgroup, whichhasreportedlyfocusedongaininginfo",
