schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--badmagic,artifact--sha256:6d497b0831cd3a761b4fafbb637863617f82523ba3b6f1d73e8a668e5f7f6fff,observation--sha256:99f13e459fd3abd5ebfba18bc7c841e61631267abc25fbfe5f3b41e49180e08f,command,"methods for loading its DLL via rundll32.exe and for maintaining persistence, by","methods for loading its DLL via rundll32.exe and for maintaining persistence, by",candidate,,unknown,unknown,not-stated,,source--badmagic--6dd3eabe64ed95b7,BadMagic/Operation-Groundbait.pdf,"{""page"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"14Operation Groundbait: Analysis of a surveillance toolkit binary is executed as a standard executable (without the required arguments), it won’t infect the system. Thus, this simple check allowed the malware to bypass some sandboxes used for automatic sample processing. In the case where the infection starts from a .SCR file, the Trojan uses standard methods for loading its DLL via rundll32.exe and for maintaining persistence, by setting an entry with the name guidVGA or guidVSA in the registry",
1.0.0,actor--badmagic,artifact--sha256:a03e48ad8bf3b044ccfcf4f5041a152f16205d6c0b34ac2159e0a373c799eae0,observation--sha256:d86c7eacd959e5e64951a29f7992c6503b56b0f351d95bce39ca9e2a6086f038,file-name,14.08.exe,14.08.exe,candidate,,unknown,unknown,not-stated,,source--badmagic--6dd3eabe64ed95b7,BadMagic/Operation-Groundbait.pdf,"{""page"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"8Operation Groundbait: Analysis of a surveillance toolkit • Another decoy document even contains a map of the buffer zone established by the Minsk Protocol. Here is an example, which came from a dropper with the filename Отвод с 4 участками по сост на 14.08.exe (From the Russian: Pullout [of heavy weapons] on 14.08). The Campaign ID was BUR . (Figure 6) Important note: Most of the Prikormka binaries that seem to have been intended for use against separatists have Campaign IDs starting with D or ",
1.0.0,actor--badmagic,artifact--sha256:fcac296d73394025788271373942b636ff99105b2fdb3812a9e72435af5b5896,observation--sha256:972e4d165ccbc8bbd9ac4681616bb628d453d7b11c380564308e4178cae90930,file-name,2.pdf.scr,2.pdf.scr,candidate,,unknown,unknown,not-stated,,source--badmagic--6dd3eabe64ed95b7,BadMagic/Operation-Groundbait.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"10Operation Groundbait: Analysis of a surveillance toolkit Other campaigns Separatists in Donetsk and Luhansk and the other targeted high profile victims weren’t the only targets of Operation Groundbait. We have observed some other campaigns with interesting decoy documents, but we can't identify the intended victims solely on the basis of those documents. Here is an example of a decoy document which was possibly used against a re - ligious institute. The decoy document comes from dropper with f",
1.0.0,actor--badmagic,artifact--sha256:a878e54d41a43705883d4c3da2f01890c98bda4ef6054446155ee14e04abac73,observation--sha256:0d035b2010fd849e4b20abda13b8dc0f3cf8a2e39b466ed17a2ae203298706d3,file-name,Inv.exe,Inv.exe,candidate,,unknown,unknown,not-stated,,source--badmagic--6dd3eabe64ed95b7,BadMagic/Operation-Groundbait.pdf,"{""page"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"15Operation Groundbait: Analysis of a surveillance toolkit Some of the binaries of the dropper contain a PDB-path, which can reveal the directory structure used by attackers. Figure 19. Some of the PDB-paths discovered inside Prikormka droppers. The malware writers internally call this Trojan PZZ; we have other evidence that supports this theory. The Prikormka family is a typical cyber-espionage Trojan with a modular architecture. The functionality of the Trojan allows attackers to steal sensiti",
1.0.0,actor--badmagic,artifact--sha256:eda745b8529578930e778c83a851c66f4761bc16067bc3afa0b6b214c05908ea,observation--sha256:6a1636da50e7b461b8c3ca671c9f71fea84886aaabb7db4120ed1e4a03ac05b4,file-name,_svga.dll,_svga.dll,candidate,,unknown,unknown,not-stated,,source--badmagic--6dd3eabe64ed95b7,BadMagic/Operation-Groundbait.pdf,"{""page"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"15Operation Groundbait: Analysis of a surveillance toolkit Some of the binaries of the dropper contain a PDB-path, which can reveal the directory structure used by attackers. Figure 19. Some of the PDB-paths discovered inside Prikormka droppers. The malware writers internally call this Trojan PZZ; we have other evidence that supports this theory. The Prikormka family is a typical cyber-espionage Trojan with a modular architecture. The functionality of the Trojan allows attackers to steal sensiti",
1.0.0,actor--badmagic,artifact--sha256:62576f5bb78360798f635c8d63169443205cde9ac6fc53509681da3086d88e7b,observation--sha256:aa626d04c3e87a89d27de3d2463b86d1911147d4bbbbf87ab7fb5c0cb65b434d,file-name,_wshdmi.dll,_wshdmi.dll,candidate,,unknown,unknown,not-stated,,source--badmagic--6dd3eabe64ed95b7,BadMagic/Operation-Groundbait.pdf,"{""page"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"15Operation Groundbait: Analysis of a surveillance toolkit Some of the binaries of the dropper contain a PDB-path, which can reveal the directory structure used by attackers. Figure 19. Some of the PDB-paths discovered inside Prikormka droppers. The malware writers internally call this Trojan PZZ; we have other evidence that supports this theory. The Prikormka family is a typical cyber-espionage Trojan with a modular architecture. The functionality of the Trojan allows attackers to steal sensiti",
1.0.0,actor--badmagic,artifact--sha256:be33baf835de58b713d2cd18b82e15cca6bbe4967bc4001ed99999ce835074b3,observation--sha256:dce5d0d7406db4c3e803b447e757cd41caade82e077f5fd7481afa3889af0bdf,file-name,a.exe,a.exe,candidate,,unknown,unknown,not-stated,,source--badmagic--6dd3eabe64ed95b7,BadMagic/Operation-Groundbait.pdf,"{""page"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"11Operation Groundbait: Analysis of a surveillance toolkit Here is an example of a decoy document, dropped from a file with the name bitcoin.exe. The Campaign ID in this case was hmod . Figure 10. Decoy document that explains how to commit credit card fraud. The Russian text in the decoy document explains, step by step, how to buy bitcoins using stolen credit cards. The text abounds in slang words often used by Rus - sian-speaking carders. ¹ Another example is a mysterious decoy document extract",
1.0.0,actor--badmagic,artifact--sha256:be33baf835de58b713d2cd18b82e15cca6bbe4967bc4001ed99999ce835074b3,observation--sha256:6b872367a00cb630082ea104f6c3c70467fd76f353513b4b59eb89995550b5b3,file-name,a.exe,a.exe,candidate,,unknown,unknown,not-stated,,source--badmagic--6dd3eabe64ed95b7,BadMagic/Operation-Groundbait.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"3Operation Groundbait: Analysis of a surveillance toolkit The discovery In the third quarter of 2015 ESET identified a previously unknown modular mal - ware family, Prikormka. Further research revealed that this malware has been active since at least 2008 and the country where the malware has been seen most is Ukraine. The reason why it had gone unnoticed for so long is the relatively low infection ratio before 2015. The number of infections surged significantly in 2015. Figure 1. The number of ",
1.0.0,actor--badmagic,artifact--sha256:ac05a8d1a46a76660431be20f8097626913d46cd0af0759970133f25e59d9ccf,observation--sha256:3b64e53fdac3546d4d275aec100a3fe4bf3b2e2cb7074c1cd364a8b8f56ba9a1,file-name,atiml.dll,atiml.dll,candidate,,unknown,unknown,not-stated,,source--badmagic--6dd3eabe64ed95b7,BadMagic/Operation-Groundbait.pdf,"{""page"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"15Operation Groundbait: Analysis of a surveillance toolkit Some of the binaries of the dropper contain a PDB-path, which can reveal the directory structure used by attackers. Figure 19. Some of the PDB-paths discovered inside Prikormka droppers. The malware writers internally call this Trojan PZZ; we have other evidence that supports this theory. The Prikormka family is a typical cyber-espionage Trojan with a modular architecture. The functionality of the Trojan allows attackers to steal sensiti",
1.0.0,actor--badmagic,artifact--sha256:ac05a8d1a46a76660431be20f8097626913d46cd0af0759970133f25e59d9ccf,observation--sha256:1357be9bc84c1e0451b09e0cec8c2a1f6700754ba69c2f9520c479c9e2e3ec4d,file-name,atiml.dll,atiml.dll,candidate,,unknown,unknown,not-stated,,source--badmagic--6dd3eabe64ed95b7,BadMagic/Operation-Groundbait.pdf,"{""page"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"16Operation Groundbait: Analysis of a surveillance toolkit The following list contains filenames of modules that were referenced within mal - ware code, but we haven’t seen them during our research and thus were unable to assess their functionality: • miron.dll • meta.dll • hmuid.dll • sh.exe • mupdate.exe It is important to note that Prikormka components made in the ""old"" period (be - tween 2008 and 2010) used a completely different naming scheme. Here are some examples of such filenames: • smd",
