schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--barium,artifact--sha256:9365a40437187c9daa31e4d67d8a34da9788de1d185c0da155996c6f4ad8cea2,observation--sha256:3949069bca315054a14d6c8ed5944ec3bee3bdd5dc2162ae1820f224ac70cde1,file-name,A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf,A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf,candidate,,unknown,unknown,not-stated,,source--barium--1f400a9d3f2e41f0,actor_profile/evidence/barium.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf {""page"": 24} BARIUM ofundtheactivitiesofhacker communities. Duetotheinvolvement of patriotichackersinstate-sponsoredoperationsandtheir technical skills,theMSSlikelyturnedablindeyetotheircybercrimecampaigns. For instance, APT41 (aka. Winnti,BARIUM, EarthBaku)wasobservedconductingbothcyber espionageandlucrativeoperations,sometimesre-usingtoolsandmalwareof strategicoperationsfor financial",
1.0.0,actor--barium,artifact--sha256:3548e32c790eaa35fb535513c8830e60a9b95e78c8b9908b65f654704b6335f1,observation--sha256:5ed7556a1298bf32d5b72d3118ce4e1c25ad37f891b4deb271e92cc86e60a710,file-name,APT-blackberry-mobile-malware-report.pdf,APT-blackberry-mobile-malware-report.pdf,candidate,,unknown,unknown,not-stated,,source--barium--1f400a9d3f2e41f0,actor_profile/evidence/barium.csv,"{""row"": 34}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/APT-blackberry-mobile-malware-report.pdf {""page"": 10} WINNTI umbrella several Chinese language news sites in 2017 (Dalek, Alexander, & Brooks, 2017) . • “rooterit@outlook.com” more recently appeared in a larger report titled BURNING UMBRELLA (Hegel, 2018) providing a direct link to the WINNTI umbrella . As demonstrated above, many different security companies had a snapshot in time of one small piece of the WINNTI elephant, but none possessed a complete picture . Given this APT’s co",
1.0.0,actor--barium,artifact--sha256:3548e32c790eaa35fb535513c8830e60a9b95e78c8b9908b65f654704b6335f1,observation--sha256:0d65107006647dc356d3e883827d7084ee304ca54a041a9139a7bbeaef1b8b2a,file-name,APT-blackberry-mobile-malware-report.pdf,APT-blackberry-mobile-malware-report.pdf,candidate,,unknown,unknown,not-stated,,source--barium--1f400a9d3f2e41f0,actor_profile/evidence/barium.csv,"{""row"": 35}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/APT-blackberry-mobile-malware-report.pdf {""page"": 35} Winnti Umbrella n, J ., & Puglisi, A . B . (2013) . Chinese Industrial Espionage: Technology acquisition and military modernization. Abingdon: Routledge . Hegel, T . “ . (2018, May 3) . Burning Umbrella: An Intelligence Report on the Winnti Umbrella and Associated State-Sponsored Attackers. Retrieved from 401TRG: https://401trg .com/ burning-umbrella/ Kasza, A ., Cortes, J ., & Yates, M . (2017, November 20) . Operation Blockbust",
1.0.0,actor--barium,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:2aa07fadbca2dff10b7547b7e4bb2c6513482943855bde952a27324358ec655f,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--barium--1f400a9d3f2e41f0,actor_profile/evidence/barium.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 2} Barium ................................ 34 Bahamut........................................................................................................................................................................... 35 Barium .............................................................................................................................................................................. 37 Berserk Bear, Dragonfly 2.0 ............",
1.0.0,actor--barium,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:1a0d1a1c0364e64de101b02ba72fe357327ada37b0d7224f0b1ea966957ceedd,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--barium--1f400a9d3f2e41f0,actor_profile/evidence/barium.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 37} Barium Threat Group Cards: A Threat Actor Encyclopedia 37 Barium Names Barium (Microsoft) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Microsoft) Barium begins its attacks by cultivating relationships with potential victims—parti",
1.0.0,actor--barium,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:50d3cebf90a58b08ba8c94e0256626dbdd89d85f8a218b0c7aafdf5fbd909f60,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--barium--1f400a9d3f2e41f0,actor_profile/evidence/barium.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 37} Barium Threat Group Cards: A Threat Actor Encyclopedia 37 Barium Names Barium (Microsoft) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Microsoft) Barium begins its attacks by cultivating relationships with potential victims—particularly those",
1.0.0,actor--barium,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:c08c2d17e8d2dae491ebe88cceea275548659a89949e03c100e7ed88423c3864,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--barium--1f400a9d3f2e41f0,actor_profile/evidence/barium.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 37} Barium Threat Group Cards: A Threat Actor Encyclopedia 37 Barium Names Barium (Microsoft) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Microsoft) Barium begins its attacks by cultivating relationships with potential victims—particularly those working in Business Development or Human Resources—on various social media platforms. Once Barium has established rapport, the",
1.0.0,actor--barium,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:0d295bf7ed55ea2068488cefd89b42981e8a79fa6ad36d13e1ecc9711e2aa71d,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--barium--1f400a9d3f2e41f0,actor_profile/evidence/barium.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 37} Barium nage Description (Microsoft) Barium begins its attacks by cultivating relationships with potential victims—particularly those working in Business Development or Human Resources—on various social media platforms. Once Barium has established rapport, they spear-phish the victim using a variety of unsophisticated malware installation vectors, including malicious shortcut (.lnk) files with hidden payloads, compiled HTML help (.chm) files, o",
1.0.0,actor--barium,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:1149e30549b6d5ed096376c28708e909cfd7e47904eb5017b050a55c22bb036c,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--barium--1f400a9d3f2e41f0,actor_profile/evidence/barium.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 2} Barium .......................................................... 34 Bahamut ................................................................................................................................................ 35 Barium .................................................................................................................................................... 37 Berserk Bear, Dragonfly 2.0 ......................................",
1.0.0,actor--barium,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8b495e0a312fd339326caf08ce0884ed4a9d29625c10649a67f69619cd388aa5,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--barium--1f400a9d3f2e41f0,actor_profile/evidence/barium.csv,"{""row"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 37} Barium Threat Group Cards: A Threat Actor Encyclopedia 37 Barium Names Barium (Microsoft) Country China Sponsor State-sponsored Motivation Information theft and espionage Description (Microsoft) Barium begins its attacks by cultivating relationships with potential victims—parti",
