schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--blue-termite,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:9951b45cc8a4f1bde91e69eabd4b1cad17987b7c44d19ff27062825d797c7900,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--blue-termite--24484a03a7cb3be9,actor_profile/evidence/blue-termite.csv,"{""row"": 10}","[""activity--blue-termite""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 45} Blue Termite Threat Group Cards: A Threat Actor Encyclopedia 45 Blue Termite, Cloudy Omega Names Blue Termite (Kaspersky) Cloudy Omega (Symantec) Country China Motivation Information theft and espionage Description (Kaspersky) In October 2014, Kaspersky Lab started to research “Blue Termite”, an Advanced Persistent Threat",
1.0.0,actor--blue-termite,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:2f1565ef32c244d42333bee6c618cb1d63b3333a3dd774db8be979bad94c1509,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--blue-termite--24484a03a7cb3be9,actor_profile/evidence/blue-termite.csv,"{""row"": 11}","[""activity--blue-termite""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 45} Cloudy Omega Threat Group Cards: A Threat Actor Encyclopedia 45 Blue Termite, Cloudy Omega Names Blue Termite (Kaspersky) Cloudy Omega (Symantec) Country China Motivation Information theft and espionage Description (Kaspersky) In October 2014, Kaspersky Lab started to research “Blue Termite”, an Advance",
1.0.0,actor--blue-termite,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:3de657c0ce8aa1e6edde8966464141593f714b0b98cf9226712d39e9cf591ad0,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--blue-termite--24484a03a7cb3be9,actor_profile/evidence/blue-termite.csv,"{""row"": 7}","[""activity--blue-termite""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 2} Blue Termite ................................ 42 Blind Eagle ...................................................................................................................................................................... 44 Blue Termite, Cloudy Omega ....................................................................................................................................... 45 Bookworm ..................................................",
1.0.0,actor--blue-termite,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:1cb8fe83934cd8b25f256dc730037e5156ff7f5577468acfcaa39cd92af6a5c1,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--blue-termite--24484a03a7cb3be9,actor_profile/evidence/blue-termite.csv,"{""row"": 8}","[""activity--blue-termite""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 2} Cloudy Omega .................. 42 Blind Eagle ...................................................................................................................................................................... 44 Blue Termite, Cloudy Omega ....................................................................................................................................... 45 Bookworm ................................................................",
1.0.0,actor--blue-termite,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:543ee8b404d6f2dba10ebf13783e1f190198221671920dcbb526798bacd234e9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--blue-termite--24484a03a7cb3be9,actor_profile/evidence/blue-termite.csv,"{""row"": 9}","[""activity--blue-termite""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 45} Blue Termite Threat Group Cards: A Threat Actor Encyclopedia 45 Blue Termite, Cloudy Omega Names Blue Termite (Kaspersky) Cloudy Omega (Symantec) Country China Motivation Information theft and espionage Description (Kaspersky) In October 2014, Kaspersky Lab started to research “Blue Termite",
1.0.0,actor--blue-termite,artifact--sha256:1d77ac2f7cdfdec81e36127f931d9a386704d3adda612edec8779482c9ec30d3,observation--sha256:fd92cf2098ed16d183065c2ec5e852cc3c906bf237ff1ab5e58bfc182916194a,file-name,[Analysis_Report]Tick_Threat_Group.pdf,Analysis_Report]Tick_Threat_Group.pdf,candidate,,unknown,unknown,not-stated,,source--blue-termite--24484a03a7cb3be9,actor_profile/evidence/blue-termite.csv,"{""row"": 26}","[""activity--blue-termite""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"tick/[Analysis_Report]Tick_Threat_Group.pdf {""page"": 26} Emdivi Bisodown의 경우, 이 그룹 에서 사용하는 악성코드뿐만 아니라 다른 그룹의 악성코드로 알려진 Bisonal 계열의 악성코드를 다운로드 하기도 했다. Bisodown에 대한 자세한 정보는 2019년 1월 안랩이 공개한 ‘오퍼레이션 비터 비스킷 Operation Bitter Biscuit 2018년 활동)을 참고할 수 있다.1516 2018년 10월에는 시스코 탈로스에서 이 그룹과 Emdivi 악성코드를 사용하는 그룹과의 연관 가능성을 언급하기도 했다.17 안랩이 틱 그룹에 대해 추적 하던 중 이들이 사용한 다수의 악성코드 생성 및 콘트롤러와 각종 공격 도구 를 확인 할 수 있었다. 다만, 이들 악성코드 생성기가 언더그라운드 포럼에서 널리 이용되고 있는지에 대해 추가 확인이 필요할 것으로 보인다. 해당 악성코드 생성기가 널리 알려져 있다면, 이 그룹과 상관없는 사람 들",
1.0.0,actor--blue-termite,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:7e8afd861f1afcf166bd035e7359c6fa5151fbbb82012f3165b50830dfa82fcc,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--blue-termite--24484a03a7cb3be9,actor_profile/evidence/blue-termite.csv,"{""row"": 12}","[""activity--blue-termite""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 2} Blue Termite .......................................................... 42 Blind Eagle ............................................................................................................................................ 44 Blue Termite, Cloudy Omega ............................................................................................................. 45 Bookworm ..................................................................................",
1.0.0,actor--blue-termite,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:fafa780a6b073526f2a3b61a1c0745c3adb9f2435f5dd1ca154ea406bd0a30b9,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--blue-termite--24484a03a7cb3be9,actor_profile/evidence/blue-termite.csv,"{""row"": 13}","[""activity--blue-termite""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 2} Cloudy Omega ............................................ 42 Blind Eagle ............................................................................................................................................ 44 Blue Termite, Cloudy Omega ............................................................................................................. 45 Bookworm ................................................................................................",
1.0.0,actor--blue-termite,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:1ca93c6428dd38b414e2a20d23d600b5bfe584c33949ea29309161ff971a3e18,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--blue-termite--24484a03a7cb3be9,actor_profile/evidence/blue-termite.csv,"{""row"": 14}","[""activity--blue-termite""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 45} Blue Termite Threat Group Cards: A Threat Actor Encyclopedia 45 Blue Termite, Cloudy Omega Names Blue Termite (Kaspersky) Cloudy Omega (Symantec) Country China Motivation Information theft and espionage Description (Kaspersky) In October 2014, Kaspersky Lab started to research “Blue Termite",
1.0.0,actor--blue-termite,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:10f461350a5dd35c420742ce55dfbb05d54f9ce74d284b5530a5c430f78d55fc,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--blue-termite--24484a03a7cb3be9,actor_profile/evidence/blue-termite.csv,"{""row"": 15}","[""activity--blue-termite""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 45} Blue Termite Threat Group Cards: A Threat Actor Encyclopedia 45 Blue Termite, Cloudy Omega Names Blue Termite (Kaspersky) Cloudy Omega (Symantec) Country China Motivation Information theft and espionage Description (Kaspersky) In October 2014, Kaspersky Lab started to research “Blue Termite”, an Advanced Persistent Threat",
