schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--bluehornet,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:fe871eb59f166cd30f4f42fd0cf946a01a3440ff49336a442fecf5346931ac15,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--bluehornet--f404d9e150cbe908,actor_profile/evidence/bluehornet.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 42, ""sheet"": ""Unknown""} APT49 BlueHornet AgainstTheWest APT49 major organizations and APTs originating in Russia, China, Iran, North Korea https://cyberint.com/blog/research/bluehornet-one-apt-to-terrorize-them-all/",
1.0.0,actor--bluehornet,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:65e5dd7aa416653967399f93cd665f93d5967c2ae633c7c074422b599a027690,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--bluehornet--f404d9e150cbe908,actor_profile/evidence/bluehornet.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 42, ""sheet"": ""Unknown""} AgainstTheWest BlueHornet AgainstTheWest APT49 major organizations and APTs originating in Russia, China, Iran, North Korea https://cyberint.com/blog/research/bluehornet-one-apt-to-terrorize-them-all/",
1.0.0,actor--bluehornet,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:98ea18f772a0dc11f7d181713c2a3a57e8d7c0164711e2fac74275bfe511c6a3,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--bluehornet--f404d9e150cbe908,actor_profile/evidence/bluehornet.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 42, ""sheet"": ""Unknown""} BlueHornet BlueHornet AgainstTheWest APT49 major organizations and APTs originating in Russia, China, Iran, North Korea https://cyberint.com/blog/research/bluehornet-one-apt-to-terrorize-them-all/",
1.0.0,actor--bluehornet,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:41f6645b63e6ea3d1a6c9f490823758fd09f1a1a6d8e63e0e910de279960afa8,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--bluehornet--f404d9e150cbe908,actor_profile/evidence/bluehornet.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 42, ""sheet"": ""Unknown""} bluehornet BlueHornet AgainstTheWest APT49 major organizations and APTs originating in Russia, China, Iran, North Korea https://cyberint.com/blog/research/bluehornet-one-apt-to-terrorize-them-all/",
1.0.0,actor--bluehornet,artifact--sha256:3105f86654fa009126011a7bc80479b1a2e9a9a0c2bd041be10bf8986782f77d,observation--sha256:9a955a03dc833fafe0c3f522dd9c95292f06e9bd49987ca71158891df18aa23b,file-name,Report-qianxin.pdf,Report-qianxin.pdf,candidate,,unknown,unknown,not-stated,,source--bluehornet--f404d9e150cbe908,actor_profile/evidence/bluehornet.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Global APT Mid-2022 Report-qianxin.pdf {""page"": 12} AgainstTheWest 击对象经常是两国的重要网站。在战争爆发后一个多月 的时间里， 奇安信监测到乌克兰地区被 DDoS 攻击事件 40 余起， 俄罗斯地区被 DDoS 攻击事件超 100 起。 被 DDoS 攻击的重要网站涉及乌克兰的政府机构、 新闻媒体、 高等院校， 和俄罗斯的政府机构、 新闻媒体、 金融机构、社交平台。 同时，支持乌克兰的黑客团体选择俄罗斯重要机构发起网络入侵，并导致被攻击机构的数据泄露。攻击 团体以 Anonymous （匿名者） 、 AgainstTheWest (ATW)、 乌克兰网络部队为首， 目标包括俄罗斯政府机构、 国有银行、航天公司、原子能机构、天然气石油公司、国家通讯监管机构、军工企业、国家媒体机构等。 另一方面，乌克兰的关键基础设施也成为网络攻击的重点目标。3 月 28 日，乌克兰互联网服务提供商 Ukrtelecom 遭受网络攻击，导致乌克兰发生俄乌战争以来最严重的流量中断事件。4 月 12 日，乌克兰 政府表",
1.0.0,actor--bluehornet,artifact--sha256:3105f86654fa009126011a7bc80479b1a2e9a9a0c2bd041be10bf8986782f77d,observation--sha256:7f7d110eeeff17cb114281f9ccf7345ce3abbd88125e7ce4267dcd876058709b,file-name,Report-qianxin.pdf,Report-qianxin.pdf,candidate,,unknown,unknown,not-stated,,source--bluehornet--f404d9e150cbe908,actor_profile/evidence/bluehornet.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Global APT Mid-2022 Report-qianxin.pdf {""page"": 57} AgainstTheWest 邮箱：ti_support@qianxin.com 电话：95015 官网：https://ti.qianxin.com 50 附表 / 全球高级持续性威胁（APT）2022 年中报告 黑客组织 支持阵营 攻击方式 社交媒体 位置 起始日期 AgainstTheWest (ATW) 乌克兰 Data Breach/ 恶意软件 推特、电报 法国 2021 年 Belarusian Cyber Partisans 乌克兰 / 自由白俄罗斯 恶意软件 推特、电报 白俄罗斯 2020 年 Anonymous 乌克兰 DDoS 推特 全球 2022 年 2 月 GhostSec 乌克兰 Hack 推特、电报 不详 2022 年 2 月 乌克兰人自发的数 字军团 乌克兰 DDoS 电报 乌克兰 2022 年",
1.0.0,actor--bluehornet,artifact--sha256:01efc5a8dfec17f99a8ca3c29bb25ec5e4b64434cf13d60c337f4a8e594e23e5,observation--sha256:2afaa790a1f3eebd641b9ee76a223a948c77341dc41e1cc85eebe43d9474d29b,file-name,chinese_darkweb_analysis.pdf,chinese_darkweb_analysis.pdf,candidate,,unknown,unknown,not-stated,,source--bluehornet--f404d9e150cbe908,actor_profile/evidence/bluehornet.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/chinese_darkweb_analysis.pdf {""page"": 16} AgainstTheWest point of contact. The credibility of kelvinsecurity is high: the operator has authored 131 threads and 164 posts since registering their account in March 2022. The account has received 495 endorsements on the forum. “ AgainstTheWest” On September 5, 2022, BleepingComputer reported that TikTok denied recent claims that it was breached by the hacking group “ AgainstTheWest” , and claimed that the source code and",
1.0.0,actor--bluehornet,artifact--sha256:01efc5a8dfec17f99a8ca3c29bb25ec5e4b64434cf13d60c337f4a8e594e23e5,observation--sha256:dfa34ec2e255a58d0df8b8551de4f5b665b59f898d8fb12872b6f770165dca75,file-name,chinese_darkweb_analysis.pdf,chinese_darkweb_analysis.pdf,candidate,,unknown,unknown,not-stated,,source--bluehornet--f404d9e150cbe908,actor_profile/evidence/bluehornet.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/chinese_darkweb_analysis.pdf {""page"": 16} AgainstTheWest ount in March 2022. The account has received 495 endorsements on the forum. “ AgainstTheWest” On September 5, 2022, BleepingComputer reported that TikTok denied recent claims that it was breached by the hacking group “ AgainstTheWest” , and claimed that the source code and data exposed was “completely unrelated” to the company. On September 3, 2022, AgainstTheWest, who had a history of making outrageous hackin",
1.0.0,actor--bluehornet,artifact--sha256:01efc5a8dfec17f99a8ca3c29bb25ec5e4b64434cf13d60c337f4a8e594e23e5,observation--sha256:7b38231f13b1fa64c68d2bd68fe800c492506b4bf37ef7068e49cf74017e067d,file-name,chinese_darkweb_analysis.pdf,chinese_darkweb_analysis.pdf,candidate,,unknown,unknown,not-stated,,source--bluehornet--f404d9e150cbe908,actor_profile/evidence/bluehornet.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/chinese_darkweb_analysis.pdf {""page"": 16} AgainstTheWest eported that TikTok denied recent claims that it was breached by the hacking group “ AgainstTheWest” , and claimed that the source code and data exposed was “completely unrelated” to the company. On September 3, 2022, AgainstTheWest, who had a history of making outrageous hacking claims against targets in China, Russia, and other countries who were against Western interests, started a thread on BreachForums cl",
1.0.0,actor--bluehornet,artifact--sha256:01efc5a8dfec17f99a8ca3c29bb25ec5e4b64434cf13d60c337f4a8e594e23e5,observation--sha256:d3f5f43169c0e15c0c5828aa26bdcb31661b6b250bf63bbe875c63cf8c25a4be,file-name,chinese_darkweb_analysis.pdf,chinese_darkweb_analysis.pdf,candidate,,unknown,unknown,not-stated,,source--bluehornet--f404d9e150cbe908,actor_profile/evidence/bluehornet.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/chinese_darkweb_analysis.pdf {""page"": 16} AgainstTheWest shared on BreachForums was not part of its platform, and suggested that the leaked user data could be obtained through scraping. Meanwhile, WeChat had not issued a response to the hacking claim. On September 6, 2022, AgainstTheWest was banned from BreachForums by pompompurin, the forum’s administrator, for failure to properly investigate the breach. “Minori” On January 5, 2022, Minori, a member of the now-defu",
