schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--carberb,artifact--sha256:8da36e1a7111df1b6e76b2bbb64b6c5134f14365ee9a9cb642d544cee946bb23,observation--sha256:5cc3a40e54073cf9ff5903fecb714d83e97324ef004ec4190275caacd3624388,command,"APT28/history-report-pdf/APT28-Center-of-Storm-2017.pdf {""page"": 12} Carberp ng script to deploy zero-days and other tools more selectively, decreasing the chance that researchers and others will gain access to the group’s tools. • Increasing reliance on public code depositories , such as Carberp, PowerShell Empire, P.A.S. webshell, Metasploit modules, and others in a likely effort to accelerate their development cycle and provide plausible deniability. • Obtaining credentials through fabricated Google App a","APT28/history-report-pdf/APT28-Center-of-Storm-2017.pdf {""page"": 12} Carberp ng script to deploy zero-days and other tools more selectively, decreasing the chance that researchers and others will gain access to the group’s tools. • Increasing reliance on public code depositories , such as Carberp, PowerShell Empire, P.A.S. webshell, Metasploit modules, and others in a likely effort to accelerate their development cycle and provide plausible deniability. • Obtaining credentials through fabricated Google App a",candidate,,unknown,unknown,not-stated,,source--carberb--5501c7dbfeb0afae,actor_profile/evidence/carberb.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT28/history-report-pdf/APT28-Center-of-Storm-2017.pdf {""page"": 12} Carberp ng script to deploy zero-days and other tools more selectively, decreasing the chance that researchers and others will gain access to the group’s tools. • Increasing reliance on public code depositories , such as Carberp, PowerShell Empire, P.A.S. webshell, Metasploit modules, and others in a likely effort to accelerate their development cycle and provide plausible deniability. • Obtaining credentials through fabricated",
1.0.0,actor--carberb,artifact--sha256:2f3f820505d16c61aca0086980b5817beff7ac95a85191bb391c0865624a6278,observation--sha256:7fc06e30d32a6d6331d3e225e287f05c7bc5c81af24e5157eb4ac42eed2770a8,file-name,APT28-Center-of-Storm-2017.pdf,APT28-Center-of-Storm-2017.pdf,candidate,,unknown,unknown,not-stated,,source--carberb--5501c7dbfeb0afae,actor_profile/evidence/carberb.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT28/history-report-pdf/APT28-Center-of-Storm-2017.pdf {""page"": 12} Carberp ng script to deploy zero-days and other tools more selectively, decreasing the chance that researchers and others will gain access to the group’s tools. • Increasing reliance on public code depositories , such as Carberp, PowerShell Empire, P.A.S. webshell, Metasploit modules, and others in a likely effort to accelerate their development cycle and provide plausible deniability. • Obtaining credentials through fabricated",
1.0.0,actor--carberb,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:51f810bd41ce9b766f7ff2f97205d53d5ed7efbd0f5badfbf2d113e4296256af,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,2015-08-01T00:00:00Z,month,known,same-record,,source--carberb--5501c7dbfeb0afae,actor_profile/evidence/carberb.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 209} carberp rl electronicfrontierfoundation.org. <https://www.eff.org/deeplinks/2015/08/new-spear-phishing- campaign-pretends-be-eff> Sep 2015 Bootstrapped Firefox Add-on <https://labsblog.f-secure.com/2015/09/08/sofacy-recycles-carberp- and-metasploit-code/> Oct 2015 Attack on Bellingcat",
1.0.0,actor--carberb,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:8dce27ee3f3b59684e41e407a96aca3b07278d333b1d4021d3b42ce6e64950f4,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--carberb--5501c7dbfeb0afae,actor_profile/evidence/carberb.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 209} Carberp e implant. 2013 At some point during 2013, the Sofacy group expanded its arsenal and added more backdoors and tools, including CORESHELL, SPLM (aka Xagent, aka CHOPSTICK), JHUHUGIT (which is built with code from the Carberp sources), AZZY (aka ADVSTORESHELL, NETUI, EVILTOSS, and spans across four to five generations) and a few others. We’ve seen quite a few versions of these implants and they were relatively widespread for a time. Oct",
1.0.0,actor--carberb,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:a1f4681922ec96177468ae79ba1f68a7134473d1160f0ca7e411f53743f2da1b,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--carberb--5501c7dbfeb0afae,actor_profile/evidence/carberb.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 209} Carberp e implant. 2013 At some point during 2013, the Sofacy group expanded its arsenal and added more backdoors and tools, including CORESHELL, SPLM (aka Xagent, aka CHOPSTICK), JHUHUGIT (which is built with code from the Carberp sources), AZZY (aka ADVSTORESHELL, NETUI, EVILTOSS, and spans across four to five generations) and a few others. We’ve seen quite a few versions of these implants and they were relatively widespread for a time. Oct",
1.0.0,actor--carberb,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:42408dc34142fc619cb51827cdb8ed900da6138cd7cf10548ee6fcd7d8e1d0ee,file-name,Cards.pdf,Cards.pdf,candidate,2015-08-01T00:00:00Z,month,known,same-record,,source--carberb--5501c7dbfeb0afae,actor_profile/evidence/carberb.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 209} carberp rl electronicfrontierfoundation.org. <https://www.eff.org/deeplinks/2015/08/new-spear-phishing- campaign-pretends-be-eff> Sep 2015 Bootstrapped Firefox Add-on <https://labsblog.f-secure.com/2015/09/08/sofacy-recycles-carberp- and-metasploit-code/>",
1.0.0,actor--carberb,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:0760c93e80e0c9e71247a62ccd76ba25cf4206555b4dca30472dd06cca72c52e,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--carberb--5501c7dbfeb0afae,actor_profile/evidence/carberb.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 13, ""sheet"": ""Russia""} Carberb Carberb USA http://itlaw.wikia.com/wiki/Moonlight_Maze",
1.0.0,actor--carberb,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:67c7ea5fd6831836e8ede53254ad7ee2936c97796704cbff6c9ad10242109b45,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--carberb--5501c7dbfeb0afae,actor_profile/evidence/carberb.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 40, ""sheet"": ""China""} Carberp PassCV TG-3279 Winnti Umbrella, China Cracking Group, Sabre, Kitkiot, Conpee, Etso, Runxx, dnsenum, s (custom port scanner), rdp_crk, icmp_shell, Jynxkit, Gh0st RAT, NetCommander, Carberp RAT Gaming Companies Winnti Personas: Laurentiu Moon, Sincoder https://blog.cylance.com/digitally-signed-malware-targeting-gaming-companies https://401trg.com/burning-umbrella/ https://www.secureworks.com/research/threa",
1.0.0,actor--carberb,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:da14ae916d98ea3782d80c973701d86f6027b8e761e8c3a9387c2e15edcdd86e,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--carberb--5501c7dbfeb0afae,actor_profile/evidence/carberb.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 51, ""sheet"": ""_Malware""} Carberp SeduUploader JHUHUGIT JKEYSKW SofacyCarberp Sednit GAMEFISH A first-stage downloader based on the Carberp banking Trojan. It serves as reconnaissance malware and can download a secondary backdoor such as XAgent",
1.0.0,actor--carberb,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:0bab36b281cd52c8ab40fa5d411e923d936d906360436b54b7ce1972ab84a8f5,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--carberb--5501c7dbfeb0afae,actor_profile/evidence/carberb.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 297} Carberp e implant. 2013 At some point during 2013, the Sofacy group expanded its arsenal and added more backdoors and tools, including CORESHELL, SPLM (aka Xagent, aka CHOPSTICK), JHUHUGIT (which is built with code from the Carberp sources), AZZY (aka ADVSTORESHELL, NETUI, EVILTOSS, and spans across four to five generations) and a few others. We’ve seen quite a few versions of these implants and they were relatively widespread for a time. Oct",
