schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--cellebrite,artifact--sha256:82f383fe6d04ae4a7f773b75c1c225c9a72357272848d261b8fd367ef47d1b23,observation--sha256:a08d2a1927ac6712f377836d5efe023d6d74bf0b63790e215629d507ed130641,file-name,-paper-hay.pdf,-paper-hay.pdf,candidate,,unknown,unknown,not-stated,,source--cellebrite--90a6ad972f6fa9a4,Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 82}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"“A DIGITAL PRISON” SURVEILLANCE AND THE SUPPRESSION OF CIVIL SOCIETY IN SERBIA Amnesty International 82 this time period in 2022 – continue efforts to develop and offer zero-click spyware vectors targeting Android devices. 10.4 ANNEX 4: FORENSIC ANALYSIS OF CELLEBRITE USE AGAINST “SLAVIŠA” As Slaviša switched of his Android phone, and did not provide his pin code, it is likely the Serbian authorities needed to use a Before-First-Unlock (“BFU”) attack to bypass the device lock screen and gain acc",
1.0.0,actor--cellebrite,artifact--sha256:48ab38252b2c4dae9ef420adf3db10e6b71c1bbb3e569aeab350e8aaddd4fbfc,observation--sha256:eb256e0c181a42cec05ab2355677279bc6675764d24906c44429cd535f0d7848,file-name,-supported-projects-2010---2021---aug-2022.pdf,-supported-projects-2010---2021---aug-2022.pdf,candidate,,unknown,unknown,not-stated,,source--cellebrite--90a6ad972f6fa9a4,Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 46}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"“A DIGITAL PRISON” SURVEILLANCE AND THE SUPPRESSION OF CIVIL SOCIETY IN SERBIA Amnesty International 46 phone, allowing the authorities to extract all data from his device. A summary of Amnesty International’s forensic findings for “Ivan” are included in Annex 2. As was the case with all other activists and journalists whose devices were accessed through Cellebrite, Ivan was not formally charged with any crime. In this case, the authorities presented Ivan with a search warrant and also asked him",
1.0.0,actor--cellebrite,artifact--sha256:2b01b5b970b7a942502e0dcdab08c22b2de37d2e5fe4aa0b27823cb7f8801931,observation--sha256:b9c558e74c3a9df32841058219a88f0836a3b1d4de5853bf0ab9e618c89e5cf5,file-name,2020-12-18-FATF-re-UN-APML-Serb.pdf,2020-12-18-FATF-re-UN-APML-Serb.pdf,candidate,,unknown,unknown,invalid-calendar-date:same-record,,source--cellebrite--90a6ad972f6fa9a4,Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"“A DIGITAL PRISON” SURVEILLANCE AND THE SUPPRESSION OF CIVIL SOCIETY IN SERBIA Amnesty International 20 such control would be baseless and said that FATF measures should not be “exploited and used to oppress human rights under the pretext of counter-terrorism.”32 Three UN Special Rapporteurs issued a joint statement criticising Serbia for misusing the anti-money laundering and anti-terrorist financing mechanism to “intimidate civil society actors and human rights defenders, restricting their wor",
1.0.0,actor--cellebrite,artifact--sha256:7eabfa87a8019c1970741de11078c1f9a9902a87ed1f434188c4b3b2de8d9b68,observation--sha256:5d14149b881b197122d4ee231789254d8deade31784737604425c07adcb0300a,file-name,202024.pdf,202024.pdf,candidate,2020-06-01T00:00:00Z,month,known,same-record,,source--cellebrite--90a6ad972f6fa9a4,Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 58}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"“A DIGITAL PRISON” SURVEILLANCE AND THE SUPPRESSION OF CIVIL SOCIETY IN SERBIA Amnesty International 58 (Venice Commission) criticized the” excessive role” of the National Assembly in the selection and appointed of judges at all levels, noting that it posed a ”serious danger that political parties will control the judiciary.”188 In its 2024 report on Serbia, the European Commission noted that the pressure on prosecution and judiciary ”remains high”.189 The Commission further noted that ”Governme",
1.0.0,actor--cellebrite,artifact--sha256:7eabfa87a8019c1970741de11078c1f9a9902a87ed1f434188c4b3b2de8d9b68,observation--sha256:202fbc3755b9020bbbe420697c8d6e84efb4644b47f7e8af616c51150261270b,file-name,202024.pdf,202024.pdf,candidate,,unknown,unknown,not-stated,,source--cellebrite--90a6ad972f6fa9a4,Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 59}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"“A DIGITAL PRISON” SURVEILLANCE AND THE SUPPRESSION OF CIVIL SOCIETY IN SERBIA Amnesty International 59 surveillance, create an opaque situation that gives the BIA large room for maneuver without much accountability. The European Commission warned Serbia that the use of security services in interception of communications in criminal proceedings should be forbidden or limited to exceptional cases and the regulations and remits of the two services should be clearly separated.194 The murky regulati",
1.0.0,actor--cellebrite,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:e3d9f21316754607998b548bd0f4d84eea2e5fc92ef76f5c861317bce83a9629,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,invalid-calendar-date:same-record,,source--cellebrite--90a6ad972f6fa9a4,Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"“A DIGITAL PRISON” SURVEILLANCE AND THE SUPPRESSION OF CIVIL SOCIETY IN SERBIA Amnesty International 20 such control would be baseless and said that FATF measures should not be “exploited and used to oppress human rights under the pretext of counter-terrorism.”32 Three UN Special Rapporteurs issued a joint statement criticising Serbia for misusing the anti-money laundering and anti-terrorist financing mechanism to “intimidate civil society actors and human rights defenders, restricting their wor",
1.0.0,actor--cellebrite,artifact--sha256:c947a03200845f8d5f42603dce7b8915f266b03f2823389f7516c93878765008,observation--sha256:429ecf6bb9bbed14ba4f9b1de4009fddbfe7a4b65b8ec60b153ed6b475fe9214,file-name,AS-21-Bergin-Anti-Forensics-Reverse-Engineering-A-Leading-Phone-Forensic-Tool.pdf,AS-21-Bergin-Anti-Forensics-Reverse-Engineering-A-Leading-Phone-Forensic-Tool.pdf,candidate,,unknown,unknown,not-stated,,source--cellebrite--90a6ad972f6fa9a4,Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 78}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,“A DIGITAL PRISON” SURVEILLANCE AND THE SUPPRESSION OF CIVIL SOCIETY IN SERBIA Amnesty International 78 10.2 ANNEX 2: FORENSIC ANALYSIS OF USE OF CELLEBRITE ON THE PHONE OF “IVAN” Forensic records show that Ivan’s phone (Case 7) was connected via a USB cable to an external system around 17:55 local time. Android ADB developer mode was enabled on his device and a number of binaries were copied to the device using the ADB protocol. This is consistent with the Cellebrite workflow for unlocked devic,
1.0.0,actor--cellebrite,artifact--sha256:a61b283362c79afb7143f2323bcc50058b80d01fe00431f111066520800daaf8,observation--sha256:1a18d2d1aefd2942258a98d118daf4fdce0830f2f2297453f3de88e7184bd692,file-name,Exploit-archaeology-a-forensic-history-of-in-the-wild-NSO-Group-exploits.pdf,Exploit-archaeology-a-forensic-history-of-in-the-wild-NSO-Group-exploits.pdf,candidate,,unknown,unknown,not-stated,,source--cellebrite--90a6ad972f6fa9a4,Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 81}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"“A DIGITAL PRISON” SURVEILLANCE AND THE SUPPRESSION OF CIVIL SOCIETY IN SERBIA Amnesty International 81 On 22 July 2022, Ivan’s Xiaomi Android device registered a series of missed calls consisting of invalid, seemingly random, numbers not valid in Serbia (see Figure 18). After these calls, Ivan said that the battery on his device drained quickly. Figure 18: Suspicious missed calls from invalid phone numbers Amnesty International analysed Ivan’s device for any forensic traces of spyware targeting",
1.0.0,actor--cellebrite,artifact--sha256:4870142c0564caa9cb76859aee34d1d28e9d23881c4ca07fa4b1b0f200053e62,observation--sha256:0565a891252b256be0241dacb9a3959e9fb634b4f69f78bbc6afd5455d82e82a,file-name,GuidingPrinciplesBusinessHR_EN.pdf,GuidingPrinciplesBusinessHR_EN.pdf,candidate,,unknown,unknown,not-stated,,source--cellebrite--90a6ad972f6fa9a4,Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 64}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"“A DIGITAL PRISON” SURVEILLANCE AND THE SUPPRESSION OF CIVIL SOCIETY IN SERBIA Amnesty International 64 human rights record. In this sense, they both contributed to Serbia’s violations of people’s rights to privacy, freedom of expression, association and peaceful assembly through unlawful digital surveillance. In response to Amnesty International’s Right of Reply letter, the Norwegian Ministry of Foreign Affairs said it found it “ alarming that digital forensic tools, purchased through a project",
1.0.0,actor--cellebrite,artifact--sha256:dd5673779ed64020e871633cead612eaf5c044361477c693e78c5f0007fdbab5,observation--sha256:a8142bc3003de45802438cef124d8331c0046bf3e92318115f10c7afeebfdae2,file-name,Izvestaj-o-napadima-ENG-2022-V2.pdf,Izvestaj-o-napadima-ENG-2022-V2.pdf,candidate,2024-07-01T00:00:00Z,month,known,same-record,,source--cellebrite--90a6ad972f6fa9a4,Cellebrite/Amnesty-Cellebrite.pdf,"{""page"": 21}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"“A DIGITAL PRISON” SURVEILLANCE AND THE SUPPRESSION OF CIVIL SOCIETY IN SERBIA Amnesty International 21 officials, organized crime, and others are weaponizing legislation to silence investigative and critical voices.”43 The recurring pattern of publicly naming, smearing, and discrediting investigative or independent journalists by public officials, including members of the government, makes the journalists direct targets for online hate speech and harassment and foments distrust in and hostility",
