schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--cleaver,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:dfc7b20b1a2f79aa548e36d6b249ec589a33953928fbdfef5ef4d6615b54d3ef,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--cleaver--c5c950f878bd34ce,actor_profile/evidence/cleaver.csv,"{""row"": 10}","[""activity--cleaver""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 69} TG-2889 Threat Group Cards: A Threat Actor Encyclopedia 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is resp",
1.0.0,actor--cleaver,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:5e46c81677d6256171da18c9b121a7e76489f6ceab416018902e53761c2f8751,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--cleaver--c5c950f878bd34ce,actor_profile/evidence/cleaver.csv,"{""row"": 6}","[""activity--cleaver""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 3} TG-2889 ............. 67 Covellite ........................................................................................................................................................................... 68 Cutting Kitten, TG-2889 ................................................................................................................................................. 69 Dark Caracal ........................................................",
1.0.0,actor--cleaver,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:108957bffc68ef03f5a856ee94138d953966ae5c10e9ad63c584b807d1650a54,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--cleaver--c5c950f878bd34ce,actor_profile/evidence/cleaver.csv,"{""row"": 7}","[""activity--cleaver""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 69} Cleaver 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). Thi",
1.0.0,actor--cleaver,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:53d2d373f1682d2f4eeb1937e319b18537f776b785f9fb29fb5d9403d06319a1,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--cleaver--c5c950f878bd34ce,actor_profile/evidence/cleaver.csv,"{""row"": 8}","[""activity--cleaver""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 69} Cleaver e-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). This group evolved into Magic Hound, APT 35, Cobalt Gypsy, Rocket Kitten. Observed Sectors: Aerospace, Airlines, Airports, Ch",
1.0.0,actor--cleaver,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:f363f746fcc03d62b54594df04e0c7c07b2643d5aa78e9753986895e7adea51a,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--cleaver--c5c950f878bd34ce,actor_profile/evidence/cleaver.csv,"{""row"": 9}","[""activity--cleaver""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 69} TG-2889 Threat Group Cards: A Threat Actor Encyclopedia 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has b",
1.0.0,actor--cleaver,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:d97fcc59ac6224ed345a4bbad95021b46a6e80bb4b6d2b65fcf906d5403cfd9b,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--cleaver--c5c950f878bd34ce,actor_profile/evidence/cleaver.csv,"{""row"": 11}","[""activity--cleaver""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 3} TG-2889 ....................................... 67 Covellite ................................................................................................................................................. 68 Cutting Kitten, TG-2889 ....................................................................................................................... 69 Dark Caracal ..................................................................................",
1.0.0,actor--cleaver,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:edb1f979c55713f51312744b073ef28bafc7376c47429b993b48c885c218a338,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--cleaver--c5c950f878bd34ce,actor_profile/evidence/cleaver.csv,"{""row"": 12}","[""activity--cleaver""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 69} Cleaver pedia 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). Thi",
1.0.0,actor--cleaver,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:a7b1e125b26c3508bb91e11b227c2bb3280acc48dbe6f909a117f3783abc0059,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--cleaver--c5c950f878bd34ce,actor_profile/evidence/cleaver.csv,"{""row"": 13}","[""activity--cleaver""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 69} Cleaver e-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). This group evolved into Magic Hound, APT 35, Cobalt Gypsy, Rocket Kitten. Observed Sectors: Aerospace, Airlines, Airports, Ch",
1.0.0,actor--cleaver,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:c11737772c635cf067f540e4f954b7c4f762884f8fdad8505ab29b410718be0f,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--cleaver--c5c950f878bd34ce,actor_profile/evidence/cleaver.csv,"{""row"": 14}","[""activity--cleaver""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 69} TG-2889 Threat Group Cards: A Threat Actor Encyclopedia 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has b",
1.0.0,actor--cleaver,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:c1e2dcaca2ba6ae430e6d6e796942f0d53848f6626520ab07e070f3651541e60,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--cleaver--c5c950f878bd34ce,actor_profile/evidence/cleaver.csv,"{""row"": 15}","[""activity--cleaver""]",[],[],[],1,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 69} TG-2889 Threat Group Cards: A Threat Actor Encyclopedia 69 Cutting Kitten, TG-2889 Names Cutting Kitten (CrowdStrike) TG-2889 (SecureWorks) Country Iran Sponsor State-sponsored, security company ITSecTeam Motivation Information theft and espionage Description Cleaver is a threat group that has been attributed to Iranian actors and is resp",
