schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--clever-kitten,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:cd77955674e17d833b3301d84e58150fbd653974dfc1af59fda6f2b09926d365,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--clever-kitten--39a1f1ca8a4e696c,actor_profile/evidence/clever-kitten.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 3} Clever Kitten .......................................................... 54 Charming Kitten, Newscaster, NewsBeef .................................................................................................................. 56 Clever Kitten .................................................................................................................................................................... 58 Cobalt Group .............................",
1.0.0,actor--clever-kitten,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:7ed38b653096ffd1591004bb33f13e46559b9765bcb15a050e51c3d1bbf1aac8,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--clever-kitten--39a1f1ca8a4e696c,actor_profile/evidence/clever-kitten.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 58} Clever Kitten Threat Group Cards: A Threat Actor Encyclopedia 58 Clever Kitten Names Clever Kitten (CrowdStrike) Group 41 (Talos) Country Iran Motivation Information theft and espionage Description (CrowdStrike) Clever Kitten primarily targets global companies with strategic importance to co",
1.0.0,actor--clever-kitten,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:57ce57199a4d9de6a08555b23702fb9f2c0b285588e9c9eb209c44a70489f155,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--clever-kitten--39a1f1ca8a4e696c,actor_profile/evidence/clever-kitten.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 58} Clever Kitten Threat Group Cards: A Threat Actor Encyclopedia 58 Clever Kitten Names Clever Kitten (CrowdStrike) Group 41 (Talos) Country Iran Motivation Information theft and espionage Description (CrowdStrike) Clever Kitten primarily targets global companies with strategic importance to countries that are cont",
1.0.0,actor--clever-kitten,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:cc36a8628f7b96248205e36fb6eb6e5dd504da480c59ff12965fbe4f9cb699fa,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--clever-kitten--39a1f1ca8a4e696c,actor_profile/evidence/clever-kitten.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 58} Clever Kitten Threat Group Cards: A Threat Actor Encyclopedia 58 Clever Kitten Names Clever Kitten (CrowdStrike) Group 41 (Talos) Country Iran Motivation Information theft and espionage Description (CrowdStrike) Clever Kitten primarily targets global companies with strategic importance to countries that are contrary to Iranian interests. Clever Kitten actors have a strong affinity for PHP server-side attacks to make access; this is relati",
1.0.0,actor--clever-kitten,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:4f3818f8367bcea7bd14588ed8e3f630bd375ea58c67e95f4b96e2f889d264da,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--clever-kitten--39a1f1ca8a4e696c,actor_profile/evidence/clever-kitten.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 58} Group 41 Threat Group Cards: A Threat Actor Encyclopedia 58 Clever Kitten Names Clever Kitten (CrowdStrike) Group 41 (Talos) Country Iran Motivation Information theft and espionage Description (CrowdStrike) Clever Kitten primarily targets global companies with strategic importance to countries that are contrary to Iranian interest",
1.0.0,actor--clever-kitten,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:378d68cbad62deddbd07f4aa9b6e3d983118eeb77033e5b90a41fe65724c9cc9,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--clever-kitten--39a1f1ca8a4e696c,actor_profile/evidence/clever-kitten.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 58} Clever Kitten Threat Group Cards: A Threat Actor Encyclopedia 58 Clever Kitten Names Clever Kitten (CrowdStrike) Group 41 (Talos) Country Iran Motivation Information theft and espionage Description (CrowdStrike) Clever Kitten primarily targets global companies with strategic importance to co",
1.0.0,actor--clever-kitten,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8adb5dd8ae245c8604dfe44bec0c649132458d10579e728e227459b3315e7f33,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--clever-kitten--39a1f1ca8a4e696c,actor_profile/evidence/clever-kitten.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 58} Clever Kitten Threat Group Cards: A Threat Actor Encyclopedia 58 Clever Kitten Names Clever Kitten (CrowdStrike) Group 41 (Talos) Country Iran Motivation Information theft and espionage Description (CrowdStrike) Clever Kitten primarily targets global companies with strategic importance to countries that are cont",
1.0.0,actor--clever-kitten,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:54ccddb3116e8477e8fd9ca7c0a32cdc430237938ab2a98bbcc32bf3fe21e8a0,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--clever-kitten--39a1f1ca8a4e696c,actor_profile/evidence/clever-kitten.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 58} Clever Kitten Threat Group Cards: A Threat Actor Encyclopedia 58 Clever Kitten Names Clever Kitten (CrowdStrike) Group 41 (Talos) Country Iran Motivation Information theft and espionage Description (CrowdStrike) Clever Kitten primarily targets global companies with strategic importance to countries that are contrary to Iranian interests. Clever Kitten actors have a strong affinity for PHP server-side attacks to make access; this is relati",
1.0.0,actor--clever-kitten,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:9d0bf313eee2787e4cc1eab1e550a8449fe820f99ecb7e11e21d4f373de1190a,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--clever-kitten--39a1f1ca8a4e696c,actor_profile/evidence/clever-kitten.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 58} Group 41 Threat Group Cards: A Threat Actor Encyclopedia 58 Clever Kitten Names Clever Kitten (CrowdStrike) Group 41 (Talos) Country Iran Motivation Information theft and espionage Description (CrowdStrike) Clever Kitten primarily targets global companies with strategic importance to countries that are contrary to Iranian interest",
1.0.0,actor--clever-kitten,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:4ff02bc129b78be9895e5ca87c9d5248a9383422e873424c0766a807c13b5a51,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--clever-kitten--39a1f1ca8a4e696c,actor_profile/evidence/clever-kitten.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 3} Clever Kitten .................................................................................... 54 Charming Kitten, Newscaster, NewsBeef ........................................................................................ 56 Clever Kitten .......................................................................................................................................... 58 Cobalt Group ...............................................................",
