schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--cobalt-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:2cbba3c70e3578c8372e76c7502718e8ece264b2cc3940c60e93a0ca49438e61,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--cobalt-group--4e131ed745481ff3,actor_profile/evidence/cobalt-group.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 3} Cobalt Group ................................ 56 Clever Kitten .................................................................................................................................................................... 58 Cobalt Group ................................................................................................................................................................... 59 Cold River ..................................",
1.0.0,actor--cobalt-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:02455c009d0914c0051141a11dd61fddf1c3379c80e2ae75244395d0651186ab,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--cobalt-group--4e131ed745481ff3,actor_profile/evidence/cobalt-group.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 59} Cobalt Gang Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primarily targeted financial",
1.0.0,actor--cobalt-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:21f561cf2a4fbf7d0a363527151f89e4d9f5539c5735202b0b5f7724b4b6a149,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--cobalt-group--4e131ed745481ff3,actor_profile/evidence/cobalt-group.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 59} Cobalt Group Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat g",
1.0.0,actor--cobalt-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:e1040056ff45806041465f2fe428c2b3a5b9bef10871cc07856a4ffafcc2d01c,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--cobalt-group--4e131ed745481ff3,actor_profile/evidence/cobalt-group.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 59} Cobalt Group Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primar",
1.0.0,actor--cobalt-group,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a377672946b391cfb446ee33f44e708fe816421f3c4faa96089753ac0d5b52b5,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--cobalt-group--4e131ed745481ff3,actor_profile/evidence/cobalt-group.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 59} Cobalt Spider Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primarily targeted financial institutions. The group has",
1.0.0,actor--cobalt-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:1174b5336be9a81afb08ce2c8c6c9d3a68628d780d057e48c68c37053c278846,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--cobalt-group--4e131ed745481ff3,actor_profile/evidence/cobalt-group.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 3} Cobalt Group .......................................................... 56 Clever Kitten .......................................................................................................................................... 58 Cobalt Group ......................................................................................................................................... 59 Cold River ..................................................................",
1.0.0,actor--cobalt-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:3bd86aa10caca4eb76930f9996cb13819f81157f91e52e72467833f43f0b0c23,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--cobalt-group--4e131ed745481ff3,actor_profile/evidence/cobalt-group.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 59} Cobalt Gang Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primarily targeted financial",
1.0.0,actor--cobalt-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:d59c6ecb4e4dde17eaf11af2bfdb0f08c253ada42ab91b84a5ccf47d8f761955,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--cobalt-group--4e131ed745481ff3,actor_profile/evidence/cobalt-group.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 59} Cobalt Group Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat g",
1.0.0,actor--cobalt-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:6a349d694b08feec48063e81c5758612c2f1626f0afd9e7f37c5bd23cae9fb87,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--cobalt-group--4e131ed745481ff3,actor_profile/evidence/cobalt-group.csv,"{""row"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 59} Cobalt Group Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primar",
1.0.0,actor--cobalt-group,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:353f8e204fb1114e7be798bbe5e3b194eaa92e6041e16c153a207bb40c70bfd3,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--cobalt-group--4e131ed745481ff3,actor_profile/evidence/cobalt-group.csv,"{""row"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 59} Cobalt Spider Threat Group Cards: A Threat Actor Encyclopedia 59 Cobalt Group Names Cobalt Group (Group-IB) Cobalt Gang (Palo Alto) Cobalt Spider (CrowdStrike) Gold Kingswood (SecureWorks) Country Russia Motivation Financial gain Description Cobalt Group is a financially motivated threat group that has primarily targeted financial institutions. The group has",
