schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--cotton-sandstorm,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:d7360839666877fefa54814e17101f6167dccd0693e784a2a4f0221bab87c655,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--cotton-sandstorm--7702456ef5e112fd,actor_profile/evidence/cotton-sandstorm.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 18} Cotton Sandstorm e attacks that were designed to appear financially motivated were actually destructive attacks. 7 For example, a cyber-enabled influence operation run by an Islamic Revolutionary Guard Corps (IRGC) group we track as Cotton Sandstorm (also known as Emennet Pasargad) marketed stolen Israeli dating website data through two of its cyber personas between September 2023 and February 2024. The personas also offered to ",
1.0.0,actor--cotton-sandstorm,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:093ee152ae35c78c0dbf765ea9f68c3bd152d891317e8926f91ac1ad8fa9ee90,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--cotton-sandstorm--7702456ef5e112fd,actor_profile/evidence/cotton-sandstorm.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 20} Cotton Sandstorm r organizations on security Early insights: AI’s impact on cybersecurity Appendix The evolving cyber threat landscape Iranian threat actors also began impersonating partners after the war started. Microsoft assesses Cotton Sandstorm used the name and logo of Hamas’s military wing, the al-Qassam Brigades, to spread false messaging about the hostages in Gaza and send Israelis threatening messages. Another Telegram",
1.0.0,actor--cotton-sandstorm,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:dea582d967aac8487b957102d56c9d2529d98612fd6830daf53d78329e955215,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--cotton-sandstorm--7702456ef5e112fd,actor_profile/evidence/cotton-sandstorm.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 93} Cotton Sandstorm far employed AI more sparingly. Nevertheless, they are gradually increasing use of AI-generated or enhanced images and videos as key components of their messaging campaigns, particularly against Israel. We observed Cotton Sandstorm disrupting streaming television services in the UAE and elsewhere in December 2023 under the guise of a persona called “For Humanity.” For Humanity published videos on Telegram showin",
1.0.0,actor--cotton-sandstorm,artifact--sha256:7b0b8a8981ddbef89c78fbea8784708e87a37cfc41978375616eb1930a11615c,observation--sha256:443326bded98c1bf2ecff70e3edfe5e327ba364933061288e395228155628581,file-name,220126.pdf,220126.pdf,candidate,2023-02-03T00:00:00Z,day,known,same-record,,source--cotton-sandstorm--7702456ef5e112fd,actor_profile/evidence/cotton-sandstorm.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/CERTFR-2024-CTI-002.pdf {""page"": 42} neptunium ntre-eux-dans-charlie- hebdo-explique-riss_5577969.html [28] MICROSOFT Iran responsible for Charlie Hebdo attacks. 3 February 2023. https://blogs.microsoft.com/ on-the-issues/2023/02/03/ dtac-charlie-hebdo-hack-iran-neptunium/ [29] FBI Context and Recommendations to Protect Against Malicious Activity by Iranian Cyber Group Emennet Pasargad. 26 January 2022. https://www.ic3.gov/Media/ News/2022/220126.pdf [30] U.S. DEPARTMENT OF THE TREA",
1.0.0,actor--cotton-sandstorm,artifact--sha256:331ca420e6597d5b43816db299668d563e4146460a5868e35d738a18e911671f,observation--sha256:4837df0b1ce2bd76131a33b794969640b5fbc5ad1284ad0257c2ff0efe7dda61,file-name,CERTFR-2024-CTI-002.pdf,CERTFR-2024-CTI-002.pdf,candidate,2023-02-03T00:00:00Z,day,known,same-record,,source--cotton-sandstorm--7702456ef5e112fd,actor_profile/evidence/cotton-sandstorm.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/CERTFR-2024-CTI-002.pdf {""page"": 42} neptunium ntre-eux-dans-charlie- hebdo-explique-riss_5577969.html [28] MICROSOFT Iran responsible for Charlie Hebdo attacks. 3 February 2023. https://blogs.microsoft.com/ on-the-issues/2023/02/03/ dtac-charlie-hebdo-hack-iran-neptunium/ [29] FBI Context and Recommendations to Protect Against Malicious Activity by Iranian Cyber Group Emennet Pasargad. 26 January 2022. https://www.ic3.gov/Media/ News/2022/220126.pdf [30] U.S. DEPARTMENT OF THE TREA",
1.0.0,actor--cotton-sandstorm,artifact--sha256:aa43e8593eac70b019e4fdeac3e4f999c151684a3215d8ab73da785e49c973cf,observation--sha256:7f41731e98edbce1a091a1e4a7a4db586f32aa9319f28b40aba50c321427717e,file-name,CyberProof_2026_Global_Threat_Intelligence_Report.pdf,CyberProof_2026_Global_Threat_Intelligence_Report.pdf,candidate,,unknown,unknown,not-stated,,source--cotton-sandstorm--7702456ef5e112fd,actor_profile/evidence/cotton-sandstorm.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2026/CyberProof_2026_Global_Threat_Intelligence_Report.pdf {""page"": 6} Cotton Sandstorm es because it allowed unauthenticated remote code execution on SAP NetWeaver systems embedded in financial, human resources, supply chain, and operational processes. Multiple Chinese threat actors—including Chaya004 and Cotton Sandstorm—weaponized the flaw rapidly, deploying malware and web shells, harvesting credentials, and enumerating connected systems before pivoting deeper into core ERP environme",
1.0.0,actor--cotton-sandstorm,artifact--sha256:699abe1aab9999afc37dbbde1675e86aca7c2ba1a0b8293c58f302eba47af3e4,observation--sha256:08afac7dcbd71043325e72ef7774ab2dcb9b302e5cea667feab50979383a0c99,file-name,MDDR_FINAL_2023_1004.pdf,MDDR_FINAL_2023_1004.pdf,candidate,2021-07-09T00:00:00Z,day,known,same-record,,source--cotton-sandstorm--7702456ef5e112fd,actor_profile/evidence/cotton-sandstorm.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/MDDR_FINAL_2023_1004.pdf {""page"": 129} neptunium ue-targets/ 67 25 https://www.reuters.com/world/middle-east/ hackers-breach-iran-rail-network-disrupt- service-2021-07-09/ 68 26 https://blogs.microsoft.com/on-the- issues/2023/02/03/dtac-charlie-hebdo-hack- iran-neptunium/ 68 27 https://www.microsoft.com/en-us/security/ blog/2022/09/08/microsoft-investigates- iranian-attacks-against-the-albanian- government/ 69 28 We conducted an in-depth review of the reports, which did not reveal",
1.0.0,actor--cotton-sandstorm,artifact--sha256:699abe1aab9999afc37dbbde1675e86aca7c2ba1a0b8293c58f302eba47af3e4,observation--sha256:31b754a343eb3f3b07220a3e3d2d8920f29731fa3781127c86bcb3e2d603496e,file-name,MDDR_FINAL_2023_1004.pdf,MDDR_FINAL_2023_1004.pdf,candidate,,unknown,unknown,not-stated,,source--cotton-sandstorm--7702456ef5e112fd,actor_profile/evidence/cotton-sandstorm.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/MDDR_FINAL_2023_1004.pdf {""page"": 12} Cotton Sandstorm 558 Storm-0257 Storm-1099 Storm-1133 Financially motivated Strawberry Tempest Lebanon Plaid Rain Russia Seashell Blizzard Midnight Blizzard Star Blizzard Aqua Blizzard Cadet Blizzard Iran Mango Sandstorm Cotton Sandstorm Peach Sandstorm Mint Sandstorm Pumpkin Sandstorm China Volt Typhoon Raspberry Typhoon Flax Typhoon Circle Typhoon Mulberry Typhoon North K orea Jade Sleet Diamond Sleet Citrine Sleet Emerald Sleet Sapphir",
1.0.0,actor--cotton-sandstorm,artifact--sha256:699abe1aab9999afc37dbbde1675e86aca7c2ba1a0b8293c58f302eba47af3e4,observation--sha256:a1e905c40519ad910730fbc5348a9527a963ea9b010be205aa5b2c4bd7fcae82,file-name,MDDR_FINAL_2023_1004.pdf,MDDR_FINAL_2023_1004.pdf,candidate,,unknown,unknown,not-stated,,source--cotton-sandstorm--7702456ef5e112fd,actor_profile/evidence/cotton-sandstorm.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/MDDR_FINAL_2023_1004.pdf {""page"": 50} Cotton Sandstorm 49 Microsoft Digital Defense Report 2023 Navigating evolving threats continued Actors associated with the Iranian government have also conducted fewer destructive cyberattacks. Groups like Cotton Sandstorm adopted a new tactic of cyber-enabled influence operations ( see page 68), often using less time- and resource-intensive disruptive defacements and DDoS attacks. Since June 2022, we have observed an increased pace i",
1.0.0,actor--cotton-sandstorm,artifact--sha256:ddfbc395477e88208142a66df59f0af0d4d458b2ee6673d4e617e616c33c4466,observation--sha256:02f1f69cd6382efd7456e571f18072c13454c919e01c598787dc574e77810bb5,file-name,microsoft-threat-actor-list.xlsx,microsoft-threat-actor-list.xlsx,candidate,,unknown,unknown,not-stated,,source--cotton-sandstorm--7702456ef5e112fd,actor_profile/evidence/cotton-sandstorm.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"microsoft-threat-actor-list.xlsx {""row"": 27, ""sheet"": ""alphabetical""} Cotton Sandstorm NEPTUNIUM Cotton Sandstorm Iran Vice Leaker DEV-0950 Lace Tempest Financially motivated FIN11, TA505",
