schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--cyber-caliphate-army-cca,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:4373e2d2d45b4df51ce9a8bda50d95a2b51a8e1abf217ea906a4c0f11a95ffd8,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--cyber-caliphate-army-cca--9df1b3f8fc5a5005,actor_profile/evidence/cyber-caliphate-army-cca.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 7, ""sheet"": ""Middle East""} Cyber Caliphate Army (CCA) Cyber Caliphate Army (CCA) United Cyber Caliphate (UCC) Islamic State Hacking Division Syria/Irak (Islamic State) Pro-ISIS https://ent.siteintelgroup.com/index.php?option=com_customproperties&view=search&task=tag&bind_to_category=content:37&tagId",
1.0.0,actor--cyber-caliphate-army-cca,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:8669fad4378595490dba4553ff1a9fa777ce02f0336402274e1f5284a1f2a824,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--cyber-caliphate-army-cca--9df1b3f8fc5a5005,actor_profile/evidence/cyber-caliphate-army-cca.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 7, ""sheet"": ""Middle East""} Islamic State Hacking Division Cyber Caliphate Army (CCA) United Cyber Caliphate (UCC) Islamic State Hacking Division Syria/Irak (Islamic State) Pro-ISIS https://ent.siteintelgroup.com/index.php?option=com_customproperties&view=search&task=tag&bind_to_category=content:37&tagId=697 https://en.wikipedia.org/wiki/Islamic_State_Hacking_Div",
1.0.0,actor--cyber-caliphate-army-cca,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:a64033ff8c4a7cc9d4c4820c9b78de1652382da70791fdd5c4ed77728ee098b3,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--cyber-caliphate-army-cca--9df1b3f8fc5a5005,actor_profile/evidence/cyber-caliphate-army-cca.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 7, ""sheet"": ""Middle East""} United Cyber Caliphate (UCC) Cyber Caliphate Army (CCA) United Cyber Caliphate (UCC) Islamic State Hacking Division Syria/Irak (Islamic State) Pro-ISIS https://ent.siteintelgroup.com/index.php?option=com_customproperties&view=search&task=tag&bind_to_category=content:37&tagId=697 https://en.wikipedia.org",
1.0.0,actor--cyber-caliphate-army-cca,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:396404448d14ed0513c04ef02ac95e05c47f2d16f316ba4dc77b2eaabe757f1a,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--cyber-caliphate-army-cca--9df1b3f8fc5a5005,actor_profile/evidence/cyber-caliphate-army-cca.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 3} Cyber Caliphate Army (CCA) .................................. 95 Cyber Berkut ................................................................................................................................................................... 97 Cyber Caliphate Army (CCA), United Cyber Caliphate (UCC) ............................................................................... 98 Dark Caracal ..............................................................",
1.0.0,actor--cyber-caliphate-army-cca,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:6d6131b06ade4183bdf05eaab78299c8b3a5a4cfe8cce4f0840b334cd3a9395d,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--cyber-caliphate-army-cca--9df1b3f8fc5a5005,actor_profile/evidence/cyber-caliphate-army-cca.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 3} United Cyber Caliphate (UCC) ...... 95 Cyber Berkut ................................................................................................................................................................... 97 Cyber Caliphate Army (CCA), United Cyber Caliphate (UCC) ............................................................................... 98 Dark Caracal ........................................................................................",
1.0.0,actor--cyber-caliphate-army-cca,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:8c6a1d59a2c0131533440f2f3f0752860c583ac7c1e6425296ab26cb7221af39,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--cyber-caliphate-army-cca--9df1b3f8fc5a5005,actor_profile/evidence/cyber-caliphate-army-cca.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 98} Cyber Caliphate Army (CCA) Threat Group Cards: A Threat Actor Encyclopedia 98 Cyber Caliphate Army (CCA), United Cyber Caliphate (UCC) Names Cyber Caliphate Army (CCA) (self given) United Cyber Caliphate (UCC) (self given) Islamic State Hacking Division (self given) ATK 133 (Thales) TAG-CT6 Country [ISIS] Motivation",
1.0.0,actor--cyber-caliphate-army-cca,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:dfed264ed9d4244e34fc6a946c5d746173876ca9d1fc38dc322af113fe937313,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--cyber-caliphate-army-cca--9df1b3f8fc5a5005,actor_profile/evidence/cyber-caliphate-army-cca.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 98} Cyber Caliphate Army (CCA) Threat Group Cards: A Threat Actor Encyclopedia 98 Cyber Caliphate Army (CCA), United Cyber Caliphate (UCC) Names Cyber Caliphate Army (CCA) (self given) United Cyber Caliphate (UCC) (self given) Islamic State Hacking Division (self given) ATK 133 (Thales) TAG-CT6 Country [ISIS] Motivation Sabotage and destruction First seen 2014 Description (Wikiped",
1.0.0,actor--cyber-caliphate-army-cca,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:8aebf3fe98f82f2ef3d4e0d6a9e4b476177351cbd724cdb9886c666c31716229,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--cyber-caliphate-army-cca--9df1b3f8fc5a5005,actor_profile/evidence/cyber-caliphate-army-cca.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 98} United Cyber Caliphate (UCC) Threat Group Cards: A Threat Actor Encyclopedia 98 Cyber Caliphate Army (CCA), United Cyber Caliphate (UCC) Names Cyber Caliphate Army (CCA) (self given) United Cyber Caliphate (UCC) (self given) Islamic State Hacking Division (self given) ATK 133 (Thales) TAG-CT6 Country [ISIS] Motivation Sabotage and destruction Fir",
1.0.0,actor--cyber-caliphate-army-cca,artifact--sha256:9aff5a9631c8db365bbb59b56e6c38a9855b9ab8d7a5a1ab9a6fa2243ce680a1,observation--sha256:49007683b7151ba0ad6aafe9dfee2bfd555faa6caeb8223d3d504c6fa1c6b4e6,file-name,index.php,index.php,candidate,,unknown,unknown,not-stated,,source--cyber-caliphate-army-cca--9df1b3f8fc5a5005,actor_profile/evidence/cyber-caliphate-army-cca.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 7, ""sheet"": ""Middle East""} Cyber Caliphate Army (CCA) Cyber Caliphate Army (CCA) United Cyber Caliphate (UCC) Islamic State Hacking Division Syria/Irak (Islamic State) Pro-ISIS https://ent.siteintelgroup.com/index.php?option=com_customproperties&view=search&task=tag&bind_to_category=content:37&tagId",
1.0.0,actor--cyber-caliphate-army-cca,artifact--sha256:9aff5a9631c8db365bbb59b56e6c38a9855b9ab8d7a5a1ab9a6fa2243ce680a1,observation--sha256:f2121f8bdba22731886bdc1af651d8a834a0d0fb8a361f1bef9f8e55b63d89b9,file-name,index.php,index.php,candidate,,unknown,unknown,not-stated,,source--cyber-caliphate-army-cca--9df1b3f8fc5a5005,actor_profile/evidence/cyber-caliphate-army-cca.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 7, ""sheet"": ""Middle East""} Islamic State Hacking Division Cyber Caliphate Army (CCA) United Cyber Caliphate (UCC) Islamic State Hacking Division Syria/Irak (Islamic State) Pro-ISIS https://ent.siteintelgroup.com/index.php?option=com_customproperties&view=search&task=tag&bind_to_category=content:37&tagId=697 https://en.wikipedia.org/wiki/Islamic_State_Hacking_Div",
