schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--dark-caracal,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:fa3a1f5c1808b1ce0f07d605c882b7ebcd0a948f2468c2cc5ac13ddc62964d5d,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--dark-caracal--28c7b0229c63a66f,actor_profile/evidence/dark-caracal.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 3} Dark Caracal ......................................... 68 Cutting Kitten, TG-2889 ................................................................................................................................................. 69 Dark Caracal ................................................................................................................................................................... 71 DarkHotel ...................................",
1.0.0,actor--dark-caracal,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:77d060bf5110660b3bd264328994a7401f2eab5eb07069d7fd0e5b4e78e25e21,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--dark-caracal--28c7b0229c63a66f,actor_profile/evidence/dark-caracal.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 71} Dark Caracal Threat Group Cards: A Threat Actor Encyclopedia 71 Dark Caracal Names Dark Caracal (Lookout) Country Lebanon Sponsor State-sponsored, General Directorate of General Security (GDGS) Motivation Information theft and espionage Description (Lookout) Lookout and Electronic Frontier",
1.0.0,actor--dark-caracal,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:3d1e683df67dc0fcd2be7696d651ca23a7730d856bea6ac6a756485d1ac32c75,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--dark-caracal--28c7b0229c63a66f,actor_profile/evidence/dark-caracal.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 71} Dark Caracal Threat Group Cards: A Threat Actor Encyclopedia 71 Dark Caracal Names Dark Caracal (Lookout) Country Lebanon Sponsor State-sponsored, General Directorate of General Security (GDGS) Motivation Information theft and espionage Description (Lookout) Lookout and Electronic Frontier Foundation (EFF) hav",
1.0.0,actor--dark-caracal,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:61540d620da9bacd444ea9c83d58f19faa1376cac960ed8f6596b215325532b9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--dark-caracal--28c7b0229c63a66f,actor_profile/evidence/dark-caracal.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 71} Dark Caracal releasing more than 90 indicators of compromise (IOC) associated with Dark Caracal including 11 different Android malware IOCs; 26 desktop malware IOCs across Windows, Mac, and Linux; and 60 domain/IP based IOCs. Dark Caracal targets include individuals and entities that a nation state might typically attack, including governments, military targets, utilities, financial institutions, manufacturing companies, and defense contractors. We sp",
1.0.0,actor--dark-caracal,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:dab1bd423d0f8b3de65f8ec45662c51b10a32eb7156461dab302c4f6c5e94deb,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--dark-caracal--28c7b0229c63a66f,actor_profile/evidence/dark-caracal.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 71} Dark Caracal om/rs/051-ESQ-475/images/Lookout_Dark- Caracal_srr_20180118_us_v.1.0.pdf> MITRE ATT&CK <https://attack.mitre.org/groups/G0070/> 3 See ThaiCERT Whitepaper “Dark Caracal Campaign”",
1.0.0,actor--dark-caracal,artifact--sha256:7e2e27d07694c2d1d12a892f3dc714c4b2fc8bbfce2dd022af87d41cc11fefff,observation--sha256:dbe6198eaa6d4e5c870a9febd0a2f1dd5f6be3ed97e6aca6f089bb3b82b5b3b3,file-name,Caracal_srr_20180118_us_v.1.0.pdf,Caracal_srr_20180118_us_v.1.0.pdf,candidate,,unknown,unknown,not-stated,,source--dark-caracal--28c7b0229c63a66f,actor_profile/evidence/dark-caracal.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 71} Dark Caracal om/rs/051-ESQ-475/images/Lookout_Dark- Caracal_srr_20180118_us_v.1.0.pdf> MITRE ATT&CK <https://attack.mitre.org/groups/G0070/> 3 See ThaiCERT Whitepaper “Dark Caracal Campaign”",
1.0.0,actor--dark-caracal,artifact--sha256:7e2e27d07694c2d1d12a892f3dc714c4b2fc8bbfce2dd022af87d41cc11fefff,observation--sha256:04dbbd9d07b157ad8c2ec707b771494f5754d5046e6a630cbee2447a8ce0c415,file-name,Caracal_srr_20180118_us_v.1.0.pdf,Caracal_srr_20180118_us_v.1.0.pdf,candidate,,unknown,unknown,not-stated,,source--dark-caracal--28c7b0229c63a66f,actor_profile/evidence/dark-caracal.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 100} Dark Caracal om/rs/051-ESQ-475/images/Lookout_Dark- Caracal_srr_20180118_us_v.1.0.pdf> MITRE ATT&CK <https://attack.mitre.org/groups/G0070/> 3 See ThaiCERT Whitepaper “Dark Caracal Campaign”",
1.0.0,actor--dark-caracal,artifact--sha256:7e2e27d07694c2d1d12a892f3dc714c4b2fc8bbfce2dd022af87d41cc11fefff,observation--sha256:f37dc8bed023a221ca865967ef333d8be4d991cd5939f4084e01aec043b8a912,file-name,Caracal_srr_20180118_us_v.1.0.pdf,Caracal_srr_20180118_us_v.1.0.pdf,candidate,,unknown,unknown,not-stated,,source--dark-caracal--28c7b0229c63a66f,actor_profile/evidence/dark-caracal.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 71} Dark Caracal om/rs/051-ESQ-475/images/Lookout_Dark- Caracal_srr_20180118_us_v.1.0.pdf> MITRE ATT&CK <https://attack.mitre.org/groups/G0070/> 3 See ThaiCERT Whitepaper “Dark Caracal Campaign”",
1.0.0,actor--dark-caracal,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:29612fcb0fc01bacccaebc218ee9d8d4307dde03b0524d677ddca7db4e4cfbc9,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--dark-caracal--28c7b0229c63a66f,actor_profile/evidence/dark-caracal.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 71} Dark Caracal Threat Group Cards: A Threat Actor Encyclopedia 71 Dark Caracal Names Dark Caracal (Lookout) Country Lebanon Sponsor State-sponsored, General Directorate of General Security (GDGS) Motivation Information theft and espionage Description (Lookout) Lookout and Electronic Frontier Foundation (EFF) hav",
1.0.0,actor--dark-caracal,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:296c57d97a2365b9f1b747a82903d393bb1bbca5bbe6a2757c83e985db8484a0,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--dark-caracal--28c7b0229c63a66f,actor_profile/evidence/dark-caracal.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 71} Dark Caracal releasing more than 90 indicators of compromise (IOC) associated with Dark Caracal including 11 different Android malware IOCs; 26 desktop malware IOCs across Windows, Mac, and Linux; and 60 domain/IP based IOCs. Dark Caracal targets include individuals and entities that a nation state might typically attack, including governments, military targets, utilities, financial institutions, manufacturing companies, and defense contractors. We spe",
