value,type,artifact_type,context
built.3jkg8d.com,domain,,"付録IOCに列挙。個別の役割は原文で明示されていない。"
4a88efd00ba8b036ec4642fcecbe6df3,md5,,"付録IOCに列挙。対応する検体名は原文で明示されていない。"
60fd3dbfeb1a44ed2a8ad46113d58262,md5,,"付録IOCに列挙。対応する検体名は原文で明示されていない。"
d033868f7b4374936dc462b0b016abaf,md5,,"付録IOCに列挙。対応する検体名は原文で明示されていない。"
be6d6d01740d210cb16973d81a1fd782,md5,,"付録IOCに列挙。対応する検体名は原文で明示されていない。"
조선중앙텔레비죤 실시간방영프로그람 해설서.docx,,lure-name,"4月の初期段階で使用された朝鮮中央テレビ関連の囮文書名。"
kctv.msi,,file-name,"第1段階MSIのファイル名。自己削除コマンドの対象としても記載されている。"
iii/t.m,,uri-path,"本文の検体表に記載されたもう一方の第1段階検体の取得パス。"
tp.ps1,,file-name,"スケジュールタスクから実行され、次段階のiiiを取得して実行するPowerShellスクリプト名。"
iii,,file-name,"tp.ps1が取得する第2段階MSIのファイル名。同名で機能の異なる2種類が報告されている。"
VdPlayer.exe,,file-name,"第1段階MSIが設置する正規プレイヤー。悪性ファイル名として単独利用しない。"
C:\Programdata\vdplayer,,file-path,"正規のVdPlayer.exeと関連コンポーネントが設置されるディレクトリ。"
C:\ProgramData\0_a^r(9)+!+$&)#,,file-path,"第2段階の悪性DLLがパス名のhash照合で探索し、ChaCha20復号の鍵素材として使うファイル。"
\Microsoft\Windows\AppID\PolicyManager,,scheduled-task,"VBScriptが作成し、tp.ps1を実行して永続化と次段階取得を行うスケジュールタスク。"
\ScriptingSchedule,,scheduled-task,"VBScriptが作成する自己削除用スケジュールタスク。"
del kctv.msi;schtasks /delete /tn ScriptingSchedule /F,,command,"ScriptingScheduleが第1段階MSIと自身のタスクを削除するコマンド。"
jh421a,,sample-string,"本文の検体表でkctv.msiに対応するM_PATH値。URL構築に用いられる。"
gs9j,,sample-string,"本文の検体表でkctv.msiに対応するPP_TYPE値。URLパラメーター構築に用いられる。"
jqe,,sample-string,"本文の検体表でiii/t.mに対応するM_PATH値。"
6MVD,,sample-string,"本文の検体表でiii/t.mに対応するPP_TYPE値。"
