schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--donot-team,artifact--sha256:f122be53ee84fe3a031cf944c68356f61be5cb183a4df81bf10ee54156b9d56f,observation--sha256:c9e97f77b78614636227db1c6112a64d44c38edf157371db8972d86c5857d218,command,o schtasks /create /sc minute /mo 2 /f /tn file /tr C:\Windows\Tasks\pvr.js,o schtasks /create /sc minute /mo 2 /f /tn file /tr C:\Windows\Tasks\pvr.js,candidate,,unknown,unknown,not-stated,,source--donot-team--443d2784cfa32495,Donot/Donot Group & Innefu Labs.pdf,"{""page"": 36}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"HACKERS-FOR-HIRE IN WEST AFRICA ACTIVIST IN TOGO UNDER ATTACK WITH INDIAN-MADE SPYWARE Amnesty International 36 ANNEX 2: TECHNICAL APPENDIX TECHNICAL ANALYSIS OF MALICIOUS DOCUMENTS AND SOFTWARE ANALYSIS OF WORD DOCUMENTS LOADING WINDOWS SPYWARE The targeted Togolese HRD was sent an email with a Microsoft Word document (docx) attachment on the 21 January 2020. This document uses the remote template feature in Microsoft Word to download and execute a malicious RTF file. <?xml version=""1.0"" encodi",
1.0.0,actor--donot-team,artifact--sha256:bd901cb34db67bd654fb110acbbac92237b547e4c02ebf1a828e06b5abd6baa6,observation--sha256:571a203bade5e259f7d7ef591472a323368fea5137cbaf4e6e1e38607a588e6e,command,o schtasks /create /sc minute /mo 2 /f /tn vector /tr C:\Windows\Tasks\sce.js,o schtasks /create /sc minute /mo 2 /f /tn vector /tr C:\Windows\Tasks\sce.js,candidate,,unknown,unknown,not-stated,,source--donot-team--443d2784cfa32495,Donot/Donot Group & Innefu Labs.pdf,"{""page"": 36}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"HACKERS-FOR-HIRE IN WEST AFRICA ACTIVIST IN TOGO UNDER ATTACK WITH INDIAN-MADE SPYWARE Amnesty International 36 ANNEX 2: TECHNICAL APPENDIX TECHNICAL ANALYSIS OF MALICIOUS DOCUMENTS AND SOFTWARE ANALYSIS OF WORD DOCUMENTS LOADING WINDOWS SPYWARE The targeted Togolese HRD was sent an email with a Microsoft Word document (docx) attachment on the 21 January 2020. This document uses the remote template feature in Microsoft Word to download and execute a malicious RTF file. <?xml version=""1.0"" encodi",
1.0.0,actor--donot-team,artifact--sha256:fa8ff3b948ed965332d6f751d099f74cb0459657d61f62438acd46e233f5f987,observation--sha256:bf3b05bef19d791daeb6602c3eda44db54e256609d11dff692ccab439fa6aac9,command,"obl.run('rundll32 ""C:\\Windows\\Tasks\\commit.dll"", solar');","obl.run('rundll32 ""C:\\Windows\\Tasks\\commit.dll"", solar",candidate,,unknown,unknown,not-stated,,source--donot-team--443d2784cfa32495,Donot/Donot Group & Innefu Labs.pdf,"{""page"": 36}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"HACKERS-FOR-HIRE IN WEST AFRICA ACTIVIST IN TOGO UNDER ATTACK WITH INDIAN-MADE SPYWARE Amnesty International 36 ANNEX 2: TECHNICAL APPENDIX TECHNICAL ANALYSIS OF MALICIOUS DOCUMENTS AND SOFTWARE ANALYSIS OF WORD DOCUMENTS LOADING WINDOWS SPYWARE The targeted Togolese HRD was sent an email with a Microsoft Word document (docx) attachment on the 21 January 2020. This document uses the remote template feature in Microsoft Word to download and execute a malicious RTF file. <?xml version=""1.0"" encodi",
1.0.0,actor--donot-team,artifact--sha256:ceba98df09a80b47693f330816e0050484565e7d95a09849d9796bc503ccc736,observation--sha256:ffb70764f5b0f8533dec9e7fb15aa2de319712142ec04587baf5cffd25ce2297,file-name,CellTell.dll,CellTell.dll,candidate,2019-08-02T00:00:00Z,day,known,same-record,,source--donot-team--443d2784cfa32495,Donot/Donot Group & Innefu Labs.pdf,"{""page"": 37}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"HACKERS-FOR-HIRE IN WEST AFRICA ACTIVIST IN TOGO UNDER ATTACK WITH INDIAN-MADE SPYWARE Amnesty International 37 ANALYSIS OF WINDOWS MALWARE The Windows malware extracted by this RTF file is an obfuscated version of the YTY framework, a spyware analysed by NetScout40 in 2018 and attributed by NetScout and other organisations41 to the Donot Team group. YTY is a modular framework. The initial stage loaded by the RTF file was a downloader which then fetches other payloads. The attackers can approve ",
1.0.0,actor--donot-team,artifact--sha256:68fc42a46aaf6fdfa2d029e4c4616f5db0b1afa8b5d29ef716d8c4bc170fca4b,observation--sha256:ae910a59ec2c226c6a51411665e0007abeba42f623fb1216cfb71aae838662fc,file-name,Downloads.zip,Downloads.zip,candidate,,unknown,unknown,not-stated,,source--donot-team--443d2784cfa32495,Donot/Donot Group & Innefu Labs.pdf,"{""page"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"HACKERS-FOR-HIRE IN WEST AFRICA ACTIVIST IN TOGO UNDER ATTACK WITH INDIAN-MADE SPYWARE Amnesty International 16 spyware, the bulk.fun URL shortener, and now the Nextcloud, show that all three are strongly interlinked and controlled by the same attackers. Amnesty International researchers again downloaded all publicly accessible URLs hosted on the Nextcloud server which were exposed by the URL shortener. The attackers had used their own Nextcloud server to share documents, back up files and spywa",
1.0.0,actor--donot-team,artifact--sha256:8aa3556d685ef2e7025606ec9cfac985e54d8e8a6e34671adf494ffe3126c769,observation--sha256:4d279491844265d2a319409ebe510168744a923282898e2cd11ebefd325d1e89,file-name,HoldDown.dll,HoldDown.dll,candidate,2019-08-02T00:00:00Z,day,known,same-record,,source--donot-team--443d2784cfa32495,Donot/Donot Group & Innefu Labs.pdf,"{""page"": 37}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"HACKERS-FOR-HIRE IN WEST AFRICA ACTIVIST IN TOGO UNDER ATTACK WITH INDIAN-MADE SPYWARE Amnesty International 37 ANALYSIS OF WINDOWS MALWARE The Windows malware extracted by this RTF file is an obfuscated version of the YTY framework, a spyware analysed by NetScout40 in 2018 and attributed by NetScout and other organisations41 to the Donot Team group. YTY is a modular framework. The initial stage loaded by the RTF file was a downloader which then fetches other payloads. The attackers can approve ",
1.0.0,actor--donot-team,artifact--sha256:0241c4caa289bcbfee8063edbac30229165b70dbffc746580987b6ebd638cc5a,observation--sha256:85ee3d57d7a7ec5c05943bacd925d3821068613fa2310f7b6fcba1b5ab1c5b14,file-name,KashmirVoice.apk,KashmirVoice.apk,candidate,,unknown,unknown,not-stated,,source--donot-team--04e536ce7e704422,Donot/android-sample/README.MD,"{""line"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,KashmirVoice.apk (http://com.update.android .v2.test3),
1.0.0,actor--donot-team,artifact--sha256:c54b690ac710820471c5ed8d36e6a75412c1092353db0f1ad27591ce5a828fca,observation--sha256:2c7eac6a85be5c43bc7ff3b5f6a464e6b308505caa138b3bfd0701769e888208,file-name,Kashmir_Voice_v4.8.apk,Kashmir_Voice_v4.8.apk,candidate,,unknown,unknown,not-stated,,source--donot-team--443d2784cfa32495,Donot/Donot Group & Innefu Labs.pdf,"{""page"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"HACKERS-FOR-HIRE IN WEST AFRICA ACTIVIST IN TOGO UNDER ATTACK WITH INDIAN-MADE SPYWARE Amnesty International 14 Subject: important details hello , all the details of the file ..that is to be discussed. first save the file then you will see the contents (important) see attached file The email contained an attached malicious document which tries to exploit a previously fixed security flaw in Microsoft Office.7 Windows spyware would be installed if the document was opened in an older vulnerable ver",
1.0.0,actor--donot-team,artifact--sha256:7caec5cdf9c64f9ec46e8036f1d94e3948fcc75e905383710dc65b6e4bcc6109,observation--sha256:f1a775675871957a50439226671ec943b630d580bf5cc009899af0a4cd286253,file-name,MakeWill.dll,MakeWill.dll,candidate,2019-08-02T00:00:00Z,day,known,same-record,,source--donot-team--443d2784cfa32495,Donot/Donot Group & Innefu Labs.pdf,"{""page"": 37}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"HACKERS-FOR-HIRE IN WEST AFRICA ACTIVIST IN TOGO UNDER ATTACK WITH INDIAN-MADE SPYWARE Amnesty International 37 ANALYSIS OF WINDOWS MALWARE The Windows malware extracted by this RTF file is an obfuscated version of the YTY framework, a spyware analysed by NetScout40 in 2018 and attributed by NetScout and other organisations41 to the Donot Team group. YTY is a modular framework. The initial stage loaded by the RTF file was a downloader which then fetches other payloads. The attackers can approve ",
1.0.0,actor--donot-team,artifact--sha256:eb0f15017377363264e659bc4c0f706ed4fa8f8ea1b78559bedc59beb6c4c6d5,observation--sha256:44bbad0b2aade290bc0d166c3cf91e14b045ec7ce0b81fd090bb978c9bd7bbaf,file-name,MintCap.dll,MintCap.dll,candidate,2019-08-02T00:00:00Z,day,known,same-record,,source--donot-team--443d2784cfa32495,Donot/Donot Group & Innefu Labs.pdf,"{""page"": 37}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"HACKERS-FOR-HIRE IN WEST AFRICA ACTIVIST IN TOGO UNDER ATTACK WITH INDIAN-MADE SPYWARE Amnesty International 37 ANALYSIS OF WINDOWS MALWARE The Windows malware extracted by this RTF file is an obfuscated version of the YTY framework, a spyware analysed by NetScout40 in 2018 and attributed by NetScout and other organisations41 to the Donot Team group. YTY is a modular framework. The initial stage loaded by the RTF file was a downloader which then fetches other payloads. The attackers can approve ",
