schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--earth-lusca,artifact--sha256:086408f45c7255a1d233232cd6362fcc91a02764cf36dd89c17683b759a7e7ea,observation--sha256:6997287798d7275a86ca8e16889568d4dcc2c391fd735ce1c8e4bef0a01496ed,command,"summary/2023/RedReport2023-Picus.pdf {""page"": 35} Earth Lusca with other applications. The script opens a ""Run Command'' window. Next, it launches a cmd.exe and types a Powershell one-liner that opens a backdoor to a server controlled by the adversary. It is also known that the Earth Lusca threat group has used Python scripts for port scanning* and building reverse shells** [34]. 35 5. Defense Evasion The Small Sieve, a Python-based Telegram Bot API backdoor, uses a hex-byte shuffling algorithm to obfus","summary/2023/RedReport2023-Picus.pdf {""page"": 35} Earth Lusca with other applications. The script opens a ""Run Command'' window. Next, it launches a cmd.exe and types a Powershell one-liner that opens a backdoor to a server controlled by the adversary. It is also known that the Earth Lusca threat group has used Python scripts for port scanning* and building reverse shells** [34]. 35 5. Defense Evasion The Small Sieve, a Python-based Telegram Bot API backdoor, uses a hex-byte shuffling algorithm to obfus",candidate,,unknown,unknown,not-stated,,source--earth-lusca--98b7035a52ea7c69,actor_profile/evidence/earth-lusca.csv,"{""row"": 63}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/RedReport2023-Picus.pdf {""page"": 35} Earth Lusca with other applications. The script opens a ""Run Command'' window. Next, it launches a cmd.exe and types a Powershell one-liner that opens a backdoor to a server controlled by the adversary. It is also known that the Earth Lusca threat group has used Python scripts for port scanning* and building reverse shells** [34]. 35 5. Defense Evasion The Small Sieve, a Python-based Telegram Bot API backdoor, uses a hex-byte shuffling algorithm ",
1.0.0,actor--earth-lusca,artifact--sha256:035bc17989f22ef42535558ad36a729363f35a472be8b5f6407bf708236b2337,observation--sha256:1c64ccbbd4213908c3068cb0981272f77f4c9f29413a2723d7152acc40def46c,command,"summary/2024/2023 Network Vulnerability Situation Research Report.pdf {""page"": 50} Chromium “沙箱”内运行。 2023年8月16日Chrome发布新版本修复此漏洞，11月17日此漏洞技术细节与PoC在互联网上公开。由于 Chromium项目集成了libxslt用于处理XSL，但它允许在XSL document()方法加载的文档内包含外部实 体。未经身份验证的远程攻击者可以通过发送包含恶意XSL样式表和SVG图像的网站链接给受害者。受害 者点击链接后，浏览器加载并解析恶意内容，攻击者可以读取本地文件。此漏洞还影响微信等其他使用 Chromium内核的浏览器和应用程序。 漏洞编号 威胁类型 CVSS评分 漏洞威胁状态 细节是否 公开 PoC 状态 EXP 状态 在野 利用 CVE-2023-4357 信息泄露 5.4 是 已公开 未公开 未发现 全网漏洞态势研究报告全网漏洞态势研究报告 curl SOCKS5 堆溢出漏洞(CVE-2023-38545) 4.7 Google Chrome 信息泄露漏洞(CVE-2023-4357) 4.8 第四章 关键漏洞回顾/ 全网漏洞态势研","summary/2024/2023 Network Vulnerability Situation Research Report.pdf {""page"": 50} Chromium “沙箱”内运行。 2023年8月16日Chrome发布新版本修复此漏洞，11月17日此漏洞技术细节与PoC在互联网上公开。由于 Chromium项目集成了libxslt用于处理XSL，但它允许在XSL document()方法加载的文档内包含外部实 体。未经身份验证的远程攻击者可以通过发送包含恶意XSL样式表和SVG图像的网站链接给受害者。受害 者点击链接后，浏览器加载并解析恶意内容，攻击者可以读取本地文件。此漏洞还影响微信等其他使用 Chromium内核的浏览器和应用程序。 漏洞编号 威胁类型 CVSS评分 漏洞威胁状态 细节是否 公开 PoC 状态 EXP 状态 在野 利用 CVE-2023-4357 信息泄露 5.4 是 已公开 未公开 未发现 全网漏洞态势研究报告全网漏洞态势研究报告 curl SOCKS5 堆溢出漏洞(CVE-2023-38545) 4.7 Google Chrome 信息泄露漏洞(CVE-2023-4357) 4.8 第四章 关键漏洞回顾/ 全网漏洞态势研",candidate,,unknown,unknown,not-stated,,source--earth-lusca--98b7035a52ea7c69,actor_profile/evidence/earth-lusca.csv,"{""row"": 72}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/2023 Network Vulnerability Situation Research Report.pdf {""page"": 50} Chromium “沙箱”内运行。 2023年8月16日Chrome发布新版本修复此漏洞，11月17日此漏洞技术细节与PoC在互联网上公开。由于 Chromium项目集成了libxslt用于处理XSL，但它允许在XSL document()方法加载的文档内包含外部实 体。未经身份验证的远程攻击者可以通过发送包含恶意XSL样式表和SVG图像的网站链接给受害者。受害 者点击链接后，浏览器加载并解析恶意内容，攻击者可以读取本地文件。此漏洞还影响微信等其他使用 Chromium内核的浏览器和应用程序。 漏洞编号 威胁类型 CVSS评分 漏洞威胁状态 细节是否 公开 PoC 状态 EXP 状态 在野 利用 CVE-2023-4357 信息泄露 5.4 是 已公开 未公开 未发现 全网漏洞态势研究报告全网漏洞态势研究报告 curl SOCKS5 堆溢出漏洞(CVE-2023-38545) 4.7 Google Chrome 信息泄露漏",
1.0.0,actor--earth-lusca,artifact--sha256:ab08bab77302c00ff6a0fa6296e85639d10a90a55976f113d4536ef67df247bd,observation--sha256:5775cc1b1badd84b4c8e47da83f623dcc756b9e79b9bd5e62ad980941ee634b7,command,"summary/2025/elastic-global-threat-report-2025.pdf {""page"": 45} Chromium mpaigns leveraging the “ClickFix” technique to gain an initial foothold into the environment through the execution of malicious PowerShell commands. Once executed, EDDIESTEALER collects credential and session data from Chromium- based browsers, including stored Login credentials, autofill data, crypto wallets, messaging apps, password managers, FTP clients, session cookies, etc. The malware exfiltrates the stolen data using HTTP POST request","summary/2025/elastic-global-threat-report-2025.pdf {""page"": 45} Chromium mpaigns leveraging the “ClickFix” technique to gain an initial foothold into the environment through the execution of malicious PowerShell commands. Once executed, EDDIESTEALER collects credential and session data from Chromium- based browsers, including stored Login credentials, autofill data, crypto wallets, messaging apps, password managers, FTP clients, session cookies, etc. The malware exfiltrates the stolen data using HTTP POST request",candidate,,unknown,unknown,not-stated,,source--earth-lusca--98b7035a52ea7c69,actor_profile/evidence/earth-lusca.csv,"{""row"": 91}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/elastic-global-threat-report-2025.pdf {""page"": 45} Chromium mpaigns leveraging the “ClickFix” technique to gain an initial foothold into the environment through the execution of malicious PowerShell commands. Once executed, EDDIESTEALER collects credential and session data from Chromium- based browsers, including stored Login credentials, autofill data, crypto wallets, messaging apps, password managers, FTP clients, session cookies, etc. The malware exfiltrates the stolen data using",
1.0.0,actor--earth-lusca,artifact--sha256:7cf539803cc9b04db9d16f444acaf4cbf13a6982ded646797399f77c0dffb498,observation--sha256:760e8b14728306f2c6b8c1a6c0f3a1ec7a3301153b292ddd1052e69520ab4ceb,file-name,003.pdf,003.pdf,candidate,,unknown,unknown,not-stated,,source--earth-lusca--98b7035a52ea7c69,actor_profile/evidence/earth-lusca.csv,"{""row"": 95}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/UNREDACTEDMagazine/003.pdf {""page"": 27} Chromium and double-click the Authy shortcut • Mac (Terminal): open -a “Authy Desktop” --args --remote- debugging-port=5858 • Linux (Terminal): authy --remote- debugging-port=5858 Open the URL of http://localhost:5858 in any Chromium-based browser and conduct the following steps. • Click the Twilio Authy link. • In the Developer Tools top navigation bar to the right, click >> to expand the full list. • Click “Application”. • Under “Frames” expand",
1.0.0,actor--earth-lusca,artifact--sha256:7cf539803cc9b04db9d16f444acaf4cbf13a6982ded646797399f77c0dffb498,observation--sha256:60048a4592be25ffa84f3655187359be1d0d6f97ac0d30f18322d2860a053410,file-name,003.pdf,003.pdf,candidate,,unknown,unknown,not-stated,,source--earth-lusca--98b7035a52ea7c69,actor_profile/evidence/earth-lusca.csv,"{""row"": 96}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/UNREDACTEDMagazine/003.pdf {""page"": 31} Chromium widely known Google Voice number, I receive texts via email using Google Voice’s forward SMS messages to email functionality. If I ever have to send out an SMS message, I open Chromium web browser and log in to Google Voice, then SMS text from there. I never intend to use my Mint Mobile number for SMS. Now I have a phone that doesn’t constantly transmit my personal data while it sleeps. I notice",
1.0.0,actor--earth-lusca,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:b830f86af65832654f601e45febfd555797ec998c494f4cf4db145bb33da6fdb,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--earth-lusca--98b7035a52ea7c69,actor_profile/evidence/earth-lusca.csv,"{""row"": 88}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 18} Chromium in 2024, with Lumma Stealer leading this trend. Meduza Stealer has undergone substantial technical improvements, focusing on expanding its functionality and enhancing its stealth capabilities including support for Chromium-based web browsers, enabling the extraction of local storage data, support for new browser-based cryptocurrency wallets and Google Account tokens called “Google Token Recovery.” The crypting stub us",
1.0.0,actor--earth-lusca,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:d8709b1ce31b75389417be190b363a7c310c84200e0c5105b92b608328f4ccb1,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--earth-lusca--98b7035a52ea7c69,actor_profile/evidence/earth-lusca.csv,"{""row"": 56}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 22} CHROMIUM 21 | Cyber Threats 2022: A Year in Retrospect Red Scylla, a Winnti-linked global threat In August 2022, we assigned Red Scylla (a.k.a. CHROMIUM, ControlX, Earth Lusca, Aquatic Panda) to the activity we previously tracked as Red Dev 10,78 largely due to our identification of a distinctive set of infrastructure and techniques.79 Red Scylla was arguably the mos",
1.0.0,actor--earth-lusca,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:f0402703c8183b646401493c13409caca8ba46999b92e0647e7580f1779dfd0f,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--earth-lusca--98b7035a52ea7c69,actor_profile/evidence/earth-lusca.csv,"{""row"": 57}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 22} ControlX 21 | Cyber Threats 2022: A Year in Retrospect Red Scylla, a Winnti-linked global threat In August 2022, we assigned Red Scylla (a.k.a. CHROMIUM, ControlX, Earth Lusca, Aquatic Panda) to the activity we previously tracked as Red Dev 10,78 largely due to our identification of a distinctive set of infrastructure and techniques.79 Red Scylla was arguably the most prominen",
1.0.0,actor--earth-lusca,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:82da6b81e22911d50633bbbe13458a9051b9a3042eef3546ec5040ab19c3cea1,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--earth-lusca--98b7035a52ea7c69,actor_profile/evidence/earth-lusca.csv,"{""row"": 58}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 3} CHROMIUM abilities, including proxy networks (e.g. RedRelay) and shared malware, exploits and toolsets (e.g. ShadowPad and ScanBox). The most prominent and prolific threat actor using these capabilities was Red Scylla (a.k.a. CHROMIUM, ControlX, Earth Lusca, Aquatic Panda), which targeted at least 70 organisations around the world. Other threat actors flexed sophisticated operations impacting numerous regions, with some threat actors co",
1.0.0,actor--earth-lusca,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:795e63610ffac9ea0d9ef62090e45b9e37ce7ecc19401aeb9e7057d59c1c4484,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--earth-lusca--98b7035a52ea7c69,actor_profile/evidence/earth-lusca.csv,"{""row"": 59}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 3} ControlX including proxy networks (e.g. RedRelay) and shared malware, exploits and toolsets (e.g. ShadowPad and ScanBox). The most prominent and prolific threat actor using these capabilities was Red Scylla (a.k.a. CHROMIUM, ControlX, Earth Lusca, Aquatic Panda), which targeted at least 70 organisations around the world. Other threat actors flexed sophisticated operations impacting numerous regions, with some threat actors continuing th",
