schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--emennet-pasargad,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:578737cde961d3c59807bb69ce801a534405e3bef8cef06193ac68e112c507f0,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--emennet-pasargad--3f61906b1b46b016,actor_profile/evidence/emennet-pasargad.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 29} Emennet Pasargad her. We found parallels between these attacks and those in January 2022 against a US-based organisation for its connection to the MEK, 110 carried out by the IRGC- aligned threat actor we track as Yellow Dev 19 (a.k.a. Emennet Pasargad).111 In their attacks on Albania, Iran-based threat actors112 remained on Albanian government systems for as long as 14 months, indicative of extensive prepositioning before conducting d",
1.0.0,actor--emennet-pasargad,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:d55218442b1ffa8d661e328e26fd236f678a7ef26fec4b460fa5a49379b5692b,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--emennet-pasargad--3f61906b1b46b016,actor_profile/evidence/emennet-pasargad.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 29} Emennet Pasargad Operations Against the Government of Albania’, US Cybersecurity & Infrastr ucture Security Agency, https://www.cisa.gov/uscert/ncas/alerts/aa22 -264a (21st September 2022) 110 ‘PIN 20221020-001 - Iranian Cyber Group Emennet Pasargad Conducting Hack -and-Leak Operations Using False-Flag Persons’, US Federal Bureau of Investigation (FB I), https://www.ic3.gov/Media/News/2022/221020.pdf (20th October 2022) 111 ‘Cyber Thre",
1.0.0,actor--emennet-pasargad,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:b6d23108191a9e525e9f68442563842623a814a0337ab871511f2509b76f419e,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--emennet-pasargad--3f61906b1b46b016,actor_profile/evidence/emennet-pasargad.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 76} Emennet Pasargad t actor behind Emotet and tied to Blue Cronus. - pg. 47-48 • White Tur - pg. 35-36 • Yellow Dev 9 (a.k.a. Lyceum, Hexane) - pg. 28 (footnote) • Yellow Dev 13 (a.k.a. BOHRIUM, TA455) - pg. 34-35 • Yellow Dev 19 (a.k.a. Emennet Pasargad) - pg. 28 • Yellow Dev 24 (a.k.a. DEV-0270, Nemesis Kitten) - pg. 27 • Yellow Dev 31 (a.k.a. DEV -0842) - pg. 28 (footnote) • Yellow Dev 32 - pg. 30 • Yellow Garuda (a.k.a. Charming Kitte",
1.0.0,actor--emennet-pasargad,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:68c16d2509d7feab440127da216f6699af3a8079159d9bb614b05fec979086a9,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--emennet-pasargad--3f61906b1b46b016,actor_profile/evidence/emennet-pasargad.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 18} Emennet Pasargad ppear financially motivated were actually destructive attacks. 7 For example, a cyber-enabled influence operation run by an Islamic Revolutionary Guard Corps (IRGC) group we track as Cotton Sandstorm (also known as Emennet Pasargad) marketed stolen Israeli dating website data through two of its cyber personas between September 2023 and February 2024. The personas also offered to remove specific individual profil",
1.0.0,actor--emennet-pasargad,artifact--sha256:7b0b8a8981ddbef89c78fbea8784708e87a37cfc41978375616eb1930a11615c,observation--sha256:e274fd50a35d8fb1eb8f8c63b9ace6502250efd167c55d24bfd6cc52161fc5c8,file-name,220126.pdf,220126.pdf,candidate,2023-02-03T00:00:00Z,day,known,same-record,,source--emennet-pasargad--3f61906b1b46b016,actor_profile/evidence/emennet-pasargad.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/CERTFR-2024-CTI-002.pdf {""page"": 42} Emennet Pasargad acks. 3 February 2023. https://blogs.microsoft.com/ on-the-issues/2023/02/03/ dtac-charlie-hebdo-hack-iran-neptunium/ [29] FBI Context and Recommendations to Protect Against Malicious Activity by Iranian Cyber Group Emennet Pasargad. 26 January 2022. https://www.ic3.gov/Media/ News/2022/220126.pdf [30] U.S. DEPARTMENT OF THE TREASURY Treasury Sanctions Iran Cyber Actors for Attempting to Influence the 2020 U.S. Presidential Elect",
1.0.0,actor--emennet-pasargad,artifact--sha256:51da6a3b3afb3d7a17b9adfa453d66e69858118bf5d4f6e2e378f2ad1053b22a,observation--sha256:235755512a6239c8d8f2c8222caa4fa844c849905ecb31fd9f770f2fa1559fe0,file-name,221020.pdf,221020.pdf,candidate,,unknown,unknown,not-stated,,source--emennet-pasargad--3f61906b1b46b016,actor_profile/evidence/emennet-pasargad.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 29} Emennet Pasargad Operations Against the Government of Albania’, US Cybersecurity & Infrastr ucture Security Agency, https://www.cisa.gov/uscert/ncas/alerts/aa22 -264a (21st September 2022) 110 ‘PIN 20221020-001 - Iranian Cyber Group Emennet Pasargad Conducting Hack -and-Leak Operations Using False-Flag Persons’, US Federal Bureau of Investigation (FB I), https://www.ic3.gov/Media/News/2022/221020.pdf (20th October 2022) 111 ‘Cyber Thre",
1.0.0,actor--emennet-pasargad,artifact--sha256:f0d453ef5bb7e4cb652d3221a6551fbe3b91232a8e7ea0397815a3f82e70ad53,observation--sha256:a0a8f564bdc61ece4ea480573bf6cf81593643cf5c7169b6658dc1f93b602103,file-name,241030.pdf,241030.pdf,candidate,,unknown,unknown,not-stated,,source--emennet-pasargad--3f61906b1b46b016,actor_profile/evidence/emennet-pasargad.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/CERTFR-2025-CTI-004.pdf {""page"": 45} Emennet Pasargad es-et-paralympiques [05] FBI. New Tradecraft of Iranian Cyber Group Aria. 30 octobre 2024. https://www.ic3.gov/ CSA/2024/241030.pdf [06] IC3. New Tradecraft of Iranian Cyber Group Aria Sepehr Ayandehsazan aka Emennet Pasargad. 30 octobre 2024. https://www.ic3.gov/ CSA/2024/241030.pdf [07] CERT-FR. L'ANSSI publie un corpus de guides dédiés à la remédiation d'incidents cyber. 16 janvier 2024. https://cyber.gouv.fr/actualites/lanss",
1.0.0,actor--emennet-pasargad,artifact--sha256:331ca420e6597d5b43816db299668d563e4146460a5868e35d738a18e911671f,observation--sha256:fd8d25534cb945137f96c4d9eb61d49e666ff0e6c3bae431d617107d74366899,file-name,CERTFR-2024-CTI-002.pdf,CERTFR-2024-CTI-002.pdf,candidate,,unknown,unknown,not-stated,,source--emennet-pasargad--3f61906b1b46b016,actor_profile/evidence/emennet-pasargad.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/CERTFR-2024-CTI-002.pdf {""page"": 17} Emennet Pasargad res had already exposed Charlie Hebdo to cyberattack plots: in June 2021, the Lab Dookhtegan hacktivist group, which presents itself as dissident, revealed on its Telegram channel the existence of a plan devised by Emennet Pasargad in 2020 to destabilise the magazine [29]. Like the January 2023 incident, this project was likely aimed at retaliating against and intimidating Charlie Hebdo. → ONS C DESTABILISATION OPERATIONS C DESTA",
1.0.0,actor--emennet-pasargad,artifact--sha256:331ca420e6597d5b43816db299668d563e4146460a5868e35d738a18e911671f,observation--sha256:dfd2ffae9b564c5b163de8e609063a8ef5c5607ef7d7111cfcb6eff8709e6c4b,file-name,CERTFR-2024-CTI-002.pdf,CERTFR-2024-CTI-002.pdf,candidate,2023-02-03T00:00:00Z,day,known,same-record,,source--emennet-pasargad--3f61906b1b46b016,actor_profile/evidence/emennet-pasargad.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/CERTFR-2024-CTI-002.pdf {""page"": 42} Emennet Pasargad acks. 3 February 2023. https://blogs.microsoft.com/ on-the-issues/2023/02/03/ dtac-charlie-hebdo-hack-iran-neptunium/ [29] FBI Context and Recommendations to Protect Against Malicious Activity by Iranian Cyber Group Emennet Pasargad. 26 January 2022. https://www.ic3.gov/Media/ News/2022/220126.pdf [30] U.S. DEPARTMENT OF THE TREASURY Treasury Sanctions Iran Cyber Actors for Attempting to Influence the 2020 U.S. Presidential Elect",
1.0.0,actor--emennet-pasargad,artifact--sha256:4d976d31e88c300fc4afac9cafa08e8bdce78bcf9105edc6efb4400cabe2a722,observation--sha256:30ad56e53e4f270e7f77d553adffe8bdd3765d5f212c6cac47ea45cccba1fcd4,file-name,CERTFR-2025-CTI-004.pdf,CERTFR-2025-CTI-004.pdf,candidate,,unknown,unknown,not-stated,,source--emennet-pasargad--3f61906b1b46b016,actor_profile/evidence/emennet-pasargad.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/CERTFR-2025-CTI-004.pdf {""page"": 45} Emennet Pasargad es-et-paralympiques [05] FBI. New Tradecraft of Iranian Cyber Group Aria. 30 octobre 2024. https://www.ic3.gov/ CSA/2024/241030.pdf [06] IC3. New Tradecraft of Iranian Cyber Group Aria Sepehr Ayandehsazan aka Emennet Pasargad. 30 octobre 2024. https://www.ic3.gov/ CSA/2024/241030.pdf [07] CERT-FR. L'ANSSI publie un corpus de guides dédiés à la remédiation d'incidents cyber. 16 janvier 2024. https://cyber.gouv.fr/actualites/lanss",
