schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--equation-group,artifact--sha256:34c548ce3b67a5449d6e55612cd088d8829a487f345315c670270f33ce8cb92c,observation--sha256:3f9a34babfcdbd1076336e977c451552f0ff09c5874a241a06346c36e555dfe3,command,"3. The V2 server connects to the backdoor web service opened on the V1 server, and obtains PowerShell","3. The V2 server connects to the backdoor web service opened on the V1 server, and obtains PowerShell",candidate,,unknown,unknown,not-stated,,source--equation-group--f24ac6a0296c1df8,EquationGroup/The_Bvp47_a_top-tier_backdoor_of_us_nsa_equation_group.en.pdf,"{""page"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Based on the above observations, it can be inferred from the above analysis that the V1/V2 servers have been implanted with backdoors. By integrating the overall interaction of the A machine and the V1/V2 server, we can restore the communication process between the machines as follows: 1. Machine A connects to port 80 of the V1 server to send a knock request and start the backdoor program on the V1 server; 2. The V1 server reversely connects the high-end port of machine A to establish a data pip",
1.0.0,actor--equation-group,artifact--sha256:cf17867b898819f2226740b81d96080fa04c428c7a017a4ec1bc4a5976ff9a23,observation--sha256:78050cda7c381fb3edadbe996428b5bc1e93e4177f80cab18399a2601abad53a,command,"ed Powershell script. After this script is executed on the server, it will continue to download a file named","ed Powershell script. After this script is executed on the server, it will continue to download a file named",candidate,,unknown,unknown,not-stated,,source--equation-group--f24ac6a0296c1df8,EquationGroup/The_Bvp47_a_top-tier_backdoor_of_us_nsa_equation_group.en.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"2. Unseen Backdoor In a certain month of 2015, an advanced threat detection system deployed by a customer prompted a spe- cial network intrusion alarm, and there were suspicious communication activities between important serv- ers. During the incident response process, packets were captured at several nodes in the network and the server’s information was obtained by disk mirroring. After preliminary analysis, at least two servers in the system network have been hacked and implanted with backdoor",
1.0.0,actor--equation-group,artifact--sha256:0fc0e78235690589b3565bca497edc3c1f7257964aa5c638c8af8397dc651ef3,observation--sha256:27b5d5da8b8222578e6c73da4aa7965c54862410f0e030d5aac2099037cef592,command,including the Powershell script and the encrypted data of the second stage.,including the Powershell script and the encrypted data of the second stage,candidate,,unknown,unknown,not-stated,,source--equation-group--f24ac6a0296c1df8,EquationGroup/The_Bvp47_a_top-tier_backdoor_of_us_nsa_equation_group.en.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"2. Unseen Backdoor In a certain month of 2015, an advanced threat detection system deployed by a customer prompted a spe- cial network intrusion alarm, and there were suspicious communication activities between important serv- ers. During the incident response process, packets were captured at several nodes in the network and the server’s information was obtained by disk mirroring. After preliminary analysis, at least two servers in the system network have been hacked and implanted with backdoor",
1.0.0,actor--equation-group,artifact--sha256:cf355f3ff8012c06dd0a9dab6b0ff2c832022aa3e7b832f1351038305a970a36,observation--sha256:cd111a10493f377ce9dd15c599d2b0a13a323169fea097700d88006e346c6e8b,command,"services, enumerating directories, and executing Powershell scripts through scheduled tasks.","services, enumerating directories, and executing Powershell scripts through scheduled tasks",candidate,,unknown,unknown,not-stated,,source--equation-group--f24ac6a0296c1df8,EquationGroup/The_Bvp47_a_top-tier_backdoor_of_us_nsa_equation_group.en.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"2. Unseen Backdoor In a certain month of 2015, an advanced threat detection system deployed by a customer prompted a spe- cial network intrusion alarm, and there were suspicious communication activities between important serv- ers. During the incident response process, packets were captured at several nodes in the network and the server’s information was obtained by disk mirroring. After preliminary analysis, at least two servers in the system network have been hacked and implanted with backdoor",
1.0.0,actor--equation-group,artifact--sha256:146449d56433abf083765b8820b15bcca7f26cb205dc8cb382f5aee04b0ecd98,observation--sha256:e9c835bf5a9395907b6720f6b5de7f4b973a4ea1c7e3be1605d8310e2722914a,command,unreadable string. Analysis of the Powershell script executed to download index.htm proves that this is a,unreadable string. Analysis of the Powershell script executed to download index.htm proves that this is a,candidate,,unknown,unknown,not-stated,,source--equation-group--f24ac6a0296c1df8,EquationGroup/The_Bvp47_a_top-tier_backdoor_of_us_nsa_equation_group.en.pdf,"{""page"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"2. Unseen Backdoor In a certain month of 2015, an advanced threat detection system deployed by a customer prompted a spe- cial network intrusion alarm, and there were suspicious communication activities between important serv- ers. During the incident response process, packets were captured at several nodes in the network and the server’s information was obtained by disk mirroring. After preliminary analysis, at least two servers in the system network have been hacked and implanted with backdoor",
1.0.0,actor--equation-group,artifact--sha256:b51f9de1be9892835ff08c1231686613aaabf6f6217f40f0f641b9802f1bf625,observation--sha256:31764e4517863e1fa98b784cd91ff38cd0fdbf7777b29f736d5c185f57068111,file-name,FOXACID-Server-SOP-Redacted.pdf,FOXACID-Server-SOP-Redacted.pdf,candidate,,unknown,unknown,not-stated,,source--equation-group--220879bf45031f3f,EquationGroup/README.MD,"{""line"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,https://edwardsnowden.com/docs/doc/FOXACID-Server-SOP-Redacted.pdf,
1.0.0,actor--equation-group,artifact--sha256:b51f9de1be9892835ff08c1231686613aaabf6f6217f40f0f641b9802f1bf625,observation--sha256:b13779c3724f2d0c68d56ecb8597d827fe940143aa4f99117bbde6cb171a4e4a,file-name,FOXACID-Server-SOP-Redacted.pdf,FOXACID-Server-SOP-Redacted.pdf,candidate,,unknown,unknown,not-stated,,source--equation-group--220879bf45031f3f,EquationGroup/README.MD,"{""line"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,FOXACID-Server-SOP-Redacted.pdf,
1.0.0,actor--equation-group,artifact--sha256:b51f9de1be9892835ff08c1231686613aaabf6f6217f40f0f641b9802f1bf625,observation--sha256:70938620d7f5d9dfca6b857de8f93822d775f70f05b1f45ebbb8f834fee8cfa5,file-name,FOXACID-Server-SOP-Redacted.pdf,FOXACID-Server-SOP-Redacted.pdf,candidate,,unknown,unknown,not-stated,,source--equation-group--f24ac6a0296c1df8,EquationGroup/The_Bvp47_a_top-tier_backdoor_of_us_nsa_equation_group.en.pdf,"{""page"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"In December 2013, the German media ""Der Spiegel"" published an NSA ANT catalog with 50 pictures. This is a series of top-secret materials compiled by the NSA in 2008-2009, including the use of a series of advanced hacking tools. The source of information may come from Edward Snowden or another unknown intelligence provider [Reference 3]. The FOXACID-Server-SOP-Redacted.pdf file in the NSA ANT catalog [Reference 4], that is, the ""Acid Fox"" Project-Server Standard Operating Procedure Revision, NSA ",
1.0.0,actor--equation-group,artifact--sha256:b51f9de1be9892835ff08c1231686613aaabf6f6217f40f0f641b9802f1bf625,observation--sha256:b9880f86aa24d0ad675525a0eb89a6ccd0b157048bcabe55ec71c4501b7107e1,file-name,FOXACID-Server-SOP-Redacted.pdf,FOXACID-Server-SOP-Redacted.pdf,candidate,,unknown,unknown,not-stated,,source--equation-group--f24ac6a0296c1df8,EquationGroup/The_Bvp47_a_top-tier_backdoor_of_us_nsa_equation_group.en.pdf,"{""page"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"In the compressed eqgrp-free-file.tar.xz.gpg leaked by Shadow Brokers, SecondDate-3021.exeđ in the \eqgrp-free-file\Firewall\BANANAGLEE\BG3000\Install\LP\Modules\PIX\ directoryđ also has a unique identification code of ""ace02468bdf13579"", and the file name “SecondDate” conforms to the standard of operation document. If SecondDate-3021.exe is just a coincidence, string ""ace02468bdf13579"" appears in the 47 files related to the tool named SecondDate in the leaked tool set, which is obviously not a ",
1.0.0,actor--equation-group,artifact--sha256:b51f9de1be9892835ff08c1231686613aaabf6f6217f40f0f641b9802f1bf625,observation--sha256:ba34fba4d1bfd6669b0d816552055ae2e6b76392c589d439c1eb5de65111ef8d,file-name,FOXACID-Server-SOP-Redacted.pdf,FOXACID-Server-SOP-Redacted.pdf,candidate,,unknown,unknown,not-stated,,source--equation-group--f24ac6a0296c1df8,EquationGroup/The_Bvp47_a_top-tier_backdoor_of_us_nsa_equation_group.en.pdf,"{""page"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"After analyzing more than 90 programs related to SecondDate, it is found that the SecondDate program spans multiple platforms and architectures, such as Windows, Linux, Solaris, etc. The types from execut- able files to shellcode are very comprehensive, and it has undergone multiple iterations of the lowest version. 1.3.0.1 was created in May 2007, and the highest version 3.0.3.6 was created in October 2013. The starting time was in line with the top-secret electronic monitoring plan implemented",
