schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--extreme-jackal,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:7715d4e4c6c0fe1ddba29108fefa8ae90fc61442a4fbe7bf34cc4d69c0226345,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--extreme-jackal--7051ffa279622174,actor_profile/evidence/extreme-jackal.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 153} Extreme Jackal Threat Group Cards: A Threat Actor Encyclopedia 153 Molerats, Extreme Jackal, Gaza Cybergang Names Molerats (FireEye) Extreme Jackal (CrowdStrike) Gaza Cybergang (Kaspersky) Gaza Hackers Team (Kaspersky) Country Gaza Sponsor Hamas Motivation Information theft and espionage Description (K",
1.0.0,actor--extreme-jackal,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:6ec5e65e114c3c23926866ca22a0d2937154c0b6fb651a7a8480524c9a844563,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--extreme-jackal--7051ffa279622174,actor_profile/evidence/extreme-jackal.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 153} Extreme Jackal Threat Group Cards: A Threat Actor Encyclopedia 153 Molerats, Extreme Jackal, Gaza Cybergang Names Molerats (FireEye) Extreme Jackal (CrowdStrike) Gaza Cybergang (Kaspersky) Gaza Hackers Team (Kaspersky) Country Gaza Sponsor Hamas Motivation Information theft and espionage Description (Kaspersky) The Gaza cybergang is an Arabic-language, politi",
1.0.0,actor--extreme-jackal,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:2202ef183b63147539581db338cee309507cedffc03bb7f8d712791199f622c0,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--extreme-jackal--7051ffa279622174,actor_profile/evidence/extreme-jackal.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Extreme Jackal .................... 151 Mofang ........................................................................................................................................................................... 152 Molerats, Extreme Jackal, Gaza Cybergang ........................................................................................................... 153 MoneyTaker .....................................................................",
1.0.0,actor--extreme-jackal,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:7ff1ac97a64e72c6c427c20e10d81007db500d93bc109a3e8f44d5be547492e3,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--extreme-jackal--7051ffa279622174,actor_profile/evidence/extreme-jackal.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Extreme Jackal .............................................. 151 Mofang ................................................................................................................................................. 152 Molerats, Extreme Jackal, Gaza Cybergang ................................................................................. 153 MoneyTaker ........................................................................................................",
1.0.0,actor--extreme-jackal,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:b2f8f45f63239bddcd870eb63b2a0159b5f6176eff3839d6ed27d443618ee29a,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--extreme-jackal--7051ffa279622174,actor_profile/evidence/extreme-jackal.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 153} Extreme Jackal Threat Group Cards: A Threat Actor Encyclopedia 153 Molerats, Extreme Jackal, Gaza Cybergang Names Molerats (FireEye) Extreme Jackal (CrowdStrike) Gaza Cybergang (Kaspersky) Gaza Hackers Team (Kaspersky) Country Gaza Sponsor Hamas Motivation Information theft and espionage Description (K",
1.0.0,actor--extreme-jackal,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:e090d435e09f8c2ca4f29d2a6c8f2be826bfafdef7d6bd7fa3469d391a61e878,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--extreme-jackal--7051ffa279622174,actor_profile/evidence/extreme-jackal.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 153} Extreme Jackal Threat Group Cards: A Threat Actor Encyclopedia 153 Molerats, Extreme Jackal, Gaza Cybergang Names Molerats (FireEye) Extreme Jackal (CrowdStrike) Gaza Cybergang (Kaspersky) Gaza Hackers Team (Kaspersky) Country Gaza Sponsor Hamas Motivation Information theft and espionage Description (Kaspersky) The Gaza cybergang is an Arabic-language, politi",
1.0.0,actor--extreme-jackal,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:38c094064d52515770855ddd999aab57aa97583e9deca84e8ef852a4cc870967,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--extreme-jackal--7051ffa279622174,actor_profile/evidence/extreme-jackal.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 10, ""sheet"": ""Middle East""} Extreme Jackal Extreme Jackal Military, Government https://www.rsaconference.com/writable/presentations/file_upload/anf-t07b-the-art-of-attribution-identifying-and-pursuing-your-cyber-adversaries_final.pdf",
1.0.0,actor--extreme-jackal,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:ff51c3611e0b1eeb9518ac54ff482f2bb847c203138aada8843ea7578d911469,file-name,Operations.xlsx,Operations.xlsx,candidate,2016-03-01T00:00:00Z,month,known,same-record,,source--extreme-jackal--7051ffa279622174,actor_profile/evidence/extreme-jackal.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 45, ""sheet"": ""Others""} Extreme Jackal Extreme Jackal Activist https://www.sig-switzerland.ch/wp-content/uploads/2016/03/SIGS_SOC_Forum_Sep2017_CrowdStrike_On_the_Hunt_for_Pandas_Kittens_and_Bears.pdf see slide 15",
1.0.0,actor--extreme-jackal,artifact--sha256:e1e57df69894f94707e734e1f57a4865dd01caa65be39dc5ec8ecf1e41ac9459,observation--sha256:ab85bf484dd353394066220c1354325d1e509dd7793c6e7f86539b136fa6d429,file-name,SIGS_SOC_Forum_Sep2017_CrowdStrike_On_the_Hunt_for_Pandas_Kittens_and_Bears.pdf,SIGS_SOC_Forum_Sep2017_CrowdStrike_On_the_Hunt_for_Pandas_Kittens_and_Bears.pdf,candidate,2016-03-01T00:00:00Z,month,known,same-record,,source--extreme-jackal--7051ffa279622174,actor_profile/evidence/extreme-jackal.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 45, ""sheet"": ""Others""} Extreme Jackal Extreme Jackal Activist https://www.sig-switzerland.ch/wp-content/uploads/2016/03/SIGS_SOC_Forum_Sep2017_CrowdStrike_On_the_Hunt_for_Pandas_Kittens_and_Bears.pdf see slide 15",
1.0.0,actor--extreme-jackal,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:bb2784644ec3f7b8a9b7e525a333ab45955b60f35a2e80067ea4a11e8e161905,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--extreme-jackal--7051ffa279622174,actor_profile/evidence/extreme-jackal.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 201} Extreme Jackal Threat Group Cards: A Threat Actor Encyclopedia 201 Molerats, Extreme Jackal, Gaza Cybergang Names Molerats (FireEye) Extreme Jackal (CrowdStrike) Gaza Cybergang (Kaspersky) Gaza Hackers Team (Kaspersky) ATK 89 (Thales) TAG-CT5 Country [Gaza] Sponsor Hamas Motivation Information theft a",
