schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--fin6,artifact--sha256:99d121dced8d8f958b0cc50254d17bbf29de4c4a0c968d62397a4d11a3401c0e,observation--sha256:569e3a67657a9e41e670fbf0eddb3d5bb98e1c650ef97e2f3a87fb8b7d66c49f,command,"summary/2021/rpt-mtrends-2021-fireeye.pdf {""page"": 26} FIN6 such as injecting and executing arbitrary code, uploading and downloading files and executing shell commands. Mandiant has seen BEACON used by a wide range of named threat groups including APT19, APT32, APT40, APT41, FIN6, FIN7, FIN9 and FIN11, as well as nearly 300 UNC groups. • EMPIRE is a publicly available PowerShell post-exploitation framework that allows users to run PowerShell agents without the use of powershell.exe. PowerShe","summary/2021/rpt-mtrends-2021-fireeye.pdf {""page"": 26} FIN6 such as injecting and executing arbitrary code, uploading and downloading files and executing shell commands. Mandiant has seen BEACON used by a wide range of named threat groups including APT19, APT32, APT40, APT41, FIN6, FIN7, FIN9 and FIN11, as well as nearly 300 UNC groups. • EMPIRE is a publicly available PowerShell post-exploitation framework that allows users to run PowerShell agents without the use of powershell.exe. PowerShe",candidate,,unknown,unknown,not-stated,,source--fin6--416c23e1a897500a,actor_profile/evidence/fin6.csv,"{""row"": 35}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/rpt-mtrends-2021-fireeye.pdf {""page"": 26} FIN6 such as injecting and executing arbitrary code, uploading and downloading files and executing shell commands. Mandiant has seen BEACON used by a wide range of named threat groups including APT19, APT32, APT40, APT41, FIN6, FIN7, FIN9 and FIN11, as well as nearly 300 UNC groups. • EMPIRE is a publicly available PowerShell post-exploitation framework that allows users to run PowerShell agents without the use of powershell.exe. PowerShe",
1.0.0,actor--fin6,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:18c629f57742bb64678bcc8fb538de72fa4a403620d744157810fa07235150d7,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--fin6--416c23e1a897500a,actor_profile/evidence/fin6.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 98} FIN6 Threat Group Cards: A Threat Actor Encyclopedia 98 FIN6, Skeleton Spider Names FIN6 (FireEye) Skeleton Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description FIN6 is a cybercrime group that has stolen payment card data and sold it for profit on underground marketplaces. This",
1.0.0,actor--fin6,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b3a728cfd95ab0086853c9a7fa80b9ee0efbe29331918ac275f82e3a9ce85fff,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--fin6--416c23e1a897500a,actor_profile/evidence/fin6.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 98} Skeleton Spider Threat Group Cards: A Threat Actor Encyclopedia 98 FIN6, Skeleton Spider Names FIN6 (FireEye) Skeleton Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description FIN6 is a cybercrime group that has stolen payment card data and sold it for profit on underground marketp",
1.0.0,actor--fin6,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:82aecdf6b5dbb87e1a0a7aa36e4871306dce409612c40aa2c6a4ecc1516f181c,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--fin6--416c23e1a897500a,actor_profile/evidence/fin6.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 3} FIN6 ........................... 96 FIN5 .................................................................................................................................................................................. 97 FIN6, Skeleton Spider ................................................................................................................................................... 98 FIN7 .............................................",
1.0.0,actor--fin6,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:3baa7895fd228c4cf475446f2600aa431115dd76efca22e5369cee573ed52106,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--fin6--416c23e1a897500a,actor_profile/evidence/fin6.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 3} Skeleton Spider ..................... 96 FIN5 .................................................................................................................................................................................. 97 FIN6, Skeleton Spider ................................................................................................................................................... 98 FIN7 ..................................................",
1.0.0,actor--fin6,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:ad4d9893bf1e6615aaf38a1233594fe3205456ca715f8656c84d63914f3652c2,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--fin6--416c23e1a897500a,actor_profile/evidence/fin6.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 98} FIN6 Threat Group Cards: A Threat Actor Encyclopedia 98 FIN6, Skeleton Spider Names FIN6 (FireEye) Skeleton Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description FIN6 is a cybercrime group that has stolen payment card data and sold it for profit on un",
1.0.0,actor--fin6,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:b2d6062dd9a61c819a331a6796b758a9474538c5f9c7ecc5ad922026905d4460,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--fin6--416c23e1a897500a,actor_profile/evidence/fin6.csv,"{""row"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 4} FIN6 Threat Group Cards: A Threat Actor Encyclopedia 4 FIN6, Skeleton Spider ......................................................................................................................... 98 FIN7 .......................................................................",
1.0.0,actor--fin6,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:c5c785cf4443ed7992ce561cf27b9e181d5497cdc290299c90b8f917c0d2595f,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--fin6--416c23e1a897500a,actor_profile/evidence/fin6.csv,"{""row"": 21}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 4} Skeleton Spider Threat Group Cards: A Threat Actor Encyclopedia 4 FIN6, Skeleton Spider ......................................................................................................................... 98 FIN7 ........................................................................................",
1.0.0,actor--fin6,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:c3b4c98b818233ad78eebabf92f5a87aff324c343db27b8d91889e62369a6537,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--fin6--416c23e1a897500a,actor_profile/evidence/fin6.csv,"{""row"": 22}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 98} FIN6 Threat Group Cards: A Threat Actor Encyclopedia 98 FIN6, Skeleton Spider Names FIN6 (FireEye) Skeleton Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description FIN6 is a cybercrime group that has stolen payment card data and sold it for profit on un",
1.0.0,actor--fin6,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:d2cbc3c407a0363e085cc7cd30aab38095a42f3f23111cd271906e2a70c03b53,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--fin6--416c23e1a897500a,actor_profile/evidence/fin6.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 98} FIN6 Threat Group Cards: A Threat Actor Encyclopedia 98 FIN6, Skeleton Spider Names FIN6 (FireEye) Skeleton Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description FIN6 is a cybercrime group that has stolen payment card data and sold it for profit on underground marketplaces. This",
