schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--fruityarmor,artifact--sha256:3d4f68fbc78188ecce113ad31917fc1df7a6a592fc2aaa5e9c8dab7b3c43328a,observation--sha256:2cb235419550e678188622a2f0357114e26853e989cc78087a8a2fa1b61df45a,command,"APT Groups and Operations.xlsx {""row"": 19, ""sheet"": ""Unknown""} FruityArmor FruityArmor MS16-120 / CVE-2016-3393 0day exploits, 0day CVE-2018-8453, PowerShell backdoor, CVE-2018-8611 Middle Eastern region https://securelist.com/blog/research/76396/windows-zero-day-exploit-used-in-targeted-attacks-by-fruity","APT Groups and Operations.xlsx {""row"": 19, ""sheet"": ""Unknown""} FruityArmor FruityArmor MS16-120 / CVE-2016-3393 0day exploits, 0day CVE-2018-8453, PowerShell backdoor, CVE-2018-8611 Middle Eastern region https://securelist.com/blog/research/76396/windows-zero-day-exploit-used-in-targeted-attacks-by-fruity",candidate,,unknown,unknown,not-stated,,source--fruityarmor--097067a362dfbd47,actor_profile/evidence/fruityarmor.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 19, ""sheet"": ""Unknown""} FruityArmor FruityArmor MS16-120 / CVE-2016-3393 0day exploits, 0day CVE-2018-8453, PowerShell backdoor, CVE-2018-8611 Middle Eastern region https://securelist.com/blog/research/76396/windows-zero-day-exploit-used-in-targeted-attacks-by-fruity",
1.0.0,actor--fruityarmor,artifact--sha256:4c1d06587ce905f57e44df05ee7abec8a75f09f7d06f82b77e7888a6a8b57ef9,observation--sha256:88940db04bf3c1309f69100cfcced6f25a3ddb79fdbe085e6f7e2a6827bb94e2,command,"APT Groups and Operations.xlsx {""row"": 19, ""sheet"": ""Unknown""} fruityarmor yArmor MS16-120 / CVE-2016-3393 0day exploits, 0day CVE-2018-8453, PowerShell backdoor, CVE-2018-8611 Middle Eastern region https://securelist.com/blog/research/76396/windows-zero-day-exploit-used-in-targeted-attacks-by-fruityarmor-apt/ https://securelist.com/cve-2018-8453-used-in-targeted-attacks/88151/ https://securelist.com/zero-day-in-windows-kernel-transaction-manager-cve-2018-8611/89253/","APT Groups and Operations.xlsx {""row"": 19, ""sheet"": ""Unknown""} fruityarmor yArmor MS16-120 / CVE-2016-3393 0day exploits, 0day CVE-2018-8453, PowerShell backdoor, CVE-2018-8611 Middle Eastern region https://securelist.com/blog/research/76396/windows-zero-day-exploit-used-in-targeted-attacks-by-fruityarmor-apt/ https://securelist.com/cve-2018-8453-used-in-targeted-attacks/88151/ https://securelist.com/zero-day-in-windows-kernel-transaction-manager-cve-2018-8611/89253/",candidate,,unknown,unknown,not-stated,,source--fruityarmor--097067a362dfbd47,actor_profile/evidence/fruityarmor.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 19, ""sheet"": ""Unknown""} fruityarmor yArmor MS16-120 / CVE-2016-3393 0day exploits, 0day CVE-2018-8453, PowerShell backdoor, CVE-2018-8611 Middle Eastern region https://securelist.com/blog/research/76396/windows-zero-day-exploit-used-in-targeted-attacks-by-fruityarmor-apt/ https://securelist.com/cve-2018-8453-used-in-targeted-attacks/88151/ https://securelist.com/zero-day-in-windows-kernel-transaction-manager-cve-2018-8611/89253/",
1.0.0,actor--fruityarmor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:d1e85d5d83e52cfa20936c470a35363c9f2ec94425ec69cc68ca822e672355ff,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--fruityarmor--097067a362dfbd47,actor_profile/evidence/fruityarmor.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 218} FruityArmor Threat Group Cards: A Threat Actor Encyclopedia 218 Stealth Falcon, FruityArmor Names Stealth Falcon (Citizen Lab) FruityArmor (Kaspersky) Country UAE Motivation Information theft and espionage Description (Citizen Lab) This report describes a campaign of targeted spyware attacks carried out by a sophisticated operator, which we call Stealt",
1.0.0,actor--fruityarmor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:86ecd287859c27df225ca423e02c1a9cd10e519a50b650efb399b1f39033c4f4,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--fruityarmor--097067a362dfbd47,actor_profile/evidence/fruityarmor.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 218} FruityArmor Sectors: Civil society groups and Emirati journalists, activists and dissidents. Countries: UAE and UK. Tools used 0-day exploits. Operations performed Oct 2016 Windows zero-day exploit used in targeted attacks by FruityArmor APT <https://securelist.com/windows-zero-day-exploit-used-in-targeted- attacks-by-fruityarmor-apt/76396/> Oct 2018 Zero-day exploit (CVE-2018-8453) used in targeted attacks <https://securelist.com/cve-2018-8453-used",
1.0.0,actor--fruityarmor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:c4476b04fcd85d805604f92e84a0288944a62196a21ca863658ba0ce4e6377d3,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--fruityarmor--097067a362dfbd47,actor_profile/evidence/fruityarmor.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 218} fruityarmor E and UK. Tools used 0-day exploits. Operations performed Oct 2016 Windows zero-day exploit used in targeted attacks by FruityArmor APT <https://securelist.com/windows-zero-day-exploit-used-in-targeted- attacks-by-fruityarmor-apt/76396/> Oct 2018 Zero-day exploit (CVE-2018-8453) used in targeted attacks <https://securelist.com/cve-2018-8453-used-in-targeted- attacks/88151/> Oct 2018 Zero-day in Windows Kernel Transaction Manager (CVE-2018",
1.0.0,actor--fruityarmor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:5566792ca6dcca8223c30af707ba6127e6b5097e247ca6cb8129a8b92dc41c40,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--fruityarmor--097067a362dfbd47,actor_profile/evidence/fruityarmor.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} FruityArmor ................... 216 Stalker Panda ............................................................................................................................................................... 217 Stealth Falcon, FruityArmor ........................................................................................................................................ 218 Stolen Pencil ...........................................................",
1.0.0,actor--fruityarmor,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:451cebc20e803f77e0d4aae9480945808e5ab8a35cf3c6e9874c0bfa8b32508f,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--fruityarmor--097067a362dfbd47,actor_profile/evidence/fruityarmor.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 218} FruityArmor Threat Group Cards: A Threat Actor Encyclopedia 218 Stealth Falcon, FruityArmor Names Stealth Falcon (Citizen Lab) FruityArmor (Kaspersky) Country UAE Motivation Information theft and espionage Description (Citizen Lab) This report describes a campaign of targeted spyware attacks carried out",
1.0.0,actor--fruityarmor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:b8020034fedc2c0f6329ca7e64ffd5b034184f1e4fe10bdee7e2880a28496ed2,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--fruityarmor--097067a362dfbd47,actor_profile/evidence/fruityarmor.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 218} FruityArmor Threat Group Cards: A Threat Actor Encyclopedia 218 Stealth Falcon, FruityArmor Names Stealth Falcon (Citizen Lab) FruityArmor (Kaspersky) Country UAE Motivation Information theft and espionage Description (Citizen Lab) This report describes a campaign of targeted spyware attacks ca rried out",
1.0.0,actor--fruityarmor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:ac9078596bf0e8bd5321ab9377808eba2d1a592122091f844f9006c8d53ffd76,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--fruityarmor--097067a362dfbd47,actor_profile/evidence/fruityarmor.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 218} FruityArmor Threat Group Cards: A Threat Actor Encyclopedia 218 Stealth Falcon, FruityArmor Names Stealth Falcon (Citizen Lab) FruityArmor (Kaspersky) Country UAE Motivation Information theft and espionage Description (Citizen Lab) This report describes a campaign of targeted spyware attacks ca rried out by a sophisticated operator, which we call Steal",
1.0.0,actor--fruityarmor,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:24d9e073b6eba9cfcf78b6b5f6a6c165e5f3ec108f1e46599204719bdb8880b3,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--fruityarmor--097067a362dfbd47,actor_profile/evidence/fruityarmor.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 218} FruityArmor Sectors: Civil society groups and Emirati journalists, activists and dissidents. Countries: UAE and UK. Tools used 0-day exploits. Operations performed Oct 2016 Windows zero-day exploit used in targeted attacks by FruityArmor APT <https://securelist.com/windows-zero-day-exploit-used-in-targeted- attacks-by-fruityarmor-apt/76396/> Oct 2018 Zero-day exploit (CVE-2018-8453) used in targeted attacks <https://securelist.com/cve-2018-8453-used",
