schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--gallium,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:f3df8354af64e42f39abaf084f671b20834f56d9732a01a9744f64f490ca4706,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--gallium--3c830a306dfb9d8f,actor_profile/evidence/gallium.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 27} GALLIUM ssing countries, businesses and governments and threaten diplomatic, societal and business norms around the world. In August 2022, we assigned Red Moros to the threat actor we previously tracked as Red Dev 4 (a.k.a. GALLIUM) after our identification of the threat actor’s distinct TTPs, reconnaissance activities and C2 infrastructure and communications. Throughout 2022, Red Moros aggressively targeted telecommunications provider",
1.0.0,actor--gallium,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:856330027b84161de28b58498c69561ce15a982627e9b70685d1bae70e775802,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--gallium--3c830a306dfb9d8f,actor_profile/evidence/gallium.csv,"{""row"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 75} GALLIUM R) - pg. 33 • Red Dev 14 - pg. 22 • Red Dev 26 - pg. 25 • Red Ladon (a.k.a. TA423, APT40, Leviathan) - pg. 25 • Red Lich (a.k.a. Mustang Panda, Temp.Hex, TA416) - pg. 20, 24-25 • Red Menshen - pg. 26 • Red Moros (a.k.a. GALLIUM) - pg. 26 • Red Orthrus (a.k.a. Keyboy, TA428, Tropic Trooper) - pg. 23 • Red Phoenix (a.k.a. APT27, Emissary Panda, LuckyMouse) - pg. 23-24 • Red Scylla (a.k.a. CHROMIUM, ControlX, Earth Lusca, Aquatic ",
1.0.0,actor--gallium,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:1d2e3ccaadbbb3e8f37b2791dcfb4131df7456accc5f29058c367c4a1d956b13,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--gallium--3c830a306dfb9d8f,actor_profile/evidence/gallium.csv,"{""row"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 35} GALLIUM UM Critical infrastructure, operational technology Sandworm Ir IRIDIUM Ukrainian government, military, law enforcement Gamaredon Ac ACTINIUM Communications infrastructure, IT, government, education SoftCell Ga GALLIUM Government. NGOs APT15 Vixen Panda Ni NICKEL Telecommunications, NGOs, government APT40Gd GADOLINIUM Cryptocurrency and related technology companies APT38, Beagle Boyz Cn COPERNICIUM Think tanks, academics,",
1.0.0,actor--gallium,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:7ced79fe95a7210d721184d405bb40a80a98493f0992a954dad561ed56b66dfe,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--gallium--3c830a306dfb9d8f,actor_profile/evidence/gallium.csv,"{""row"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 46} GALLIUM d an energy-associated government agency in Vietnam, and an Indonesian government agency. RADIUM’s activities likely aligned with China’s strategic goals in the South China Sea. 21 In late February and early March, GALLIUM compromised more than 100 accounts affiliated with a prominent intergovernmental organization (IGO) in the Southeast Asia region. The timing of GALLIUM’s targeting of the IGO in the region coincided wi",
1.0.0,actor--gallium,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:acc8d4024e58bfd4a8bdb6598c5e51add0e3802ef080cbca3ddf692ee08e8160,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--gallium--3c830a306dfb9d8f,actor_profile/evidence/gallium.csv,"{""row"": 21}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 46} GALLIUM s in the South China Sea. 21 In late February and early March, GALLIUM compromised more than 100 accounts affiliated with a prominent intergovernmental organization (IGO) in the Southeast Asia region. The timing of GALLIUM’s targeting of the IGO in the region coincided with the announcement of a scheduled meeting between the United States and regional leaders. GALLIUM actors were likely tasked to monitor communications a",
1.0.0,actor--gallium,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:e7a51f00706ca152610a46861391f97bf2c8148fa3b81c967def32f08639c3b1,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--gallium--3c830a306dfb9d8f,actor_profile/evidence/gallium.csv,"{""row"": 22}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 46} GALLIUM tal organization (IGO) in the Southeast Asia region. The timing of GALLIUM’s targeting of the IGO in the region coincided with the announcement of a scheduled meeting between the United States and regional leaders. GALLIUM actors were likely tasked to monitor communications and collect intelligence before the event. As China expanded its influence in Pacific Island countries, Chinese threat groups’ activities followed. I",
1.0.0,actor--gallium,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:22bd4f555c7d53a307076addefa1af1d57b5c5d3ac669c03315821852dfc7e59,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--gallium--3c830a306dfb9d8f,actor_profile/evidence/gallium.csv,"{""row"": 25}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 12} Granite Typhoon aligned program, irrespective of whether for espionage, financial gain, or retribution. Russia Aqua Blizzard E Midnight Blizzard E Seashell Blizzard Dd D Ei E I R Secret Blizzard E China Flax Typhoon Dt E Granite Typhoon Dt E Nylon Typhoon E Raspberry Typhoon EDt North Korea Citrine Sleet C Dt Jade Sleet C Dt Moonstone Sleet E R Sapphire Sleet C Dt Iran Cotton Sandstorm Dd Dt D Ei E I R Mint Sandstorm Ei E R Infl",
1.0.0,actor--gallium,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:774f3dd14c6dce26f69873b02758e1585ed31f357879201dee0406f998cfe75f,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--gallium--3c830a306dfb9d8f,actor_profile/evidence/gallium.csv,"{""row"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 15} Granite Typhoon ommunications 3% 8 Finance 3% 9 Transportation 2% 10 All others 9% Most Chinese threat activity is for intelligence collection purposes and was especially prevalent in ASEAN countries around the South China Sea. Granite Typhoon and Raspberry Typhoon were the most active in the region, while Nylon Typhoon continued to target government and foreign affairs entities globally. Source: Microsoft Threat Intelligence na",
1.0.0,actor--gallium,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:8fd3623d545c67c9d3b8d08dfaf8cd84563593bd4f82d35e59e091d42d556189,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--gallium--3c830a306dfb9d8f,actor_profile/evidence/gallium.csv,"{""row"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 22} Granite Typhoon China Sea Source: Microsoft Threat Intelligence nation-state notification data Chinese threat actors target military and IT entities in the South China Sea China-based cyber actors Raspberry Typhoon, Flax Typhoon, and Granite Typhoon have intensively targeted entities associated with IT, military, and government interests around the South China Sea. The activity has particularly targeted countries within the Asso",
1.0.0,actor--gallium,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:ebd02f98866ee280504169621923f95d0199a82d6ac71c2d0c8782144ca9d756,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--gallium--3c830a306dfb9d8f,actor_profile/evidence/gallium.csv,"{""row"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 22} Granite Typhoon t US- Philippines military exercises. Since August 2023, Flax Typhoon has expanded its targets to include IT and government organizations in the Philippines, Hong Kong, India, and the United States. Since July 2023, Granite Typhoon has compromised telecommunication networks in Indonesia, Malaysia, the Philippines, Cambodia, and Taiwan. This group’s activities highlight a sustained pattern of strategic cyber engag",
