schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--gallmaker,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a3786e94c2dbd207390697cae40215a3b0829f2c56a2187bf302d38bce09bbf0,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--gallmaker--ed8ba58ec98ada1c,actor_profile/evidence/gallmaker.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 105} Gallmaker Threat Group Cards: A Threat Actor Encyclopedia 105 Gallmaker Names Gallmaker (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have uncovered a previously unknown attack group that is targeting government and",
1.0.0,actor--gallmaker,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:85bf8174309a7c0632fe9cb79c623aefbc8f38a5c389b43038cbd2d7d6ce118b,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--gallmaker--ed8ba58ec98ada1c,actor_profile/evidence/gallmaker.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 105} Gallmaker Threat Group Cards: A Threat Actor Encyclopedia 105 Gallmaker Names Gallmaker (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have uncovered a previously unknown attack group that is targeting government and military targets,",
1.0.0,actor--gallmaker,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:5a595da35c1a1e14b23f17d92461344844e5c1297951b35c65b26742594fbf3f,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--gallmaker--ed8ba58ec98ada1c,actor_profile/evidence/gallmaker.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 105} Gallmaker ustom malware and uses living off the land (LotL) tactics and publicly available hack tools to carry out activities that bear all the hallmarks of a cyber espionage campaign. The group, which we have given the name Gallmaker, has been operating since at least December 2017, with its most recent activity observed in June 2018. Observed Sectors: Defense, Embassies and Government. Countries: Eastern Europe and Middle East. Tools used In",
1.0.0,actor--gallmaker,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:8745218a9e6a72cd3e6a77d5acc2f3cec9fb0f8fcb0b4e96a89b770a9476262e,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--gallmaker--ed8ba58ec98ada1c,actor_profile/evidence/gallmaker.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 105} gallmaker ost recent activity observed in June 2018. Observed Sectors: Defense, Embassies and Government. Countries: Eastern Europe and Middle East. Tools used Information <https://www.symantec.com/blogs/threat-intelligence/gallmaker-attack-group> MITRE ATT&CK <https://attack.mitre.org/groups/G0084/>",
1.0.0,actor--gallmaker,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:058e69fafb57ea095fbff4e1a1db49f785887dcba8b550d02a44e2c296ceffcd,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--gallmaker--ed8ba58ec98ada1c,actor_profile/evidence/gallmaker.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Gallmaker ................................................ 103 Flying Kitten, Ajax Security Team .............................................................................................................................. 104 Gallmaker ...................................................................................................................................................................... 105 Gamaredon Group ...............................",
1.0.0,actor--gallmaker,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:00860d2d792a165512895b2154e952394d2fd07a44a29d81a90f6bcb8a860300,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--gallmaker--ed8ba58ec98ada1c,actor_profile/evidence/gallmaker.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 105} gallmaker most recent activity observed in June 2018. Observed Sectors: Defense, Embassies and Government. Countries: Eastern Europe and Middle East. Tools used Information <https://www.symantec.com/blogs/threat-intelligence/gallmaker-attack-group> MITRE ATT&CK <https://attack.mitre.org/groups/G0084/>",
1.0.0,actor--gallmaker,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:b4e1fc2f0c675e10347d401cdc7efa8bc22aaa714b7197f4fede6027715ce755,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--gallmaker--ed8ba58ec98ada1c,actor_profile/evidence/gallmaker.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 4} Gallmaker .......................................................................... 103 Flying Kitten, Ajax Security Team .................................................................................................... 104 Gallmaker ............................................................................................................................................ 105 Gamaredon Group .........................................................",
1.0.0,actor--gallmaker,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:91ccac78d568f9281afc5312c86fc388139355db3cf8aec389fae616ad9b4e67,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--gallmaker--ed8ba58ec98ada1c,actor_profile/evidence/gallmaker.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 105} Gallmaker Threat Group Cards: A Threat Actor Encyclopedia 105 Gallmaker Names Gallmaker (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have uncovered a previously unknown attack group that is targeting government and",
1.0.0,actor--gallmaker,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:39d961b972d02403178bf9c7f7f677583f0ab344e53901051247f08d117c5c73,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--gallmaker--ed8ba58ec98ada1c,actor_profile/evidence/gallmaker.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 105} Gallmaker Threat Group Cards: A Threat Actor Encyclopedia 105 Gallmaker Names Gallmaker (Symantec) Country [Unknown] Motivation Information theft and espionage Description (Symantec) Symantec researchers have uncovered a previously unknown attack group that is targeting government and military targets,",
1.0.0,actor--gallmaker,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:a6b4d737d90b6461eb7e98ada99b9fc9687b0376ecc25fa78463e4d1a2959903,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--gallmaker--ed8ba58ec98ada1c,actor_profile/evidence/gallmaker.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 105} Gallmaker ustom malware and uses living off the land (LotL) tactics and publicly available hack tools to carry out activities that bear all the hallmarks of a cyber espionage campaign. The group, which we have given the name Gallmaker, has been operating since at least December 2017, with its most recent activity observed in June 2018. Observed Sectors: Defense, Embassies and Government. Countries: Eastern Europe and Middle East. Tools used Inf",
