schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--gcman,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:202a5f4e3705a9cc16151ed2e31c4d4739e8ba1aebd9d129f9ec68603a8727dc,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--gcman--a442be046bfabacb,actor_profile/evidence/gcman.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 107} GCMAN Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently us",
1.0.0,actor--gcman,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:87ba633005c6a016c53c6373efe444a15e167f16546e87c7b7b6926b8d0d4cde,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--gcman--a442be046bfabacb,actor_profile/evidence/gcman.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 107} GCMAN Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently using similar t",
1.0.0,actor--gcman,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:ab1386b025fa942729551182b25f6fb7dc556a4ec2366eb3d4df5b79212db8ab,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--gcman--a442be046bfabacb,actor_profile/evidence/gcman.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 107} GCMAN Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently using similar techniques to the Corkow, Metel Group to infect banking institutions and attempt to transfer money to e-currency servi",
1.0.0,actor--gcman,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:1c629f02e2ba7c33c4ac2cfa66fced70afb937772cfb71bce74b5292be405fac,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--gcman--a442be046bfabacb,actor_profile/evidence/gcman.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 107} GCMAN stitution targets with e-mails carrying a malicious RAR archive to. Upon opening the RAR archive, an executable is started instead of a Microsoft Word document, resulting in infection. Once inside the network, the GCMAN group uses legitimate and penetration testing tools such as Putty, VNC, and Meterpreter for lateral movement. Our investigation revealed an attack where the group then planted a cron script into bank’s server, sendin",
1.0.0,actor--gcman,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:da23443fa43a5e163f2e64fb7735879267b101af490793d9aecdefca2e798cfa,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--gcman--a442be046bfabacb,actor_profile/evidence/gcman.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} GCMAN ......................................... 105 Gamaredon Group ....................................................................................................................................................... 106 GCMAN .......................................................................................................................................................................... 107 GhostNet, Snooping Dragon .................",
1.0.0,actor--gcman,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:a1a0140ad2a2525601ec38bff74955cae7a1dcce549b515dd90d39b1df0167b9,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--gcman--a442be046bfabacb,actor_profile/evidence/gcman.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 107} GCMAN stitution targets with e-mails carrying a malicious RAR archive to. Upon opening the RAR archive, an executable is started instead of a Microsoft Word document, resulting in infection. Once inside the network, the GCMAN group uses legitimate and penetration testing tools such as Putty, VNC, and Meterpreter for lateral movement. Our investigation revealed an attack where the group then planted a cron script into bank’s server, sendi",
1.0.0,actor--gcman,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:fcca2ff69f02dfecaea9edc66a399451f76204a1fc53bb75a15a196b9acb8d58,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--gcman--a442be046bfabacb,actor_profile/evidence/gcman.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 4} GCMAN ................................................................... 105 Gamaredon Group ............................................................................................................................. 106 GCMAN ................................................................................................................................................ 107 GhostNet, Snooping Dragon ...........................................",
1.0.0,actor--gcman,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:732430b0a61c37e9e66e397ecbb730b502eb4c30d0734a1dacf9984391c74b1f,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--gcman--a442be046bfabacb,actor_profile/evidence/gcman.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 107} GCMAN Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently us",
1.0.0,actor--gcman,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:4617dc6941edecced10117bc29590330e92ccd9e71f8e5184e06d4097a29b42b,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--gcman--a442be046bfabacb,actor_profile/evidence/gcman.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 107} GCMAN Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently using similar t",
1.0.0,actor--gcman,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:c0ac8d4ab57daf91ed748ae02b5b86a2fa7bc2488737ff87733f7361229ef27e,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--gcman--a442be046bfabacb,actor_profile/evidence/gcman.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 107} GCMAN Threat Group Cards: A Threat Actor Encyclopedia 107 GCMAN Names GCMAN (Kaspersky) Country [Unknown] Motivation Financial gain Description (Kaspersky) A second group, which we call GCMAN because the malware is based on code compiled on the GCC compiler, emerged recently using similar techniques to the Corkow, Metel Group to infect banking institutions and attempt to transfer money to e-currency servi",
