schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--gelsemium,artifact--sha256:814807053cbb39701de3716234a98247a4a399d348290f3273557cd4bd2097a4,observation--sha256:d688f2f1cca2036642050fb950d23b8b291d273f61b8cfff0eb991b1f1ca1bed,file-name,20Chimera_V4.1.pdf,20Chimera_V4.1.pdf,candidate,2021-01-12T00:00:00Z,day,known,same-record,,source--gelsemium--0c692ac1ecc96ddf,actor_profile/evidence/gelsemium.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} GELSEMIUM Chimera GELSEMIUM OwlProxy, SessionManager Taiwan semiconductors Likely a Chinese group, inconclusive overlap w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/abusing-clo",
1.0.0,actor--gelsemium,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:804491cd59ec84f06ba4fae9c3ecddcc1b3a336121b03c4395570a5689b3fc88,file-name,Operations.xlsx,Operations.xlsx,candidate,2021-01-12T00:00:00Z,day,known,same-record,,source--gelsemium--0c692ac1ecc96ddf,actor_profile/evidence/gelsemium.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} GELSEMIUM Chimera GELSEMIUM OwlProxy, SessionManager Taiwan semiconductors Likely a Chinese group, inconclusive overlap w/Winnti https://cycraft.com/download/%5BTLP-White%5D20200415%20Chimera_V4.1.pdf https://blog.fox-it.com/2021/01/12/abusing-clo",
1.0.0,actor--gelsemium,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:41644479ee46106be8054092766909c5f18f117d8efd07e6e99aac0383d887f6,file-name,Operations.xlsx,Operations.xlsx,candidate,2021-06-01T00:00:00Z,month,known,same-record,,source--gelsemium--0c692ac1ecc96ddf,actor_profile/evidence/gelsemium.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} gelsemium -20/Thursday/us-20-Chen-Operation-Chimera-APT-Operation-Targets-Semiconductor-Vendors.pdf https://lab52.io/blog/chimera-apt-updates-on-its-owlproxy-malware/ https://www.welivesecurity.com/wp-content/uploads/2021/06/eset_gelsemium.pdf https://securelist.com/owowa-credential-stealer-and-remote-access/105219/ https://securelist.com/the-sessionmanager-iis-backdoor/106868/ https://www.fortinet.com/blog/threat-research/pivnoxy-an",
1.0.0,actor--gelsemium,artifact--sha256:f995185f572984deea7588de4cd2c0fb473c79b4efb06e43a613bd0dc59c097b,observation--sha256:d2a8c84cac4787ea98852e4e3021344aaf2a8136af0d0c7f6b26aa8658f0e77d,file-name,Report.pdf,Report.pdf,candidate,,unknown,unknown,not-stated,,source--gelsemium--0c692ac1ecc96ddf,actor_profile/evidence/gelsemium.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Qianxin 2023 APT Report.pdf {""page"": 113} gelsemium .https://www.ptsecurity.com/ww-en/analytics/pt-esc-threat-intelligence/space-pirates-a-look- into-the-group-s-unconventional-techniques-new-attack-vectors-and-tools/ 299.https://unit42.paloaltonetworks.com/rare-possible-gelsemium-attack-targets-se-asia/ 300.https://mp.weixin.qq.com/s/DZwbJ8-UTji29kH2on90fQ 301.https://mp.weixin.qq.com/s/dOQ5kA7MwQCDg2x_NgBoEA 302.https://www.barracuda.com/company/legal/esg-vulnerability 303.https:/",
1.0.0,actor--gelsemium,artifact--sha256:5d3c5168ae77518fe147ae209f7eb113160a792793d82cd320b6fda3010c3bb6,observation--sha256:e8f8cf0e9985a54f2c919db5ffc93e692c8c1491cff034cd92508643bbbb4466,file-name,TLP-CLEAR-CERT-EU-TLR-2024-v1.pdf,TLP-CLEAR-CERT-EU-TLR-2024-v1.pdf,candidate,,unknown,unknown,not-stated,,source--gelsemium--0c692ac1ecc96ddf,actor_profile/evidence/gelsemium.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/TLP-CLEAR-CERT-EU-TLR-2024-v1.pdf {""page"": 17} Gelsemium ity 71 in iOS, iPadOS, macOS, tvOS, and watchOS permitted arbitrary read and write operations, prompting official advisories and widespread patching. • A threat actor introduced WolfsBane, a Linux backdoor linked to the Gelsemium group, featuring stealth techniques and rootkit components.72 8 Sectors In our analysis of malicious activities of interest, we categorised targeted entities into distinct sectors, excluding public ad",
1.0.0,actor--gelsemium,artifact--sha256:3dd56781f1213e5027004ad94dd2286d2ab84349cc23bff2203b5e993d74bcdf,observation--sha256:08d891c424e47ad80c125cdfe55d7cccbbd4626d06d0614e79251994f528f93d,file-name,eset-apt-activity-report-q4-2023-q1-2024.pdf,eset-apt-activity-report-q4-2023-q1-2024.pdf,candidate,,unknown,unknown,not-stated,,source--gelsemium--0c692ac1ecc96ddf,actor_profile/evidence/gelsemium.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/eset-apt-activity-report-q4-2023-q1-2024.pdf {""page"": 7} Gelsemium t and VPN bridge, and establish a persistent VPN connection on compromised systems, allowing them to RDP directly to the compromised systems. ESET researchers also discovered two undocumented Linux backdoors used by Gelsemium (a group that we documented in a white paper on WeLiveSecurity) against Linux servers in Taiwan, probably exploiting an Apache Tomcat vulnerability. One of these backdoors, which we named WolfsB",
1.0.0,actor--gelsemium,artifact--sha256:3dd56781f1213e5027004ad94dd2286d2ab84349cc23bff2203b5e993d74bcdf,observation--sha256:a232662c1858805b8c23f323e129b36c51a6c659ef429566b0b868b220252535,file-name,eset-apt-activity-report-q4-2023-q1-2024.pdf,eset-apt-activity-report-q4-2023-q1-2024.pdf,candidate,,unknown,unknown,not-stated,,source--gelsemium--0c692ac1ecc96ddf,actor_profile/evidence/gelsemium.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/eset-apt-activity-report-q4-2023-q1-2024.pdf {""page"": 7} Gelsemium h we named WolfsBane, is a Linux variant of the Gelsevirine backdoor. The second backdoor, which we named FireWood, is connected to Project Wood (which we documented in a WeLiveSecurity blogpost), previously used by Gelsemium during Operation TooHash, as documented by G Data. Finally, considering Linux malware, we observed the tentative deployment of the Linux variant of the Winnti malware against a computer science ",
1.0.0,actor--gelsemium,artifact--sha256:cf908407a07349feb5e568f636aba06a8dc013c2fc7ea5a716813e4be6ff9fdb,observation--sha256:f15630af314a6b811fc8231dedb0c4068e34aac92d232fd41e5e93f6f5f66096,file-name,eset-threat-report-h22024.pdf,eset-threat-report-h22024.pdf,candidate,,unknown,unknown,not-stated,,source--gelsemium--0c692ac1ecc96ddf,actor_profile/evidence/gelsemium.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/eset-threat-report-h22024.pdf {""page"": 40} Gelsemium ocused in Ukraine ESET Research Podcast: CosmicBeetle Learn how a rather clumsy cybercrime group wielding buggy malicious tools managed to compromise a number of SMBs in various parts of the world Unveiling WolfsBane: Gelsemium’s Linux counterpart to Gelsevirine ESET researchers analyzed previously unknown Linux backdoors that are connected to known Windows malware used by the China-aligned Gelsemium group, and to Project Wood Clo",
1.0.0,actor--gelsemium,artifact--sha256:cf908407a07349feb5e568f636aba06a8dc013c2fc7ea5a716813e4be6ff9fdb,observation--sha256:ee5a742d6b5a2864af58505bb9f612da8f08194bf13cd3b9ebbbbceeb0db48be,file-name,eset-threat-report-h22024.pdf,eset-threat-report-h22024.pdf,candidate,,unknown,unknown,not-stated,,source--gelsemium--0c692ac1ecc96ddf,actor_profile/evidence/gelsemium.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/eset-threat-report-h22024.pdf {""page"": 40} Gelsemium parts of the world Unveiling WolfsBane: Gelsemium’s Linux counterpart to Gelsevirine ESET researchers analyzed previously unknown Linux backdoors that are connected to known Windows malware used by the China-aligned Gelsemium group, and to Project Wood CloudScout: Evasive Panda scouting cloud services ESET researchers discovered a previously undocumented toolset used by Evasive Panda to access and retrieve data from cloud services",
1.0.0,actor--gelsemium,artifact--sha256:017f8a8503771d9be9bacea41b8e259667b28e2abde01c5adea565d3f75a935f,observation--sha256:3c2efca8247b22912c03704cf61271424e4e33250d2d926d4966cc0737dfba33,file-name,eset_gelsemium.pdf,eset_gelsemium.pdf,candidate,2021-06-01T00:00:00Z,month,known,same-record,,source--gelsemium--0c692ac1ecc96ddf,actor_profile/evidence/gelsemium.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 37, ""sheet"": ""Unknown""} gelsemium -20/Thursday/us-20-Chen-Operation-Chimera-APT-Operation-Targets-Semiconductor-Vendors.pdf https://lab52.io/blog/chimera-apt-updates-on-its-owlproxy-malware/ https://www.welivesecurity.com/wp-content/uploads/2021/06/eset_gelsemium.pdf https://securelist.com/owowa-credential-stealer-and-remote-access/105219/ https://securelist.com/the-sessionmanager-iis-backdoor/106868/ https://www.fortinet.com/blog/threat-research/pivnoxy-an",
