schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--ghostwriter,artifact--sha256:3850eb7344019e04ed4e1bd0feea30f68fed95e017445d6c63163698c69605ec,observation--sha256:14b7a90243e25e711c09f72751f73ae64cf55fa41da149142149332cbc8584a1,command,A string representing a secondary PowerShell command,A string representing a secondary PowerShell command,candidate,2017-10-31T00:00:00Z,day,known,same-record,,source--ghostwriter--e238f98cc4a7878c,Ghostwriter/unc1151-ghostwriter-update-report.pdf,"{""page"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"If the user double clicks the gift image, they are prompted to download an LNK file. • giftForYou.lnk (MD5: 0faf36548b8396851368c532ad4ac348) – LNK file dropped by the gift document – C&C: http:/ /88.99.104.179:1985/win_update/upgrade – Information parsed from LNK:  Creation time: 2017-10-31 17:04:18  MAC address: 00-0C-29-B9-B8-D0  MAC manufacturer: VMware, Inc.  Machine ID: music The LNK file attempts to run the following PowerShell command: C:\Windows\System32\WindowsPowerShell\v1.0\ powe",
1.0.0,actor--ghostwriter,artifact--sha256:1d50017bc8dac727746d0f75b2120dd8fa50b48de533a0dc5e8880d73e59f4ef,observation--sha256:b22eb8889b6cbce769003c4ef08d9cc866088e1d0cd6cf26cec337822bce8ba5,command,"PowerShell, returning the result of execution as a string.","PowerShell, returning the result of execution as a string",candidate,2017-10-31T00:00:00Z,day,known,same-record,,source--ghostwriter--e238f98cc4a7878c,Ghostwriter/unc1151-ghostwriter-update-report.pdf,"{""page"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"If the user double clicks the gift image, they are prompted to download an LNK file. • giftForYou.lnk (MD5: 0faf36548b8396851368c532ad4ac348) – LNK file dropped by the gift document – C&C: http:/ /88.99.104.179:1985/win_update/upgrade – Information parsed from LNK:  Creation time: 2017-10-31 17:04:18  MAC address: 00-0C-29-B9-B8-D0  MAC manufacturer: VMware, Inc.  Machine ID: music The LNK file attempts to run the following PowerShell command: C:\Windows\System32\WindowsPowerShell\v1.0\ powe",
1.0.0,actor--ghostwriter,artifact--sha256:d86177e1e45e94e57714cedeff06e96d754eca353efa42294a8b4e0b17c66b6f,observation--sha256:6d68b35a37525c7b72cfbfe6c9ae4b0c76a370329e6957019697a5454660e428,command,RADIOSTAR is a PowerShell backdoor that XOR-decodes,RADIOSTAR is a PowerShell backdoor that XOR-decodes,candidate,2018-01-20T00:00:00Z,day,known,same-record,,source--ghostwriter--e238f98cc4a7878c,Ghostwriter/unc1151-ghostwriter-update-report.pdf,"{""page"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,Figure 7. Related lure document targeting a media entity in Poland. • News.03.doc (MD5: 842ee5e1e7b50b6e4916c177ace9debc) – Lure document containing various news articles copied and pasted from legitimate news websites – Leverages DDE to download a file – Author: 1 – Created: 2018-01-20 17:21:00 – Modified: 2018-01-22 21:44:00 – C&C: 88.99.132.118 This malicious document contains the same DDE command and C&C server as the previously analyzed sample from the Lithuanian RADIOSTAR campaign. It also,
1.0.0,actor--ghostwriter,artifact--sha256:016c5daf6c606c9678b58a1a44935d4df85196c53f72661f50191d2cf6e175cb,observation--sha256:dfda15dc483c886419861fbcca3fc04e610a33e87bbe4e3107b154f578818803,command,The LNK file attempts to run the following PowerShell,The LNK file attempts to run the following PowerShell,candidate,2017-10-31T00:00:00Z,day,known,same-record,,source--ghostwriter--e238f98cc4a7878c,Ghostwriter/unc1151-ghostwriter-update-report.pdf,"{""page"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"If the user double clicks the gift image, they are prompted to download an LNK file. • giftForYou.lnk (MD5: 0faf36548b8396851368c532ad4ac348) – LNK file dropped by the gift document – C&C: http:/ /88.99.104.179:1985/win_update/upgrade – Information parsed from LNK:  Creation time: 2017-10-31 17:04:18  MAC address: 00-0C-29-B9-B8-D0  MAC manufacturer: VMware, Inc.  Machine ID: music The LNK file attempts to run the following PowerShell command: C:\Windows\System32\WindowsPowerShell\v1.0\ powe",
1.0.0,actor--ghostwriter,artifact--sha256:f7216a33125d396cb9e560a3a1d878d6ad56fb7a726238bb93b0a41c15b11fa6,observation--sha256:d32e2166f220e49d94dae2a1b079f8ca82fc555aa455429d85d62214138f445a,command,and runs different PowerShell commands received from,and runs different PowerShell commands received from,candidate,2018-01-20T00:00:00Z,day,known,same-record,,source--ghostwriter--e238f98cc4a7878c,Ghostwriter/unc1151-ghostwriter-update-report.pdf,"{""page"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,Figure 7. Related lure document targeting a media entity in Poland. • News.03.doc (MD5: 842ee5e1e7b50b6e4916c177ace9debc) – Lure document containing various news articles copied and pasted from legitimate news websites – Leverages DDE to download a file – Author: 1 – Created: 2018-01-20 17:21:00 – Modified: 2018-01-22 21:44:00 – C&C: 88.99.132.118 This malicious document contains the same DDE command and C&C server as the previously analyzed sample from the Lithuanian RADIOSTAR campaign. It also,
1.0.0,actor--ghostwriter,artifact--sha256:c383b0770e514a7e7f51ed8bf4fc351ae87dfe2ba9e471a4504a98b79f908dd6,observation--sha256:3f8c2f5a81381e5070786badf46ec151bb99028ea30d3e11ee5a9287f7f2facc,command,cmd /c certutil -decode C:\Users\k\AppData\Local\,cmd /c certutil -decode C:\Users\k\AppData\Local\,candidate,,unknown,unknown,not-stated,,source--ghostwriter--e238f98cc4a7878c,Ghostwriter/unc1151-ghostwriter-update-report.pdf,"{""page"": 33}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"FireEye, Inc. 601 McCarthy Blvd. Milpitas, CA 95035 408.321.6300/877.FIREEYE (347.3393) info@FireEye.com About Mandiant Solutions Mandiant Solutions brings together the world’s leading threat intelligence and frontline expertise with continuous security validation to arm organizations with the tools needed to increase security effectiveness and reduce business risk.©2021 FireEye, Inc. All rights reserved. FireEye and Mandiant are registered trademarks of FireEye, Inc. All other brands, products,",
1.0.0,actor--ghostwriter,artifact--sha256:3365fd1d8cfb16c870de67d42c8e73c835c7969ad7c1c56e7b5d743768b0670a,observation--sha256:b3f6ab4152994331daec3dd3ae8c46c9b38fcb070d53612479de45555087129f,command,powershell.exe -NoP -sta -NonI -W Hidden,powershell.exe -NoP -sta -NonI -W Hidden,candidate,2017-12-27T00:00:00Z,day,known,same-record,,source--ghostwriter--e238f98cc4a7878c,Ghostwriter/unc1151-ghostwriter-update-report.pdf,"{""page"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Figure 6. Lure document referencing fabricated content posted on tv3.lt. • Press release_18_01_2018.doc (MD5: 6bd52a05e1eb703d34b6bcb7f05673a4) – Lure document with references to fabricated content – Leverages Dynamic Data Exchange (DDE) to download a file – Created: 2017-12-27 11:51:00 – Modified: 2018-01-18 17:17:00 – CodePage: Windows Cyrillic – C&C: 88.99.132.118 Afteruser execution of the lure document, the document attempts to download another stage using Dynamic Data Exchange (DDE): DDEAU",
1.0.0,actor--ghostwriter,artifact--sha256:3365fd1d8cfb16c870de67d42c8e73c835c7969ad7c1c56e7b5d743768b0670a,observation--sha256:6e8614f32aebbd8faacf4f533b0cd5b1b032a214000af9cea0c306a5735ececa,command,powershell.exe -NoP -sta -NonI -W Hidden,powershell.exe -NoP -sta -NonI -W Hidden,candidate,,unknown,unknown,not-stated,,source--ghostwriter--e238f98cc4a7878c,Ghostwriter/unc1151-ghostwriter-update-report.pdf,"{""page"": 27}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"After the malware runs successfully, it drops the same files as the Tv3.lt case to the victim’s system with the exception of the following: • %TEMP%\splwow64.ps1.vbs (MD5: 9a2de44916c0f37396eead505508284b) – VBS launcher • %TEMP%\splwow32.ps1 (MD5: 96ea8602c7b268311c6a0b409757d803) – RADIOSTAR backdoor – C&C: http:/ /88.99.132.118:1985/update/microsoft_ corp/23 Unknown “Gift” Campaign using VIDEOKILLER This campaign used a very different operational flow, but later stages contain the same functi",
1.0.0,actor--ghostwriter,artifact--sha256:443aeca9d5b655e06c4c8ce2ab8bd2b21f23685ae8d6c855af6445b9c708d951,observation--sha256:a7a088803a4c7c4e624f357af94f1281531e6b79ed29f1d13cbd7ef71d874d42,command,powershell.exe” -NoP -sta -NonI -W Hidden IEX,powershell.exe” -NoP -sta -NonI -W Hidden IEX,candidate,2017-10-31T00:00:00Z,day,known,same-record,,source--ghostwriter--e238f98cc4a7878c,Ghostwriter/unc1151-ghostwriter-update-report.pdf,"{""page"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"If the user double clicks the gift image, they are prompted to download an LNK file. • giftForYou.lnk (MD5: 0faf36548b8396851368c532ad4ac348) – LNK file dropped by the gift document – C&C: http:/ /88.99.104.179:1985/win_update/upgrade – Information parsed from LNK:  Creation time: 2017-10-31 17:04:18  MAC address: 00-0C-29-B9-B8-D0  MAC manufacturer: VMware, Inc.  Machine ID: music The LNK file attempts to run the following PowerShell command: C:\Windows\System32\WindowsPowerShell\v1.0\ powe",
1.0.0,actor--ghostwriter,artifact--sha256:73bfa987673e261d74e877174f50a797d21fb45ce09ee58671df3b7337d00643,observation--sha256:7093f7d3d49a577418e47cf921ff97d1043776cc1f2daba06e950a8c88604a8f,command,string representing a secondary PowerShell command is,string representing a secondary PowerShell command is,candidate,2017-12-27T00:00:00Z,day,known,same-record,,source--ghostwriter--e238f98cc4a7878c,Ghostwriter/unc1151-ghostwriter-update-report.pdf,"{""page"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Figure 6. Lure document referencing fabricated content posted on tv3.lt. • Press release_18_01_2018.doc (MD5: 6bd52a05e1eb703d34b6bcb7f05673a4) – Lure document with references to fabricated content – Leverages Dynamic Data Exchange (DDE) to download a file – Created: 2017-12-27 11:51:00 – Modified: 2018-01-18 17:17:00 – CodePage: Windows Cyrillic – C&C: 88.99.132.118 Afteruser execution of the lure document, the document attempts to download another stage using Dynamic Data Exchange (DDE): DDEAU",
