schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--ghoul,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:3f06bf14a5539cdd8f0815fb8f86d37445f79f681974531c285185a757bf6155,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--ghoul--fd2e560ecd1821ee,actor_profile/evidence/ghoul.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 175} Ghoul Threat Group Cards: A Threat Actor Encyclopedia 175 Operation Ghoul Names Operation Ghoul (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab has observed new waves of attacks that started on the 8th and the 27th of June 20",
1.0.0,actor--ghoul,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:c9401786bb1f489cf70c53958b3e4b22ffdbdb7b85dfba046e523786ba65f895,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--ghoul--fd2e560ecd1821ee,actor_profile/evidence/ghoul.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 175} Ghoul Threat Group Cards: A Threat Actor Encyclopedia 175 Operation Ghoul Names Operation Ghoul (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab has observed new waves of attacks that started on the 8th and the 27th of June 2016. These have been hig",
1.0.0,actor--ghoul,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:36efbe7175db01ba79ce93f9aa6fcfc9d72a657326c58577ee3aae7d24dd5cea,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--ghoul--fd2e560ecd1821ee,actor_profile/evidence/ghoul.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 175} ghoul , Gilbraltar, India, Iran, Iraq, Italy, Pakistan, Portugal, Romania, Qatar, Saudi Arabia, Spain, Sweden, Switzerland, Taiwan, Turkey, UAE, UK and USA. Tool used ShopBot. Information <https://securelist.com/operation-ghoul-targeted-attacks-on-industrial-and- engineering-organizations/75718/>",
1.0.0,actor--ghoul,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:d04010c1065806b1cf5768173691479f652572c68b7a9885e509ddc5bc92fe83,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--ghoul--fd2e560ecd1821ee,actor_profile/evidence/ghoul.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 5} Ghoul .............................. 173 Operation BugDrop ...................................................................................................................................................... 174 Operation Ghoul ........................................................................................................................................................... 175 Operation Groundbait .....................................",
1.0.0,actor--ghoul,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:56ab7acf7e02558b9084c534eb8df20fea3a3a3f24347475a4ab51117fc1d2c9,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--ghoul--fd2e560ecd1821ee,actor_profile/evidence/ghoul.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 175} Ghoul Threat Group Cards: A Threat Actor Encyclopedia 175 Operation Ghoul Names Operation Ghoul (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab has observed new waves of attacks that started on the 8th and the 27th of June 20",
1.0.0,actor--ghoul,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:e014753127e0a4754b9fde6ff96ca8d4ac90bcf36ee592a764074224c1b6d02f,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--ghoul--fd2e560ecd1821ee,actor_profile/evidence/ghoul.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 175} Ghoul Threat Group Cards: A Threat Actor Encyclopedia 175 Operation Ghoul Names Operation Ghoul (Kaspersky) Country [Unknown] Motivation Information theft and espionage Description (Kaspersky) Kaspersky Lab has observed new waves of attacks that started on the 8th and the 27th of June 2016. These have been hig",
1.0.0,actor--ghoul,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8aacac69c1572340aa26b0509404b6a7b97ef79c481592e7e6e0dd52ca1633de,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--ghoul--fd2e560ecd1821ee,actor_profile/evidence/ghoul.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 175} ghoul , Gilbraltar, India, Iran, Iraq, Italy, Pakistan, Portugal, Romania, Qatar, Saudi Arabia, Spain, Sweden, Switzerland, Taiwan, Turkey, UAE, UK and USA. Tool used ShopBot. Information <https://securelist.com/operation-ghoul-targeted-attacks-on-industrial-and- engineering-organizations/75718/>",
1.0.0,actor--ghoul,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:2b6befeaf95d1443fe251d75b6559d0f1f012b7a1352aefb407615135b292c0c,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--ghoul--fd2e560ecd1821ee,actor_profile/evidence/ghoul.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 5} Ghoul ........................................................ 173 Operation BugDrop ............................................................................................................................ 174 Operation Ghoul ................................................................................................................................. 175 Operation Groundbait ...............................................................",
1.0.0,actor--ghoul,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:597d061da8ccc3aa4c7681e47b8029e7ebc36aac21e59d546fdb62e4440a7d99,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--ghoul--fd2e560ecd1821ee,actor_profile/evidence/ghoul.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 18, ""sheet"": ""Unknown""} Ghoul Ghoul Operation Ghoul mainly industrial, engineering and manufacturing organizations in more than 30 countries Financial interests https://securelist.com/blog/research/75718/operation-ghoul-targeted-attacks-on-industrial-and-",
1.0.0,actor--ghoul,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:f85623b9bfba9fe6984acac4435e6caa93bcf7fd76d830191767d030cb8a07bd,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--ghoul--fd2e560ecd1821ee,actor_profile/evidence/ghoul.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 18, ""sheet"": ""Unknown""} Ghoul Ghoul Operation Ghoul mainly industrial, engineering and manufacturing organizations in more than 30 countries Financial interests https://securelist.com/blog/research/75718/operation-ghoul-targeted-attacks-on-industrial-and-engineering-orga",
