schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--group5,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:46c35905467325f0fa1e9a39255fbe951bb64303cc70851ab70bd4c71440a2d3,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--group5--2a48266b283f8080,actor_profile/evidence/group5.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 114} Group5 Threat Group Cards: A Threat Actor Encyclopedia 114 Group5 Names Group5 (Citizen Lab) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description (SecurityWeek) A threat actor using Iranian-language tools, Iranian hosting companies, operati",
1.0.0,actor--group5,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:68a27bcddc08243b4f4bdf09092dab42843bc5826a90388073e325eaa7ece5d8,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--group5--2a48266b283f8080,actor_profile/evidence/group5.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 114} Group5 Threat Group Cards: A Threat Actor Encyclopedia 114 Group5 Names Group5 (Citizen Lab) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description (SecurityWeek) A threat actor using Iranian-language tools, Iranian hosting companies, operating from the Ir",
1.0.0,actor--group5,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:63a7cd0b1f2c808b4268297bc295733c7254155a342097646d3279855cf8eb26,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--group5--2a48266b283f8080,actor_profile/evidence/group5.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 114} Group5 ms, malicious PowerPoint files, and Android malware. The threat actor was targeting Windows and Android devices of well-connected individuals in the Syrian opposition, researchers discovered. They called the actor Group5, because it targets Syrian opposition after regime-linked malware groups, the Syrian Electronic Army, ISIS (also known as the Islamic State or ISIL), and a group linked to Lebanon did the same in the past. Observed C",
1.0.0,actor--group5,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:e519599f14b371ad3ed848ae0015b7f460e24e46259960b97fe37708830431a3,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--group5--2a48266b283f8080,actor_profile/evidence/group5.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Group5 ................................ 111 GozNym ......................................................................................................................................................................... 113 Group5 ........................................................................................................................................................................... 114 Hidden Lynx, Aurora Panda.................",
1.0.0,actor--group5,artifact--sha256:51a21369e60bbf9cf70855db193cd9da3698d80b54d75c2446a5d437c8ecf41f,observation--sha256:33a0441c8edd205d83ccd1eeb3d55b49e01569e47b2041c4bc0877208528dc8b,file-name,Activities.pdf,Activities.pdf,candidate,,unknown,unknown,not-stated,,source--group5--2a48266b283f8080,actor_profile/evidence/group5.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT28/BlueDelta Exploits Ukrainian Government Roundcube Mail Servers to Support Espionage Activities.pdf {""page"": 5} Group5 whichisincontrasttoall but1IPaddressobservedwithinthepreviousBlueDeltaactivityregardingCVE 2023 23397wherecompromisedUbiquiti deviceswereused. RecordedFuture ® | www.recordedfuture.com| Distribution: Public, fromInsikt Group5",
1.0.0,actor--group5,artifact--sha256:bdc916458a0080bd37ba07c8ab71ea7738834b00a25952cbf46a60c79df6c892,observation--sha256:e3020dc3138b4ec9a9d380284137f50b45d1dc5690b497c487e22da5dbf29df1,file-name,BlueCharlie_Continues_to_Deploy_New_Infrastructure_in_2023.pdf,BlueCharlie_Continues_to_Deploy_New_Infrastructure_in_2023.pdf,candidate,,unknown,unknown,not-stated,,source--group5--2a48266b283f8080,actor_profile/evidence/group5.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Calisto/BlueCharlie_Continues_to_Deploy_New_Infrastructure_in_2023.pdf {""page"": 5} Group5 tivity: ● check/checker● dns● cloud● control/controls● docs● document● network● of● protect/protected/protector● safety● storage● transfer● web RecordedFuture ® | www.recordedfuture.com| Distribution: Public, fromInsikt Group5",
1.0.0,actor--group5,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:71531733d58b9b3d32ff02a1d92cbfd701d0d2e15ef59b710169d3fc79f98a85,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--group5--2a48266b283f8080,actor_profile/evidence/group5.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 114} Group5 Threat Group Cards: A Threat Actor Encyclopedia 114 Group5 Names Group5 (Citizen Lab) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description (SecurityWeek) A threat actor using Iranian-language tools, Iranian hosting companies, operati",
1.0.0,actor--group5,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8edf6fdace9c7c72f7812f7e493a8b8e3b74523e570115e409cb538185c2ea93,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--group5--2a48266b283f8080,actor_profile/evidence/group5.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 114} Group5 Threat Group Cards: A Threat Actor Encyclopedia 114 Group5 Names Group5 (Citizen Lab) Country Iran Sponsor State-sponsored Motivation Information theft and espionage Description (SecurityWeek) A threat actor using Iranian-language tools, Iranian hosting companies, operating from the Ir",
1.0.0,actor--group5,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:13ecc4f49a33711409e926f669d8c3a8535dcf097f55a92cf93098a7039f5d11,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--group5--2a48266b283f8080,actor_profile/evidence/group5.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 114} Group5 ms, malicious PowerPoint files, and Android malware. The threat actor was targeting Windows and Android devices of well-connected individuals in the Syrian opposition, researchers discovered. They called the actor Group5, because it targets Syrian opposition after regime-linked malware groups, the Syrian Electronic Army, ISIS (also known as the Islamic State or ISIL), and a group linked to Lebanon did the same in the past. Observed C",
1.0.0,actor--group5,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:1cc7337d7de82a92adc09e424688937b72c51b36f7b4e16f0ed4e05c787bce35,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--group5--2a48266b283f8080,actor_profile/evidence/group5.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 4} Group5 .......................................................... 111 GozNym ............................................................................................................................................... 113 Group5 ................................................................................................................................................. 114 Hidden Lynx, Aurora Panda ..........................................",
