value,type,artifact_type,observed_at,campaign_refs,malware_refs,infrastructure_refs,roles,context
6512bc560bc2199c24f946b67c5bf1d5,md5,,,activity--operation-double-barrel-technical-overlap-2026,,,gunra-case-file-hash,"AhnLab PDF p.62 section C, Gunra Ransomware Attack Cases; no filename or individual observation date is provided."
b3c4a6abd9c39ccae8a628f2ce2513b5,md5,,,activity--operation-double-barrel-technical-overlap-2026,,,gunra-case-file-hash,"AhnLab PDF p.62 section C, Gunra Ransomware Attack Cases; no filename or individual observation date is provided."
https://anyonecdn.com/,url,,,activity--operation-double-barrel-technical-overlap-2026,,infrastructure--gunra-operation-double-barrel-network,gunra-case-url|also-listed-watering-hole,"AhnLab PDF p.64 section C lists this URL for Gunra; p.63 watering-hole section also lists a path on the same host."
anyonecdn.com,domain,,,activity--operation-double-barrel-technical-overlap-2026,,infrastructure--gunra-operation-double-barrel-network,gunra-case-domain|also-listed-watering-hole,"Host extracted from the exact Gunra URL in AhnLab PDF p.64; retain as non-exclusive shared infrastructure."
https://jshosting.me/_common/_view/?id=2021043321,url,,,activity--operation-double-barrel-technical-overlap-2026,,infrastructure--gunra-operation-double-barrel-network,exploit-script-distribution|shared-infrastructure,"AhnLab PDF p.55 states jshosting.me was subsequently used to distribute the vulnerability exploit script in a Gunra watering-hole attack against a Korean pharmaceutical company; p.63 supplies the exact URL."
jshosting.me,domain,,,activity--operation-double-barrel-technical-overlap-2026,,infrastructure--gunra-operation-double-barrel-network,exploit-script-distribution|shared-infrastructure,"AhnLab PDF p.55 explicitly identifies this domain in both the unnamed state-sponsored and Gunra attack flows."
141.164.44.139,ipv4,,,activity--operation-double-barrel-technical-overlap-2026,,infrastructure--gunra-operation-double-barrel-network,gunra-download-or-c2|also-listed-watering-hole,"AhnLab PDF p.64 section C lists this IP for Gunra ransomware attack cases; it also appears in the watering-hole list, but no narrower role or time is given."
158.247.212.35,ipv4,,,activity--operation-double-barrel-technical-overlap-2026,,infrastructure--gunra-operation-double-barrel-network,gunra-download-or-c2|also-listed-watering-hole,"AhnLab PDF p.64 section C lists this IP for Gunra ransomware attack cases; it also appears in the watering-hole list, but no narrower role or time is given."
158.247.240.44,ipv4,,,activity--operation-double-barrel-technical-overlap-2026,,infrastructure--gunra-operation-double-barrel-network,gunra-download-or-c2|also-listed-watering-hole,"AhnLab PDF p.64 section C lists this IP for Gunra ransomware attack cases; it also appears in the watering-hole list, but no narrower role or time is given."
176.65.128.26,ipv4,,,activity--operation-double-barrel-technical-overlap-2026,,infrastructure--gunra-operation-double-barrel-network,c2|reverse-tunnel|payload-download|shared-infrastructure,"AhnLab PDF p.55 explicitly states this address was used for an unnamed-cluster OpenSSH reverse tunnel and subsequently in Gunra attacks against Korean pharmaceutical and education companies; the shown Gunra PowerShell command downloads from port 443."
45.32.25.205,ipv4,,,activity--operation-double-barrel-technical-overlap-2026,,infrastructure--gunra-operation-double-barrel-network,gunra-download-or-c2|also-listed-watering-hole,"AhnLab PDF p.64 section C lists this IP for Gunra ransomware attack cases; it also appears in the watering-hole list, but no narrower role or time is given."
SyncHost.exe,,process-name,2026-03,activity--gunra-operation-double-barrel-incident-2026-03|activity--operation-double-barrel-technical-overlap-2026,,,process-injection-target|legitimate-process,"AhnLab PDF p.49 and p.51 state malicious code was injected into the legitimate Microsoft SyncHost.exe process in the March 2026 Gunra infection; do not treat the filename alone as malicious."
