schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--hexane,artifact--sha256:8d4a9deb8dee874b553e7b07474afe14bbcc7c757e953e16f25d2fa3f60ebc99,observation--sha256:c2f2ddb4fa923b7df316e0e1af927333488e1ebaa3e29570052636461546d707,command,"APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} HEXANE LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https:","APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} HEXANE LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https:",candidate,,unknown,unknown,not-stated,,source--hexane--14d1aa1cc96a4a41,actor_profile/evidence/hexane.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} HEXANE LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https:",
1.0.0,actor--hexane,artifact--sha256:b93ec51cb0c1710793dd90cf28a8e17f6bbba884e0b7dc506e120573868c67c1,observation--sha256:f36fb9f5a3c7418359fdb165d8e6031ee107b1d8bc74dd2246d53c2177cc74f1,command,"APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} LYCEUM LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign","APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} LYCEUM LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign",candidate,,unknown,unknown,not-stated,,source--hexane--14d1aa1cc96a4a41,actor_profile/evidence/hexane.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} LYCEUM LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign",
1.0.0,actor--hexane,artifact--sha256:18fbef5467e49132fb1cb709f32af190d7a8fc0b2aae0693c13b8fca3a92b36a,observation--sha256:7123a480a7cd7c063203eef960e17d18b0aa518fb024aaa626850c16f1e0a899,command,"APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} Siamesekitten LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/r","APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} Siamesekitten LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/r",candidate,,unknown,unknown,not-stated,,source--hexane--14d1aa1cc96a4a41,actor_profile/evidence/hexane.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} Siamesekitten LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/r",
1.0.0,actor--hexane,artifact--sha256:bb57af5f540fa9074f884b1c044e64de0d0a02dae19557ae4a184c58e762adee,observation--sha256:9a1c20b20d3f827e2fd0ef725910cccec3021f502e901dc4b6b39bca28a44b56,command,"APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} hexane DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/resource/hexane/ https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf https://research.checkpoint.com/2022/state-sponsored-attack-groups-capitalise-on-russia-ukraine-war-for-cyber-espionage/","APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} hexane DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/resource/hexane/ https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf https://research.checkpoint.com/2022/state-sponsored-attack-groups-capitalise-on-russia-ukraine-war-for-cyber-espionage/",candidate,2021-08-01T00:00:00Z,month,known,same-record,,source--hexane--14d1aa1cc96a4a41,actor_profile/evidence/hexane.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} hexane DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/resource/hexane/ https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf https://research.checkpoint.com/2022/state-sponsored-attack-groups-capitalise-on-russia-ukraine-war-for-cyber-espionage/",
1.0.0,actor--hexane,artifact--sha256:cda7b37c1967ae946957782a4a6d3e5f714f4068afd473be69a665e36f777bda,observation--sha256:a247f547f6fbd9744b957d6857da6ca6276a198f1e6a52e368affe0a42dc92e7,command,"APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} lyceum LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/resource/hexane/ https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf https://research.checkpoint.com/2022/state-sponsored-attack-groups-","APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} lyceum LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/resource/hexane/ https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf https://research.checkpoint.com/2022/state-sponsored-attack-groups-",candidate,2021-08-01T00:00:00Z,month,known,same-record,,source--hexane--14d1aa1cc96a4a41,actor_profile/evidence/hexane.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 33, ""sheet"": ""Unknown""} lyceum LYCEUM HEXANE Siamesekitten DanBot, DanDrop, Invoke-Obfuscation, PowerShell, PoshC2 Middle East, Kuwait, South Africa Most likely Iranian group https://www.secureworks.com/blog/lyceum-takes-center-stage-in-middle-east-campaign https://dragos.com/resource/hexane/ https://www.clearskysec.com/wp-content/uploads/2021/08/Siamesekitten.pdf https://research.checkpoint.com/2022/state-sponsored-attack-groups-",
1.0.0,actor--hexane,artifact--sha256:d2dd8d579e21f28cabae45b41aadc90925d8bf5e42cb184fca6a948610508e20,observation--sha256:7ae8d2888890e0e53abdff35b3f14995928d20458aa6bbf7ab18c40dfc0a5270,command,"summary/2023/360_APT_Annual_Research_Report_2022.pdf {""page"": 44} Lyceum 动。 2022 年APT35 组织利用 Log4j2 漏洞分发新的模块化 PowerShell 工 具 包 ，并 在3月开发了新的PowerShell 后门PowerLess ，同 样 中 东 背 景 的APT组 织TunnelVision 组织也在后续的攻击行动积极利用 Log4j2 漏洞发起攻击。 受到中东地区地缘政治事件的影响， APT34组织利用新的 Saitama 后门， 向目标发起攻击活动。 与APT34可能属于同一组织的 Lyceum 组织也活动频频， 先是针对高科技芯片行业发起攻击活 动， 随后又对中东发起攻击， 攻击的同时频繁对其攻击组件进行更新。 Advanced Persistent Threat","summary/2023/360_APT_Annual_Research_Report_2022.pdf {""page"": 44} Lyceum 动。 2022 年APT35 组织利用 Log4j2 漏洞分发新的模块化 PowerShell 工 具 包 ，并 在3月开发了新的PowerShell 后门PowerLess ，同 样 中 东 背 景 的APT组 织TunnelVision 组织也在后续的攻击行动积极利用 Log4j2 漏洞发起攻击。 受到中东地区地缘政治事件的影响， APT34组织利用新的 Saitama 后门， 向目标发起攻击活动。 与APT34可能属于同一组织的 Lyceum 组织也活动频频， 先是针对高科技芯片行业发起攻击活 动， 随后又对中东发起攻击， 攻击的同时频繁对其攻击组件进行更新。 Advanced Persistent Threat",candidate,,unknown,unknown,not-stated,,source--hexane--14d1aa1cc96a4a41,actor_profile/evidence/hexane.csv,"{""row"": 31}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/360_APT_Annual_Research_Report_2022.pdf {""page"": 44} Lyceum 动。 2022 年APT35 组织利用 Log4j2 漏洞分发新的模块化 PowerShell 工 具 包 ，并 在3月开发了新的PowerShell 后门PowerLess ，同 样 中 东 背 景 的APT组 织TunnelVision 组织也在后续的攻击行动积极利用 Log4j2 漏洞发起攻击。 受到中东地区地缘政治事件的影响， APT34组织利用新的 Saitama 后门， 向目标发起攻击活动。 与APT34可能属于同一组织的 Lyceum 组织也活动频频， 先是针对高科技芯片行业发起攻击活 动， 随后又对中东发起攻击， 攻击的同时频繁对其攻击组件进行更新。 Advanced Persistent Threat",
1.0.0,actor--hexane,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:cd993aed0671e3ba32598e62bfc11e6954a726ea9dd854d3c88e99cf4e7b36a9,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,2022-09-08T00:00:00Z,day,known,same-record,,source--hexane--14d1aa1cc96a4a41,actor_profile/evidence/hexane.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 29} Hexane acher 108 Note: Microsoft assesses multiple Iranian threat actors participated in this attack under four different clusters of activity which we associate with Yellow Maero (a.k.a. APT34), Yellow Dev 9 (a.k.a. Lyceum, Hexane) and Yellow Dev 31 (a.k.a. DEV-0842). Source: ‘Microsoft investigates Iranian attacks against the Albanian government’, Microsoft, https://www.microsoft.com/en -us/security/blog/2022/09/08/microsoft -investi",
1.0.0,actor--hexane,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:d0f0928f9c6ec348d49a68a9381bd85e6bcd1e18b974384e50e5451d9cac38f9,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,2022-09-08T00:00:00Z,day,known,same-record,,source--hexane--14d1aa1cc96a4a41,actor_profile/evidence/hexane.csv,"{""row"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 29} Hexane 022) 112 Note: Microsoft assesses multiple Iranian threat actors participated in this attack under four different clusters of activity which we associate with Yellow Maero (a.k.a. APT34), Yellow Dev 9 (a.k.a. Lyceum, Hexane) and Yellow Dev 31 (a.k.a. DEV-0842). Source: ‘Microsoft investigates Iranian attacks against the Albanian government’, Microsoft, https://www.microsoft.com/en -us/security/blog/2022/09/08/microsoft -investig",
1.0.0,actor--hexane,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:6bec0ebf8132ce618f200e7ded96179dbdc1e263fadeafb2e3ebb27c6d2391ea,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,2022-09-08T00:00:00Z,day,known,same-record,,source--hexane--14d1aa1cc96a4a41,actor_profile/evidence/hexane.csv,"{""row"": 25}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 29} Lyceum stent teacher 108 Note: Microsoft assesses multiple Iranian threat actors participated in this attack under four different clusters of activity which we associate with Yellow Maero (a.k.a. APT34), Yellow Dev 9 (a.k.a. Lyceum, Hexane) and Yellow Dev 31 (a.k.a. DEV-0842). Source: ‘Microsoft investigates Iranian attacks against the Albanian government’, Microsoft, https://www.microsoft.com/en -us/security/blog/2022/09/08/microsoft ",
1.0.0,actor--hexane,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:b3dca6ca4f9b593fb355af8f1b3d13cc4c4e6ac541dac6cdb8ff74a37746c866,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,2022-09-08T00:00:00Z,day,known,same-record,,source--hexane--14d1aa1cc96a4a41,actor_profile/evidence/hexane.csv,"{""row"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 29} Lyceum April 2022) 112 Note: Microsoft assesses multiple Iranian threat actors participated in this attack under four different clusters of activity which we associate with Yellow Maero (a.k.a. APT34), Yellow Dev 9 (a.k.a. Lyceum, Hexane) and Yellow Dev 31 (a.k.a. DEV-0842). Source: ‘Microsoft investigates Iranian attacks against the Albanian government’, Microsoft, https://www.microsoft.com/en -us/security/blog/2022/09/08/microsoft -i",
