schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--higaisa,artifact--sha256:5cfe5df90b439f560294509f95f2cb8b37c3e13391fd58c85f0b3a4732cd4d54,observation--sha256:2cc8cd9aaa1a21e68cac610f5d95b6e9b03905cc05dcec839d2e58a8f4c0ba59,file-name,ESET_Threat_Report_Q22020.pdf,ESET_Threat_Report_Q22020.pdf,candidate,2020-06-01T00:00:00Z,month,known,same-record,,source--higaisa--fa34c0b540a151ae,actor_profile/evidence/higaisa.csv,"{""row"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/ESET_Threat_Report_Q22020.pdf {""page"": 34} higaisa ersities-hong-kong/ [26] https://www.carbonblack.com/blog/cb-threat-analysis-unit-technical-analysis-of-crosswalk/ [27] https://attack.mitre.org/software/S0013/ [28] https://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ [29] https://docs.microsoft.com/en-us/dotnet/framework/tools/installutil-exe-installer-tool [30] https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Winnti.pdf [31] https://twitter.com/ESETresearc",
1.0.0,actor--higaisa,artifact--sha256:199ecfabc7674812e0ed4a2d65f3ecf0b7a8567c233ba846be60d748385c90a3,observation--sha256:0177077c57be0a7d62f4568ce7d2625305dfec543aa1a50264ffd38b38ecf050,file-name,ESET_Winnti.pdf,ESET_Winnti.pdf,candidate,2020-06-01T00:00:00Z,month,known,same-record,,source--higaisa--fa34c0b540a151ae,actor_profile/evidence/higaisa.csv,"{""row"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/ESET_Threat_Report_Q22020.pdf {""page"": 34} higaisa ersities-hong-kong/ [26] https://www.carbonblack.com/blog/cb-threat-analysis-unit-technical-analysis-of-crosswalk/ [27] https://attack.mitre.org/software/S0013/ [28] https://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ [29] https://docs.microsoft.com/en-us/dotnet/framework/tools/installutil-exe-installer-tool [30] https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Winnti.pdf [31] https://twitter.com/ESETresearc",
1.0.0,actor--higaisa,artifact--sha256:fa64f7e7914893e901370e48ee97f3d5a7964f8b096f63c2ed2f48f8ae3cbeb0,observation--sha256:668317aa66f3e65960f293f43d7308fddba86d70cc6d2c0a0def377841751f7b,file-name,Hunters.pdf,Hunters.pdf,candidate,,unknown,unknown,not-stated,,source--higaisa--fa34c0b540a151ae,actor_profile/evidence/higaisa.csv,"{""row"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"lazarus/Lazarus Group Recruitment_ Threat Hunters vs Head Hunters.pdf {""page"": 6} Higaisa s and tools update November 27, 2020Investigation with a twist: an accidental APT attack and averted data destruction June 4, 2020COVID-19 and New Y ear greetings: an investigation into the tools and methods used by the Higaisa group Share: Related articles May 18, 2020 IronPython, darkly: how we uncovered an attack on government entities in Europe May 24, 2020 Operation TA505: network infrastructure. Part ",
1.0.0,actor--higaisa,artifact--sha256:fa64f7e7914893e901370e48ee97f3d5a7964f8b096f63c2ed2f48f8ae3cbeb0,observation--sha256:ae19cdd2a2fb90fbbd5c75cc7056b934d2dfec613f2801196375ce35c463f0b1,file-name,Hunters.pdf,Hunters.pdf,candidate,,unknown,unknown,not-stated,,source--higaisa--fa34c0b540a151ae,actor_profile/evidence/higaisa.csv,"{""row"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"lazarus/Lazarus Group Recruitment_ Threat Hunters vs Head Hunters.pdf {""page"": 6} Higaisa ed by the Higaisa group Share: Related articles May 18, 2020 IronPython, darkly: how we uncovered an attack on government entities in Europe May 24, 2020 Operation TA505: network infrastructure. Part 3. January 14, 2021 Higaisa or Winnti? APT41 backdoors, old and new All articles Solutions ICS/SCADA Vulnerability Management Financial Services Protection from targeted attacks (anti-apt) Utilities ERP Securit",
1.0.0,actor--higaisa,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:814f8028a105fbcf18edac1a20bf99ae7067ec68fdc7da26332a0ad7a4a4f5e2,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--higaisa--fa34c0b540a151ae,actor_profile/evidence/higaisa.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 81, ""sheet"": ""Others""} Higaisa DarkHotel Tardigrade Spider Luder Karba Tapaoux Nemim Dubnium (Microsoft) APT-C-06, SHADOW CRANE, T-APT-02, SIG25 (NSA), G0012 Daybreak? Fallout Team WizardOpium Inexsmar, Higaisa, Win32.Karba, Win32.Pioneer, CVE-2015-8651, Asruex, CVE-2012-0158, CVE-2010-2883, CVE-2016-4171 and CVE-2018-817 Japan, Taiwan, China, Russia, South Korea, North Korea Government, Utilities, High-Tech, Automotive Infor",
1.0.0,actor--higaisa,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:bb7918f3ae88f0bd0a1438480110fefe1de9fa9b39bf558e28d2843cd3b3ec5f,file-name,Operations.xlsx,Operations.xlsx,candidate,2020-06-01T00:00:00Z,month,known,same-record,,source--higaisa--fa34c0b540a151ae,actor_profile/evidence/higaisa.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 81, ""sheet"": ""Others""} higaisa =https%3A%2F%2Fmp.weixin.qq.com%2Fs%2FW87E6_v9YCnsmQWDd7NOHw&sandbox=1 https://s.tencent.com/research/report/836.html https://s.tencent.com/research/report/1000.html https://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ https://www.anomali.com/blog/covid-19-themes-are-being-utilized-by-threat-actors-of-varying-sophistication https://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ https://blog.prevailion.com/202",
1.0.0,actor--higaisa,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:e0f936a90636aebf02f1a6280e559be5d99690a0a57610628071028ef3125880,file-name,Operations.xlsx,Operations.xlsx,candidate,2020-06-01T00:00:00Z,month,known,same-record,,source--higaisa--fa34c0b540a151ae,actor_profile/evidence/higaisa.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 81, ""sheet"": ""Others""} higaisa s://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ https://www.anomali.com/blog/covid-19-themes-are-being-utilized-by-threat-actors-of-varying-sophistication https://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ https://blog.prevailion.com/2020/06/the-gh0st-remains-same8.html https://www.zscaler.com/blogs/research/return-higaisa-apt https://www.cfr.org/blog/questioning-chinas-politicization-cyber-intelligence-",
1.0.0,actor--higaisa,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:f5420f8fc41d1017b6237d33924c7e8c2d52822b410d1a208abbd23a31686061,file-name,Operations.xlsx,Operations.xlsx,candidate,2020-06-01T00:00:00Z,month,known,same-record,,source--higaisa--fa34c0b540a151ae,actor_profile/evidence/higaisa.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 81, ""sheet"": ""Others""} higaisa ed-by-threat-actors-of-varying-sophistication https://blog.malwarebytes.com/threat-analysis/2020/06/higaisa/ https://blog.prevailion.com/2020/06/the-gh0st-remains-same8.html https://www.zscaler.com/blogs/research/return-higaisa-apt https://www.cfr.org/blog/questioning-chinas-politicization-cyber-intelligence-during-pandemic https://www.trellix.com/en-us/about/newsroom/stories/threat-labs/suspected-darkhotel-apt-activity-update",
1.0.0,actor--higaisa,artifact--sha256:44da9eacdb89fd2e5019d120472bae39444ad35411f77f3f04a5a5c57be0fdc1,observation--sha256:0daa695dbe526a7d13816929f8a70abb725835abcbe9e14cb84a50a12b0668ff,file-name,Report-dbappsecurity.pdf,Report-dbappsecurity.pdf,candidate,2021-11-01T00:00:00Z,month,known,same-record,,source--higaisa--fa34c0b540a151ae,actor_profile/evidence/higaisa.csv,"{""row"": 21}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/2021 Advanced Threat Trends Research Report-dbappsecurity.pdf {""page"": 10} Higaisa d Viewer进行窃密攻击 2021.11 ·Lazarus组织使用ThreatNeedle恶意软件攻击国防工业目标2021.02 ·Kimsuky组织以拜登政府调查问卷为诱饵的攻击活动分析 ·Konni组织以朝鲜疫情物资话题为诱饵的攻击活动分析 ·Lazarus组织利用Visual Studio编译器特性定向攻击二进制漏洞安全研究员 2021.01 东 亚 东亚地区的APT威胁主要来自Lazarus、Kimsuky、Konni、Higaisa、DarkHotel、毒云藤等组织。其中 以拥有朝鲜国家背景的Lazarus和Kimsuky组织最为活跃。",
1.0.0,actor--higaisa,artifact--sha256:f995185f572984deea7588de4cd2c0fb473c79b4efb06e43a613bd0dc59c097b,observation--sha256:33aefd471339db3ce3f0caa12554a21d3b6dd25e549975da6de6c493cb84e5b1,file-name,Report.pdf,Report.pdf,candidate,2023-10-18T00:00:00Z,day,known,same-record,,source--higaisa--fa34c0b540a151ae,actor_profile/evidence/higaisa.csv,"{""row"": 22}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Qianxin 2023 APT Report.pdf {""page"": 105} higaisa 7/ 106.https://asec.ahnlab.com/ko/57748/ 107.https://www.microsoft.com/en-us/security/blog/2023/10/18/multiple-north-korean-threat- actors-exploiting-the-teamcity-cve-2023-42793-vulnerability/ 108.https://cyble.com/blog/higaisa-apt-resurfaces-via-phishing-website-targeting-chinese-users/ 109.https://medium.com/s2wblog/fastviewer-variant-merged-with-fastspy-and-disguised-as-a- legitimate-mobile-application-f3004588f95c 110.https://www",
