schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--hurricane-panda,artifact--sha256:9365a40437187c9daa31e4d67d8a34da9788de1d185c0da155996c6f4ad8cea2,observation--sha256:03d12f29546b583f16a90cbfa0d6693c922209e054f694e01a3d3b0b5af94e10,file-name,A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf,A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf,candidate,,unknown,unknown,not-stated,,source--hurricane-panda--5e8085e36838aa95,actor_profile/evidence/hurricane-panda.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf {""page"": 16} APT31 eandoutsidetheborders. It isoverseenbytheCCPPolitburoStandingCommittee, whichgathersthemost influential membersof thePolitburoof theCCP. MSSoperationsareagreat indicator of thestrategicobjectivesof theCCP. APT40, APT41, APT31, MustangPanda, LuckyMouse, andAPT10areactiveChina-nexusintrusionsetsdirectlyassociatedwiththeMSSandconductingintelligencegatheringandlucrativec",
1.0.0,actor--hurricane-panda,artifact--sha256:9365a40437187c9daa31e4d67d8a34da9788de1d185c0da155996c6f4ad8cea2,observation--sha256:fb9c34bd40c47aacb35a7e4aa7d1c36505e7a362a6156f588e13af1e8ac65876,file-name,A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf,A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf,candidate,,unknown,unknown,not-stated,,source--hurricane-panda--5e8085e36838aa95,actor_profile/evidence/hurricane-panda.csv,"{""row"": 18}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/China/A-three-beat-waltz-The-ecosystem-behind-Chinese-state-sponsored-cyber-threats.pdf {""page"": 16} APT31 iveChina-nexusintrusionsetsdirectlyassociatedwiththeMSSandconductingintelligencegatheringandlucrativecampaigns.APT41 canbeconsideredasanumbrellagroup, encompassingvarioussub-clustersof maliciousactivities. APT40, APT41, APT31 particularlytarget Westerncountries, whileMustangPanda, LuckyMouseandAPT10haveabroader scopeof targets, includingNorthAmerica, Europe, MiddleEa",
1.0.0,actor--hurricane-panda,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:7712694a618d76f23f8463d6199536a8570c7c1189a17122aa444f44610711e5,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--hurricane-panda--5e8085e36838aa95,actor_profile/evidence/hurricane-panda.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} APT 31 ..... 115 Honeybee ...................................................................................................................................................................... 117 Hurricane Panda, Zirconium, APT 31 ....................................................................................................................... 118 Icefog, Dagger Panda .........................................................................",
1.0.0,actor--hurricane-panda,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:47853c9626793036599126b02f02ad0befe9f2cea297754620378cc371f73c16,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--hurricane-panda--5e8085e36838aa95,actor_profile/evidence/hurricane-panda.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Hurricane Panda ................................. 115 Honeybee ...................................................................................................................................................................... 117 Hurricane Panda, Zirconium, APT 31 ....................................................................................................................... 118 Icefog, Dagger Panda ..........................................",
1.0.0,actor--hurricane-panda,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:57bf45c23fe89d441db5e4144f98d62ad900fca52da2ac6dc3a3479b422fbfdf,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--hurricane-panda--5e8085e36838aa95,actor_profile/evidence/hurricane-panda.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Zirconium ................ 115 Honeybee ...................................................................................................................................................................... 117 Hurricane Panda, Zirconium, APT 31 ....................................................................................................................... 118 Icefog, Dagger Panda .................................................................",
1.0.0,actor--hurricane-panda,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:eeeed97bf97d95893037b7b6a8c6385dd3f5d2d3186ebb1f1a66f2b7a314aff2,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--hurricane-panda--5e8085e36838aa95,actor_profile/evidence/hurricane-panda.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 75} Black Vine Deep Panda, APT 26, Shell Crew, WebMasters, KungFu Kittens Names Deep Panda (CrowdStrike) APT 26 (Mandiant) Shell Crew (RSA) WebMasters (Kaspersky) KungFu Kittens (FireEye) Group 13 (Talos) PinkPanther (RSA) Black Vine (Symantec) Country China Motivation Information theft, espionage and financial gain Description Deep Panda is a suspected Chinese threat group known to target many industries, including government, defense, financia",
1.0.0,actor--hurricane-panda,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:d6d5f32026e003ca843648be66a02d117b781c5d579745517478adb64bd5a9eb,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--hurricane-panda--5e8085e36838aa95,actor_profile/evidence/hurricane-panda.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 75} Black Vine munications. The intrusion into healthcare company Anthem has been attributed to Deep Panda. This group is also known as Shell Crew, WebMasters, KungFu Kittens, and PinkPanther. Deep Panda also appears to be known as Black Vine based on the attribution of both group names to the Anthem intrusion. Some analysts track Deep Panda and APT 19, C0d0so as the same group, but it is unclear from open source information if the groups are the same. O",
1.0.0,actor--hurricane-panda,artifact--sha256:030af3d3c46bf4948cf03d89023157c0b6fdc13fbc6bd652d24542a77f25378d,observation--sha256:ad13dbc8d0a1d6a1b708cbe1cf63928b52e3da820fe23e02b95488984c62f0da,file-name,AuditSvc.exe,AuditSvc.exe,candidate,,unknown,unknown,not-stated,,source--hurricane-panda--5e8085e36838aa95,actor_profile/evidence/hurricane-panda.csv,"{""row"": 44}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Modern-Asian-APT-groups-TTPs_report_eng.pdf {""page"": 278} APT31 pboxapi.com Content-Length: 524 Connection: Keep-Alive Cache-Control: no-cache c:\Windows\security\audit\AuditSvc.exe MD5: 5C3A88073824A1BCE4359A7B69ED0A8D C:\intel\yandex.exe MD5: 27C9BB44F6521B770CD4576587A140D5 APT31 also has samples that use Yandex Disk: 278 Contents Modern Asian APT Groups: Tactics, Techniques and Procedures",
1.0.0,actor--hurricane-panda,artifact--sha256:331ca420e6597d5b43816db299668d563e4146460a5868e35d738a18e911671f,observation--sha256:adebb3efa8b1287441cedb0891c8c8605e4d84c25202d479049ade3cc847af92,file-name,CERTFR-2024-CTI-002.pdf,CERTFR-2024-CTI-002.pdf,candidate,,unknown,unknown,not-stated,,source--hurricane-panda--5e8085e36838aa95,actor_profile/evidence/hurricane-panda.csv,"{""row"": 51}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/CERTFR-2024-CTI-002.pdf {""page"": 19} APT31 ltiple actors, which makes the distinction and characterisation of its operators more difficult. Although anonymisation networks are not specific to intrusion sets which are reputedly Chinese, intrusion sets such as APT31 and Ke3chang distinguish themselves by an increasingly frequent and large-scale use of such mechanisms [32, 33]. To set up these networks, attackers typically compromise home routers 17, smart devices and other edg",
1.0.0,actor--hurricane-panda,artifact--sha256:331ca420e6597d5b43816db299668d563e4146460a5868e35d738a18e911671f,observation--sha256:2f0aad6b5b951593f8949b7fc9d592178388a77eb2ebc9f4d6d22349299f75e6,file-name,CERTFR-2024-CTI-002.pdf,CERTFR-2024-CTI-002.pdf,candidate,,unknown,unknown,not-stated,,source--hurricane-panda--5e8085e36838aa95,actor_profile/evidence/hurricane-panda.csv,"{""row"": 52}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/CERTFR-2024-CTI-002.pdf {""page"": 42} APT31 uence the 2020 U.S. Presidential Election. 18 November 2021. https://home.treasury.gov/news/ press-releases/jy0494 [31] LAB DOOKHTEGAN https://t.me/lab_dookhtegan [32] CERT-FR Campagne d’attaque du mode opératoire APT31 : description, contre-mesures et code. 15 December 2021. https://www.cert.ssi.gouv.fr/cti/ CERTFR-2021-CTI-012/ [33] BUNDESAMT FÜR VERFASSUNGSSCHUTZ Cyber-Brief Nr. 02/2023. 31 August 2023. https://www.verfassung",
