schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--iamtheking,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:38a6173a7a1d360e8ceaa53043ee1baf3b9d4f4376e926e054ef3d1d0658b45e,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 78, ""sheet"": ""Others""} IamtheKing IamtheKing Powerpool SLOTHFULMEDIA active since 2017 https://us-cert.cisa.gov/ncas/analysis-reports/ar20-275a https://twitter.com/craiu/status/1311920398259367942",
1.0.0,actor--iamtheking,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:c55872e7f2710191c30503214e342f26e6609ec4b77b4c166a611d2a6f0f069f,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 78, ""sheet"": ""Others""} Powerpool IamtheKing Powerpool SLOTHFULMEDIA active since 2017 https://us-cert.cisa.gov/ncas/analysis-reports/ar20-275a https://twitter.com/craiu/status/1311920398259367942",
1.0.0,actor--iamtheking,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:5b42ed17a3cfdffbb1bd4de70de9ca8331d50e3a8118b3cb5db44750b13cf2f2,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 262} PowerPool Threat Group Cards: A Threat Actor Encyclopedia 262 PowerPool Names PowerPool (ESET) Country [Unknown] Motivation Information theft and espionage First seen 2018 Description (ESET) On August 27, 2018, a so-called zero-day vulnerability affecting Microsoft Windows was publish",
1.0.0,actor--iamtheking,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:3b46d9b4c43e618b29baf4fea7bb13fd01b33c79df4c7db52625878185ef5666,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 5}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 262} PowerPool Threat Group Cards: A Threat Actor Encyclopedia 262 PowerPool Names PowerPool (ESET) Country [Unknown] Motivation Information theft and espionage First seen 2018 Description (ESET) On August 27, 2018, a so-called zero-day vulnerability affecting Microsoft Windows was published on GitHub and",
1.0.0,actor--iamtheking,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:da50c58c82ef4df3efa9b8eefb27db6bc3fee2e9dc5377c7d171e7b8cfd797f6,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 262} PowerPool it”, evade detection, or even incorporate it into their code. As one could have predicted, it took only two days before we first identified the use of this exploit in a malicious campaign from a group we have dubbed PowerPool. This group has a small number of victims and according to both our telemetry and uploads to VirusTotal (we only considered manual uploads from the web interface), the targeted countries include Chile, Germany, India",
1.0.0,actor--iamtheking,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:f39651256f8272b9ce0b50b2e6a7f974397a1085ba1d28d56a480682fc29f2da,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,2018-09-05T00:00:00Z,day,known,same-record,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 262} powerpool , India, Philippines, Poland, Russia, UK, Ukraine, USA and others. Tools used ALPC Local PrivEsc, FireMaster, PowerDump, PowerSploit, Quarks PwDump and SMBExec. Information <https://www.welivesecurity.com/2018/09/05/powerpool-malware-exploits-zero-day- vulnerability/>",
1.0.0,actor--iamtheking,artifact--sha256:68284fdf0e198dea0aeabba30be30dbf9988d3453b2f271d38569ae99645fd86,observation--sha256:2a0cd6852e70b9bdf30b7aa6fd22e9220e7a187adb8f4986c9fb3a3362a33693,file-name,Threat_Group_Cards_v2.0.pdf,Threat_Group_Cards_v2.0.pdf,candidate,,unknown,unknown,not-stated,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat_Group_Cards_v2.0.pdf {""page"": 7} PowerPool Threat Group Cards: A Threat Actor Encyclopedia 7 PowerPool ..................................................................................................................................................................... 262 Promethium, StrongPity .........................",
1.0.0,actor--iamtheking,artifact--sha256:b3506e16166a86ca44c9e40a03ebadcbf3573d599e504b21bad9fc9e3e1a4e47,observation--sha256:e6abd970c4f043b27fda1bfb34e7f9aa0742cbf4a50a61294a954620e1fd2183,file-name,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,group-ib-hi-tech-crime-trends-2022-2023-ru.pdf,candidate,,unknown,unknown,not-stated,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/group-ib-hi-tech-crime-trends-2022-2023-ru.pdf {""page"": 118} POWERPOOL В. ДЕК. APT28 ДЕК. ДЕК. OILRIG TA410 FLAME ДЕК. ИЮНЬ DUQU АВГ . ОКТ. STUXNET ИЮНЬ ИЮНЬ APT33 ИЮНЬ НОЯБ. LAZARUS АПР. ИЮЛЬ DRAGONFL Y ФЕВР. ИЮЛЬ BLACKENERGY МАЙ АПР. XENOTIME LEAFMINER APT41 СЕНТ. ИЮНЬ ORANGEWORM POETRAT POWERPOOL APT-C-36 DARK HALO IRONTIGER HAFNIUM WOROK APT40 TAG-38 Lorec53 APT10 CHERNOVITE ChamelGang",
1.0.0,actor--iamtheking,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:401c7dbcf648310545a0a77b1b9e72ea1a47999d242af28029a139eedc817ebf,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2018-09-05T00:00:00Z,day,known,same-record,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 91} IAmTheKing 83 2021 年 APT 组织情报图鉴 6.1.12 IAmTheKing 组织名 IAmTheKing 中文名 无 组织地理 未知 别名 无 历史目标 俄罗斯 目标行业 政府，国防，公共事业机构、能源，教育，企 业 发现时间 2018-09-05 最近活跃 2020-10-18 动机 间谍活动 描述 IAmTheKing 是一个专注于收集俄罗斯实体情报的 APT 组织，涉及政府机构、国防承包商、公共事业 机构、能源相关的大学和企业。IAmTheKing 组织的工具集合包括 KingOfHearts、Qu",
1.0.0,actor--iamtheking,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:fea4a95e2616f13d8ebd283618166b9e5363ff57ef252d355b15040625a1f329,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2018-09-05T00:00:00Z,day,known,same-record,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 91} IAmTheKing 83 2021 年 APT 组织情报图鉴 6.1.12 IAmTheKing 组织名 IAmTheKing 中文名 无 组织地理 未知 别名 无 历史目标 俄罗斯 目标行业 政府，国防，公共事业机构、能源，教育，企 业 发现时间 2018-09-05 最近活跃 2020-10-18 动机 间谍活动 描述 IAmTheKing 是一个专注于收集俄罗斯实体情报的 APT 组织，涉及政府机构、国防承包商、公共事业 机构、能源相关的大学和企业。IAmTheKing 组织的工具集合包括 KingOfHearts、QueenOfHearts、 Qu",
1.0.0,actor--iamtheking,artifact--sha256:bdd1e2876da4ed33bf93a157c3ec735ef6a415a5888dd387c720b5ade0e91b85,observation--sha256:f1e59145037278e41754da76c427b33b49cb7136c8f71e83c794d799abc54806,file-name,handbook-2022.pdf,handbook-2022.pdf,candidate,2018-09-05T00:00:00Z,day,known,same-record,,source--iamtheking--ef0328caaf63cea3,actor_profile/evidence/iamtheking.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 91} IAmTheKing 83 2021 年 APT 组织情报图鉴 6.1.12 IAmTheKing 组织名 IAmTheKing 中文名 无 组织地理 未知 别名 无 历史目标 俄罗斯 目标行业 政府，国防，公共事业机构、能源，教育，企 业 发现时间 2018-09-05 最近活跃 2020-10-18 动机 间谍活动 描述 IAmTheKing 是一个专注于收集俄罗斯实体情报的 APT 组织，涉及政府机构、国防承包商、公共事业 机构、能源相关的大学和企业。IAmTheKing 组织的工具集合包括 KingOfHearts、QueenOfHearts、 QueenOfClubs、JackOfHearts 等，横向移动则主要使用 Microsoft 的 SysInternals 套件，LaZagne， Mimikatz 以及内置的网络程序如：ipconfig.exe，net.ex",
