schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--ice-fog,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:e3316a859e4ce2564a4d34271edf49eefce29356b14b103537b2484543e4b3f4,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--ice-fog--b1c412b29d712db5,actor_profile/evidence/ice-fog.csv,"{""row"": 10}",[],"[""malware--icefog""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Dagger Panda .............................................. 117 Hurricane Panda, Zirconium, APT 31 ....................................................................................................................... 118 Icefog, Dagger Panda .................................................................................................................................................. 119 Inception Framework .........................................",
1.0.0,actor--ice-fog,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:76210929127d48163d1a791efbca3ec93ebb233eda2ab2623b0c02d23d806b45,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--ice-fog--b1c412b29d712db5,actor_profile/evidence/ice-fog.csv,"{""row"": 11}",[],"[""malware--icefog""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Icefog ...................................................... 117 Hurricane Panda, Zirconium, APT 31 ....................................................................................................................... 118 Icefog, Dagger Panda .................................................................................................................................................. 119 Inception Framework .................................",
1.0.0,actor--ice-fog,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:8adda1bb91f2fe7c0a1952ea5d3265642c8207126abe6030c8a94e3d61c1d0e5,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--ice-fog--b1c412b29d712db5,actor_profile/evidence/ice-fog.csv,"{""row"": 7}",[],"[""malware--icefog""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 119} Dagger Panda Threat Group Cards: A Threat Actor Encyclopedia 119 Icefog, Dagger Panda Names Icefog (Kaspersky) Dagger Panda (CrowdStrike) Country China, South Korea and Japan Motivation Information theft and espionage Description (Kaspersky) “Icefog” is an Advanced Persistent Threat that has been ac",
1.0.0,actor--ice-fog,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:95da0623e2c8a2ebfb04bb111191e30da07ad21cbbd2dad543af9073247764c2,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--ice-fog--b1c412b29d712db5,actor_profile/evidence/ice-fog.csv,"{""row"": 8}",[],"[""malware--icefog""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 119} Icefog Threat Group Cards: A Threat Actor Encyclopedia 119 Icefog, Dagger Panda Names Icefog (Kaspersky) Dagger Panda (CrowdStrike) Country China, South Korea and Japan Motivation Information theft and espionage Description (Kaspersky) “Icefog” is an Advanced Persistent Threat th",
1.0.0,actor--ice-fog,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:44e998bc8fd5e5ac9682fe2162c162b6565508ddc4c55faaf20ec99b02c88a37,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--ice-fog--b1c412b29d712db5,actor_profile/evidence/ice-fog.csv,"{""row"": 9}",[],"[""malware--icefog""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 119} Icefog Threat Group Cards: A Threat Actor Encyclopedia 119 Icefog, Dagger Panda Names Icefog (Kaspersky) Dagger Panda (CrowdStrike) Country China, South Korea and Japan Motivation Information theft and espionage Description (Kaspersky) “Icefog” is an Advanced Persistent Threat that has been active since at",
1.0.0,actor--ice-fog,artifact--sha256:9e505265ffff8e46bc640849b42fd1cf180499cbc5104ea811d52aeae4ed6519,observation--sha256:2e486683899937ec13760e3296b6811b440c6d89781fd5732d5faaaa00f326cc,file-name,CTA-2024-Olympics-Threat-Assessment-Supplemental-Report_Combined_rev.pdf,CTA-2024-Olympics-Threat-Assessment-Supplemental-Report_Combined_rev.pdf,candidate,,unknown,unknown,not-stated,,source--ice-fog--b1c412b29d712db5,actor_profile/evidence/ice-fog.csv,"{""row"": 34}",[],"[""malware--icefog""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/CTA-2024-Olympics-Threat-Assessment-Supplemental-Report_Combined_rev.pdf {""page"": 19} Icefog ""Russian figure skater won the Pyeongchang Winter Olympics in South Korea. doc"" (translated from Russian). Once the user opened the document, the sample dropped a backdoor component that appeared to be related to the Icefog APT backdoor, which has been used in the past to target various sectors in the APAC region, with a focus on Japan and South Korea. The Icefog group also has been observed",
1.0.0,actor--ice-fog,artifact--sha256:9e505265ffff8e46bc640849b42fd1cf180499cbc5104ea811d52aeae4ed6519,observation--sha256:daa5aed2b755a954e4750a5d121a0e525a5baab794f95a7eaa9574658b73b0fa,file-name,CTA-2024-Olympics-Threat-Assessment-Supplemental-Report_Combined_rev.pdf,CTA-2024-Olympics-Threat-Assessment-Supplemental-Report_Combined_rev.pdf,candidate,,unknown,unknown,not-stated,,source--ice-fog--b1c412b29d712db5,actor_profile/evidence/ice-fog.csv,"{""row"": 35}",[],"[""malware--icefog""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/CTA-2024-Olympics-Threat-Assessment-Supplemental-Report_Combined_rev.pdf {""page"": 19} Icefog he sample dropped a backdoor component that appeared to be related to the Icefog APT backdoor, which has been used in the past to target various sectors in the APAC region, with a focus on Japan and South Korea. The Icefog group also has been observed leveraging CVE-2012-0158. 13 https://www.justice.gov/opa/pr/six-russian-gru-officers-charged-connection-worldwide-deployment-destructive-malwa",
1.0.0,actor--ice-fog,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:a65ea5886fa4965377c56001b688b150f2f100206fd8b9af436a57259ffaa0e8,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--ice-fog--b1c412b29d712db5,actor_profile/evidence/ice-fog.csv,"{""row"": 19}",[],"[""malware--icefog""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 119} Dagger Panda Threat Group Cards: A Threat Actor Encyclopedia 119 Icefog, Dagger Panda Names Icefog (Kaspersky) Dagger Panda (CrowdStrike) Country China, South Korea and Japan Motivation Information theft and espionage Description (Kaspersky) “Icefog” is an Advanced Persistent Threat that has been ac",
1.0.0,actor--ice-fog,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:6b7040b4ea247c0b6dfa0e08cd85688aeba44f460b1ea10f206277b99445ebce,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--ice-fog--b1c412b29d712db5,actor_profile/evidence/ice-fog.csv,"{""row"": 20}",[],"[""malware--icefog""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 119} Icefog Threat Group Cards: A Threat Actor Encyclopedia 119 Icefog, Dagger Panda Names Icefog (Kaspersky) Dagger Panda (CrowdStrike) Country China, South Korea and Japan Motivation Information theft and espionage Description (Kaspersky) “Icefog” is an Advanced Persistent Threat th",
1.0.0,actor--ice-fog,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:cd5b799fc2f5e725bbee7631cf5a283945c5053163ba712cce0cf5a2a100ee38,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--ice-fog--b1c412b29d712db5,actor_profile/evidence/ice-fog.csv,"{""row"": 21}",[],"[""malware--icefog""]",[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 119} Icefog Threat Group Cards: A Threat Actor Encyclopedia 119 Icefog, Dagger Panda Names Icefog (Kaspersky) Dagger Panda (CrowdStrike) Country China, South Korea and Japan Motivation Information theft and espionage Description (Kaspersky) “Icefog” is an Advanced Persistent Threat that has been active since at",
