schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--indrik-spider,artifact--sha256:59312a3bf703f546682b3a791a227f99a9ca4b1b4e43ab835c76ffdb3fa56252,observation--sha256:815f3f9dc95e9c8556744a418d18cc9870941af9ffe2d46a3a034161c091f457,file-name,2.pdf,2.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 70}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Cyber Threat Intelligence Report 2025 2.pdf {""page"": 26} Indrik Spider by reducing the likelihood of detection. Third in the list was SocGholish/SocGhoulish infrastructure that masquerades as legitimate software in fake updates campaigns. This malware has been linked to TA505 (EvilCorp, Indrik Spider). Fourth was VexTrio, a criminal enterprise providing traffic distribution system (TDS) services. A TDS is a complex network of servers that profile victim browsers and then redirect th",
1.0.0,actor--indrik-spider,artifact--sha256:64ff63d8916bdb9cf04aff83e67926896187be54043c4e837c573f8bdf75176f,observation--sha256:555df2d5efc5d15139c06c04288364e6f9577f0beaefe6492df283edacccece1,file-name,2021-Threat-Detection-Report.pdf,2021-Threat-Detection-Report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 37}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/2021-Threat-Detection-Report.pdf {""page"": 103} INDRIK SPIDER ware. Analysis Dridex is a well known banking trojan that shares both code similarities and overlapping infrastructure with Gameover Zeus. The operators of Dridex are referred to by various names, including TA505 and INDRIK SPIDER . When it first showed up on the scene in 2014 , it delivered malicious Word documents containing VBA macros. Over the years it has used other formats such as malicious JavaScript and Excel docum",
1.0.0,actor--indrik-spider,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:8803043e159066537a9a0656a22c2c90030eb098b06e15c0fac35c5ab31801e0,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 47}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 18} Evil Corp 17 | Cyber Threats 2022: A Year in Retrospect Sanctions effectively curtailing high profile cyber criminal organisations In 2021, Blue Lelantos (a.k.a. Evil Corp), the threat actor responsible for the Dridex banking trojan and the ransomware systems BitPaymer, DoppelPaymer, Grief and Wasted Locker, went through multiple attempts to rebrand its ransomware operations, having bee",
1.0.0,actor--indrik-spider,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:a3c729c61215f8a8a89afd3772a365c05791919d6365e2a1f40f7591ebc6a048,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 48}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 18} Evil Corp on the threat actor. With Blue Lelantos being forced to make more radical changes to its operations in 2022, we assess these rebrand efforts likely failed, based on the following observations: ● Once a mainstay of Evil Corp’s arsenal, Dridex activity dwindled; ● We did not observe new rebrands of existing Blue Lelantos ransomware variants in 2022; and, ● Other security researchers reported efforts by elements of Blue Lelantos",
1.0.0,actor--indrik-spider,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:4ec0ac55ffde02ae6cf05b970e35d077753ee3edf3fdad5e525d11f0fbad893d,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 49}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 18} UNC2165 ogical stances, we assess Russia- based ransomware threat actors are likely in the position to be co-opted or coerced by the Russian government to conduct operations in support of Russia. 59 ‘To HADES and Back: UNC2165 Shifts to LOCKBIT to Evade Sanctions’, Mandiant, https://www.mandiant.com/resources/blog/unc2165 -shifts-to-evade-sanctions (June 2022) 60 ‘Cyber Threats 2021: A Year in Retrospect’, PwC Threat Intelligence https",
1.0.0,actor--indrik-spider,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:d252802ac8d3208a12543dfa146f18f60fa55ced0df998be11db829ec0aead71,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 50}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 18} unc2165 co-opted or coerced by the Russian government to conduct operations in support of Russia. 59 ‘To HADES and Back: UNC2165 Shifts to LOCKBIT to Evade Sanctions’, Mandiant, https://www.mandiant.com/resources/blog/unc2165 -shifts-to-evade-sanctions (June 2022) 60 ‘Cyber Threats 2021: A Year in Retrospect’, PwC Threat Intelligence https://www.pwc.com/gx/en/issues/cybersecurity/cyber -threat-intelligence/cyber-year-in-retrospect/yir-",
1.0.0,actor--indrik-spider,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:4680359c200275f12cf6823eda614b52aa2a042d4e22aa1b4fb7a13c71ff958f,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 51}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 75} Evil Corp pg. 15-16 • Blue Dev 5 (a.k.a. NOBELIUM) - pg. 58-60 • Blue Echidna (a.k.a. Sandworm) - pg. 8, 11-12 • Blue Kitsune (a.k.a. APT29, COZY BEAR) - pg. 9-10 • Blue Kurama (a.k.a. Killnet) - pg. 1, 19 • Blue Lelantos (a.k.a. Evil Corp) - pg. 17 • Blue Otso (a.k.a. Gamaredon Group) - pg. 16 • Grey Ares (a.k.a. Anonymous) - pg. 19 • GWISIN - pg. 33 • IT Army of Ukraine - pg. 19 • Moses Staff - pg. 29 • Network Battalion 65 (a.k.a. N",
1.0.0,actor--indrik-spider,artifact--sha256:a70ad78ce3ea51330933e66e4e942e86257a6cf5c346aa6caa17ef69e87fdced,observation--sha256:64b97c9bc9953c63739afad90c9bda3a295ea94ba5908f8911f91b61be00cdee,file-name,2024_Annual_Cybersecurity_Vulnerability_Threat_Landscape_Research_Report.pdf,2024_Annual_Cybersecurity_Vulnerability_Threat_Landscape_Research_Report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 65}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2024_Annual_Cybersecurity_Vulnerability_Threat_Landscape_Research_Report.pdf {""page"": 36} Manatee Tempest 37085)的利用情况， 微软确定了三种利用该漏洞的方法： 将ESX 管理员组添加到域并向其中 添加用户、 将域中的任何组重命名为ESX 管理员， 并将用户添加到该组或使用现有组成员、 ESXi 虚拟机 管理程序权限刷新。 VMware ESXi在Hunter测绘中有接近100万资产， 此漏洞被许多勒索软件组织用作入侵后攻击技术， 包 括BlackByte、 Storm-0506、 Storm-1175、 Octo Tempest 和 Manatee Tempest。 VMware ESXi 身份认证绕过漏洞(CVE-2024-37085) 4.VMware ESXi成为多个勒索软件攻击目标 关联漏洞 受影响版本 影响量级 危害描述 修复措施 8.x<=VMware ESXi<ESXi80U3-24022510 VMware ESXi==7.x VMw",
1.0.0,actor--indrik-spider,artifact--sha256:c193400fb44ec5ea215f5a2279080477ad6c0a415c149c213a72b9229c06873b,observation--sha256:f65230d00e8ff87186ff27af7f5c0de4ecb56664946eff7b5f974ddd26e29938,file-name,2025-dbir-data-breach-investigations-report.pdf,2025-dbir-data-breach-investigations-report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 67}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025-dbir-data-breach-investigations-report.pdf {""page"": 102} Evil Corp d cyberespionage operations to Africa, the Caribbean and the Middle East, with the refined approach of more carefully selecting its targets and using publicly available tools. Cybercriminal activity also evolved, with Evil Corp deploying SocGholish malware and FIN7 impersonating trusted brands and using malicious MSIX files. Zero-day exploitation was a major challenge, including CVE-2024-5274 in Google Chrome’s ",
1.0.0,actor--indrik-spider,artifact--sha256:c193400fb44ec5ea215f5a2279080477ad6c0a415c149c213a72b9229c06873b,observation--sha256:184d9915ddc52174bbad27a5c8c137f017ff0a1d840ca0141a6cc442faf93983,file-name,2025-dbir-data-breach-investigations-report.pdf,2025-dbir-data-breach-investigations-report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 68}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025-dbir-data-breach-investigations-report.pdf {""page"": 103} Evil Corp ins tied to the Federal Security Service of the Russian Federation-backed Star Blizzard group. Efforts against ransomware intensified, with indictments and sanctions against members of the LockBit ransomware group and Evil Corp cybercrime organization. Ongoing investigations identified Evil Corp as responsible for $300M in damages. The emergence of Mamba 2FA, a phishing as a service platform, underscored cybercr",
1.0.0,actor--indrik-spider,artifact--sha256:c193400fb44ec5ea215f5a2279080477ad6c0a415c149c213a72b9229c06873b,observation--sha256:bb1423dd027178fb106554e8c2c1dd8b1af891c629311eb5a8171d8ec80abb4a,file-name,2025-dbir-data-breach-investigations-report.pdf,2025-dbir-data-breach-investigations-report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 69}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/2025-dbir-data-breach-investigations-report.pdf {""page"": 103} Evil Corp cked Star Blizzard group. Efforts against ransomware intensified, with indictments and sanctions against members of the LockBit ransomware group and Evil Corp cybercrime organization. Ongoing investigations identified Evil Corp as responsible for $300M in damages. The emergence of Mamba 2FA, a phishing as a service platform, underscored cybercriminals’ focus on bypassing MFA in AiTM attacks. Dutch authorities di",
1.0.0,actor--indrik-spider,artifact--sha256:1fd6f9625846dde38af8b9f084297b312af299dfed9468028080f9c02233011d,observation--sha256:7a5099e32b0f6e6da1ca3c72b1f9425c61a90ac4e2f3cae53c8ac3ca3c2af873,file-name,2025.pdf,2025.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 71}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2025/Global Threat Report 2025.pdf {""page"": 22} Evil Corp y during Q1. However, by April, the group vanished from dark web forums, sparking speculation that it may have faced disruptions or internal collapse possibly linked to ties with other high- profile threat networks like Evil Corp. Its sudden disappearance leaves a power vacuum that other groups have swiftly moved to fill. Top Ransomware Groups in 2025 RansomHub – From Dominance to Disappearance RansomHub – From Dominance to Disapp",
1.0.0,actor--indrik-spider,artifact--sha256:7d7de94f61be84f15c1886d24bef35a681e6ecf8f2c5701818b69cedb17b6c6b,observation--sha256:98e5fe66a137e01ee0787f90296281931b26ad783b4088ff60ec4935430a04bd,file-name,ACD6-full-report.pdf,ACD6-full-report.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 52}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/ACD6-full-report.pdf {""page"": 25} Indrik Spider iveHands 522,434 Knot Ransomware 239,864 Table 15 shows that the most widespread blocked ransomware threat was Phoenix CryptoLocker. Phoenix CryptoLocker has been associated with the APT group known as EvilCorp (or Indrik Spider) and interestingly, all blocked requests were for a single domain. Table 15: Top 5 most blocked ransomware threats (2022) Threat Name Organisations (%) Total Blocks Unique domains Phoenix CryptoLocker 9.7 159,2",
1.0.0,actor--indrik-spider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:add77ce1451ecce7948d8af66c2e13677ee5a169213afa58b28448a7901c1e2f,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 261} Indrik Spider icated eCrime group that has been operating Dridex since June 2014. In 2015 and 2016, Dridex was one of the most prolific eCrime banking trojans on the market and, since 2014, those efforts are thought to have netted Indrik Spider millions of dollars in criminal profits. Throughout its years of operation, Dridex has received multiple updates with new modules developed and new anti-analysis features added to the malware. In August 2017, ",
1.0.0,actor--indrik-spider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:6adb1719ad150b1ecde651735d28cb143fc5d3fe7f98fba8a0a962eec4717147,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 7} Indrik Spider .................................... 259 Hacking Team ............................................................................................................................................................... 260 Indrik Spider .................................................................................................................................................................. 261 Lunar Spider ..............................",
1.0.0,actor--indrik-spider,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:937953374b578a53088e57e4c26a48c97c035c34dbb7ced3f1561590d6ef1cf3,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--indrik-spider--a7807818688b2d13,actor_profile/evidence/indrik-spider.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 261} Indrik Spider Threat Group Cards: A Threat Actor Encyclopedia 261 Indrik Spider Names Indrik Spider (CrowdStrike) Country [Unknown] Motivation Financial gain Description (CrowdStrike) Indrik Spider is a sophisticated eCrime group that has been operating Dridex since June 2014. In 2015 and 2016",
