schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--invisimole,artifact--sha256:0e59b166f5dbcc6b11b319b4f33abeff3cac68a09c8f550f3df5a0a29f58d280,observation--sha256:8e56c8d0e80dc4b5126530804a272c933b04150941291f2830752981d7ea440c,command,"summary/2023/Global APT 2022 Annual Report-qianxin.pdf {""page"": 35} InvisiMole 的特性，Windows快捷方式可充当 部署恶意软件或建立持久化的媒介。 在攻击初始阶段，攻击者常将LNK文件用于部署或执行攻击载荷，这些快捷方式通常链接至系统自带的 合法的可执行文件（LOLbins），例如powershell.exe、mshta.exe和常见的cmd.exe等，从而绕过检 测，实现代码执行。 根据统计数据，2022年度有多个APT组织使用LNK文件分发恶意软件，包括Gamaredon、Evilnum、 Lazarus、InvisiMole、Darkhotel、APT29、APT37、SideWinder、SideCopy等。 此外，LNK文件还被大量用于分发主流恶意软件家族QBot、Emotet、IcedID和Bumblebee。这些恶意 软件家族能够在受感染的系统上部署其他恶意软件，包括破坏性勒索软件。 （六） 遭受攻击的目标平台趋于多元化 Windows作为在PC端应用最广泛的操作系统，一直以来都是黑客团伙攻击的主要目标平台。而通过 整理开源情报，发现2022年威胁","summary/2023/Global APT 2022 Annual Report-qianxin.pdf {""page"": 35} InvisiMole 的特性，Windows快捷方式可充当 部署恶意软件或建立持久化的媒介。 在攻击初始阶段，攻击者常将LNK文件用于部署或执行攻击载荷，这些快捷方式通常链接至系统自带的 合法的可执行文件（LOLbins），例如powershell.exe、mshta.exe和常见的cmd.exe等，从而绕过检 测，实现代码执行。 根据统计数据，2022年度有多个APT组织使用LNK文件分发恶意软件，包括Gamaredon、Evilnum、 Lazarus、InvisiMole、Darkhotel、APT29、APT37、SideWinder、SideCopy等。 此外，LNK文件还被大量用于分发主流恶意软件家族QBot、Emotet、IcedID和Bumblebee。这些恶意 软件家族能够在受感染的系统上部署其他恶意软件，包括破坏性勒索软件。 （六） 遭受攻击的目标平台趋于多元化 Windows作为在PC端应用最广泛的操作系统，一直以来都是黑客团伙攻击的主要目标平台。而通过 整理开源情报，发现2022年威胁",candidate,,unknown,unknown,not-stated,,source--invisimole--2ca703cea36bc56b,actor_profile/evidence/invisimole.csv,"{""row"": 25}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/Global APT 2022 Annual Report-qianxin.pdf {""page"": 35} InvisiMole 的特性，Windows快捷方式可充当 部署恶意软件或建立持久化的媒介。 在攻击初始阶段，攻击者常将LNK文件用于部署或执行攻击载荷，这些快捷方式通常链接至系统自带的 合法的可执行文件（LOLbins），例如powershell.exe、mshta.exe和常见的cmd.exe等，从而绕过检 测，实现代码执行。 根据统计数据，2022年度有多个APT组织使用LNK文件分发恶意软件，包括Gamaredon、Evilnum、 Lazarus、InvisiMole、Darkhotel、APT29、APT37、SideWinder、SideCopy等。 此外，LNK文件还被大量用于分发主流恶意软件家族QBot、Emotet、IcedID和Bumblebee。这些恶意 软件家族能够在受感染的系统上部署其他恶意软件，包括破坏性勒索软件。 （六） 遭受攻击的目标平台趋于多元化 Windows作为在PC端应用最广泛的操作系统，一直以来都是黑客团伙攻",
1.0.0,actor--invisimole,artifact--sha256:7b05cf8d1d207a47093bdea4a137656d0d537db80277bd7443bdb78f8ed7a2cf,observation--sha256:50b5add4bf525f17b1015d22cfd760e5c904e33f725dff64deb9cf174f0df8a4,command,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 18} Invisimole etween June-July 2023, Microsoft observed Federal S ecurity Service (FSB)-attributed Aqua Blizzard appear to “hand-off” access to 34 compromised Ukrainian devices to the cybercriminal group Storm-0593 (also known as Invisimole). The hand-off occurred when Aqua Blizzard invoked a Powershell script that downloaded software from a Storm- 0593-controlled server. Storm-0593 then established command and control infrastructure and deployed Cobal","summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 18} Invisimole etween June-July 2023, Microsoft observed Federal S ecurity Service (FSB)-attributed Aqua Blizzard appear to “hand-off” access to 34 compromised Ukrainian devices to the cybercriminal group Storm-0593 (also known as Invisimole). The hand-off occurred when Aqua Blizzard invoked a Powershell script that downloaded software from a Storm- 0593-controlled server. Storm-0593 then established command and control infrastructure and deployed Cobal",candidate,,unknown,unknown,not-stated,,source--invisimole--2ca703cea36bc56b,actor_profile/evidence/invisimole.csv,"{""row"": 34}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 18} Invisimole etween June-July 2023, Microsoft observed Federal S ecurity Service (FSB)-attributed Aqua Blizzard appear to “hand-off” access to 34 compromised Ukrainian devices to the cybercriminal group Storm-0593 (also known as Invisimole). The hand-off occurred when Aqua Blizzard invoked a Powershell script that downloaded software from a Storm- 0593-controlled server. Storm-0593 then established command and control infrastructu",
1.0.0,actor--invisimole,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:d8b5f4147b61b4f8325c0b80a9205e4663bf9d71272e054ca79690f862191113,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--invisimole--2ca703cea36bc56b,actor_profile/evidence/invisimole.csv,"{""row"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Russia/Russia’s Cyber Tactics Lessons Learned 2022.pdf {""page"": 28} InvisiMole ssaging applications. Our analytics show that typical operations require one month for successful execution. Because of attribution complexity, we don’t have a clear indication of APT28 across our cases. UAC-0035 (InvisiMole) specializes purely in cyber espionage. Their operations were focused on individual diplomats deployed outside Ukraine as well as the Ministry of Foreign Affairs of Ukraine",
1.0.0,actor--invisimole,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:e5e9a1aa2009e4dadba114157a3afde65de39057d3883d7bca9f58a07b32e1cd,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--invisimole--2ca703cea36bc56b,actor_profile/evidence/invisimole.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/Russia/Russia’s Cyber Tactics Lessons Learned 2022.pdf {""page"": 28} InvisiMole rther known as a team that managed to get access to closed systems with crypto gateways to protected communication networks in H2 2022. One of their tactics inside a compromised network was to distribute UAC-0035 (InvisiMole) SVR (Foreign Intelligence Service)",
1.0.0,actor--invisimole,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:3f393ea5ec8aa40c42923d7b0fcc1a5a5baf2163f767d43ad8b856fc2f1b7185,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--invisimole--2ca703cea36bc56b,actor_profile/evidence/invisimole.csv,"{""row"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 10} InvisiMole ansomware 日期 事件名称 活动目标 恶意软件 为ESET于2015年披露的网络犯罪组织，该组织早期攻击主要针对俄罗斯金融行业，2019年开始在攻击活动 中使用0day漏洞针对政府机构。2022年2月，该组织在针对乌克兰政府的攻击活动中使用LightRope以及 LiteManager恶意软件。 其他针对东欧地区的威胁组织55 鉴于还有部分威胁组织披露少而杂乱，因此统一放在本小节进行讨论。 Buhtrap组织 Vermin组织 InvisiMole组织 UAC-0041组织 UAC-0088组织 UAC-0097组织 UAC-0100组织 FRwL组织 为Palo Alto Networks于2018年披露的针对乌克兰国防部的组织，活动中主要使用QuasarRAT以及 VerminRAT。2022年3月，UA-CERT观察到该组织再次针对乌克兰国防部投放模块化恶意软件 SPECTR。 疑似与Gamar",
1.0.0,actor--invisimole,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:a442a4efffb6548ec4e75f1e174033dc41834bbef3a23738472a8ad7bd4d4bfa,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--invisimole--2ca703cea36bc56b,actor_profile/evidence/invisimole.csv,"{""row"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 11} InvisiMole 2022年高级威胁态势研究报告 1月28日 UAC-0096对乌克兰组织的网络攻击活动 乌克兰 Remote Utilities 2月21日 Buhtrap组织近期活动信息 乌克兰政府 LightRope、LiteManager 3月9日 UAC-0041对乌克兰组织的网络攻击活动 使用战争主题诱饵针对 乌克兰 Formbook 3月17日 Vermin组织使用SPECTR恶意软件针对 乌克兰 乌克兰国防部 Spectr 3月22日 InvisiMole组织针对乌克兰进行钓鱼攻击 乌克兰 LoadEdge、TunnelMole、 RC2CL 3月22日 UAC-0088使用DoubleZero对乌克兰 企业进行网络攻击 乌克兰 DoubleZero 3月22日 UAC-0026使用HeaderTip恶意软件的 网络攻击 乌克兰国家警察 HeaderTip 3月30日 UAC-0041在乌克兰大规模分发 Mar",
1.0.0,actor--invisimole,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:28819c9f0d2ab2ef226f04339eee7bccfc4eab0cc2493e0ebc4d6fa994a0b39a,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--invisimole--2ca703cea36bc56b,actor_profile/evidence/invisimole.csv,"{""row"": 34}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 18} Invisimole etween June-July 2023, Microsoft observed Federal S ecurity Service (FSB)-attributed Aqua Blizzard appear to “hand-off” access to 34 compromised Ukrainian devices to the cybercriminal group Storm-0593 (also known as Invisimole). The hand-off occurred when Aqua Blizzard invoked a Powershell script that downloaded software from a Storm- 0593-controlled server. Storm-0593 then established command and control infrastructu",
1.0.0,actor--invisimole,artifact--sha256:5cfe5df90b439f560294509f95f2cb8b37c3e13391fd58c85f0b3a4732cd4d54,observation--sha256:a8b7845c31d76f5f66e058b8ac00382843d24a87ec2c693ed7dbab1e17152b9a,file-name,ESET_Threat_Report_Q22020.pdf,ESET_Threat_Report_Q22020.pdf,candidate,,unknown,unknown,not-stated,,source--invisimole--2ca703cea36bc56b,actor_profile/evidence/invisimole.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/ESET_Threat_Report_Q22020.pdf {""page"": 2} InvisiMole rovided a decryptor for victims. Among many other findings, our researchers: uncovered Operation In(ter)ception, which targeted high-profile aerospace and military companies; revealed the modus operandi of the elusive InvisiMole group; and dissected Ramsay, a cyberespionage toolkit targeting air-gapped networks. Besides offering recaps of these findings, this report also brings exclusive, previously unpublished ESET research updat",
1.0.0,actor--invisimole,artifact--sha256:5cfe5df90b439f560294509f95f2cb8b37c3e13391fd58c85f0b3a4732cd4d54,observation--sha256:2d4a8510669f0092211c3db1003cba724720e9daa4790198b405e138e07784c5,file-name,ESET_Threat_Report_Q22020.pdf,ESET_Threat_Report_Q22020.pdf,candidate,,unknown,unknown,not-stated,,source--invisimole--2ca703cea36bc56b,actor_profile/evidence/invisimole.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/ESET_Threat_Report_Q22020.pdf {""page"": 3} InvisiMole ESET researchers reveal the modus operandi of the elusive InvisiMole group, including newly discovered ties with the Gamaredon group. The InvisiMole Group is a threat actor operating since at least 2013, whose malware was first reported by ESET [1] in 2018 in connection with target",
1.0.0,actor--invisimole,artifact--sha256:5cfe5df90b439f560294509f95f2cb8b37c3e13391fd58c85f0b3a4732cd4d54,observation--sha256:0be7ec0e5b3b7696226c0ffb823e050d29b3c05f1eebcf61124656ad18a4bbc1,file-name,ESET_Threat_Report_Q22020.pdf,ESET_Threat_Report_Q22020.pdf,candidate,,unknown,unknown,not-stated,,source--invisimole--2ca703cea36bc56b,actor_profile/evidence/invisimole.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2020/ESET_Threat_Report_Q22020.pdf {""page"": 3} InvisiMole ESET researchers reveal the modus operandi of the elusive InvisiMole group, including newly discovered ties with the Gamaredon group. The InvisiMole Group is a threat actor operating since at least 2013, whose malware was first reported by ESET [1] in 2018 in connection with targeted cyberespionage operations in Ukraine and Russia. We previously documented",
