schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--ke3chang,artifact--sha256:78a45422822c4eace0b6988f384bbb1f8d50e5ff77770bf917b2f596e36356bf,observation--sha256:39772189aa9fd826da3081c08bced38f9f9f262cd5150d9d32aaa027eccbead3,command,"summary/2024/Raport-analize-PROFILI-I-GRUPEVE-TE-HAKERAVE-IRANIANE.pdf {""page"": 66} MIRAGE c 084ad50044d6650f9ed314e99351a608 08dc5c2af21ecee6f2b25ebdd02a9079 2a09c5d85667334d9accbd0e06ae9418 2fe42c52826787e24ea81c17303484f9 37bdb9ea33b2fe621587c887f6fb2989 Organizatat UNC3890 NEMESIS KITTEN (COBALT MIRAGE, UNC2448, and DEV-0270) Pioneer Kitten (Fox Kitten, Lemon Sandstorm, PARISITE, UNC757) Vektorët e sulmeve Phishing ShellCode Powershell Attack Credential Harvesting Watering hole attack Kompanitë e prekura Mand","summary/2024/Raport-analize-PROFILI-I-GRUPEVE-TE-HAKERAVE-IRANIANE.pdf {""page"": 66} MIRAGE c 084ad50044d6650f9ed314e99351a608 08dc5c2af21ecee6f2b25ebdd02a9079 2a09c5d85667334d9accbd0e06ae9418 2fe42c52826787e24ea81c17303484f9 37bdb9ea33b2fe621587c887f6fb2989 Organizatat UNC3890 NEMESIS KITTEN (COBALT MIRAGE, UNC2448, and DEV-0270) Pioneer Kitten (Fox Kitten, Lemon Sandstorm, PARISITE, UNC757) Vektorët e sulmeve Phishing ShellCode Powershell Attack Credential Harvesting Watering hole attack Kompanitë e prekura Mand",candidate,,unknown,unknown,not-stated,,source--ke3chang--2240dc28698bf6cd,actor_profile/evidence/ke3chang.csv,"{""row"": 119}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Raport-analize-PROFILI-I-GRUPEVE-TE-HAKERAVE-IRANIANE.pdf {""page"": 66} MIRAGE c 084ad50044d6650f9ed314e99351a608 08dc5c2af21ecee6f2b25ebdd02a9079 2a09c5d85667334d9accbd0e06ae9418 2fe42c52826787e24ea81c17303484f9 37bdb9ea33b2fe621587c887f6fb2989 Organizatat UNC3890 NEMESIS KITTEN (COBALT MIRAGE, UNC2448, and DEV-0270) Pioneer Kitten (Fox Kitten, Lemon Sandstorm, PARISITE, UNC757) Vektorët e sulmeve Phishing ShellCode Powershell Attack Credential Harvesting Watering hole attack Kompan",
1.0.0,actor--ke3chang,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:0cc00d7feb3d9aabf79622a6c10bc1ec10af2d28bffba1c45bc8b5cd562c55af,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--ke3chang--2240dc28698bf6cd,actor_profile/evidence/ke3chang.csv,"{""row"": 94}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 24} APT15 23 | Cyber Threats 2022: A Year in Retrospect In one example, we analysed the use of RedRelay by Red Vulture (a.k.a. APT15, APT25, Ke3chang). Red Vulture used a specific cluster of RedRelay infrastructure throughout 2021 and into early 2022. In March 2022, Red Vulture decommissioned and rebuilt this cluster before resuming its reconnaiss",
1.0.0,actor--ke3chang,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:368cf3316cec3675f3347f78d6703ed41cb9412f6630be8b491d5ba2ba1ab34d,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--ke3chang--2240dc28698bf6cd,actor_profile/evidence/ke3chang.csv,"{""row"": 95}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 24} Ke3chang 23 | Cyber Threats 2022: A Year in Retrospect In one example, we analysed the use of RedRelay by Red Vulture (a.k.a. APT15, APT25, Ke3chang). Red Vulture used a specific cluster of RedRelay infrastructure throughout 2021 and into early 2022. In March 2022, Red Vulture decommissioned and rebuilt this cluster before resuming its reconnaissance and exploitat",
1.0.0,actor--ke3chang,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:4486d7f1fe7a39ac1cc3a2424278fe1ca170ce68baaa05613f5d89ec78ea9cbf,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--ke3chang--2240dc28698bf6cd,actor_profile/evidence/ke3chang.csv,"{""row"": 96}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 75} APT15 .a. Keyboy, TA428, Tropic Trooper) - pg. 23 • Red Phoenix (a.k.a. APT27, Emissary Panda, LuckyMouse) - pg. 23-24 • Red Scylla (a.k.a. CHROMIUM, ControlX, Earth Lusca, Aquatic Panda) - pg. 2, 21- 22 • Red Vulture (a.k.a. APT15, APT25, Ke3chang) - pg. 23 • White Apep (a.k.a. DarkSide, BlackMatter) - pg. 16 • White Baku (a.k.a. Cuba) - pg. 62-64 • White Dev 21 (a.k.a. WIRTE) - pg. 35 • White Dev 101 (a.k.a. ALPHV-ng, BlackCat) - pg.",
1.0.0,actor--ke3chang,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:868f4d474ad34af1c65861dde578db519ca991757e920a33f77b452e2ea5a9dd,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--ke3chang--2240dc28698bf6cd,actor_profile/evidence/ke3chang.csv,"{""row"": 97}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 75} Ke3chang 428, Tropic Trooper) - pg. 23 • Red Phoenix (a.k.a. APT27, Emissary Panda, LuckyMouse) - pg. 23-24 • Red Scylla (a.k.a. CHROMIUM, ControlX, Earth Lusca, Aquatic Panda) - pg. 2, 21- 22 • Red Vulture (a.k.a. APT15, APT25, Ke3chang) - pg. 23 • White Apep (a.k.a. DarkSide, BlackMatter) - pg. 16 • White Baku (a.k.a. Cuba) - pg. 62-64 • White Dev 21 (a.k.a. WIRTE) - pg. 35 • White Dev 101 (a.k.a. ALPHV-ng, BlackCat) - pg. 17, 43, 45",
1.0.0,actor--ke3chang,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:8f7e2d1f44bd3e886365cdf4089085e8c11773054dbf0c9882e2b212ff9cfcd4,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--ke3chang--2240dc28698bf6cd,actor_profile/evidence/ke3chang.csv,"{""row"": 89}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 35} APT15 e, operational technology Sandworm Ir IRIDIUM Ukrainian government, military, law enforcement Gamaredon Ac ACTINIUM Communications infrastructure, IT, government, education SoftCell Ga GALLIUM Government. NGOs APT15 Vixen Panda Ni NICKEL Telecommunications, NGOs, government APT40Gd GADOLINIUM Cryptocurrency and related technology companies APT38, Beagle Boyz Cn COPERNICIUM Think tanks, academics, NGOs, government Konni Os",
1.0.0,actor--ke3chang,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:c8929f22b96ed427cc708941c5874e1726b38ba8c763e673820689634803e1cc,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--ke3chang--2240dc28698bf6cd,actor_profile/evidence/ke3chang.csv,"{""row"": 90}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 35} NICKEL nology Sandworm Ir IRIDIUM Ukrainian government, military, law enforcement Gamaredon Ac ACTINIUM Communications infrastructure, IT, government, education SoftCell Ga GALLIUM Government. NGOs APT15 Vixen Panda Ni NICKEL Telecommunications, NGOs, government APT40Gd GADOLINIUM Cryptocurrency and related technology companies APT38, Beagle Boyz Cn COPERNICIUM Think tanks, academics, NGOs, government Konni Os OSMIUM Science and",
1.0.0,actor--ke3chang,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:b468f8b7786fbda094ff1d24af3197d919af5de4416053bd47d45918a9c2da40,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--ke3chang--2240dc28698bf6cd,actor_profile/evidence/ke3chang.csv,"{""row"": 91}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 35} Vixen Panda rational technology Sandworm Ir IRIDIUM Ukrainian government, military, law enforcement Gamaredon Ac ACTINIUM Communications infrastructure, IT, government, education SoftCell Ga GALLIUM Government. NGOs APT15 Vixen Panda Ni NICKEL Telecommunications, NGOs, government APT40Gd GADOLINIUM Cryptocurrency and related technology companies APT38, Beagle Boyz Cn COPERNICIUM Think tanks, academics, NGOs, government Konni Os ",
1.0.0,actor--ke3chang,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:f4f478808492a899ef50fbdeee215c9af14641564d0ce82ca57b38e12727463a,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--ke3chang--2240dc28698bf6cd,actor_profile/evidence/ke3chang.csv,"{""row"": 92}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 45} NICKEL an, Mauritius, Namibia, and Trinidad and Tobago.20 For example, Trinidad and Tobago was the first Caribbean country to endorse China’s BRI strategy in 2018, and China considers it an important partner in the region. NICKEL has had persistent network operations targeting Trinidad and Tobago since 2021. For instance, in March 2022, NICKEL conducted reconnaissance activities targeting a government agency, likely for intellig",
1.0.0,actor--ke3chang,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:5a6e42ac861763ce167dad9d9d0afac28e9cc8d3e7063fe107ced6772b0e564b,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--ke3chang--2240dc28698bf6cd,actor_profile/evidence/ke3chang.csv,"{""row"": 93}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 45} NICKEL o endorse China’s BRI strategy in 2018, and China considers it an important partner in the region. NICKEL has had persistent network operations targeting Trinidad and Tobago since 2021. For instance, in March 2022, NICKEL conducted reconnaissance activities targeting a government agency, likely for intelligence collection purposes. 44 Microsoft Digital Defense Report 2022",
