schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--lamberts,artifact--sha256:a504fa41893eddfcf2b01d2232d5b5d1e0b441c560592556830813c2e64770a7,observation--sha256:e8f8ec544a11822341af02cb80365f3fc1bce74363b43ed3a08806f7fbaa84ae,file-name,dpnvmrs.dll,dpnvmrs.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 76}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,dpnvmrs.dll,
1.0.0,actor--lamberts,artifact--sha256:9fc847b2beaea11e7f00416ebd38f678e4552db966659983f9928a4e5903ff61,observation--sha256:18b3b8f9b8b8efe6c257002c3295ed4a904a5f63c7be5f630fcffb3ede87d586,file-name,hp3mlnv.dll,hp3mlnv.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 77}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,hp3mlnv.dll,
1.0.0,actor--lamberts,artifact--sha256:fdaff9af8d94761d846398a09720d7c2819a9ec1fd3f8548eb2db8677cd32301,observation--sha256:17cefe7d19865058e6d2fc269a0f4be4abc261d91f70a2502f45b79aaf229611,file-name,hp4mlnv.dll,hp4mlnv.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 78}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,hp4mlnv.dll,
1.0.0,actor--lamberts,artifact--sha256:187521cc0a6522ad1fccb7b92e2917f0240cd3e2ffa808fc78cee6b00985fe78,observation--sha256:11bed4b69ec8d6e294ce48d2d285137ef9a0b9b56f6ede512f55cf39e27f3976,file-name,hp5nhd.dll,hp5nhd.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 79}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,hp5nhd.dll,
1.0.0,actor--lamberts,artifact--sha256:e7914466832c781bd6b3d8dc90562654618acc649b9d84d7d69a69570b5ad252,observation--sha256:4ceb55248c78533631d9577c7241dded2d9d8a562f89ca10bdb999335e4aa478,file-name,hp6nhd.dll,hp6nhd.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 80}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,hp6nhd.dll,
1.0.0,actor--lamberts,artifact--sha256:029579d021bbdf4d9f88a841799a4d1b36f7967fb71a5a23bd01af1a6e3ef75a,observation--sha256:471fec1880c1e91c2a44d31721edb567ecc1fc81fe42d1d9d290320895444f4d,file-name,hpjdnb64.dll,hpjdnb64.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 81}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,hpjdnb64.dll,
1.0.0,actor--lamberts,artifact--sha256:6d6892badcdea8886b1d0d50b0e9c1db1d05ef32e67540d7a439d90afb76a3ec,observation--sha256:d25af1c1fe9f374109e491bd558e88318611b621bc2d79350eb9bb78391e5223,file-name,hpmdnel3b.dll,hpmdnel3b.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 82}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,hpmdnel3b.dll,
1.0.0,actor--lamberts,artifact--sha256:471b1d7538a460a8525c9ab5a5a468e4d50e8d236820f9f83309d1cb00a1b540,observation--sha256:22ee65bcbe211b78924319367d1ba01e44efa32ffdff6fafc7429fc901936873,file-name,ifssvc.dll,ifssvc.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 83}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,ifssvc.dll,
1.0.0,actor--lamberts,artifact--sha256:bd5bb83c25aa614b4798fda1651e4a662b02a0f8002b4e588c816f72d2c0d86f,observation--sha256:01349435796bbf90bbe7e40d6cda20c3cbf16bf033bf6237ac81060cb8cb84d1,file-name,ifssvcmgr.dll,ifssvcmgr.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 84}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,ifssvcmgr.dll,
1.0.0,actor--lamberts,artifact--sha256:f50ba7c079c5192e2a846cb90e57af0d1d854ae3153b770cb9d64402a29b85bc,observation--sha256:dd2e1b05baf0519c7e71ff71ff978a161a0be9cdde78a27bf7014bc268054801,file-name,msprtmon64.dll,msprtmon64.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 85}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,msprtmon64.dll,
1.0.0,actor--lamberts,artifact--sha256:e05b515b3dfadc14208b85fa11f9a5ce511d8d0f744a1d2e9c1a014f1d9b9b86,observation--sha256:d19775b632cf44c7eb819e0bad16d2c10387e91baf32f94e467964f00e4b0213,file-name,msptromn.dll,msptromn.dll,candidate,,unknown,unknown,not-stated,,source--lamberts--b03973bee4f52c80,Lamberts/DePriMon/README.MD,"{""line"": 86}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,msptromn.dll,
