schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--lazarus,artifact--sha256:01736246b495a3adc76dbf4d6aa6f6b1991242c371bcd6a61ce860ef8c4ee160,observation--sha256:43b3119082cd7cd16018522315e4e456413d803f128a150944f835c2547c2768,command,#Lazarus #Powershell,#Lazarus #Powershell,candidate,,unknown,unknown,not-stated,,source--lazarus--ac9aba9cb92fd0a4,lazarus/README.MD,"{""line"": 80}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,#Lazarus #Powershell,
1.0.0,actor--lazarus,artifact--sha256:26d7c26bc91be11d36613709cbb4a43452ab0b62c74c04fdc281a9a26bc2b921,observation--sha256:1d3de2154ac380d71bf51aebde02e9196774c11e4022dd2c0c6c19a533b93bfb,command,"$str_mask_1 = ""cmd.exe /c \""%s >> %s 2>&1\"""" ascii wide","$str_mask_1 = ""cmd.exe /c \""%s >> %s 2>&1\"""" ascii wide",candidate,2020-06-10T00:00:00Z,day,known,same-record,,source--lazarus--5dbd54be61ed2947,lazarus/lazarus-threat-intel-report2.pdf,"{""page"": 23}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"F-Secure.com | © F-Secure LABS 22 author=""f-secure "" description=""Detects RC4 loop in Lazarus Group implant"" date=""2020-06-10"" strings: $str_rc4_loop = { 41 FE 8? 00 01 00 00 45 0F B6 ?? 00 01 00 00 48 FF C? 43 0F B6 0? ?? 41 00 8? 01 01 00 00 41 0F B6 ?? 01 01 00 00 } condition: int16(0) == 0x5a4d and filesize < 3000KB and $str_rc4_loop } rule lazarus_lssvc_ntuser_unpacked { meta: author=""f-secure"" description=""Detects unpacked variant of Lazarus Group implant"" date=""2020-06-10"" strings: $str_c",
1.0.0,actor--lazarus,artifact--sha256:717f242e3f9dfb2472adb243934a138635138ec4a881d148efaaf02680ac1410,observation--sha256:8c3ac2abcb6173e4bf7481dd50ff1dd75510922071dcb410d715fb8d8c10b00f,command,"$str_mask_2 = ""cmd.exe /c \""%s 2>> %s\"""" ascii wide","$str_mask_2 = ""cmd.exe /c \""%s 2>> %s\"""" ascii wide",candidate,,unknown,unknown,not-stated,,source--lazarus--5dbd54be61ed2947,lazarus/lazarus-threat-intel-report2.pdf,"{""page"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"F-Secure.com | © F-Secure LABS 23 $str_mask_2 = ""cmd.exe /c \""%s 2>> %s\"""" ascii wide $str_mask_3 = ""%s\\%s\\%s"" ascii wide $str_other_1 = ""perflog.dat"" ascii wide nocase $str_other_2 = ""perflog.evt"" ascii wide nocase $str_other_3 = ""cbstc.log"" ascii wide nocase $str_other_4 = ""LdrGetProcedureAddress"" ascii $str_other_5 = ""NtProtectVirtualMemory"" asci condition: int16(0) == 0x5a4d and filesize < 3000KB and 1 of ($str_netsh*) and 1 of ($str_mask*) and 1 of ($str_other*) }",
1.0.0,actor--lazarus,artifact--sha256:b95ba081257d610e0b3f1ee618598e9970d40158340bae55bf96dd05ca5175b5,observation--sha256:18eaab96217292ed85c56923bfc8c12d7fe6022b6cf81424cd5aec1e9b3eb09f,command,"/password:""[password]"" PROCESS CALL CREATE ""cmd /c sc queryex","/password:""[password]"" PROCESS CALL CREATE ""cmd /c sc queryex",candidate,,unknown,unknown,not-stated,2021-02-25T00:00:00Z,source--lazarus--f6685ba8150b853c,lazarus/kaspersky-ics-cert-lazarus-targets-defense-industry-with-threatneedle-en-20210225.pdf,"{""page"": 12}","[""activity--threatneedle""]","[""malware--threatneedle""]",[],[],1,false,medium,TLP:CLEAR,pdf-text,"LAZARUS TARGETS DEFENSE INDUSTRY WITH THREATNEEDLE 11 © 2021 AO KASPERSKY LAB Credential gathering During the investigation we discovered that the Responder tool was executed from one of the victim machines that had received the spear-phishing document. One day after the initial infection, the malware operator placed the tool onto this host and executed it using the following command: • [Responder file path] -i [IP address] -rPv Several days later, the attacker started to move laterally originat",
1.0.0,actor--lazarus,artifact--sha256:d53a942b86dc0df2aa25e1b2aca63755cad1ee8030787a75057098b117277e8a,observation--sha256:d656d20aaccf5598e8e00517f2fe584018619b9bb7f67d2c08b7c172b108b3b6,command,"/password:""[password]"" PROCESS CALL CREATE ""cmd.exe /c","/password:""[password]"" PROCESS CALL CREATE ""cmd.exe /c",candidate,,unknown,unknown,not-stated,2021-02-25T00:00:00Z,source--lazarus--f6685ba8150b853c,lazarus/kaspersky-ics-cert-lazarus-targets-defense-industry-with-threatneedle-en-20210225.pdf,"{""page"": 12}","[""activity--threatneedle""]","[""malware--threatneedle""]",[],[],1,false,medium,TLP:CLEAR,pdf-text,"LAZARUS TARGETS DEFENSE INDUSTRY WITH THREATNEEDLE 11 © 2021 AO KASPERSKY LAB Credential gathering During the investigation we discovered that the Responder tool was executed from one of the victim machines that had received the spear-phishing document. One day after the initial infection, the malware operator placed the tool onto this host and executed it using the following command: • [Responder file path] -i [IP address] -rPv Several days later, the attacker started to move laterally originat",
1.0.0,actor--lazarus,artifact--sha256:722351810b9b4ed6e70f151657f80d4a1ecb791baef3e7afe166a2d0ddf855f8,observation--sha256:389cee57254183efddcc11fa86af24beff0032ed5af1ce2164709b231b4a525f,command,14fee51bb001abb6ea2c0d8c78863a0d - Malicious PowerShell script,14fee51bb001abb6ea2c0d8c78863a0d - Malicious PowerShell script,candidate,,unknown,unknown,not-stated,,source--lazarus--c328e6a5abab4da3,lazarus/MATA/Updated-MATA-attacks-Eastern-Europe_full-report_ENG.pdf,"{""page"": 58}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"57 © 2023 AO KASPERSKY LAB 25. Conduct an off-schedule scan of all removable data media used in the organization with an antimalware solution and using the Indicators of Compromise provided. 26. We also recommend, irrespective of whether signs of an information security incident are present or not, that Kaspersky Security Center settings be brought in line with the best practices described in the Hardening Guide: https://support.kaspersky.com/KSC/14.2/en-US/245736.htm Indicators of Compromise Fi",
1.0.0,actor--lazarus,artifact--sha256:8a800f7b7245e5bdcdad6d615e24732fa69e1eef47a0e9867b058ec6a8e2a83f,observation--sha256:655e9618fd078d03dca25ea5a337522e3a18a247b1c193a66303183d9209d80c,command,1� Check if scheduled task exists: schtasks | findstr XXXX,1� Check if scheduled task exists: schtasks | findstr XXXX,candidate,,unknown,unknown,not-stated,2025-01-01T00:00:00Z,source--lazarus--af801ed889f0a493,lazarus/Andariel/WithSecure_Andariel_2025.pdf,"{""page"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"7 TLP:CLEAR Intrusion activity breakdown Most of the malicious activity was conducted through the established implant. However , during the final two days of the intrusion, we observed additional actions executed over RDP and Impacket, likely facilitated by a reverse proxy or tunnel created via the implant� On the final day , the threat actor also briefly moved laterally to an adjacent host, deploying the same implant as a scheduled task and executing several tools and commands. Persistence via ",
1.0.0,actor--lazarus,artifact--sha256:eaf1a9f3f094c8b577f348bc9b9215a2c69e8a960f0c84f9e54ee7170802283f,observation--sha256:bff6b29d48e5c517ca61f5433259168068acf6fe3ce78418ddd1d56ce0053400,command,1� powershell (Get-Item “XXXX”).CreationTime = (Get-Date,1� powershell (Get-Item “XXXX”).CreationTime = (Get-Date,candidate,,unknown,unknown,not-stated,2025-01-01T00:00:00Z,source--lazarus--af801ed889f0a493,lazarus/Andariel/WithSecure_Andariel_2025.pdf,"{""page"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"9 TLP:CLEAR Gather information on user/machine Modify time attributes Artifact removal RDP-related activity As part of their overall information gathering and reconnaissance activities, the threat actor gathered information on the victim host and user accounts� Some executed commands included: 1� systeminfo 2� whoami 3� query user 4� net localgroup administrators 5� net user The threat actor deployed an unknown tool (named “t�exe”) onto the hosts through the implant (first host) and RDP (adjacen",
1.0.0,actor--lazarus,artifact--sha256:01f695759a3e79bad4ae2453679c9e989498cd073714fc09f6f5fc4967a36827,observation--sha256:6f19929c6b6bc21d30503adbbf54f323cb4e1a801f5362a4120690e6449ceb73,command,1� powershell Get-MpPreference | findstr DisableRealtimeMonitoring,1� powershell Get-MpPreference | findstr DisableRealtimeMonitoring,candidate,,unknown,unknown,not-stated,2025-01-01T00:00:00Z,source--lazarus--af801ed889f0a493,lazarus/Andariel/WithSecure_Andariel_2025.pdf,"{""page"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"8 TLP:CLEAR Drive and disk discovery Modify Windows Defender settings The threat actor looked for connected disks and drives via WMI and for iSCSI storages� These set of actions were most likely done as a pre-cursor to enable data theft and exfiltration of sensitive documents. This was achieved through commands including: 1� iscsicli sessionlist 2� wmic diskdrive get size,model 3� wmic logicaldisk get filesystem,name,size 4� wmic logicaldisk get name, drivetype, filesystem, size The threat actor",
1.0.0,actor--lazarus,artifact--sha256:0ee38a60990d653519e774b5cac9439ca7d8c9aacb0f3ac5b7df31c68e9948da,observation--sha256:73b87fa963707678fab1e654504b0034c1f499a5abea5c96cd90b5f284f48ae6,command,1� powershell Get-MpPreference | findstr Exclusion,1� powershell Get-MpPreference | findstr Exclusion,candidate,,unknown,unknown,not-stated,2025-01-01T00:00:00Z,source--lazarus--af801ed889f0a493,lazarus/Andariel/WithSecure_Andariel_2025.pdf,"{""page"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,pdf-text,"8 TLP:CLEAR Drive and disk discovery Modify Windows Defender settings The threat actor looked for connected disks and drives via WMI and for iSCSI storages� These set of actions were most likely done as a pre-cursor to enable data theft and exfiltration of sensitive documents. This was achieved through commands including: 1� iscsicli sessionlist 2� wmic diskdrive get size,model 3� wmic logicaldisk get filesystem,name,size 4� wmic logicaldisk get name, drivetype, filesystem, size The threat actor",
