schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--leafminer,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:a1ec1272dfb5add96954e78efab470a3c3203e46402c81f046ea83bdff4f94ee,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--leafminer--bd4ec03c691cff7d,actor_profile/evidence/leafminer.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Leafminer ........................... 135 Lead ................................................................................................................................................................................ 137 Leafminer, Raspite ....................................................................................................................................................... 138 Leviathan, APT 40, TEMP.Periscope ...................",
1.0.0,actor--leafminer,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:d9893cb53e1df71d92a54ae47e87937fa0aafe16c0e73d5e20fc16cd2bd2fe7c,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--leafminer--bd4ec03c691cff7d,actor_profile/evidence/leafminer.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Raspite ................ 135 Lead ................................................................................................................................................................................ 137 Leafminer, Raspite ....................................................................................................................................................... 138 Leviathan, APT 40, TEMP.Periscope ............................",
1.0.0,actor--leafminer,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:9215b874a9abfaab0f133aa19f6a9994c973307bc65af25aa2a47736acc07fd9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--leafminer--bd4ec03c691cff7d,actor_profile/evidence/leafminer.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 138} Leafminer Threat Group Cards: A Threat Actor Encyclopedia 138 Leafminer, Raspite Names Leafminer (Symantec) Raspite (Dragos) Country Iran Motivation Information theft and espionage Description (Symantec) Symantec has uncovered the operations of a threat actor named Leafminer that is t",
1.0.0,actor--leafminer,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:96ff0670a29cbd0af7c38766b2c2580bbd7d894eeea83a43bb19b5e2b3f8f0d4,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--leafminer--bd4ec03c691cff7d,actor_profile/evidence/leafminer.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 138} Leafminer Threat Group Cards: A Threat Actor Encyclopedia 138 Leafminer, Raspite Names Leafminer (Symantec) Raspite (Dragos) Country Iran Motivation Information theft and espionage Description (Symantec) Symantec has uncovered the operations of a threat actor named Leafminer that is targeting a broad list of g",
1.0.0,actor--leafminer,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b53a5f519df9a0367cfa5e6115f1fa90b326537f85d16c83a88887868c8de712,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--leafminer--bd4ec03c691cff7d,actor_profile/evidence/leafminer.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 138} Raspite Threat Group Cards: A Threat Actor Encyclopedia 138 Leafminer, Raspite Names Leafminer (Symantec) Raspite (Dragos) Country Iran Motivation Information theft and espionage Description (Symantec) Symantec has uncovered the operations of a threat actor named Leafminer that is targeting",
1.0.0,actor--leafminer,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:67752bb2d06af41690ed6007f93fc589c9f67a3e6cf0c89ae5cb5a3deb796fbb,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--leafminer--bd4ec03c691cff7d,actor_profile/evidence/leafminer.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 138} Leafminer Threat Group Cards: A Threat Actor Encyclopedia 138 Leafminer, Raspite Names Leafminer (Symantec) Raspite (Dragos) Country Iran Motivation Information theft and espionage Description (Symantec) Symantec has uncovered the operations of a threat actor named Leafminer that is t",
1.0.0,actor--leafminer,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:8822a919e26d432571898dd3d59265169c61ffe0572cc0bd9a1b4b61ed004301,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--leafminer--bd4ec03c691cff7d,actor_profile/evidence/leafminer.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 138} Leafminer Threat Group Cards: A Threat Actor Encyclopedia 138 Leafminer, Raspite Names Leafminer (Symantec) Raspite (Dragos) Country Iran Motivation Information theft and espionage Description (Symantec) Symantec has uncovered the operations of a threat actor named Leafminer that is targeting a broad list of g",
1.0.0,actor--leafminer,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:6fd35ab2b4402d9b4588dcd25b417b7ee797d8a8d052c3897e742b3c58cada2b,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--leafminer--bd4ec03c691cff7d,actor_profile/evidence/leafminer.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 138} Raspite Threat Group Cards: A Threat Actor Encyclopedia 138 Leafminer, Raspite Names Leafminer (Symantec) Raspite (Dragos) Country Iran Motivation Information theft and espionage Description (Symantec) Symantec has uncovered the operations of a threat actor named Leafminer that is targeting",
1.0.0,actor--leafminer,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:14555ab1b3b83c9c7b050e2301fa7e6ef7d74da990ea7c71a440590cd2b77c5d,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--leafminer--bd4ec03c691cff7d,actor_profile/evidence/leafminer.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 4} Leafminer ..................................................... 135 Lead ...................................................................................................................................................... 137 Leafminer, Raspite ............................................................................................................................. 138 Leviathan, APT 40, TEMP.Periscope..............................................",
1.0.0,actor--leafminer,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:87df63bd5d07f57d8e8034b0eb49be0b7d24862bb68dc3640eb463765fd5a961,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--leafminer--bd4ec03c691cff7d,actor_profile/evidence/leafminer.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 4} Raspite .......................................... 135 Lead ...................................................................................................................................................... 137 Leafminer, Raspite ............................................................................................................................. 138 Leviathan, APT 40, TEMP.Periscope.......................................................",
