schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--leviathan,artifact--sha256:31c53ebc84ef45172573475d8b65b70ca70820cdb72d88a666852371bfbbadef,observation--sha256:62ae5f223c77a389a19a7aab1f3a05b4857b0127e61d0dc938032a9457615a7a,command,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} APT40 APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open source malware families tracked by Recorded Future (These numbers include preexisting servers that were still up at the time of analysis and do not represent new","summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} APT40 APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open source malware families tracked by Recorded Future (These numbers include preexisting servers that were still up at the time of analysis and do not represent new",candidate,,unknown,unknown,not-stated,,source--leviathan--b779bf8c7014ad15,actor_profile/evidence/leviathan.csv,"{""row"": 53}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} APT40 APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open source malware families tracked by Recorded Future (These numbers include preexisting servers that were still up at the time of analysis and do not re",
1.0.0,actor--leviathan,artifact--sha256:23a501d105efaba4cf69bd619f046c735e9cef12d8be4ff1b74bd4fe51a36460,observation--sha256:f57f4580ebcbf8e6e15ff4da05543237bf67f38420eb0913859e8b772cb5b5ee,command,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} GADOLINIUM p 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open","summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} GADOLINIUM p 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open",candidate,,unknown,unknown,not-stated,,source--leviathan--b779bf8c7014ad15,actor_profile/evidence/leviathan.csv,"{""row"": 54}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} GADOLINIUM p 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Tabl",
1.0.0,actor--leviathan,artifact--sha256:7f8dcb7f8fbec0ffd68825bca82ed28e91e01a1690519cc46cf04a6ddefd95b3,observation--sha256:21a0b84347f06107568be80bb7c1ae6f3e9b6a02b367b071cc26ca2dd18ce90c,command,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} TEMP.Periscope COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open source malware families tracked by Recorded Future (These numbers include preexisting servers that were still up at the time of analysis and do not represent newly created serv","summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} TEMP.Periscope COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open source malware families tracked by Recorded Future (These numbers include preexisting servers that were still up at the time of analysis and do not represent newly created serv",candidate,,unknown,unknown,not-stated,,source--leviathan--b779bf8c7014ad15,actor_profile/evidence/leviathan.csv,"{""row"": 55}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} TEMP.Periscope COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open source malware families tracked by Recorded Future (These numbers include preexisting servers that were still up at the time of analysis and do not r",
1.0.0,actor--leviathan,artifact--sha256:54ed20a3ba37a98810d7205310a9dd8d0176c7fc62475870aa14f54fef422ffd,observation--sha256:0a7dd9a6ba33f6a1bb11b5bc7d105d36978d35d8f6c6095d0b9033bdee17fa4c,command,"summary/2021/rpt-mtrends-2021-fireeye.pdf {""page"": 26} APT40 capabilities, such as injecting and executing arbitrary code, uploading and downloading files and executing shell commands. Mandiant has seen BEACON used by a wide range of named threat groups including APT19, APT32, APT40, APT41, FIN6, FIN7, FIN9 and FIN11, as well as nearly 300 UNC groups. • EMPIRE is a publicly available PowerShell post-exploitation framework that allows users to run PowerShell agents without the use of powershell.e","summary/2021/rpt-mtrends-2021-fireeye.pdf {""page"": 26} APT40 capabilities, such as injecting and executing arbitrary code, uploading and downloading files and executing shell commands. Mandiant has seen BEACON used by a wide range of named threat groups including APT19, APT32, APT40, APT41, FIN6, FIN7, FIN9 and FIN11, as well as nearly 300 UNC groups. • EMPIRE is a publicly available PowerShell post-exploitation framework that allows users to run PowerShell agents without the use of powershell.e",candidate,,unknown,unknown,not-stated,,source--leviathan--b779bf8c7014ad15,actor_profile/evidence/leviathan.csv,"{""row"": 59}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/rpt-mtrends-2021-fireeye.pdf {""page"": 26} APT40 capabilities, such as injecting and executing arbitrary code, uploading and downloading files and executing shell commands. Mandiant has seen BEACON used by a wide range of named threat groups including APT19, APT32, APT40, APT41, FIN6, FIN7, FIN9 and FIN11, as well as nearly 300 UNC groups. • EMPIRE is a publicly available PowerShell post-exploitation framework that allows users to run PowerShell agents without the use of powershell.e",
1.0.0,actor--leviathan,artifact--sha256:1b3f74cc5e80694d8be58c7fe3da490732606e46dd6fb28dbc73fa66d59ab642,observation--sha256:38816abc275b971ab014464bc2dbd14956880eae69adf42b4e1377e84ff1ba4f,command,"summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} GADOLINIUM 2020 C2s Previous Notable Users Cobalt Strike 3691 1441 APT41 , Mustang Panda, Ocean Lotus, FIN7 Meterpreter 731 259 COBAL T ILLUSION Metasploit 710 1122 JointWorm (EVILNUM), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505 Sliver 169 27 WellMess Operators , TA551 Mythic 163 28 N/A Koadic 109 19 Sofacy PoshC2 103 12 UNC1945 Table 2: Most common offensive security tools b","summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} GADOLINIUM 2020 C2s Previous Notable Users Cobalt Strike 3691 1441 APT41 , Mustang Panda, Ocean Lotus, FIN7 Meterpreter 731 259 COBAL T ILLUSION Metasploit 710 1122 JointWorm (EVILNUM), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505 Sliver 169 27 WellMess Operators , TA551 Mythic 163 28 N/A Koadic 109 19 Sofacy PoshC2 103 12 UNC1945 Table 2: Most common offensive security tools b",candidate,,unknown,unknown,not-stated,,source--leviathan--b779bf8c7014ad15,actor_profile/evidence/leviathan.csv,"{""row"": 61}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/2021 Adversary Infrastructure Report.pdf {""page"": 3} GADOLINIUM 2020 C2s Previous Notable Users Cobalt Strike 3691 1441 APT41 , Mustang Panda, Ocean Lotus, FIN7 Meterpreter 731 259 COBAL T ILLUSION Metasploit 710 1122 JointWorm (EVILNUM), Turla Powershell Empire 269 289 Sandworm, GADOLINIUM Covenant 180 51 GreenBug , FIN12 PupyRAT 177 454 MuddyWater , TA505 Sliver 169 27 WellMess Operators , TA551 Mythic 163 28 N/A Koadic 109 19 Sofacy PoshC2 103 12 UNC1945 Table 2: Most common offe",
1.0.0,actor--leviathan,artifact--sha256:72d524e0a41f769e5722493ee66ec1d8473277dc8e6d59a03a0999b8c9b82ca7,observation--sha256:24f51d77cffc49393314bbb48e703eff4edb56bd9e164e17077f69ed1c1c3fce,file-name,2020.pdf,2020.pdf,candidate,,unknown,unknown,not-stated,,source--leviathan--b779bf8c7014ad15,actor_profile/evidence/leviathan.csv,"{""row"": 53}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} APT40 APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open source malware families tracked by Recorded Future (These numbers include preexisting servers that were still up at the time of analysis and do not re",
1.0.0,actor--leviathan,artifact--sha256:72d524e0a41f769e5722493ee66ec1d8473277dc8e6d59a03a0999b8c9b82ca7,observation--sha256:7aad9f809844f749172581c572b1f74b457811025a1bc4e657357b7e3737297b,file-name,2020.pdf,2020.pdf,candidate,,unknown,unknown,not-stated,,source--leviathan--b779bf8c7014ad15,actor_profile/evidence/leviathan.csv,"{""row"": 54}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} GADOLINIUM p 10 Observed Offensive Security Tools Family Notable Users Cobalt Strike APT41 , Mustang Panda, Ocean Lotus , FIN7 Metasploit JointWorm (EVILNUM ), Turla PupyRAT APT33 , COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Tabl",
1.0.0,actor--leviathan,artifact--sha256:72d524e0a41f769e5722493ee66ec1d8473277dc8e6d59a03a0999b8c9b82ca7,observation--sha256:8803c056e3fc3b334451758452ba86a1befd4e2c77e75e1ed28d6cf3cee71169,file-name,2020.pdf,2020.pdf,candidate,,unknown,unknown,not-stated,,source--leviathan--b779bf8c7014ad15,actor_profile/evidence/leviathan.csv,"{""row"": 55}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2021/Adversary Infrastructure Report 2020.pdf {""page"": 3} TEMP.Periscope COBAL T ILLUSION Powershell Empire Sandworm, GADOLINIUM Meterpreter MuddyWater , TA505 Covenant APT34 (GreenBug) Armitage WIZARD SPIDER (UNC1878 ) 1 Octopus C2 Unnamed Chinese APT Sliver N/A Responder APT28 , APT40 (TEMP.Periscope ) PoshC2 UNC1945 Table 2: Example open source malware families tracked by Recorded Future (These numbers include preexisting servers that were still up at the time of analysis and do not r",
1.0.0,actor--leviathan,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:4b7335709ab2386e25a5d6dbf90e234751005bc7bc08e7b798e22aaeff6bda9a,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--leviathan--b779bf8c7014ad15,actor_profile/evidence/leviathan.csv,"{""row"": 64}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 26} Red Ladon Asia Pacific region, Australian government and media entities and companies and countries with equities in the South China Sea, including global heavy industrial manufacturers. We attributed this specific campaign to Red Ladon (a.k.a. TA423, APT40, Leviathan). Red Ladon had previously used ScanBox in 2018; in both the 2018 and 2022 campaigns, the threat actor crafted lures around national elections and established news-themed",
1.0.0,actor--leviathan,artifact--sha256:2bd89985e3ebadf645257b4b9bf31a98695952232c544e9ca348c6e6284bfffc,observation--sha256:806a6f3b79be27606c1b362773b3b9064dee7fb3f08552e518bdc2539f767bb5,file-name,2022-year-in-retrospect-report.pdf,2022-year-in-retrospect-report.pdf,candidate,,unknown,unknown,not-stated,,source--leviathan--b779bf8c7014ad15,actor_profile/evidence/leviathan.csv,"{""row"": 65}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022-year-in-retrospect-report.pdf {""page"": 26} ScanBox es and supranational entities based in Belgium. In yet another example of a capability shared among threat actors and being used in high profile operations, we along with Proofpoint 96 analysed an espionage motivated ScanBox campaign running from April 2022 through June 2022. ScanBox is a web reconnaissance and exploitation framework shared uniquely among China-based threat actors, and it has been in use sporadically since at l",
