schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--lotus-blossom,artifact--sha256:406cf11ae807720eedfda7319af3da79effa3f2ff0c68ac684c4c4c934fd5f16,observation--sha256:d21a48e580fd2a200e5aa3123840a1171d3e7b2fc2bff544354cff59371e06e3,command,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogM","summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogM",candidate,2019-09-12T00:00:00Z,day,known,same-record,,source--lotus-blossom--4a85f83325a9c726,actor_profile/evidence/lotus-blossom.csv,"{""row"": 29}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogM",
1.0.0,actor--lotus-blossom,artifact--sha256:c7cb22e3fe56c7577c72aaff63e58940cb26a140c02565521238b9312905169b,observation--sha256:583e0f06c9ac193b83858571fdd2d7e0821d76665d45ea7533048ab26a9f8b27,command,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主","summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主",candidate,2019-09-12T00:00:00Z,day,known,same-record,,source--lotus-blossom--4a85f83325a9c726,actor_profile/evidence/lotus-blossom.csv,"{""row"": 30}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主",
1.0.0,actor--lotus-blossom,artifact--sha256:fd927187f869c1ccc3168ba23e764312702dd6d20add5faf021ec44191c11a6a,observation--sha256:3e8aaf488691d7b3a6a97ae987dfb75e8b3259fd0ad1b34ae0224d6e97ed23ac,command,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主研发的 Catchamas 木马，具有信息窃取，规避检测等功能。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发布报告 2018-06-19 Thrip: Espiona","summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主研发的 Catchamas 木马，具有信息窃取，规避检测等功能。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发布报告 2018-06-19 Thrip: Espiona",candidate,2019-09-12T00:00:00Z,day,known,same-record,,source--lotus-blossom--4a85f83325a9c726,actor_profile/evidence/lotus-blossom.csv,"{""row"": 31}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip APT 组织情报研究年鉴 98 6.1.27 Thrip 组织名 Thrip 中文名 无 组织地理 未知 别名 无 历史目标 美国，东南亚 目标行业 航空航天，国防，教育，政府，高科技，卫星， 电信 发现时间 2019-09-12 最近活跃 2019-09-12 动机 间谍活动，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主研发的 Catchamas 木马，具有信息窃取，规避检测等功能。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发布报告 2018-06-19 Thrip: Espiona",
1.0.0,actor--lotus-blossom,artifact--sha256:781fda12658bda2995a31109260da765d031aa11c2c37d19a99ba6103e67c175,observation--sha256:8942b620b8a807e4af5581f1f352a494e52d82b9386e14856a1807f011ec2dd5,command,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip ，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主研发的 Catchamas 木马，具有信息窃取，规避检测等功能。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发布报告 2018-06-19 Thrip: Espionage Group Hits Satellite, Telecoms, and Defense Companies alienvault 2018-06-19 Thrip mitre att&ck MITRE APT 组织画像","summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip ，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主研发的 Catchamas 木马，具有信息窃取，规避检测等功能。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发布报告 2018-06-19 Thrip: Espionage Group Hits Satellite, Telecoms, and Defense Companies alienvault 2018-06-19 Thrip mitre att&ck MITRE APT 组织画像",candidate,2018-06-19T00:00:00Z,day,known,same-record,,source--lotus-blossom--4a85f83325a9c726,actor_profile/evidence/lotus-blossom.csv,"{""row"": 32}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/APT group Intelligence Research handbook-2022.pdf {""page"": 106} Thrip ，信息窃取 描述 Thrip 组织主要针对美国和东南亚的卫星通信，电信，地理空间成像和国防部门进行间谍活动。该组织 使用大量合法软件如：PsExec、Powershell、Mimikatz、WinSCP 和 LogMeln，同时具备自主研发的 Catchamas 木马，具有信息窃取，规避检测等功能。 知识关联 报告数量 威胁指示器数量 网络基础设施数量 恶意样本数量 利用漏洞数量 2 0 0 0 0 最近发布报告 2018-06-19 Thrip: Espionage Group Hits Satellite, Telecoms, and Defense Companies alienvault 2018-06-19 Thrip mitre att&ck MITRE APT 组织画像",
1.0.0,actor--lotus-blossom,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:38f40deaecaa87077a46c51349526b7d0b88814a1c6f1bcad6b9fe6e6ffe5dd3,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--lotus-blossom--4a85f83325a9c726,actor_profile/evidence/lotus-blossom.csv,"{""row"": 34}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 35} RADIUM Government, defense, energy, aerospace Ce CERIUM Media, human rights activists, politicians, and US transportation and energy Charming Kitten P PHOSPHORUS Government, education, defense Ra RADIUM IT, government, think tanks, higher education APT29 No NOBELIUM Government, defense, think tanks, higher education Fancy Bear Sr STRONTIUM Intelligence/ Defense personnel, think tanks Callisto Group Sg SEABORGI",
1.0.0,actor--lotus-blossom,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:b7edac30bf042dc1e1373bdbf86b2598fcb1c7f4faf31e72f121ba32c68c93a4,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--lotus-blossom--4a85f83325a9c726,actor_profile/evidence/lotus-blossom.csv,"{""row"": 35}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 46} RADIUM a and expanding to Pacific Island countries as China shifted its military and economic priorities to cope with the challenges of the United States’ renewed interest in the region. In January 2022, Microsoft observed RADIUM targeting an energy company and an energy-associated government agency in Vietnam, and an Indonesian government agency. RADIUM’s activities likely aligned with China’s strategic goals in the South China",
1.0.0,actor--lotus-blossom,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:833a39dab6940ad94bafeda076e7fb22212dbb0959db7ac7b2678043517d6f77,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--lotus-blossom--4a85f83325a9c726,actor_profile/evidence/lotus-blossom.csv,"{""row"": 36}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 46} RADIUM the United States’ renewed interest in the region. In January 2022, Microsoft observed RADIUM targeting an energy company and an energy-associated government agency in Vietnam, and an Indonesian government agency. RADIUM’s activities likely aligned with China’s strategic goals in the South China Sea. 21 In late February and early March, GALLIUM compromised more than 100 accounts affiliated with a prominent intergovernment",
1.0.0,actor--lotus-blossom,artifact--sha256:5ce3f5f52fb4fa1307633da696aa5198cb1e0ffda8624ca509a302eea6a80d2c,observation--sha256:698a4fcd5fd649487668a07634fe924a0a82a8a9ad2ef9d8978f9fad848821b4,file-name,2022.pdf,2022.pdf,candidate,,unknown,unknown,not-stated,,source--lotus-blossom--4a85f83325a9c726,actor_profile/evidence/lotus-blossom.csv,"{""row"": 37}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2022/Microsoft Digital Defense Report 2022.pdf {""page"": 46} RADIUM r political, cultural, social, security, and climate change interests and also to fight the pandemic. 23 Around the same time in May, Microsoft identified GADOLINIUM’s malware on Solomon Islands government systems. RADIUM also ran malicious code on systems of a telecommunications company in Papua New Guinea. We assess these activities were likely for intelligence collection purposes to support China’s overall regional str",
1.0.0,actor--lotus-blossom,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:31375c541108f671a4a368d3156e517da6c3bad55ebba515dba5411d797e9c5f,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--lotus-blossom--4a85f83325a9c726,actor_profile/evidence/lotus-blossom.csv,"{""row"": 45}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 12} Raspberry Typhoon ether for espionage, financial gain, or retribution. Russia Aqua Blizzard E Midnight Blizzard E Seashell Blizzard Dd D Ei E I R Secret Blizzard E China Flax Typhoon Dt E Granite Typhoon Dt E Nylon Typhoon E Raspberry Typhoon EDt North Korea Citrine Sleet C Dt Jade Sleet C Dt Moonstone Sleet E R Sapphire Sleet C Dt Iran Cotton Sandstorm Dd Dt D Ei E I R Mint Sandstorm Ei E R Influence Operations Information camp",
1.0.0,actor--lotus-blossom,artifact--sha256:e72873119e66f69b0bd4367d7516889e98b1a716f8eb70d6410ff5f40bb54c12,observation--sha256:2fff23c418a61d8e35065d0b5fa2b3ed817778d397d0fb33ea091f8fb36e5484,file-name,2024.pdf,2024.pdf,candidate,,unknown,unknown,not-stated,,source--lotus-blossom--4a85f83325a9c726,actor_profile/evidence/lotus-blossom.csv,"{""row"": 46}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2024/Microsoft Digital Defense Report 2024.pdf {""page"": 15} Raspberry Typhoon nance 3% 9 Transportation 2% 10 All others 9% Most Chinese threat activity is for intelligence collection purposes and was especially prevalent in ASEAN countries around the South China Sea. Granite Typhoon and Raspberry Typhoon were the most active in the region, while Nylon Typhoon continued to target government and foreign affairs entities globally. Source: Microsoft Threat Intelligence nation-state notifica",
