schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--lucky-cat,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:02f6c201cd99d7e047f233dd1d28f99195a1f6f329eeb7395d40ac83c9095aa9,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--lucky-cat--9baf056532e77a4b,actor_profile/evidence/lucky-cat.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 4} Lucky Cat ................................................. 141 Lotus Blossom, Spring Dragon .................................................................................................................................. 142 Lucky Cat ....................................................................................................................................................................... 144 Lurk .........................................",
1.0.0,actor--lucky-cat,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:838dc2ea84eae7f81591bc4ce44a9fb10b60043646fb9afaa4f368900896a8a4,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--lucky-cat--9baf056532e77a4b,actor_profile/evidence/lucky-cat.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 6} Shadow Network ............................... 200 Sea Turtle ...................................................................................................................................................................... 201 Shadow Network .......................................................................................................................................................... 202 Silence .........................................",
1.0.0,actor--lucky-cat,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:b036ab041bffcab67a0d4e03591480eb96ea541e163baf5c9bda4dad689791b4,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--lucky-cat--9baf056532e77a4b,actor_profile/evidence/lucky-cat.csv,"{""row"": 7}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 108} Shadow Network explanation; they called ONI Asia who called us. (Until May 2008, the first author was employed on a studentship funded by the OpenNet Initiative and the second author was a principal investigator for ONI.) Also see Shadow Network. Observed Sectors: Embassies, Government, Media and NGOs. 1,295 infected computers in 103 countries, including the Dalai Lama, the ministries of foreign affairs of Bangladesh, Barbados, Bhutan, Brunei, Indone",
1.0.0,actor--lucky-cat,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:f29d68d430f7dd24466d3fe68388ee133d1514292ebcaac97846adf723062159,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--lucky-cat--9baf056532e77a4b,actor_profile/evidence/lucky-cat.csv,"{""row"": 8}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 144} Lucky Cat Threat Group Cards: A Threat Actor Encyclopedia 144 Lucky Cat Names Lucky Cat (Symantec) Country China Motivation Information theft and espionage Description (Symantec) A series of attacks, targeting both Indian military research and south Asian shipping organizations, demons",
1.0.0,actor--lucky-cat,artifact--sha256:da7ec4f5205088a142b6a6d861dd714bbc8f64f1672881cd4001d4266d42faa9,observation--sha256:f51a9b5ee9ad57fb3b2421403a9b07502de3b7cf037392bede68efec9b52ae1d,file-name,A_Threat_Actor_Encyclopedia.pdf,A_Threat_Actor_Encyclopedia.pdf,candidate,,unknown,unknown,not-stated,,source--lucky-cat--9baf056532e77a4b,actor_profile/evidence/lucky-cat.csv,"{""row"": 9}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"A_Threat_Actor_Encyclopedia.pdf {""page"": 144} Lucky Cat Threat Group Cards: A Threat Actor Encyclopedia 144 Lucky Cat Names Lucky Cat (Symantec) Country China Motivation Information theft and espionage Description (Symantec) A series of attacks, targeting both Indian military research and south Asian shipping organizations, demonstrate the minimum",
1.0.0,actor--lucky-cat,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:21bd43cc49e2fe2953b74c8b3fabdcf47c19bdeebb7527765581fc950945f341,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--lucky-cat--9baf056532e77a4b,actor_profile/evidence/lucky-cat.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 108} Shadow Network explanation; they called ONI Asia who called us. (Until May 2008, the first author was employed on a studentship funded by the OpenNet Initiative and the second author was a principal investigator for ONI.) Also see Shadow Network. Observed Sectors: Embassies, Government, Media and NGOs. 1,295 infected computers in 103 countries, including the Dalai Lama, the ministries of foreign affairs of Bangladesh, Barbados, Bhutan, Brunei, Indonesia, Ira",
1.0.0,actor--lucky-cat,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:9ae686373c3aa12329acecc4cac1634cd3c05c2b5bb25d72c4c53fd5bc6ee161,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--lucky-cat--9baf056532e77a4b,actor_profile/evidence/lucky-cat.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 144} Lucky Cat Threat Group Cards: A Threat Actor Encyclopedia 144 Lucky Cat Names Lucky Cat (Symantec) Country China Motivation Information theft and espionage Description (Symantec) A series of attacks, targeting both Indian military research and south Asian shipping organizations, demons",
1.0.0,actor--lucky-cat,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:95d918582c4a916b2f73e2451db5bc3c16e2a49c6449449ec7f274e6c7bc0ab9,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--lucky-cat--9baf056532e77a4b,actor_profile/evidence/lucky-cat.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 144} Lucky Cat Threat Group Cards: A Threat Actor Encyclopedia 144 Lucky Cat Names Lucky Cat (Symantec) Country China Motivation Information theft and espionage Description (Symantec) A series of attacks, targeting both Indian military research and south Asian shipping organizations, demonstrate the minimum",
1.0.0,actor--lucky-cat,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:deff26a9da4652d2198266f0fe6062e2bfa153fba09091d9ce54970308014cba,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--lucky-cat--9baf056532e77a4b,actor_profile/evidence/lucky-cat.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 4} Lucky Cat ........................................................................... 141 Lotus Blossom, Spring Dragon ........................................................................................................ 142 Lucky Cat ............................................................................................................................................. 144 Lurk ...................................................................",
1.0.0,actor--lucky-cat,artifact--sha256:e6c1b8b92494d4f04965e7db04f88af86f5a6ce94db19e9625a99c2301bf2dad,observation--sha256:1f3d5c1d4d6d2cdce69b3549077018fd0115023914ff368deab24b1e93875705,file-name,Cards.pdf,Cards.pdf,candidate,,unknown,unknown,not-stated,,source--lucky-cat--9baf056532e77a4b,actor_profile/evidence/lucky-cat.csv,"{""row"": 17}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"Threat Group Cards.pdf {""page"": 6} Shadow Network ......................................................... 200 Sea Turtle ............................................................................................................................................ 201 Shadow Network ................................................................................................................................ 202 Silence ............................................................................",
