schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--machete,artifact--sha256:e10002ef3759e3a16f4fce69cf248e35f05e9b080f2f6beaee833e002c3988d5,observation--sha256:6ae16d920cd7b2cd15a40b38587ef66a0dae7f4a00ee77e15842273aa48c0473,command,SCHTASKS /create /ST 00:00:01 /SC MINUTE /MO 03 /TR “C:\Users\%USERNAME%\AppData\,SCHTASKS /create /ST 00:00:01 /SC MINUTE /MO 03 /TR “C:\Users\%USERNAME%\AppData\,candidate,,unknown,unknown,not-stated,,source--machete--b272c7c9a01c76d8,Machete/ESET_Machete.pdf,"{""page"": 11}",[],"[""malware--machete""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"Machete just got sharper Venezuelan military under attack 11 EXE EXE EXE jer.dll Encrypted Conﬁg Spy component Chrome.exe Runs indeﬁnitely Copies and encrypts documents Screenshots, keylogs, etc. Persistence GoogleCrash.exe Runs every /three.pnum_lnum/zero.pnum_lnum minutes Installs other components Communication GoogleUpdate.exe Runs every /one.pnum_lnum/zero.pnum_lnum minutes Sends stolen data to server Receives updates from server Figure 9 // Executable py2exe components of Machete A single c",
1.0.0,actor--machete,artifact--sha256:85f5dd0d07d5418ffc882961a23fee9d5579249cdf02a92675e6e2ce75f851ab,observation--sha256:e26ddf671d8c70e73be71d7062f87227d09d920963444dcd232637eebf855a9c,command,SCHTASKS /create /ST 00:00:01 /SC MINUTE /MO 10 /TR “C:\Users\%USERNAME% \AppData\,SCHTASKS /create /ST 00:00:01 /SC MINUTE /MO 10 /TR “C:\Users\%USERNAME% \AppData\,candidate,,unknown,unknown,not-stated,,source--machete--b272c7c9a01c76d8,Machete/ESET_Machete.pdf,"{""page"": 11}",[],"[""malware--machete""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"Machete just got sharper Venezuelan military under attack 11 EXE EXE EXE jer.dll Encrypted Conﬁg Spy component Chrome.exe Runs indeﬁnitely Copies and encrypts documents Screenshots, keylogs, etc. Persistence GoogleCrash.exe Runs every /three.pnum_lnum/zero.pnum_lnum minutes Installs other components Communication GoogleUpdate.exe Runs every /one.pnum_lnum/zero.pnum_lnum minutes Sends stolen data to server Receives updates from server Figure 9 // Executable py2exe components of Machete A single c",
1.0.0,actor--machete,artifact--sha256:d160c6dae2ea3d92acf04e7bba35dff5c86d77a9dbf9c64ff86963e2170a7d2a,observation--sha256:aad730b93a114fbdbec55a5037ea0d2b7fffd469054f220d53a26c6672dd040b,command,SCHTASKS /create /ST 00:00:01 /SC MINUTE /MO 30 /TR “C:\Users\%USERNAME% \AppData\,SCHTASKS /create /ST 00:00:01 /SC MINUTE /MO 30 /TR “C:\Users\%USERNAME% \AppData\,candidate,,unknown,unknown,not-stated,,source--machete--b272c7c9a01c76d8,Machete/ESET_Machete.pdf,"{""page"": 12}",[],"[""malware--machete""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,"Machete just got sharper Venezuelan military under attack 12 Persistence component runs every 30 minutes SCHTASKS /create /ST 00:00:01 /SC MINUTE /MO 30 /TR “C:\Users\%USERNAME% \AppData\ Roaming\Gchrome\GoogleCrash.exe” /TN Googleupdate32 Then executables are copied to: %APPDATA%\Chrome\Google\ %APPDATA%\Gchrome\ Finally, a file is used to identify the victim. It is a text file; the MAC address and HOSTNAME are encrypted and then written to chrom.dll. The steps for encryption (see Figure 11) ar",
1.0.0,actor--machete,artifact--sha256:78302607a842f5863c4a19dba9ac8edb13a4fbec88271ed70d0adeebe310d081,observation--sha256:e553cd8d03546d6cba49eb6f9cbae38e1826c662e7e2eb4de6626c5a49144271,file-name,004026_pdf.scr,004026_pdf.scr,candidate,,unknown,unknown,not-stated,,source--machete--b272c7c9a01c76d8,Machete/ESET_Machete.pdf,"{""page"": 32}",[],"[""malware--machete""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,Machete just got sharper Venezuelan military under attack 32 RAR/7z SFX: decoy + payload (no downloader) SHA-1 FIlename 0468D3776435E527DBA52B9DA61D38C076DDA09A FORMATO UNICO DE RENDIMIENTO OPERATIVO GNB 11JUNIO2019 CZGNB-13 xlsx.scr 10EB152039CB0A379DAAB272151BC1BAA8C6D4DB Radiograma 004026_pdf.scr 173664DE0A9A08218098ABFB86D2C64F25B5EE37 Diseño_pptx.scr 212F3697117D17EC3F299D037845CF3DB20CE88A 29EA8A983E56229AC69FFF9958319B66C006020B RDGMA 1101 001 jpg.scr 3562CB8D37E68025787C31A0B4654A1CE209E,
1.0.0,actor--machete,artifact--sha256:b950b76273b2cd8f2f2c80dcc940369cfdd29d43d3fa0a60376a8c742c22b3dc,observation--sha256:5ccc4039225c40865d1aba5f6c59a3fcb71da101b0f2d1f69d9422de9d08f115,file-name,04Down.exe,04Down.exe,candidate,,unknown,unknown,not-stated,,source--machete--b272c7c9a01c76d8,Machete/ESET_Machete.pdf,"{""page"": 31}",[],"[""malware--machete""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,Machete just got sharper Venezuelan military under attack 31 50C23690C23EE070AD3A20FCED7311BFDF098833 ders.exe 67ECBC1E9A66719C599E6DDED33A85F70DACA13E chrome.sfx.exe 6A69A2A2D4A2F8690B71386F0F092B04EA5A647D ders.exe 92C56AF6815597C0135C21EF5A35D41B0E2A460F Python_27.exe 9E52E1C015B97D4FB2CAC888F8FC69D729AF78F5 finaser.aes payload pushed by operators (no config file) A48A71B9D1C00A683397F97C02E0DBB3F4606863 ders.exe B6E436A0FFF117A1C3D3D70947F62D4CAC66C95E ders.exe C4ACCF6071F51ADE102190C6FA3504,
1.0.0,actor--machete,artifact--sha256:707e905c73f3663ee0d72e07cf8de1a31e41c89e077a33f36c59b20842fd10fa,observation--sha256:1ac05b7e815729d8e436edaee15cf4c17e3f810162f886f5c1484d205521dc7b,file-name,07_1379.scr,07_1379.scr,candidate,,unknown,unknown,not-stated,,source--machete--b272c7c9a01c76d8,Machete/ESET_Machete.pdf,"{""page"": 32}",[],"[""malware--machete""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,Machete just got sharper Venezuelan military under attack 32 RAR/7z SFX: decoy + payload (no downloader) SHA-1 FIlename 0468D3776435E527DBA52B9DA61D38C076DDA09A FORMATO UNICO DE RENDIMIENTO OPERATIVO GNB 11JUNIO2019 CZGNB-13 xlsx.scr 10EB152039CB0A379DAAB272151BC1BAA8C6D4DB Radiograma 004026_pdf.scr 173664DE0A9A08218098ABFB86D2C64F25B5EE37 Diseño_pptx.scr 212F3697117D17EC3F299D037845CF3DB20CE88A 29EA8A983E56229AC69FFF9958319B66C006020B RDGMA 1101 001 jpg.scr 3562CB8D37E68025787C31A0B4654A1CE209E,
1.0.0,actor--machete,artifact--sha256:91136c5bef34005e40f64ad3b8ad4489bf53a57c0d283aa10d60cb627f606aae,observation--sha256:df02994a59d138660d4851402b8bfcf1644e71b5382fa8df164354a368300e2a,file-name,08_1159.scr,08_1159.scr,candidate,,unknown,unknown,not-stated,,source--machete--b272c7c9a01c76d8,Machete/ESET_Machete.pdf,"{""page"": 32}",[],"[""malware--machete""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,Machete just got sharper Venezuelan military under attack 32 RAR/7z SFX: decoy + payload (no downloader) SHA-1 FIlename 0468D3776435E527DBA52B9DA61D38C076DDA09A FORMATO UNICO DE RENDIMIENTO OPERATIVO GNB 11JUNIO2019 CZGNB-13 xlsx.scr 10EB152039CB0A379DAAB272151BC1BAA8C6D4DB Radiograma 004026_pdf.scr 173664DE0A9A08218098ABFB86D2C64F25B5EE37 Diseño_pptx.scr 212F3697117D17EC3F299D037845CF3DB20CE88A 29EA8A983E56229AC69FFF9958319B66C006020B RDGMA 1101 001 jpg.scr 3562CB8D37E68025787C31A0B4654A1CE209E,
1.0.0,actor--machete,artifact--sha256:6c1b21e5d8d81e38439927941f47fe0e4cbb4a5b1ee6c691e460384d051f1ebe,observation--sha256:b2a88d006c40b87b9a7d6b8558c52108851ac230e8cd30232b1b7964d2a30956,file-name,20190611101331.scr,20190611101331.scr,candidate,,unknown,unknown,not-stated,,source--machete--b272c7c9a01c76d8,Machete/ESET_Machete.pdf,"{""page"": 32}",[],"[""malware--machete""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,Machete just got sharper Venezuelan military under attack 32 RAR/7z SFX: decoy + payload (no downloader) SHA-1 FIlename 0468D3776435E527DBA52B9DA61D38C076DDA09A FORMATO UNICO DE RENDIMIENTO OPERATIVO GNB 11JUNIO2019 CZGNB-13 xlsx.scr 10EB152039CB0A379DAAB272151BC1BAA8C6D4DB Radiograma 004026_pdf.scr 173664DE0A9A08218098ABFB86D2C64F25B5EE37 Diseño_pptx.scr 212F3697117D17EC3F299D037845CF3DB20CE88A 29EA8A983E56229AC69FFF9958319B66C006020B RDGMA 1101 001 jpg.scr 3562CB8D37E68025787C31A0B4654A1CE209E,
1.0.0,actor--machete,artifact--sha256:e84190765b6f1c356a7c499282919c0c30b2f081fb6a8f8c32bc647c54d97750,observation--sha256:d6ae0e3eab7262dd27cbcf08e4d571ed9563182552420a00bb20eaa363396235,file-name,20190611101428.scr,20190611101428.scr,candidate,,unknown,unknown,not-stated,,source--machete--b272c7c9a01c76d8,Machete/ESET_Machete.pdf,"{""page"": 32}",[],"[""malware--machete""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,Machete just got sharper Venezuelan military under attack 32 RAR/7z SFX: decoy + payload (no downloader) SHA-1 FIlename 0468D3776435E527DBA52B9DA61D38C076DDA09A FORMATO UNICO DE RENDIMIENTO OPERATIVO GNB 11JUNIO2019 CZGNB-13 xlsx.scr 10EB152039CB0A379DAAB272151BC1BAA8C6D4DB Radiograma 004026_pdf.scr 173664DE0A9A08218098ABFB86D2C64F25B5EE37 Diseño_pptx.scr 212F3697117D17EC3F299D037845CF3DB20CE88A 29EA8A983E56229AC69FFF9958319B66C006020B RDGMA 1101 001 jpg.scr 3562CB8D37E68025787C31A0B4654A1CE209E,
1.0.0,actor--machete,artifact--sha256:7e53f19548b69a4a5bd977e938598f91790664a3bc6272674c037c85084f57c6,observation--sha256:ccf0f248f202a53c70f15522ccfc8a74633cc7306a8291fb1289e93b9dc07a0a,file-name,4Down.sfx.exe,4Down.sfx.exe,candidate,,unknown,unknown,not-stated,,source--machete--b272c7c9a01c76d8,Machete/ESET_Machete.pdf,"{""page"": 31}",[],"[""malware--machete""]",[],[],0,false,medium,TLP:CLEAR,pdf-text,Machete just got sharper Venezuelan military under attack 31 50C23690C23EE070AD3A20FCED7311BFDF098833 ders.exe 67ECBC1E9A66719C599E6DDED33A85F70DACA13E chrome.sfx.exe 6A69A2A2D4A2F8690B71386F0F092B04EA5A647D ders.exe 92C56AF6815597C0135C21EF5A35D41B0E2A460F Python_27.exe 9E52E1C015B97D4FB2CAC888F8FC69D729AF78F5 finaser.aes payload pushed by operators (no config file) A48A71B9D1C00A683397F97C02E0DBB3F4606863 ders.exe B6E436A0FFF117A1C3D3D70947F62D4CAC66C95E ders.exe C4ACCF6071F51ADE102190C6FA3504,
