schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--magecart,artifact--sha256:9b768a80adf58e99dfac90b48fdd4c012a78330b71d88cff889e9a62fda6fbcc,observation--sha256:e3c2742c1359a84e3a30f04b04d39208c3e01417b9fd24e5ebdeb05586fac5ec,file-name,conf.php,conf.php,candidate,,unknown,unknown,not-stated,,source--magecart--15766072d35a10d4,Magecart/README.MD,"{""line"": 54}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,d3f4[.]com.hk/OfJ3qDlVoGBRGjYK/conf.php,
1.0.0,actor--magecart,artifact--sha256:ec2b63ff028f69d88d9914da366e68e3dfe96c83ef47b3f649300be806a18cc5,observation--sha256:c5406d5516ec1744526cedaf441a0d5d5aee04856d8f5644b7126c5f2b5c3369,file-name,exec.exe,exec.exe,candidate,,unknown,unknown,not-stated,,source--magecart--15766072d35a10d4,Magecart/README.MD,"{""line"": 40}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,icherryls[.]com/exec.exe,
1.0.0,actor--magecart,artifact--sha256:2e83db096f83bf0f592ce30fcd3f76cf0ea226b738e2ece73aca2b1c27508218,observation--sha256:6ba8e6e0bc5eb482397cb161fed6d18f0ed8c54a35570733ef14cdbce6644134,file-name,gate.php,gate.php,candidate,,unknown,unknown,not-stated,,source--magecart--15766072d35a10d4,Magecart/README.MD,"{""line"": 38}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,kaiwachis[.]ug/NShnObEA4XwtlDCC/gate.php,
1.0.0,actor--magecart,artifact--sha256:797dcdaad80cf8dd4e1e718afba22af460212f0cbf68aef7b36fa6afc0bde422,observation--sha256:c390e5979ab05d0fd12d43c88aece637aad229f7d8e03ba00d927a8455d7c6f0,file-name,log.php,log.php,candidate,,unknown,unknown,not-stated,,source--magecart--15766072d35a10d4,Magecart/README.MD,"{""line"": 52}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,35.246.189[.]253/gate/log.php,
1.0.0,actor--magecart,artifact--sha256:3203b2b4de9a31da85a0fe58b597a07176277f57fcc690ffbff9bf163e2d3d67,observation--sha256:06d09db0d9a6fdd1739ce20f43a49012db83c7daf7cab28e37a1bce3744e21d6,file-name,main2.js,main2.js,candidate,,unknown,unknown,not-stated,,source--magecart--15766072d35a10d4,Magecart/README.MD,"{""line"": 56}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,commbank.detailsconfirm[.]in/204/js/main2.js,
1.0.0,actor--magecart,artifact--sha256:4a427550bbd69ab5fb29d316784268b6deb3ab612f91b70b542bfcfea6f9d600,observation--sha256:550004931a0a809ac66b0e679836a2fa17c5ea0c2f91ec81aabb755cf56494e2,file-name,set.exe,set.exe,candidate,,unknown,unknown,not-stated,,source--magecart--15766072d35a10d4,Magecart/README.MD,"{""line"": 22}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,3eueu[.]com/set.exe,
1.0.0,actor--magecart,artifact--sha256:4a427550bbd69ab5fb29d316784268b6deb3ab612f91b70b542bfcfea6f9d600,observation--sha256:fcb7632ae173e3e323522c6e3f1d09451b52d9f889043858c88a710fc463353d,file-name,set.exe,set.exe,candidate,,unknown,unknown,not-stated,,source--magecart--15766072d35a10d4,Magecart/README.MD,"{""line"": 24}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,3prokladkaeu[.]com/set.exe,
1.0.0,actor--magecart,artifact--sha256:4a427550bbd69ab5fb29d316784268b6deb3ab612f91b70b542bfcfea6f9d600,observation--sha256:95ff252d89c8f481b26411e30abf43b3d4b8e84c0461966ff924538299393655,file-name,set.exe,set.exe,candidate,,unknown,unknown,not-stated,,source--magecart--15766072d35a10d4,Magecart/README.MD,"{""line"": 26}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,k0j8h7f6d5s4[.]com/set.exe,
1.0.0,actor--magecart,artifact--sha256:4a427550bbd69ab5fb29d316784268b6deb3ab612f91b70b542bfcfea6f9d600,observation--sha256:438678f9049f9211ea58aa79be69655917e8cf329f01c63e67d74c77a6de72e3,file-name,set.exe,set.exe,candidate,,unknown,unknown,not-stated,,source--magecart--15766072d35a10d4,Magecart/README.MD,"{""line"": 28}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,j5h4f9b6[.]com/set.exe,
1.0.0,actor--magecart,artifact--sha256:4a427550bbd69ab5fb29d316784268b6deb3ab612f91b70b542bfcfea6f9d600,observation--sha256:384c8206b8cacd288325a6740d9f68be0e1007818aa5c28a224c5703fdea87fa,file-name,set.exe,set.exe,candidate,,unknown,unknown,not-stated,,source--magecart--15766072d35a10d4,Magecart/README.MD,"{""line"": 30}",[],[],[],[],0,false,medium,TLP:CLEAR,text-line,3pubss[.]com/set.exe,
