schema_version,actor_ref,artifact_id,observation_id,artifact_type,value,normalized_value,disposition,observed_at,observed_at_precision,observed_at_status,observed_at_basis,source_published_at,source_id,source_path,source_location,campaign_refs,malware_refs,infrastructure_refs,roles,campaign_count,seen_in_multiple_campaigns,confidence,tlp,extraction_method,context_excerpt,analyst_notes
1.0.0,actor--modifiedelephant,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:805300bb02bc637a75e9c205b9b69f85590ddd4385fbc6b98d73715e1fbbbbe7,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--modifiedelephant--52fdd5a48f531e72,actor_profile/evidence/modifiedelephant.csv,"{""row"": 12}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 1} ModifiedElephant - 005 - - 006 - 高级威胁篇 2022年高级威胁态势研究报告 本小节中，我们根据公开情报整理了2022年新披露的APT组织。南亚地区和中东地区仍然是较容易被研究人 员捕获恶意样本并披露威胁组织的地区。其中围绕南亚地区进行攻击活动的组织有：活跃长达十年的 ModifiedElephant（又名暗象、DarkElephant）组织、仿冒小众聊天软件针对Android平台的 VajraEleph（又名金刚象）组织，和针对印度国防部下发Python后门的APT-LY-1004组织。瞄准中东地 区进行攻击活动的组织有：来自黎巴嫩滥用OneDrive的POLONIUM组织、活动中使用远程代码执行漏洞的 Cunning Kitten组织、针对土耳其海军的MurenShark（又名OceanDoge）组织。此外，还有攻击目标为 非洲",
1.0.0,actor--modifiedelephant,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:90959031100bcd1316ea8c25e4b748d90ecdafc3117ed095b27d26452d82c2ef,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--modifiedelephant--52fdd5a48f531e72,actor_profile/evidence/modifiedelephant.csv,"{""row"": 13}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 1} ModifiedElephant 004组织。瞄准中东地 区进行攻击活动的组织有：来自黎巴嫩滥用OneDrive的POLONIUM组织、活动中使用远程代码执行漏洞的 Cunning Kitten组织、针对土耳其海军的MurenShark（又名OceanDoge）组织。此外，还有攻击目标为 非洲的Dangerous Savanna、Metador组织，以及其他未披露具体目标地域的威胁组织。 新披露的APT组织描述 2022年2月，国外安全厂商披露了一个活跃长达的十年的组织ModifiedElephant。该组织主要针对印度活动 家、人权捍卫者、记者、学者以及法律专业人士，进行长期监视，并在“必要情况”下向目标电脑中植入犯罪 证据。 ModifiedElephant组织在早期的活动中使用双扩展名文件，2015年之后开始使用漏洞（CVE-2012-0158、 CVE-2014-1761、CVE-2013-3906、CVE-2015-164",
1.0.0,actor--modifiedelephant,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:99d4755c59da5a0a0132d5f7ca23621aec229d56c3d40934cb3d966b5f9ab522,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--modifiedelephant--52fdd5a48f531e72,actor_profile/evidence/modifiedelephant.csv,"{""row"": 14}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 1} ModifiedElephant 、针对土耳其海军的MurenShark（又名OceanDoge）组织。此外，还有攻击目标为 非洲的Dangerous Savanna、Metador组织，以及其他未披露具体目标地域的威胁组织。 新披露的APT组织描述 2022年2月，国外安全厂商披露了一个活跃长达的十年的组织ModifiedElephant。该组织主要针对印度活动 家、人权捍卫者、记者、学者以及法律专业人士，进行长期监视，并在“必要情况”下向目标电脑中植入犯罪 证据。 ModifiedElephant组织在早期的活动中使用双扩展名文件，2015年之后开始使用漏洞（CVE-2012-0158、 CVE-2014-1761、CVE-2013-3906、CVE-2015-1641）利用文档针对目标投放恶意软件，2019年该组 织将邮件附件更改为外部链接，供目标下载执行。 ModifiedElephant组织所用的攻击武器包括：远控木马Ne",
1.0.0,actor--modifiedelephant,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:3d1266c59414b74fbe43d648df5d42896ea6c2ee396e612ed1534cd4aa94a665,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--modifiedelephant--52fdd5a48f531e72,actor_profile/evidence/modifiedelephant.csv,"{""row"": 15}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 1} ModifiedElephant ant。该组织主要针对印度活动 家、人权捍卫者、记者、学者以及法律专业人士，进行长期监视，并在“必要情况”下向目标电脑中植入犯罪 证据。 ModifiedElephant组织在早期的活动中使用双扩展名文件，2015年之后开始使用漏洞（CVE-2012-0158、 CVE-2014-1761、CVE-2013-3906、CVE-2015-1641）利用文档针对目标投放恶意软件，2019年该组 织将邮件附件更改为外部链接，供目标下载执行。 ModifiedElephant组织所用的攻击武器包括：远控木马NetWire、DarkComet、意大利黑客论坛上公开的 键盘记录器以及Android远控木马。该组织与南亚地区其他高级威胁组织的关系如下：1.曾和Sidewinder的 个体攻击目标重叠；2.和Patchwork共享基础设施（Domain）。 2022年6月，国内安全厂商发现了ModifiedElep",
1.0.0,actor--modifiedelephant,artifact--sha256:3ac094f7e3231291e34fa78a08d3aba5e96f7250ac61c4325dce705db22e4e36,observation--sha256:a3a74df46c2c7a3c62357e557d6457d97eb13699f5821ed0e539759715b76069,file-name,2022cyberComprehensiveSituationObservationManual.pdf,2022cyberComprehensiveSituationObservationManual.pdf,candidate,,unknown,unknown,not-stated,,source--modifiedelephant--52fdd5a48f531e72,actor_profile/evidence/modifiedelephant.csv,"{""row"": 16}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"summary/2023/2022cyberComprehensiveSituationObservationManual.pdf {""page"": 1} ModifiedElephant ）利用文档针对目标投放恶意软件，2019年该组 织将邮件附件更改为外部链接，供目标下载执行。 ModifiedElephant组织所用的攻击武器包括：远控木马NetWire、DarkComet、意大利黑客论坛上公开的 键盘记录器以及Android远控木马。该组织与南亚地区其他高级威胁组织的关系如下：1.曾和Sidewinder的 个体攻击目标重叠；2.和Patchwork共享基础设施（Domain）。 2022年6月，国内安全厂商发现了ModifiedElephant组织对我国的攻击活动，并将其命名为暗象（又名 DarkElephant Group）。相关攻击流程为：邮件正文中包含国外网盘链接，下载解压缩ZIP文件后得到自解 压文件，该自解压文件中包含4个木马程序、加载器、配置文件以及功能性脚本。最后执行的木马程序为 ParallaxRAT。 Modified Elephant 2022年APT组织",
1.0.0,actor--modifiedelephant,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:590de93149a5a494652418b91db87ae3acb6848d0a33cbf2581a0856885048d4,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--modifiedelephant--52fdd5a48f531e72,actor_profile/evidence/modifiedelephant.csv,"{""row"": 2}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 83, ""sheet"": ""Others""} ModifiedElephant ModifiedElephant Activists, human rights defenders, journalists, academics, and law professionals in India ""ModifiedElephant activity aligns sharply with Indian state interests"" https://www.sentinelone.com/labs/modifiedelephant-apt-and-",
1.0.0,actor--modifiedelephant,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:44bf9d1b34b71de59cecb700565a6bde2e1a33be43a1406d673efc993eb9944e,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--modifiedelephant--52fdd5a48f531e72,actor_profile/evidence/modifiedelephant.csv,"{""row"": 3}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 83, ""sheet"": ""Others""} ModifiedElephant ModifiedElephant Activists, human rights defenders, journalists, academics, and law professionals in India ""ModifiedElephant activity aligns sharply with Indian state interests"" https://www.sentinelone.com/labs/modifiedelephant-apt-and-a-decade-of-fabricating-evidence/#report https://assets.sentinelone.com/sentinellabs-apt/modified-elephant-a",
1.0.0,actor--modifiedelephant,artifact--sha256:6189ae5ce181e028946daac638b3df15ad8452edaf17f607ffb9a93ea57db912,observation--sha256:78ce0b775410bae34874513d5a2c454a8311373f7a73870c036a319d1550b102,file-name,Operations.xlsx,Operations.xlsx,candidate,,unknown,unknown,not-stated,,source--modifiedelephant--52fdd5a48f531e72,actor_profile/evidence/modifiedelephant.csv,"{""row"": 4}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"APT Groups and Operations.xlsx {""row"": 83, ""sheet"": ""Others""} modifiedelephant ModifiedElephant Activists, human rights defenders, journalists, academics, and law professionals in India ""ModifiedElephant activity aligns sharply with Indian state interests"" https://www.sentinelone.com/labs/modifiedelephant-apt-and-a-decade-of-fabricating-evidence/#report https://assets.sentinelone.com/sentinellabs-apt/modified-elephant-apt?lb-mode=overlay",
1.0.0,actor--modifiedelephant,artifact--sha256:a773e2447b00b62f335e6d7c8340dc8ef96394b780887f2e762fb5aa5418eae2,observation--sha256:54dee058e548a05de3f6a50dcb1a4f5fbb085bd27065c16da2b74cd0f08b8bf6,file-name,modified-elephant-apt.pdf,modified-elephant-apt.pdf,candidate,,unknown,unknown,not-stated,,source--modifiedelephant--52fdd5a48f531e72,actor_profile/evidence/modifiedelephant.csv,"{""row"": 10}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/India/modified-elephant-apt.pdf {""page"": 3} ModifiedElephant EXECUTIVE SUMMARY SentinelLabs Team • Our research attributes a decade of activity to a threat actor we call ModifiedElephant. • ModifiedElephant is responsible for targeted attacks on human rights activists, human rights defenders, academics, and lawyers across India with the objective of planting incriminating digital evidence. • ModifiedElephant has been ope",
1.0.0,actor--modifiedelephant,artifact--sha256:a773e2447b00b62f335e6d7c8340dc8ef96394b780887f2e762fb5aa5418eae2,observation--sha256:84e6f6fb29d8aaf43634b92250da557df2a695e1f1cffef10aaf60aa27faff6a,file-name,modified-elephant-apt.pdf,modified-elephant-apt.pdf,candidate,,unknown,unknown,not-stated,,source--modifiedelephant--52fdd5a48f531e72,actor_profile/evidence/modifiedelephant.csv,"{""row"": 11}",[],[],[],[],0,false,medium,TLP:CLEAR,csv-row,"International Strategic/India/modified-elephant-apt.pdf {""page"": 3} ModifiedElephant dElephant. • ModifiedElephant is responsible for targeted attacks on human rights activists, human rights defenders, academics, and lawyers across India with the objective of planting incriminating digital evidence. • ModifiedElephant has been operating since at least 2012, and has repeatedly targeted specific individuals. • ModifiedElephant operates through the use of commercially available remote access trojan",
